[00:00.000 --> 00:27.000]  Infowars, tomorrow's news, today.
[00:27.000 --> 00:34.000]  The Trilateral Commission has been in arm of the globalist deep state since 1973.
[00:34.000 --> 00:42.000]  Last week at their annual meeting, a speaker who cannot be identified according to commission rules said that
[00:42.000 --> 00:48.000]  we are now in a period of structural inflation that will last for decades.
[00:48.000 --> 00:53.000]  They said that the free market is over and industry now sets policy.
[00:53.000 --> 01:01.000]  And they said that this year, 2023 is year one of this new global order.
[01:01.000 --> 01:09.000]  Days later, the Federal Reserve Bank announces a July launch for their new FedNow service,
[01:09.000 --> 01:13.000]  which was first announced in October of 2021.
[01:13.000 --> 01:18.000]  The two big to fail banks and all the large processors are already on board.
[01:18.000 --> 01:21.000]  And so is the US Treasury.
[01:21.000 --> 01:31.000]  The first week of April, the Federal Reserve begins the FedNow pilot program for early adopters to become certified participants
[01:31.000 --> 01:35.000]  to help the Fed confirm readiness for their July launch.
[01:35.000 --> 01:42.000]  FedNow is an instant payment processing system that seeks to be the base of all digital transactions,
[01:42.000 --> 01:47.000]  acting as an umbrella company to manage all financial payments.
[01:47.000 --> 01:53.000]  This has been shown to be the gateway to a central bank digital currency, CBDC.
[01:53.000 --> 02:03.000]  FedNow is much like the Reserve Bank of India's instant payment system, the Unified Payments Interface, or UPI.
[02:03.000 --> 02:10.000]  UPI has had huge success in converting rural communities into a complete cashless society.
[02:10.000 --> 02:20.000]  According to the International Monetary Fund, UPI democratized the payment system and paved the way for central bank digital currencies.
[02:20.000 --> 02:29.000]  Central bank instant payment processing is also how the central bank of Nigeria introduced its CBDC, INIRA,
[02:29.000 --> 02:33.000]  which has been so far violently rejected.
[02:33.000 --> 02:36.000]  Reporting for Infowars, this is Greg Rees.
[02:36.000 --> 02:43.000]  And they're bringing it home to America, coming to Chinese style.
[03:06.000 --> 03:09.000]  It's time thinking about World War II.
[03:09.000 --> 03:13.000]  Target selection complete. Time on target sequence complete.
[03:13.000 --> 03:21.000]  Twenty-two Type 1 class submarines departing Petropavlovsk, turning southbound at Nordkaff, bearing 095 degrees.
[03:21.000 --> 03:25.000]  Radar reports two unknown tracks are penetrating the Alaska near defense zone.
[03:25.000 --> 03:29.000]  From the front lines of the information war.
[03:29.000 --> 03:35.000]  Flush the bombers, get the subs in launch mode. We are at DEF CON 1.
[03:35.000 --> 03:38.000]  Are you prepared to destroy the enemy?
[03:38.000 --> 03:39.000]  You bet!
[03:39.000 --> 03:43.000]  Defending the Republic from enemies, foreign and domestic.
[03:43.000 --> 03:46.000]  We'll keep control, but we'll keep it here at the top where it belongs.
[03:46.000 --> 03:53.000]  Three, two, one, impact. Shall we play a game?
[03:53.000 --> 03:59.000]  How about global thermal nuclear war?
[03:59.000 --> 04:04.000]  Live from the Infowars.com studios, it's Alex Jones.
[04:04.000 --> 04:08.000]  All units confirm weapons targeted and ready, awaiting launch codes.
[04:08.000 --> 04:10.000]  We are in launch mode.
[04:10.000 --> 04:14.000]  Do you really believe that the enemy would attack without provocation?
[04:14.000 --> 04:18.000]  If you are receiving this transmission, you are the resistance.
[04:18.000 --> 04:19.000]  We're in.
[04:19.000 --> 04:21.000]  Russians are still denying everything, sir.
[04:21.000 --> 04:24.000]  We have Soviet submarine launch detection.
[04:24.000 --> 04:28.000]  I wish I didn't know about any of this. I wish I was like everybody else.
[04:28.000 --> 04:35.000]  The end. The only winning goal is not to play.
[04:40.000 --> 04:46.000]  It's Monday. That's Monday, March 20th, 2023.
[04:46.000 --> 04:51.000]  Big broadcast lined up for you today. Robert Barnes on in the second hour.
[04:51.000 --> 04:54.000]  We're going to open the phones up.
[04:54.000 --> 04:59.000]  We are on Trump indictment arrest watch. Stay with us.
[05:25.000 --> 05:29.000]  Think about how frustrated we are if you've been awake for a year or two.
[05:29.000 --> 05:33.000]  Imagine being like an Alex Jones or those guys who've been awake for like decades.
[05:33.000 --> 05:37.000]  Alex Jones called this years ago. Years ago.
[05:37.000 --> 05:40.000]  Alex Jones never bought the Russia hoax, not for a second.
[05:40.000 --> 05:43.000]  You are one of the great thinkers of this.
[05:43.000 --> 05:46.000]  You are a martyr to the First Amendment.
[05:46.000 --> 05:49.000]  The government, years, Alex Jones.
[05:49.000 --> 05:54.000]  That's why the globalists hate me is because I'm exposing their corporate worldwide tyranny.
[06:19.000 --> 06:23.000]  Here we are Monday, March 20th, 2023.
[06:23.000 --> 06:25.000]  We're host Alex Jones. We'll be here for the next four hours.
[06:25.000 --> 06:28.000]  And then the great Owen Shroyer takes over 3 p.m. Central.
[06:28.000 --> 06:31.000]  Then FullWars.com and stations across the country.
[06:31.000 --> 06:37.000]  All right. Obviously we're on Trump indictment arrest watch with the kangaroo puppet.
[06:37.000 --> 06:41.000]  George Soros's DA.
[06:41.000 --> 06:50.000]  They're carrying out the operations in New York City.
[06:50.000 --> 06:55.000]  We have all of the accoutrements that goes with that.
[06:55.000 --> 07:02.000]  We have Gigi Ping arriving in Moscow to meet with Putin.
[07:02.000 --> 07:07.000]  And the arrest warrant obviously issued for Putin last Friday.
[07:07.000 --> 07:12.000]  Notice all this is happening at the same moment.
[07:12.000 --> 07:15.000]  Are you in arrest warrants for Putin?
[07:15.000 --> 07:19.000]  Arrest being prepared for Trump?
[07:19.000 --> 07:23.000]  Basically it's anybody that opposes the globalists that run this country.
[07:23.000 --> 07:27.000]  I'm certainly not saying Gigi Ping's a good guy or Putin's perfect,
[07:27.000 --> 07:30.000]  just because they're not part of this new rule order.
[07:30.000 --> 07:33.000]  Gigi Ping has his new rule order.
[07:33.000 --> 07:36.000]  Russia just wants to be left alone, but the United States is occupied
[07:36.000 --> 07:41.000]  and hijacked by some very, very serious criminals.
[07:41.000 --> 07:46.000]  So we're going to be laying it all out here today.
[07:46.000 --> 07:52.000]  Also, we're going to be looking at what's happening with the economy.
[07:52.000 --> 07:57.000]  We have different international bank monitoring groups and rating services
[07:57.000 --> 08:04.000]  like Moody's and others saying that over 200 banks are on the verge of insolvency.
[08:04.000 --> 08:09.000]  It's real bad, Western country central bank, some of the weekend organized
[08:09.000 --> 08:17.000]  to provide daily liquidity of dollars in the event of a worldwide bank collapse.
[08:17.000 --> 08:24.000]  We'll also be looking at more studies coming out that lockdowns massively increase illness and death,
[08:24.000 --> 08:31.000]  not just from the virus, but from suicide more and how they knew exactly what they were doing.
[08:31.000 --> 08:36.000]  Also have a big stack of articles of so-called intellectuals, thought leaders,
[08:36.000 --> 08:42.000]  philosophers of the left praising censorship and saying,
[08:42.000 --> 08:46.000]  those we don't agree with don't deserve to be heard.
[08:46.000 --> 08:51.000]  You should not have opinions on Ukraine vaccines or climate change.
[08:51.000 --> 08:58.000]  That's leftist thinker they call him, Sam Harris, the condescension, the arrogance.
[08:58.000 --> 09:05.000]  The self-appointed control freaks is flabbergasting and that ties in with Yahoo News promoting,
[09:05.000 --> 09:09.000]  it's reasonable we should rewrite Shakespeare or well and everything else.
[09:09.000 --> 09:17.000]  It's not censorship, it's evolution.
[09:17.000 --> 09:20.000]  Yes, it's not rewriting literary history.
[09:20.000 --> 09:21.000]  It's not super scary.
[09:21.000 --> 09:24.000]  It's not a tent on the record scale of tyranny.
[09:24.000 --> 09:34.000]  No, I mean Ed Harris is a philosopher who comes off like someone with an ADIQ,
[09:34.000 --> 09:37.000]  but we've got Sam Harris.
[09:37.000 --> 09:40.000]  We've got to bow down to him.
[09:40.000 --> 09:43.000]  We've got to worship him.
[09:43.000 --> 09:47.000]  We're going to be going over all of that as well.
[09:47.000 --> 09:58.000]  Also, I've seen three reports the last couple days of young people dying in Mexico unexplainedly
