[00:00.000 --> 00:07.000]  the
[00:07.000 --> 00:13.000]  war's tomorrow's news today.
[00:13.000 --> 00:18.000]  I grow up.
[00:18.000 --> 00:20.000]  I'm going to bring down the new
[00:20.000 --> 00:24.000]  world order.
[00:24.000 --> 00:26.000]  Now take you live to the central
[00:26.000 --> 00:28.000]  Texas for man.
[00:28.000 --> 00:30.000]  In the heart of the resistance
[00:30.000 --> 00:34.000]  broadcasting worldwide.
[00:34.000 --> 00:38.000]  Yeah.
[00:38.000 --> 00:40.000]  We now take you live to the
[00:40.000 --> 00:42.000]  central Texas command center
[00:42.000 --> 00:44.000]  in the heart of the resistance.
[00:44.000 --> 00:47.000]  You're listening to Alex Jones.
[00:47.000 --> 01:03.000]  All right, my friends.
[01:03.000 --> 01:05.000]  Thank you so much for joining us.
[01:05.000 --> 01:07.000]  We've got one hell of a broadcast
[01:07.000 --> 01:09.000]  lined up for you.
[01:09.000 --> 01:11.000]  Roger Stone with internals of
[01:11.000 --> 01:13.000]  what trumpet to sand is her up to
[01:13.000 --> 01:15.000]  10 days out from the midterms.
[01:15.000 --> 01:18.000]  Then a major researcher on the
[01:18.000 --> 01:20.000]  new world order that I've known
[01:20.000 --> 01:22.000]  for eight years that is known in
[01:22.000 --> 01:24.000]  some of the more.
[01:24.000 --> 01:26.000]  Informed elite circles but not
[01:26.000 --> 01:27.000]  no other general public.
[01:27.000 --> 01:29.000]  Acharya G will be joining us
[01:29.000 --> 01:31.000]  coming up and then Mark Passio
[01:31.000 --> 01:33.000]  on natural law and his predictions
[01:33.000 --> 01:35.000]  for the near future and the long
[01:35.000 --> 01:36.000]  term as well.
[01:36.000 --> 01:38.000]  It is all coming up today on this
[01:38.000 --> 01:39.000]  very special.
[01:39.000 --> 01:41.000]  Saturday emergency
[01:41.000 --> 01:43.000]  transmission that will be posted
[01:43.000 --> 01:45.000]  in the band on video and then
[01:45.000 --> 01:47.000]  will also be re streamed until
[01:47.000 --> 01:49.000]  four p.m. central tomorrow with
[01:49.000 --> 01:51.000]  a regular Sunday show and I got
[01:51.000 --> 01:53.000]  to tell you that's a very
[01:53.000 --> 01:55.000]  special guest lined up tomorrow
[01:55.000 --> 01:56.000]  night and next week.
[01:56.000 --> 01:58.000]  You do not want to miss any
[01:58.000 --> 02:00.000]  addition of the Alex Jones show
[02:00.000 --> 02:02.000]  this week as if you ever want to
[02:02.000 --> 02:03.000]  miss any of them.
[02:03.000 --> 02:05.000]  The globalists work around the
[02:05.000 --> 02:07.000]  clock to make sure you get
[02:07.000 --> 02:08.000]  disconnected from those.
[02:08.000 --> 02:10.000]  Okay, but let me hit some big
[02:10.000 --> 02:11.000]  breaking news first.
[02:11.000 --> 02:13.000]  The British Navy blew up the
[02:13.000 --> 02:15.000]  Nord Stream Pipeline 2.
[02:15.000 --> 02:17.000]  Also, we have
[02:17.000 --> 02:19.000]  Nancy Pelosi's husband
[02:19.000 --> 02:21.000]  being attacked
[02:21.000 --> 02:23.000]  with a hammer and
[02:23.000 --> 02:25.000]  them trying to say that he's a
[02:25.000 --> 02:27.000]  Trump supporter or a QAnon person
[02:27.000 --> 02:29.000]  but now we have the audio we'll
[02:29.000 --> 02:30.000]  play in just a moment.
[02:30.000 --> 02:32.000]  The 911 call.
