[00:00:16.090 --> 00:00:21.553]  InfoWars, tomorrow's news today.
[00:00:21.553 --> 00:00:33.179]  In an old video from 1995, a theology professor named Pierre Gilbert warned of mandatory vaccines that would turn recipients into zombies.
[00:00:34.033 --> 00:00:37.234]  He speaks in French, so I will translate.
[00:00:37.234 --> 00:00:43.156]  In the biological destruction, there are the organized tempests on the magnetic fields.
[00:00:43.156 --> 00:00:47.437]  What will follow is the contamination of the bloodstreams of mankind.
[00:00:50.359 --> 00:00:55.647]  Creating intentional infections.
[00:00:55.647 --> 00:01:00.714]  This will be enforced via laws that will make vaccination mandatory.
[00:01:00.714 --> 00:01:04.240]  And these vaccines will make possible to control people.
[00:01:05.752 --> 00:01:25.623]  The vaccines will have liquid crystals that will become hosted in the brain cells, which will become micro-receivers of electromagnetic fields, where waves of very low frequencies will be sent.
[00:01:25.623 --> 00:01:30.426]  And through these low frequency waves, people will be unable to think.
[00:01:30.426 --> 00:01:31.926]  You'll be turned into a zombie.
[00:01:33.715 --> 00:01:36.496]  Don't think of this as a hypothesis.
[00:01:36.496 --> 00:01:40.178]  This has been done.
[00:01:40.178 --> 00:01:44.459]  Think of Rwanda.
[00:01:44.459 --> 00:01:54.564]  There isn't much information I could find about Pierre Gilbert, but what he said 26 years ago certainly rings true today.
[00:01:54.564 --> 00:02:02.667]  In 2016, The Guardian published, Genetically Engineered Magneto Protein Remotely Controls Brain and Behavior.
[00:02:03.544 --> 00:02:11.493]  Here we can see zebrafish larvae that have been injected with Magneto being manipulated with magnetic fields.
[00:02:11.493 --> 00:02:20.404]  In March of 2020, Defense One published an article on how hydrogel biosensors are ready to be injected into people's bodies.
[00:02:20.404 --> 00:02:22.166]  Funded by DARPA and Bill Gates.
[00:02:24.176 --> 00:02:38.464]  If you search magnetic nanoparticles, you will find several articles and videos explaining the so-called benefits of this invasive technology that can control parts of the human body via external frequencies.
[00:02:38.464 --> 00:02:42.406]  Livestock needs to be branded and tracked.
[00:02:42.406 --> 00:02:46.368]  And the enslavement of humanity is voluntary.
[00:02:46.368 --> 00:02:49.530]  Which is why the so-called vaccines are voluntary.
[00:02:50.473 --> 00:02:57.739]  And sadly, there seems to be millions of people eagerly lining up to be state property.
[00:02:57.739 --> 00:03:01.581]  For ReissReport.com, this is Greg Reiss.
[00:03:01.581 --> 00:03:03.443]  People talk glibly about science.
[00:03:03.443 --> 00:03:05.204]  What is science?
[00:03:05.204 --> 00:03:16.993]  People coming out of a university with a master's degree or a PhD, you take them into the field, and they literally don't believe anything that this is a peer-reviewed paper.
[00:03:16.993 --> 00:03:18.834]  It's the only thing they accept.
[00:03:18.834 --> 00:03:19.455]  And you say to them,
[00:03:20.620 --> 00:03:23.681]  Let's observe, let's think, let's discuss.
[00:03:23.681 --> 00:03:24.301]  They don't do it.
