[00:00:00.152 --> 00:00:00.623]  Let's go.
[00:00:28.781 --> 00:00:34.589]  I don't have to tell you that 2020 has already started with a bang.
[00:00:34.589 --> 00:00:42.519]  A lot of huge unprecedented earth changes, political changes, wars, and this coronavirus.
[00:00:43.985 --> 00:00:44.825]  It's huge.
[00:00:44.825 --> 00:00:49.327]  We have a special guest joining us coming up at the bottom of the hour to get into the latest developments.
[00:00:49.327 --> 00:00:56.991]  There are all these dozens of videos coming out of people just dropping on the streets of China reportedly with the coronavirus.
[00:00:56.991 --> 00:01:00.953]  They're putting them in tubes and containers and treating it like it's something out of apocalyptic...
[00:01:02.126 --> 00:01:05.349]  28 days later, they're now saying it comes from snakes.
[00:01:05.349 --> 00:01:21.221]  It has a very high mortality rate, similar to the Spanish swine flu that killed around 30 million people at the end of World War I. And so we're going to be going over all of this coming up, ladies and gentlemen.
[00:01:21.221 --> 00:01:26.104]  A new shock video reveals Chinese collapsing on the streets of their major cities.
[00:01:26.104 --> 00:01:29.487]  Major cities being closed, major airports being closed, train stations being closed.
[00:01:29.487 --> 00:01:30.508]  This is a big deal.
[00:01:32.236 --> 00:01:45.405]  Especially when we just discovered, just like I predicted, Bill and Melinda Gates are financing a company, secretly developing a vaccine that just got patented, and then magically, well, you see what's going on.
[00:01:45.405 --> 00:01:51.689]  Bill and Melinda Gates, of course, are really just fronts for a depopulation operation.
[00:01:51.689 --> 00:01:56.432]  But first, a special report on the good things, the positive things that are happening.
[00:01:56.432 --> 00:01:56.893]  Stay with us.
[00:02:05.785 --> 00:02:12.110]  The Weimar government passed a government registration law in the name of public safety.
[00:02:12.110 --> 00:02:22.297]  After Adolf Hitler seized power, the registration list was used to disarm the Jews and political opponents of the Nazi Party.
[00:02:22.297 --> 00:02:30.683]  The Communist Party decreed that the people surrender all their weapons, and later, surrender their knives.
[00:02:30.683 --> 00:02:31.944]  20 million people were killed.
[00:02:35.379 --> 00:02:45.589]  Mao Zedong said that the government must command all the guns so that no guns can ever be used to command the party.
[00:02:45.589 --> 00:02:47.451]  65 million were killed.
[00:02:47.451 --> 00:02:54.418]  And if you can't take our fireworks, 1770 shirts will come in again!
[00:02:54.418 --> 00:02:56.360]  Yeah!
[00:02:58.286 --> 00:03:06.092]  After America gained independence, the people were bestowed with the Second Amendment to defend their freedoms from tyranny.
[00:03:06.092 --> 00:03:17.641]  The founders would have likely found the Federal Reserve Bank alone to be despotic, let alone the deep-rooted corruption and tyranny we are steeped in today.
[00:03:17.641 --> 00:03:20.884]  Today, there is open talk of gun confiscation.
[00:03:21.084 --> 00:03:21.624]  Hell yes!
[00:03:21.624 --> 00:03:23.285]  We're gonna take your AR-15!
[00:03:23.285 --> 00:03:33.232]  When the Governor of Virginia threatened to strip his people of their constitutional right, over 22,000 people showed up to protest.
[00:03:33.232 --> 00:03:35.733]  16,000 were armed to the teeth.
[00:03:35.733 --> 00:03:39.996]  The spirit of the Second Amendment has nothing to do with sport.
[00:03:39.996 --> 00:03:46.320]  It is an equalizing force for the individual soul which thrives only in a free society.
[00:03:46.320 --> 00:03:50.123]  And the only people who want to take it away are tyrants and fools.
[00:03:51.926 --> 00:03:57.349]  Virginia was a victory, but the swamp runs deep, and the danger is real.
[00:03:57.349 --> 00:04:06.695]  A pivotal year like 2020 comes only once in a lifetime, and we all need to give it everything we have.
[00:04:06.695 --> 00:04:16.341]  The leading Democratic candidate has been staffing violent radicals calling for a communist revolution in America, whether or not their candidate wins.
[00:04:16.341 --> 00:04:17.782]  So if Trump gets re-elected, what?
[00:04:18.925 --> 00:04:21.006]  The city's burned.
[00:04:21.006 --> 00:04:23.128]  The time to act is now.
[00:04:23.128 --> 00:04:25.929]  Help yourself and help your family.
[00:04:25.929 --> 00:04:29.932]  Support the InfoWar at InfoWarStore.com.
[00:04:29.932 --> 00:04:33.874]  And we will continue to fight for individual freedom and the spirit of 1776.
[00:04:33.874 --> 00:04:36.796]  1776 will commence again if you don't let go!
[00:04:36.796 --> 00:04:44.521]  You will not take away our firearms and you will not silence us!
[00:04:47.663 --> 00:04:51.231]  Resistance to tyrants is obedience to God.
[00:04:51.231 --> 00:04:56.883]  Infowars.com is tomorrow's news today.
[00:04:58.939 --> 00:05:04.083]  The InfoWars store is the only place to shop to guarantee your support for the InfoWars crew.
[00:05:04.083 --> 00:05:10.167]  While we're in Washington fighting for our rights, it's more important than ever that you're able to support our team in the fight for liberty.
[00:05:10.167 --> 00:05:14.410]  So we've discounted some of our returning fan favorite products that you can stock up now.
[00:05:14.410 --> 00:05:19.414]  Survival Shield X2, our incredible nascent iodine formula, is finally back in stock and 40% off.
[00:05:20.134 --> 00:05:24.197]  After being sold out for weeks, the fan favorite supplement has finally returned.
[00:05:24.197 --> 00:05:30.163]  Or you can get the nascent iodine pack with Survival Shield X2 and X3 for 50% off each bottle.
[00:05:30.163 --> 00:05:34.166]  Ultimate fish oil and Prostagard are both back after months of waiting as well for 35% off.
[00:05:35.427 --> 00:05:39.591]  These products are hard to source at the quality we demand, so we don't know how long they'll last.
[00:05:39.591 --> 00:05:41.393]  Make sure you get yours today!
[00:05:41.393 --> 00:05:48.241]  If supplements aren't your thing, we have storable food supplies for up to 50% off, as well as water and air filter units for 30% off.
[00:05:48.241 --> 00:05:51.624]  There's never going to be a better time to support the InfoWars team.
[00:05:51.624 --> 00:05:57.771]  Show Owen, David, Alex, Savannah, and everyone else behind the scenes you stand with them in the fight against tyranny today!
[00:06:10.189 --> 00:06:11.310]  Big Brother.
[00:06:11.310 --> 00:06:13.150]  Mainstream media.
[00:06:13.150 --> 00:06:15.011]  Government cover-ups.
[00:06:15.011 --> 00:06:16.731]  You want to stop tyranny?
[00:06:16.731 --> 00:06:18.392]  Well, so does he.
[00:06:18.392 --> 00:06:23.093]  Live from the InfoWars.com studios, it's Alex Jones.
