[00:00:00.269 --> 00:00:01.230]  BREAKING THE CONDITIONING!
[00:00:01.230 --> 00:00:02.471]  InfoWars comes to mind.
[00:00:02.471 --> 00:00:03.291]  Alex Jones.
[00:00:03.291 --> 00:00:03.932]  Alex Jones.
[00:00:03.932 --> 00:00:04.692]  Alex Jones.
[00:00:04.692 --> 00:00:07.734]  There's a lot of controversy around this network about Alex Jones.
[00:00:07.734 --> 00:00:17.360]  Google is being accused of hiding negative stories about Hillary and her campaign by changing its algorithm to bury stories like the Clinton body count story.
[00:00:17.360 --> 00:00:19.221]  That's according to website InfoWars.
[00:00:19.221 --> 00:00:22.964]  It's time to confirm there are at least two shooters with fully automatic weapons.
[00:00:24.598 --> 00:00:29.203]  Dr. Martin Luther King has been shot to death in Memphis, Tennessee.
[00:00:29.203 --> 00:00:31.865]  JFK was shot from the back and the front.
[00:00:31.865 --> 00:00:34.868]  It was almost as if it were a planned implosion.
[00:00:34.868 --> 00:00:36.410]  It just pancaked.
[00:00:36.410 --> 00:00:38.392]  It took the babies out of the incubators.
[00:00:38.392 --> 00:00:40.394]  And left the children to die on the cold floor.
[00:00:40.854 --> 00:00:43.735]  I think this is a national security imperative.
[00:00:43.735 --> 00:00:50.916]  We have clear things that we do not understand how they work operating in areas that we can't control.
[00:00:50.916 --> 00:00:53.017]  Is this global governance at last?
[00:00:53.017 --> 00:00:55.758]  Is it one world the central bank is in charge?
[00:00:55.758 --> 00:01:01.859]  Israel claims the attack was accidental and some former US naval officers say it was on purpose.
[00:01:01.859 --> 00:01:05.480]  They describe the day's action as part of a continuing cover-up.
[00:01:05.740 --> 00:01:11.364]  Russian intelligence compiled a dossier on Mr. Trump during visits to Moscow.
[00:01:11.364 --> 00:01:12.864]  Russian scum!
[00:01:12.864 --> 00:01:13.705]  Denied everything.
[00:01:13.705 --> 00:01:15.206]  He called it all fake news.
[00:01:15.206 --> 00:01:18.168]  And he accused CNN of being fake news.
[00:01:18.168 --> 00:01:20.349]  This is a national emergency.
[00:01:20.349 --> 00:01:25.893]  If they kill Trump or remove Trump, it will cause a massive civil war in this country.
[00:01:25.893 --> 00:01:27.894]  This is a FEMA high-level emergency.
[00:01:28.955 --> 00:01:31.457]  We are at war with Russia.
[00:01:31.457 --> 00:01:36.821]  Are you aware that Mr. Stone also stated publicly that he was in direct communication with Julian Assange and Wikileaks?
[00:01:36.821 --> 00:01:40.064]  The White House and the President are citing InfoWars.
[00:01:40.064 --> 00:01:42.966]  If they can shut us down, you're next!
[00:01:42.966 --> 00:01:47.610]  If you are receiving this transmission, you are the resistance.
[00:01:47.610 --> 00:01:50.473]  It's Alex Jones.
[00:01:50.473 --> 00:01:56.358]  Okay, if you go to InfoWars.com or NewsWars.com, you'll see the headline, Memo Release Developing.
[00:01:57.298 --> 00:02:01.561]  And then you'll link to a story we have that's basically a placeholder.
[00:02:01.561 --> 00:02:05.084]  That's what the Washington Examiner has done, which is fine.
[00:02:05.084 --> 00:02:13.410]  They basically repeat what Congressman Gowdy has said and what Congressman Nunes has said, Chairman Nunes, and what Congressman Gates has said on this show.
[00:02:13.410 --> 00:02:16.232]  And exactly what we've said is in the memo.
[00:02:16.232 --> 00:02:24.478]  But they announced it's being released, but our sources said about 15 minutes ago that it'd be in the next hour.
[00:02:26.280 --> 00:02:36.227]  So as we speak, it is going out and it's whoever scans it first and puts it up on the internet first.
[00:02:36.227 --> 00:02:37.148]  I don't care either way.
[00:02:37.148 --> 00:02:46.694]  I just want to get it out very, very, very quickly before they stage some false flag or something because they have been in full panic mode.
[00:02:46.694 --> 00:02:48.156]  FISA memo leak.
[00:02:48.156 --> 00:02:54.020]  McCabe admits FBI used bogus steel dossier paid for by Hillary.
[00:02:55.270 --> 00:02:57.871]  To obtain FISA warrant to spy on Trump.
[00:02:57.871 --> 00:03:00.752]  Now, what did I tell you the memo was based on?
[00:03:00.752 --> 00:03:11.537]  The memo that was declassified by the FISA court, reporting three times that they believed what the FBI was asking for, what the Justice Department was asking for, was illegal.
[00:03:11.537 --> 00:03:13.978]  And that is indeed cited in the memo.
[00:03:13.978 --> 00:03:16.119]  That's the big tamale.
[00:03:16.119 --> 00:03:18.520]  That's the big enchilada right there.
[00:03:18.520 --> 00:03:21.682]  And this is just a roadmap and the House officially saying
[00:03:23.393 --> 00:03:24.754]  You had an insurance policy.
[00:03:24.754 --> 00:03:26.174]  You had a secret society.
[00:03:26.174 --> 00:03:30.497]  You met with McCabe to fix the intelligence, the deputy director.
[00:03:30.497 --> 00:03:38.701]  You went on and on and on and on and on with these attempts and never stopped.
[00:03:38.701 --> 00:03:40.882]  Never backed down.
[00:03:40.882 --> 00:03:43.863]  And just kept pumping the lie about all this.
[00:03:43.863 --> 00:03:46.725]  And so now the media is learning the details.
[00:03:48.231 --> 00:03:52.494]  of what's in the documents, and they're printing me the articles as fast as they come in.
[00:03:52.494 --> 00:04:02.700]  If you're driving down the road and you're an 18-wheeler, listening to us while you're at the gym or whatever, we will read out all the information as it comes in.
[00:04:02.700 --> 00:04:06.522]  Stocks are spooked, Dow falls 400 points.
[00:04:06.522 --> 00:04:11.105]  Trump attacks integrity of the FBI and the Justice Department, politicized probe in favor of Dems.
[00:04:11.105 --> 00:04:13.066]  Memo released, dot, dot, dot.
[00:04:13.066 --> 00:04:14.247]  Developing, dot, dot, dot.
[00:04:15.168 --> 00:04:16.289]  Details, details.
[00:04:16.289 --> 00:04:17.851]  That is the Drudge Report.
[00:04:17.851 --> 00:04:28.181]  As the media scrabbles and talks to members of Congress, as the memo begins to go out, you will then see the articles developing.
[00:04:28.181 --> 00:04:37.069]  That's not what we did when the former head of the NSA pointed out that, hey, this whole memo, except for the excised parts, is in plain view.
[00:04:37.069 --> 00:04:38.331]  We just posted the whole thing.
[00:04:38.891 --> 00:04:49.774]  But what a lot of media will do is, as they get it, and I think it's clear that some of these Washington-based groups that are on the Hill now have it, they are writing articles about it instead of just publishing the memo.
[00:04:49.774 --> 00:04:52.295]  So the race is on to publish the memo.
[00:04:52.295 --> 00:04:55.196]  Check our email, I know Watson's on it, I know Stone's on it.
[00:04:55.196 --> 00:04:57.016]  We're told it'll be coming in any minute.
[00:04:57.016 --> 00:05:00.277]  And just post it directly the second it comes in.
[00:05:00.277 --> 00:05:02.338]  Frank in North Carolina, thanks for holding so long.
[00:05:02.338 --> 00:05:02.638]  Go ahead.
[00:05:03.295 --> 00:05:05.196]  Yeah, Alec, I just have to say something, man.
[00:05:05.196 --> 00:05:09.037]  It seems like every time I turn on your broadcast, you're bragging.
[00:05:09.037 --> 00:05:10.477]  It just gets old, man.
[00:05:10.477 --> 00:05:12.878]  I'm gonna shut you down right now, okay?
[00:05:12.878 --> 00:05:15.219]  We're taking calls about your nomination.
[00:05:15.219 --> 00:05:19.220]  Do you understand they're having congressional hearings trying to shut us down?
[00:05:19.220 --> 00:05:21.641]  Do you understand I'm ringing the alarm?
[00:05:22.521 --> 00:05:25.202]  If that was happening to anybody else, I'd be freaked out.
[00:05:25.202 --> 00:05:26.563]  I mean, what's it gonna take?
[00:05:26.563 --> 00:05:27.664]  Us being shut down?
[00:05:27.664 --> 00:05:29.165]  Is that what you want, Frank?
[00:05:29.165 --> 00:05:30.225]  You know what, Alex?
[00:05:30.225 --> 00:05:31.326]  Put him on pause again.
[00:05:31.326 --> 00:05:32.426]  Hey, Frank!
[00:05:32.426 --> 00:05:38.089]  Do you understand it's not bragging to say, we are the tip of the spear, we're under attack, we need your help.
[00:05:38.089 --> 00:05:42.611]  As much begging as I do, we can barely pay the bills and grow in the face of this.
[00:05:42.611 --> 00:05:45.753]  I'm not gonna just stop growth and let them start pushing us backwards.
[00:05:45.753 --> 00:05:46.213]  You understand?
[00:05:46.213 --> 00:05:47.854]  I need your help, Frank!
[00:05:47.854 --> 00:05:48.975]  I need your help, Frank!
[00:05:49.975 --> 00:05:55.558]  Go to Infowarsstore.com right now and help fund the InfoWars.
[00:05:55.558 --> 00:05:56.299]  Do you understand?
[00:05:56.299 --> 00:05:57.940]  I need your help, Frank!
[00:05:57.940 --> 00:05:59.381]  Free Press needs your help, Frank!
[00:06:11.483 --> 00:06:12.565]  Big Brother.
[00:06:12.565 --> 00:06:14.407]  Mainstream media.
[00:06:14.407 --> 00:06:16.310]  Government cover-ups.
[00:06:16.310 --> 00:06:18.012]  You want to stop tyranny?
[00:06:18.012 --> 00:06:19.674]  Well, so does he.
[00:06:19.674 --> 00:06:24.380]  Live from the InfoWars.com studios, it's Alex Jones.
[00:06:28.442 --> 00:06:41.018]  Ladies and gentlemen, DrudgeReport.com, InfoWars.com, NewsWars.com are all on the cutting edge right now as the memo in the last 20 minutes got released by Congress.
[00:06:42.443 --> 00:06:52.546]  But it's been released to media sources that are on the Hill first, and I guess they've decided to write articles about what they've got in the memo rather than just put the memo out.
[00:06:52.546 --> 00:06:55.547]  But it'll just be minutes, we're told.
[00:06:55.547 --> 00:07:04.770]  Ten minutes to an hour until it is posted on the House Intelligence Community website for the House of Representatives.
[00:07:05.785 --> 00:07:09.127]  So the House Intelligence Committee will be publishing that.
[00:07:09.127 --> 00:07:13.189]  We're told by congressional sources in the hour.
[00:07:13.189 --> 00:07:15.511]  And that was about 20 minutes ago.
[00:07:15.511 --> 00:07:17.332]  So we will be following that.
[00:07:17.332 --> 00:07:24.176]  And the second it gets published, the memo itself, we will publish the memo and we will read the memo.
[00:07:24.176 --> 00:07:27.338]  Obviously, a lot of media outlets have run with memo released.
[00:07:27.958 --> 00:07:30.419]  And then you go and there's just placeholders.
[00:07:30.419 --> 00:07:32.539]  That's what Fox News has done.
[00:07:32.539 --> 00:07:34.099]  It's what True Pundit's done.
[00:07:34.099 --> 00:07:35.440]  It's what Washington Examiner's done.
[00:07:35.440 --> 00:07:36.360]  And that's fine.
[00:07:36.360 --> 00:07:39.980]  We've done it as well at Infowars.com.
[00:07:39.980 --> 00:07:56.844]  But as we add to the article, we're giving some of the backstory of last week when we published, to get media attention, it was on the Director of National Intelligence' own website, got no media coverage, that there was a 99-page document
[00:07:58.676 --> 00:08:07.404]  And that the excise parts are the roadmap of who called for it, who did it, and so that is now indeed reportedly in that memo, as we said.
[00:08:07.404 --> 00:08:10.246]  But we know it has horrified the Democrats.
[00:08:10.246 --> 00:08:14.650]  Let's go ahead and go live to the President, or we can back it up to where he started.
[00:08:14.650 --> 00:08:22.016]  The President is discussing the memo released on Fox News right now, so we will go ahead and go to the President.
[00:08:22.875 --> 00:08:23.575]  Declassified.
[00:08:23.575 --> 00:08:26.676]  Congress will do whatever they're going to do.
[00:08:26.676 --> 00:08:29.938]  But I think it's a disgrace what's happening in our country.
[00:08:29.938 --> 00:08:40.241]  And when you look at that, and you see that, and so many other things, what's going on, a lot of people should be ashamed of themselves, and much worse than that.
[00:08:40.241 --> 00:08:42.002]  So I sent it over to Congress.
[00:08:42.002 --> 00:08:43.563]  They will do what they're going to do.
[00:08:43.563 --> 00:08:45.423]  Whatever they do is fine.
[00:08:45.423 --> 00:08:46.504]  It was declassified.
[00:08:47.624 --> 00:08:49.126]  And let's see what happens.
[00:08:49.126 --> 00:08:50.927]  But a lot of people should be ashamed.
[00:08:50.927 --> 00:08:51.788]  Thank you very much.
[00:08:51.788 --> 00:08:52.748]  Thank you very much.
[00:08:52.748 --> 00:08:53.609]  You figure that one out.
[00:09:06.525 --> 00:09:07.146]  I don't think so.
[00:09:07.146 --> 00:09:10.769]  These are just great people that have suffered incredibly.
[00:09:10.769 --> 00:09:15.212]  There were many, many others like them that have suffered so much.
[00:09:15.212 --> 00:09:19.596]  And they were here, and I said, let's tell your story very quickly.
[00:09:19.596 --> 00:09:25.321]  We have others in a different room, as I told you, that are really petrified to be here.
[00:09:25.321 --> 00:09:26.722]  Petrified.
[00:09:26.722 --> 00:09:29.004]  So it's tough stuff.
[00:09:29.004 --> 00:09:30.365]  It's tough stuff.
[00:09:30.365 --> 00:09:33.888]  Mr. President, do you believe there's more to the United States to do to help our freedom fighters?
[00:09:35.942 --> 00:09:37.242]  Well, we're doing a lot.
[00:09:37.242 --> 00:09:45.945]  We've done more than... I mean, we have many administrations that should have acted on this a long time ago.
[00:09:45.945 --> 00:09:49.405]  When it wasn't at this kind of a... when we weren't in this kind of a position.
[00:09:49.405 --> 00:09:51.246]  You know, we ran out of road.
[00:09:51.246 --> 00:09:52.886]  You know the expression.
[00:09:52.886 --> 00:09:54.347]  The road really ended.
[00:09:54.347 --> 00:09:55.867]  They could have done it 12 years ago.
[00:09:55.867 --> 00:09:57.347]  They could have done it 20 years ago.
[00:09:57.347 --> 00:09:58.628]  They could have done it 4 years ago.
