[00:00.000 --> 00:15.000]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[00:15.000 --> 00:44.000]  These are interesting times. I'm pretty much off of sight of here in the morning, so I've been here getting ready, getting geared up, and then I'm back there in the control room dealing with a lot of other irons and the fires.
[00:44.000 --> 01:10.000]  I'm not prepared to launch this live, worldwide broadcast, but I'll tell you this. The fact that this broadcast is exploding in popularity is really only an indicator of how much trouble this culture is in that the general population of this nation and the world understands now that what we're talking about really is closer to reality than what mainstream media is pushing by a billion light years.
[01:10.000 --> 01:24.000]  Look, we're not perfect, we don't have all the answers, but we know this. The globalists are tyrants, they're coming after our freedoms, this is a very important broadcast today. First, I'd love to kick off with a John Bowne report, gun control rising as new world order media dies.
[01:24.000 --> 01:37.000]  While mainstream media, the failed propaganda goliath, desperately wheezes for air, swimming upstream in a raging river of American truth and relevance, the force of the new world order's establishment mind control is getting bolder.
[01:37.000 --> 01:52.000]  With Justice Scalia on the bench, one of the few areas where the court actually had an inconsistent record relates to gun control. Sometimes the court upheld local and state gun control measures as being compliant with the Second Amendment, and sometimes the court struck them down.
[01:52.000 --> 01:59.000]  They say they believe the next time the court rules on gun control will make a definitive ruling.
[01:59.000 --> 02:13.000]  At this point, it should come as no surprise that government engineered propaganda was legalized in the United States in 2013, slipped into the tyrannical bulwark NDAA of 2013 while America slept.
[02:13.000 --> 02:35.000]  Yeah, the same NDAA that gives the government the power to detain U.S. citizens suspected of terrorism indefinitely without charge or trial. And considering the fact that the establishment's number one target is domestic terrorists labeled as constitutionalists or patriots or even documentary filmmakers, that authorization is highly disturbing.
[02:35.000 --> 02:53.000]  So it should come as no surprise that the puppets with their perfect hair and hubris filled blank teleprompter reading minds are being forced to ratchet up a full-on cannibalistic assault on their own deteriorating journalistic integrity.
[02:53.000 --> 02:59.000]  We should spend more time listening to what others have to say, unless focusing on the grammar what they say it with.
[02:59.000 --> 03:11.000]  Supporting mindless disinformation like this.
[03:11.000 --> 03:32.000]  And firing people like ESPN's recent firing of Kurt Schilling over the exercise over what is simply Schilling's free speech. The more this occurs, the more the disgust for mainstream media grows. Investors business daily writes, more information travels faster to more consumers than ever before.
[03:32.000 --> 03:41.000]  So why does a new survey show trust in media at rock bottom? Because so much more accurate information is available elsewhere.
[03:41.000 --> 03:58.000]  There is no incongruity in the fact that a new poll conducted by the Media Insight Project, a joint project of the American Press Institute and the Associated Press Center for Public Affairs Research finds the American media's popularity way down with that of Washington politicians.
[03:58.000 --> 04:07.000]  With 2014 adult surveyed, only 6% expressed a lot of confidence in the press.
[04:07.000 --> 04:23.000]  And in its technological haste to sell meaningless swill through click fading rather than focusing on what people truly want, real verifiable journalistic truth, social media and online journalism also created its own hyperactive click trap.
[04:23.000 --> 04:39.000]  TheInformation.com writes, digital media companies are caught in the crap trap, mass producing trashy click baits so they can claim huge audiences and often higher valuations. But that model failed, heralded by mass layoffs.
[04:39.000 --> 04:54.000]  As the crow flies, the days of cable network media being the successful and reliable source of unfiltered information it once was in the archaic past, will be as distant a memory as Brian Williams' career.
[04:54.000 --> 05:10.000]  John Baum, for info wars.com.
[05:25.000 --> 05:42.000]  Local law enforcement agencies are also sending officers to learn how to use Geiger counters and contain nuclear hot zones. The Nevada National Security Site, which is about 85 miles from Las Vegas, is best known for the 1955 Apple II nuclear test in which an atomic bomb was placed on a tower to blow up buildings and structures known as Survival Town.
[05:42.000 --> 06:00.000]  The blast delivered an explosive yield equivalent to 29,000 tons of TNT, much larger than the atomic bomb which exploded over Nagasaki, Japan at the final stage of World War II. For more news and reports visit info wars.com and prisonplanet.tv. This is Kit Daniels reporting.
[06:13.000 --> 06:18.000]  I am a relatively short-time listener and I'm quite a supporter of your fine, fine products.
[06:18.000 --> 06:20.000]  Welcome to the info war.
[06:20.000 --> 06:26.000]  It's so easy to get these incredible nutraceuticals that support your health and the info war at the same time.
[06:26.000 --> 06:30.000]  I'm a nine-year listener. I buy all the nutraceuticals, FUFX, NACIN, all the time.
[06:30.000 --> 06:32.000]  Why? Let me ask you a question. Have they worked for you?
[06:32.000 --> 06:35.000]  They're one of the most unbelievable products I've ever had in my life.
[06:35.000 --> 06:37.000]  What products are you taking?
[06:37.000 --> 06:45.000]  Everything from SuperMail to BrainForce to Winterson, X2, even got a little DNA force.
[06:45.000 --> 06:48.000]  So when I just re-upped everything and I just went to Autofill.
[06:48.000 --> 06:53.000]  Visit infowarslife.com to read the information and research and to see the reviews for yourself.
[06:53.000 --> 07:08.000]  That's infowarslife.com or call 888-253-3139.
[07:08.000 --> 07:12.000]  I've been working all day. I took a couple hours off coaching basketball.
[07:12.000 --> 07:15.000]  I get in here at 8.30. I was kind of run down.
[07:15.000 --> 07:19.000]  You know, I just didn't feel like I was going to make it and I really wanted to do a good job on the interview.
[07:19.000 --> 07:26.000]  I got my bottle of BrainForce right there. I popped two of them and about 20 minutes later, it's like, everything just kind of clears up.
[07:26.000 --> 07:29.000]  It's got four and a half stars. People really love it.
[07:29.000 --> 07:33.000]  Read about it. Find out why third-party nutraceutical sites give it such high praise
[07:33.000 --> 07:39.000]  because it really does have the best organic-based systems that will blow your socks off.
[07:39.000 --> 07:43.000]  I haven't pulled an all-nighter like that in a while, but I probably could not have done it without BrainForce.
[07:43.000 --> 07:49.000]  I went home about 6.45 this morning, took three hours of sleep, got up, took two more BrainForce and came in.
[07:49.000 --> 08:00.000]  You will find BrainForce and other game-changing products at infowarslife.com or call 888-253-3139.
[08:00.000 --> 08:18.000]  Waging war on corruption. It's Alex Jones coming to you live from the front lines of the Infowar.
[08:31.000 --> 08:35.000]  Ladies and gentlemen, thank you for joining us as we kick off another broadcast week.
[08:35.000 --> 08:41.000]  It is the 25th day of April, 2016.
[08:41.000 --> 08:44.000]  We'll be here for the next four hours.
[08:44.000 --> 08:48.000]  Paul Joseph Watson will be hosting the fourth hour from London, England.
[08:48.000 --> 08:54.000]  We have Pastor Manning joining us to take your calls, talk politics and news,
[08:54.000 --> 09:01.000]  and the second hour, always interesting, informative, always thought-provoking and entertaining with Pastor Manning.
[09:01.000 --> 09:06.000]  I personally love listening to a show and watching the show. He's just a really great guy, really smart.
[09:06.000 --> 09:11.000]  He has street smarts, but also world smarts, but also political and religious smarts.
[09:11.000 --> 09:14.000]  He's just an amazing guy. He's spiritually smart.
[09:14.000 --> 09:19.000]  So that is coming up. We have a lot of really important special reports I want to get to.
[09:19.000 --> 09:25.000]  We have Prince murdered by the Illuminati. A lot of evidence points towards that John Bowne has done a report.
[09:25.000 --> 09:29.000]  That's what you call organized crime that isn't Italian. It's basically the Illuminati.
[09:29.000 --> 09:35.000]  People say, what is it? It's secret societies that engage in criminal activity and have systems of social control.
[09:35.000 --> 09:39.000]  I'm going to talk about that at the bottom of the hour and play that report.
[09:39.000 --> 09:49.000]  Another really important report dealing with New World Order defends its sale of baby parts as that expands.
[09:49.000 --> 09:54.000]  So they've gone from denying they're selling baby parts to just admitting it and saying how wonderful it is.
[09:54.000 --> 10:01.000]  We'll also get into Obama threatening Great Britain that if they leave the EU, that the US will basically break its ties with them.
[10:01.000 --> 10:09.000]  Not the Chinese Communist killers in the Pope and everybody else and all these dictatorships like Saudi Arabia.
[10:09.000 --> 10:14.000]  Oh, I'm sorry. They call them monarchies when it's a family dictatorship like North Korea.
[10:14.000 --> 10:23.000]  Excuse me. The monarchy of Saudi Arabia threatening the US not to elect Donald Trump.
[10:23.000 --> 10:29.000]  He's a nationalist. And then England and the UK is being threatened that they're being screwed over by the EU.
[10:29.000 --> 10:35.000]  It signs them on to all these debts that controls most of their laws and regulations and Obama's been over there for days.
[10:35.000 --> 10:40.000]  So has Hillary. She hasn't been over there, but she's been on record telling them what to do, how to behave.
[10:40.000 --> 10:47.000]  This is global government. So that is some of what we're going to be breaking down as well today.
[10:47.000 --> 11:06.000]  There is a topic that I want to throw out here before we get into the latest on the big primary situation coming up tomorrow where Donald Trump is surging in all the polls in Connecticut, Delaware, Maryland, Pennsylvania, Rhode Island.
[11:06.000 --> 11:16.000]  And by the way, he's going to need it because the ringer Kasek has now teamed up with Lion Ted, the Canadian.
[11:16.000 --> 11:23.000]  Nothing wrong with Canadians. It's just that, you know, he's up there, you know, north by Alaska.
[11:23.000 --> 11:32.000]  We got Lion Ted, the royal mounted police commander, the mounting, riding around his moose down here in Texas.
[11:32.000 --> 11:38.000]  There's nothing more Texas than a Canadian riding a moose down Congress Street in Austin, Texas.
[11:38.000 --> 11:43.000]  I'm here to tell you he is all hat and all moose, ladies and gentlemen.
[11:43.000 --> 11:48.000]  In fact, he's a moose farmer. He's got moose rancher moose meat.
[11:48.000 --> 11:52.000]  I'm sorry. I'm really going over the deep end here today.
[11:52.000 --> 11:57.000]  They have announced that they are joining forces to combine their delegates.
[11:57.000 --> 12:03.000]  And then, of course, Ted just had some more victories over the weekend, a couple more states where they had voterless victories,
[12:03.000 --> 12:11.000]  where people appointed by the party leadership, they then decide who the superdelegates are.
[12:11.000 --> 12:16.000]  And then I guess it just goes from there, or the superdelegates for the party leadership side of the delegates are.
[12:16.000 --> 12:20.000]  And of course, Rand Paul is going to be one of the superdelegates in Kentucky.
[12:20.000 --> 12:27.000]  And they're saying they're just going to give all the votes to Ted Cruz again there.
[12:27.000 --> 12:31.000]  And this is just really getting scary.
[12:31.000 --> 12:36.000]  And they're saying, oh, this is our system. Well, they've never really implemented it to that level.
[12:36.000 --> 12:40.000]  So we're going to be going over that the big steel in front of everyone.
[12:40.000 --> 12:53.000]  But if Donald Trump sweeps tomorrow and then sweeps coming up places like New Mexico and California and all those other western states coming up in the next month or so,
[12:53.000 --> 13:01.000]  if he sweeps those and dominates those, still he will get the 1,237.
[13:01.000 --> 13:11.000]  So that's why previous and other Republican cats, other Republican bigwigs, with those, you know what, eating grins on their faces,
[13:11.000 --> 13:16.000]  are all over CNN Fox News saying, hey, the same story over and over again.
[13:16.000 --> 13:20.000]  It's never been this way. The delegates always decide. The superdelegates always decide.
[13:20.000 --> 13:23.000]  And that's not true.
[13:23.000 --> 13:25.000]  And I just keep repeating this because they keep lying.
[13:25.000 --> 13:31.000]  In 1976, the Republicans changed it to basically let the party officials come in and take over delegates and steal elections.
[13:31.000 --> 13:39.000]  But just because you pass a rule that flies in the face of public elections and claim that you run the election system in this country,
[13:39.000 --> 13:47.000]  that will not stand up for real challenge in court because we have one person, one vote laws and we have taxpayer money spent on elections.
[13:47.000 --> 13:58.000]  And you have held out for decades, even under this system that you've had, that it's one person, one vote, and the people decide you are con artist frauds.
[13:58.000 --> 14:01.000]  And I'm calling you out previous and all the rest of you.
[14:01.000 --> 14:08.000]  They were all over TV this weekend, like a bunch of demonic parrots bleeding and blurping and chirping and squawking.
[14:08.000 --> 14:13.000]  It doesn't matter what you say. It doesn't matter what you say. We vote. We vote. We have the votes.
[14:13.000 --> 14:19.000]  We have the votes. We're the party officials. We're the party officials. We vote. We vote. We vote.
[14:19.000 --> 14:25.000]  There's no popular vote. There's no popular vote. There's no popular vote. No popular vote. No popular vote.
[14:25.000 --> 14:33.000]  They may not even go with Kasek. We may not even go with Cruz. No, no, it might be Paul Ryan, might be Paul Ryan.
[14:33.000 --> 14:38.000]  Then they start squawking over and over again. Party officials said, party officials said, we decide not you.
[14:38.000 --> 14:43.000]  Never was a vote. You're crazy. Over and over and over again.
[14:43.000 --> 14:51.000]  The same mindless talking points with these stupid politicos can hardly even say a Senate straight when it's a talking point.
[14:51.000 --> 14:57.000]  And they say it and get it out and then smile like puppies that just did their first trick.
[14:57.000 --> 15:01.000]  And then you kind of squirt on themselves like a puppy you'll do when you're petting it.
[15:01.000 --> 15:08.000]  I got a treat and like pee on themselves and I'm sorry to use that analogy, but that's what it looks like.
[15:08.000 --> 15:17.000]  Priebus and Curly, Hewland and all the rest of them get up on TV and they say with a smile on their face.
