[00:00.000 --> 00:05.000]  You'll find, I think, that it'll work more than just on heart problems and circulation problems.
[00:05.000 --> 00:07.000]  It'll work on other problems as well.
[00:07.000 --> 00:12.000]  For more information, call 1-877-928-8822
[00:12.000 --> 00:17.000]  or visit our website at www.heartdrop.com.
[00:17.000 --> 00:23.000]  That toll free number again, 1-877-928-8822.
[00:23.000 --> 00:26.000]  Sold in the largest leverage to buy out in history.
[00:26.000 --> 00:31.000]  Thank you for listening to GPA.
[00:31.000 --> 00:33.000]  D-L-B-J in Austin.
[00:33.000 --> 00:40.000]  USA Radio Network News, Richard Curtis reporting.
[00:40.000 --> 00:47.000]  Tornadoes have ripped through Arkansas, including one that cut a 5-mile swath through the heart of the community of Dumas.
[00:47.000 --> 00:54.000]  Tina Owens with the State Department of Emergency Management's leaders moved in as soon as the tornadoes moved out.
[00:54.000 --> 00:57.000]  One of the buildings that was hit was a freds dollar store.
[00:57.000 --> 01:00.000]  And we understand that there has been some looting in that area.
[01:00.000 --> 01:04.000]  At least 27 people were hurt by the strong winds. Three of those are in critical condition.
[01:04.000 --> 01:08.000]  Crews are also looking for an unknown number of people who may still be missing.
[01:08.000 --> 01:15.000]  The permanent five members of the UN Security Council plus Germany will be in London Monday to talk about whether to increase sanctions on Iran
[01:15.000 --> 01:20.000]  following its failure to meet the February 21st deadline to end its enrichment of uranium.
[01:20.000 --> 01:26.000]  Vice President Dick Cheney says the U.S. favors a diplomatic approach for dealing with Iran's robed nuclear program.
[01:26.000 --> 01:37.000]  We've worked with the European community and through the United Nations to put in place a set of policies to persuade the Iranians to give up their aspirations
[01:37.000 --> 01:40.000]  and to resolve the matter peacefully. That's still our preference.
[01:40.000 --> 01:45.000]  But I've also made the point, the President's made the point, that all options are still on the table.
[01:45.000 --> 01:51.000]  Ten days of cracking down on violence in Baghdad has left about 400 suspected terrorists dead.
[01:51.000 --> 01:57.000]  Iraqi Prime Minister Nuri al-Maliki also says his government is dealing equally with Shiite and Sunni Muslims
[01:57.000 --> 02:01.000]  involved in the ongoing violent attacks in and around Baghdad.
[02:01.000 --> 02:04.000]  This is USA Radio Network News.
[02:04.000 --> 02:08.000]  Are you stressed out and tired of trying to make ends meet?
[02:08.000 --> 02:16.000]  Would you like to find a way to earn between $500,000 to $7,000 or more a month working from home with a company that gives you immediate
[02:16.000 --> 02:19.000]  and ongoing training, marketing, and support?
[02:19.000 --> 02:24.000]  HomeThis7.com would like to give you a free work at home information package and DVD
[02:24.000 --> 02:29.000]  that will show you how you could earn a full-time income by starting with just a few hours a week.
[02:29.000 --> 02:35.000]  In our first month we made over $1,000 and we've just completed our 12th month in the business
[02:35.000 --> 02:39.000]  and it looks like our check is going to be similar on $6,500.
[02:39.000 --> 02:43.000]  I actually made about $1,200 my very first month in the business.
[02:43.000 --> 03:06.000]  Obviously now it's well over 10 times that.
[03:06.000 --> 03:18.000]  Our main concern actually is not for people who are physically injured or indeed to believe.
[03:18.000 --> 03:20.000]  Our large needs are taken care of.
[03:20.000 --> 03:26.000]  My concern is for the people who while that train was crashing on Friday evening,
[03:26.000 --> 03:37.000]  clearly thought they were going to die and then walked away physically uninjured.
[03:37.000 --> 03:46.000]  The IRS says over 10 million taxpayers who filed their federal tax return so far this year have not claimed the telephone excise tax refund.
[03:46.000 --> 03:50.000]  It's a one-time refund that's worth up to $60.
[03:50.000 --> 03:58.000]  The government decided to issue refunds after federal courts ruled the telephone excise tax was illegally applied to long-distance service.
[03:58.000 --> 04:02.000]  This is USA Radio Network News.
[04:02.000 --> 04:06.000]  The IRS put a lien on my house, garnished my wages and levied my bank account.
[04:06.000 --> 04:09.000]  My attorney referred me to associated tax relief.
[04:09.000 --> 04:11.000]  Calling them was the best move I ever made.
[04:11.000 --> 04:12.000]  They got us a settlement we could live with.
[04:12.000 --> 04:14.000]  Can you owe the IRS $10,000 or more?
[04:14.000 --> 04:16.000]  Associated tax relief can help you.
[04:16.000 --> 04:25.000]  Associated tax relief has helped taxpayers settle their tax debt with the IRS for more pennies on the dollar.
[04:25.000 --> 04:28.000]  Call associated tax relief toll-free for a free consultation.
[04:28.000 --> 04:31.000]  888-209-5457.
[04:31.000 --> 04:36.000]  That's 888-209-5457.
[04:36.000 --> 04:40.000]  With increased terror threats, come worries about the use of chemical weapons.
[04:40.000 --> 04:45.000]  So says Director General of the Organization for the Prohibition of Chemical Weapons, Rogelio Furtner.
[04:45.000 --> 04:51.000]  The ease of access to dual-use chemicals and the readily available knowledge of the technologies and processes
[04:51.000 --> 04:57.000]  required to manufacture chemical weapons, making them a potential instrument of choice for terrorists.
[04:57.000 --> 05:03.000]  While the Chemical Weapons Convention, which calls for the elimination of chemical weapons, was enacted in 1997,
[05:03.000 --> 05:07.000]  some experts worry about the re-emergence of the potentially lethal weapons.
[05:07.000 --> 05:13.000]  This fear was realized last week when terrorists in Iraq detonated two bombs laced with chlorine.
[05:13.000 --> 05:19.000]  And a Virginia Beach, Virginia Catholic school principal has organized sensitivity training for students who shouted,
[05:19.000 --> 05:26.000]  We Love Jesus during a basketball game against a school with a predominantly Jewish population.
[05:26.000 --> 05:33.000]  There's more news on USARadio.com, Richard Curtis reporting, USA Radio Network News.
[05:33.000 --> 05:43.000]  Thank you for watching.
[06:03.000 --> 06:08.000]  I know where we can get some more information.
[06:33.000 --> 06:40.000]  Prepare yourself for a talk radio.
[06:40.000 --> 06:45.000]  He stands for truth.
[06:45.000 --> 06:48.000]  He stands for justice.
[06:48.000 --> 06:51.000]  He stands for what's right.
[06:51.000 --> 06:54.000]  This is the Alex Jones Show.
[06:54.000 --> 07:02.000]  Call Alex now toll free at 877-590-5525.
[07:02.000 --> 07:06.000]  Now live from Austin, Texas.
[07:06.000 --> 07:11.000]  He is Alex Jones.
[07:11.000 --> 07:13.000]  Welcome, ladies and gentlemen.
[07:13.000 --> 07:17.000]  Welcome. Thank you so much for joining us on this Sunday afternoon, Sunday evening,
[07:17.000 --> 07:25.000]  depending on your time zone as we syndicate out across the United States via ABC Star Guide.
[07:25.000 --> 07:30.000]  Coming to you from the studios of News Radio 590, K.L.B.J. here in Austin, Texas.
[07:30.000 --> 07:34.000]  All of our affiliates, sponsors, listeners, and of course the good Lord above,
[07:34.000 --> 07:39.000]  and of course the great folks in there making the show possible right now, Trey and Paul.
[07:39.000 --> 07:42.000]  Okay.
[07:42.000 --> 07:44.000]  I'm not tooting my own horn.
[07:44.000 --> 07:46.000]  With great power comes great responsibility.
[07:46.000 --> 07:52.000]  But we break major news reports every single week, sometimes every single day.
[07:52.000 --> 07:59.000]  But it's been a year or so since we've really brought you something this big and broken something this big.
[07:59.000 --> 08:04.000]  If you type into Google News, the number one news service now in the world, number one for traffic,
[08:04.000 --> 08:08.000]  that's Google and Click News and type in Oklahoma City bombing or Oklahoma bombing.
[08:08.000 --> 08:17.000]  The first four links at least this morning and last night are articles from prisonplanet.com and infowars.com.
[08:17.000 --> 08:25.000]  Under them are reports out of the Salt Lake City Tribune and out of the desert news.
[08:25.000 --> 08:28.000]  Reports like this are scary.
[08:28.000 --> 08:32.000]  I don't like having to bring this information to you.
[08:32.000 --> 08:39.000]  But we're going to be pretty much exclusively in the first hour into the second hour talking about the Oklahoma City bombing,
[08:39.000 --> 08:49.000]  which was an inside job perpetrated by members of Bill Clinton's Justice Department to bring the United States closer to the New World Order police state.
