[00:00:00.009 --> 00:00:00.990]  We're good.
[00:00:33.638 --> 00:00:35.060]  Folks, this is Webb Pierce.
[00:00:35.060 --> 00:00:40.285]  Now, speaking of gas for your car, well, you know, gas is gas anywhere you get it.
[00:00:40.285 --> 00:00:45.430]  What you're looking for is quick service and all those little extras that go with it.
[00:00:45.430 --> 00:00:50.375]  Now, my buddy here, he knows just where you can go to get that type of service.
[00:00:50.375 --> 00:00:51.636]  Go ahead, good buddy.
[00:00:51.636 --> 00:00:52.377]  Let a man on it.
[00:00:58.283 --> 00:01:15.085]  Well, I just popped over the old state line My headlights focused on a welcome sign When hiding in the bushes there waiting for me Was a big policeman with a capital P Shouting, look out stranger, you're heading for danger There's a welcome sign ahead
[00:01:16.543 --> 00:01:19.565]  He dragged me off to the old town square.
[00:01:19.565 --> 00:01:22.547]  The justice of the peace are waiting for his share.
[00:01:22.547 --> 00:01:25.550]  He said, look here boy, you better slow down.
[00:01:25.550 --> 00:01:28.292]  In a heap of trouble in this one horse town.
[00:01:28.292 --> 00:01:31.354]  So look out stranger, you're heading for danger.
[00:01:31.354 --> 00:01:35.096]  There's a welcome sign ahead.
[00:01:35.096 --> 00:01:38.679]  I've got to go drag him off the interstate socket to him, J.P.
[00:01:38.679 --> 00:01:38.779]  Blue.
[00:01:41.667 --> 00:01:47.933]  Yeah, welcome in the evening, sock them when they're leaving blues.
[00:01:47.933 --> 00:01:53.399]  The kangaroo court is the last resort on a low-down, shakedown cruise.
[00:01:53.399 --> 00:01:56.622]  Got them, drag them off the interstate, sock it to them J.P.
[00:01:56.622 --> 00:01:56.862]  Blues.
[00:01:58.884 --> 00:02:01.746]  You better pray to me and you better lick my boots!
[00:02:01.746 --> 00:02:04.428]  I'm an officer and you're a lowly civilian!
[00:02:04.428 --> 00:02:05.949]  Go ahead!
[00:02:05.949 --> 00:02:22.682]  A woman gettin' mugged in the heart of town Yells for the cops but there's none around The down on the interstate settin' a trap A-huntin' for a live one to skin and wrap So look out stranger, you're headin' for danger There's a welcome sign ahead
[00:02:23.862 --> 00:02:30.224]  When a sign says, welcome to God's country, Don't you got competition from a slick J.P.?
[00:02:30.224 --> 00:02:36.026]  Fuzzy old buzzards are filling their craws, With highway robbery in the name of the law.
[00:02:36.026 --> 00:02:42.668]  So look out stranger, you're heading for danger, There's a welcome sign ahead.
[00:02:42.668 --> 00:02:46.289]  I've got those drag them off the interstate, Sock it to them J.P.
[00:02:46.289 --> 00:02:46.469]  blues.
[00:02:49.292 --> 00:02:55.617]  Yeah, welcome in the evening, sock them when they're leaving blues.
[00:02:55.617 --> 00:03:01.001]  A kangaroo court is the last resort on a low-down, shakedown cruise.
[00:03:01.001 --> 00:03:04.283]  Cut them, drag them off the interstate, sock it to them, J.P.
[00:03:04.283 --> 00:03:06.665]  Blue.
[00:03:06.665 --> 00:03:10.248]  Cut them, drag them off the interstate, sock it to them, J.P.
[00:03:10.248 --> 00:03:10.488]  Blue.
[00:03:15.772 --> 00:03:16.353]  Lick em!
[00:03:16.353 --> 00:03:17.034]  Lick the boot!
[00:03:17.034 --> 00:03:17.935]  Here, here!
[00:03:17.935 --> 00:03:22.139]  Now I want you to lick em that way, and lick em this way!
[00:03:22.139 --> 00:03:26.584]  You learn, you scum, you civilian trash!
[00:03:26.584 --> 00:03:33.031]  Well, that's quite a remix with that old, uh, what, Curliss country music song.
[00:03:33.031 --> 00:03:33.352]  Up on...
[00:03:34.486 --> 00:03:40.168]  Infowars.com and PrisonPlanet.com posted over the weekend big news developments.
[00:03:40.168 --> 00:03:45.269]  9-11 conspiracy connection to DC madam murder.
[00:03:45.269 --> 00:03:53.432]  Palfrey told former NSA official that call girls had picked up information concerning foreknowledge of attacks.
[00:03:53.432 --> 00:03:59.154]  Yeah, with the fuzzy old buzzards filling their craws bragging late night to the girls.
[00:04:00.177 --> 00:04:02.459]  Running their little operation there.
[00:04:02.459 --> 00:04:14.728]  We'll be going over that, and yes, people asking me why on earth, how on earth, did I get on television, Fox News of all places, with Geraldo Rivera.
[00:04:14.728 --> 00:04:15.969]  I'll tell you about that as well.
[00:04:15.969 --> 00:04:16.870]  Then we got a bunch of other
[00:04:17.628 --> 00:04:20.751]  Just absolutely out of control news today.
