[00:00.000 --> 00:02.000]  We've got it
[00:07.400 --> 00:09.400]  Waging war on corruption
[00:09.400 --> 00:38.400]  Even though I knew that the globalist were accelerating their plan for a total global takeover via engineered collapse, it's one thing to know it intellectually as I've said many times.
[00:38.400 --> 00:42.400]  It is another thing entirely to be witnessing it unfold.
[00:42.400 --> 00:48.400]  We are seeing just the beginnings of that accelerated collapse taking place right now.
[00:48.400 --> 01:06.400]  Really only one thing that can change this peacefully and that is a awakening across the board a paradigm shattering understanding by people on the so-called left and right that the larger system is rigged.
[01:06.400 --> 01:25.400]  And people have to become aware of how the social engineers are manipulating us playing us off against each other so that we're busy fighting mindlessly over diversionary issues while the real decisions are being made by the technocrats.
[01:25.400 --> 01:38.400]  Now on this sixth day of July 2014, we're really going to focus for most of the broadcast about the collapse of the US border. That's a big deal.
[01:38.400 --> 01:49.400]  And it is a high crime in misdemeanor. It is the president not faithfully executing his oath to protect the country's border.
[01:49.400 --> 01:56.400]  And this is the exact type of thing that we saw begin the impeachment of Richard Millhouse Nixon.
[01:56.400 --> 02:06.400]  So we're going to be discussing all of this and more today. Now, Kit Daniels, one of our great reporters at infowars.com is out of town visiting family.
[02:06.400 --> 02:18.400]  He's not in Austin where this broadcast comes to you from. He's out in the country with his folks, but he's going to drive into town where he can get cell signal at the start of the next hour and do a few segments with us.
[02:18.400 --> 02:38.400]  Because late last week we got a letter in the mail here at the offices from the Department of the Air Force from the head general of the 502nd Air Base Wing that covers a bunch of bases in San Antonio saying that they're basically looking at federal prison for Kit Daniels.
[02:38.400 --> 02:53.400]  Who said I'm here for an anti Pelosi press conference and I'm here to try to ask her questions and they also got some footage of the facility within the facility holding the illegal alien kids for a cost of 250 bucks a day.
[02:53.400 --> 03:06.400]  And they're saying that they they will arrest him if he ever comes back and that they're basically looking at coming after him feds threatened journalists with prison of a report on illegal immigration.
[03:06.400 --> 03:17.400]  Now this broke last Friday only drudgereport.com picked it up just giving credit where credits are due. It's pretty big news when they threaten journalists already last week.
[03:17.400 --> 03:35.400]  Guys I forgot it. Will you print it for me already last week back last Monday. A member of Congress we will we learn for three weeks have been trying to get into the same base and others and a federal judge ruled no you can't go on the base to see what's going on.
[03:35.400 --> 03:52.400]  This isn't like some secret base with nukes when Kit Daniels went on the base they were at it was open because they had a graduation going on there separately just a separate area fenced off with the illegals is off limits but a congressman has been barred access to any of it.
[03:52.400 --> 04:08.400]  So again congressman barred from the facility as well. This illustrates how controlled the system is and another story that we broke that that no one covered but drudge was finally picked up by the New York Times.
[04:08.400 --> 04:28.400]  And by a bunch of other publications like the daily caller border meltdown this is three weeks after we broke it border meltdown Obama delivering 290,000 illegals to the US homes and they admit they put them on buses at the border and then just deliver them to wherever they want to be dropped off.
[04:28.400 --> 04:45.400]  We broke that back on June 16th drudge carried it on the 17th and 18th and we'll give you that headline if you want to go look it up and watch the video and I'm just showing how controlled this is the New York Times reported on July 3rd.
[04:45.400 --> 04:59.400]  I'm at influx of migrants Obama is to skip border visit in Texas trip. Our story was caught red handed border patrol paying to ship illegals deep into US and broke that it was going to their families who are illegal aliens themselves stay with us.
[04:59.400 --> 05:17.400]  The police are shoving people shoving Alex shoving the crowd whether it's the radio show the news websites documentary films or the nightly news info wars is the tip of the spear.
[05:17.400 --> 05:30.400]  It's up to us to set brush fires in the minds of men and women everywhere and that's what prisonplanet.tv is designed to do.
[05:30.400 --> 05:38.400]  You watch the Assad regime is going to be blamed or accused of using chemical weapons against the so called rebels.
[05:38.400 --> 05:51.400]  What we see now is a war against reality. It's a war against the truth. It's more vital than ever that supporters of freedom become members of prisonplanet.tv and share their membership with up to 11 friends and family.
[05:51.400 --> 06:10.400]  Visit info wars news dot com today become a member share your membership and help take the info war to the next level.
[06:10.400 --> 06:39.400]  It is only fitting that a free screen should sound the alarm against those who would destroy freedom or in its part to deceive and inflame or enlighten and inspire the motion picture as no equal.
[06:39.400 --> 06:55.400]  Ladies and gentlemen I am Alex Jones your host thank you very much for joining us on this Sunday worldwide transmission the sixth day of July 2014 again I'm your host Alex Jones.
[06:55.400 --> 07:03.400]  We have the news websites prisonplanet.com because our planet by the technocrats is being turned into a prison planet.
[07:03.400 --> 07:16.400]  Then of course we have info wars dot com the very tip of the spear worldwide in unabashedly wearing our bias of telling the truth and defending freedom on our sleeve.
[07:16.400 --> 07:30.400]  You know I'm going to be as calm as I can today and I say that often and rarely or am able to do it but I'm going to try my best today because I've got to get to the big picture and then drill down into each facet of it.
[07:30.400 --> 07:38.400]  In an attempt to try to raise the alarm for people out there about how serious a situation we're in.
[07:38.400 --> 07:52.400]  And then if we don't get past the political correctness with a political brainwashing that we are under in this country it is over.
[07:52.400 --> 08:04.400]  And of course I'm talking about the fact that for the last three months according to the president of the border patrol union and the vice president who we've interviewed both of them.
[08:04.400 --> 08:19.400]  Obama has ordered a completely illegal unlawful tyrannical autocratic opening of the border from Southern California to Texas the entire 2,200 mile piece of land.
[08:19.400 --> 08:37.400]  Now again it's not like Switzerland borders us a failed collapsed country that has had over 100 plus thousand people killed in just the last seven eight years literally cannot even field an Olympic team.
[08:37.400 --> 08:46.400]  And even the highly controlled tourist areas are now not safe to go to and the State Department has to admit you shouldn't go anywhere in Mexico.
[08:46.400 --> 08:54.400]  And Mexico has opened its southern border in the last three months in a conservative effort with the White House and that's all come out by the way.
[08:54.400 --> 09:01.400]  But it's not in the big national newspapers but it's confirmed we're going to be going over it has opened its border with Guatemala.
[09:01.400 --> 09:14.400]  Probably one of the most dangerous countries in the world and one of the few countries in this hemisphere more dangerous long term than Mexico.
[09:14.400 --> 09:22.400]  Ladies and gentlemen, so Central America, South America are now open right through Mexico.
[09:22.400 --> 09:42.400]  And the fact that Obama has been by fiat legalizing all these different illegals when they get here and putting them on welfare as new Democratic voters is only an incentive obviously to bring even larger waves in and this could completely collapse the southwest.
[09:42.400 --> 09:48.400]  And then there'll be an emergency the federal government can use to basically militarize everything.
[09:48.400 --> 09:53.400]  They have another word for it. It's called martial law.
[09:53.400 --> 09:56.400]  This is a false flag. This is a staged crisis.
