[00:00:41.343 --> 00:00:43.825]  I rarely get goosebumps.
[00:00:43.825 --> 00:00:54.013]  I rarely get chills up and down my spine, but I tell you, I'm getting them every few minutes now because the world is at such an incredible crossroads right now.
[00:00:54.013 --> 00:01:06.704]  We have two very special guests coming up on the transmission today, I'll tell you about a little bit later, but I also want to open the phones up for listeners to give their comments on just the state of the world,
[00:01:07.878 --> 00:01:28.026]  The huge adverse reactions to the COVID-19 vaccines, the deaths around the world, and all the other facts surrounding this that show how at every level, it is the greatest fraud, the greatest scam, the greatest hoax that this planet has ever seen.
[00:01:28.026 --> 00:01:31.708]  And you know what Hitler said, you're gonna tell a lie, you're gonna tell it so big,
[00:01:33.459 --> 00:01:38.162]  I get so many people to buy into it that no one will want to admit they were conned later.
[00:01:38.162 --> 00:01:40.684]  You know, that's the rest of the story.
[00:01:40.684 --> 00:01:44.907]  You always hear the Hitler quote of, if you're going to tell a lie, it's got to be giant.
[00:01:44.907 --> 00:01:45.807]  The bigger the lie, the better.
[00:01:45.807 --> 00:01:50.811]  But it's actually Joseph Goebbels writing about advice he'd given Hitler.
[00:01:50.811 --> 00:01:54.253]  And he explained that you need to get people to buy into a giant lie.
[00:01:54.253 --> 00:01:57.935]  And once they buy into it, they won't want to admit that they've been conned.
[00:01:57.935 --> 00:02:01.858]  They'll be stubborn and double down on it.
[00:02:01.858 --> 00:02:02.939]  And you could say that
[00:02:04.209 --> 00:02:06.390]  That was a uniquely German stubbornness.
[00:02:06.390 --> 00:02:08.471]  Germans are known for that.
[00:02:08.471 --> 00:02:10.572]  But I think it's something that's in all peoples.
[00:02:10.572 --> 00:02:17.276]  In fact, the Germans have had some of the most oppressive COVID-19 global government lockdowns, but they've also had some of the stiffest resistance.
[00:02:17.276 --> 00:02:30.262]  There's a new video out of a member of a state parliament in Germany, who's a medical doctor, who says, I've called around to hospitals and they have no COVID patients.
[00:02:30.262 --> 00:02:33.204]  But I showed you yesterday from the CDC's own numbers that Austin
[00:02:34.502 --> 00:02:47.467]  Has 9% of its beds allotted for COVID, filled with COVID, but the mayor just announced nighttime curfews because the hospitals are full.
[00:02:47.467 --> 00:02:53.649]  But I can go to the CDC's own site and show you how many COVID patients they've got at one time.
[00:02:53.649 --> 00:03:02.393]  I said 77, excuse me, when I actually went to the number, it was 75, the number had changed, who are actually in intensive care with COVID right now.
[00:03:04.542 --> 00:03:07.663]  And the studies are there that you should not intubate someone that has COVID.
[00:03:07.663 --> 00:03:09.824]  It's an autoimmune response normally.
[00:03:09.824 --> 00:03:12.265]  They need steroids.
[00:03:12.265 --> 00:03:14.226]  But they're not getting that.
[00:03:14.226 --> 00:03:17.727]  And that leads us to this next nightmare report that illustrates everything.
[00:03:17.727 --> 00:03:26.731]  Congressman Luke Letlow, Congressman-elect, tested positive for COVID.
[00:03:26.731 --> 00:03:28.751]  96% of the tests were false.
