[00:01.000 --> 00:05.000]  You're listening to the Alex Jones show.
[00:14.000 --> 00:18.000]  The Matrix is everywhere. It is all around us.
[00:18.000 --> 00:22.000]  Even now, in this very room, you can see it when you look out your window,
[00:22.000 --> 00:24.000]  or when you turn on your television.
[00:24.000 --> 00:27.000]  You can feel it when you go to work,
[00:27.000 --> 00:31.000]  or when you go to church, when you pay your tax.
[00:31.000 --> 00:36.000]  It is the world that has been pulled over your eyes to blind you from the truth.
[00:36.000 --> 00:41.000]  That you are a slave, like everyone else you were born into bondage,
[00:41.000 --> 00:45.000]  born into a prison that you cannot smell or taste or touch,
[00:45.000 --> 00:48.000]  a prison for your mind.
[00:48.000 --> 00:57.000]  The Alex Jones show, because there is a war on for your mind.
[00:57.000 --> 01:02.000]  We lost Jim Mars last week, we lost Choice Rally, and now we've lost John DeCamp.
[01:02.000 --> 01:06.000]  We've exposed one of the biggest pedophile networks in the world. Here's the report.
[01:06.000 --> 01:11.000]  Former Nebraska State Senator John DeCamp passed away recently,
[01:11.000 --> 01:16.000]  leaving behind a heroic legacy of efforts intended on exposing the child sex slave networks
[01:16.000 --> 01:21.000]  operating throughout the United States that led to the highest and most powerful offices
[01:21.000 --> 01:23.000]  in the United States government.
[01:23.000 --> 01:26.000]  Tell us about the convictions that have happened.
[01:26.000 --> 01:30.000]  Tell us about Larry King briefly, and then whatever you can remember.
[01:30.000 --> 01:35.000]  I have a judgment against Larry King for a million dollars.
[01:35.000 --> 01:40.000]  The same trial that I was the first one in the whole United States
[01:40.000 --> 01:48.000]  to sue the Catholic Church and some priests was a case I won the million dollar judgment.
[01:48.000 --> 01:56.000]  But they dismissed the Catholic Church because they said this is just absurd
[01:56.000 --> 01:59.000]  to accuse these priests of this.
[01:59.000 --> 02:02.000]  That's right, you were one of the first in the, I mean, how many?
[02:02.000 --> 02:05.000]  I was the first. The first case in the United States,
[02:05.000 --> 02:12.000]  I ended up winning a million dollar judgment after trial and then trial just separately on the damages.
[02:12.000 --> 02:20.000]  And I wonder if one a million fell actually a million, 200,000 for the kid who was just one of the kids.
[02:20.000 --> 02:25.000]  But sir, specifically Larry King, the guy that's sung the Star Spangled Banner
[02:25.000 --> 02:30.000]  at the Republican National Convention, Republican Pimp, he went to jail too.
[02:30.000 --> 02:38.000]  Oh yeah, yeah, but then he got out after a couple years because you still had the cover-up going big time in Nebraska.
[02:38.000 --> 02:42.000]  That's when I wrote the book and just said, you know, same old thing,
[02:42.000 --> 02:51.000]  but people in very high places from judges to police chiefs to others who are participating in the use of these children.
[02:51.000 --> 02:55.000]  Larry King was a very evil person who stole money, was involved in child abuse,
[02:55.000 --> 03:00.000]  Satanism and all these other things. That's what this book documents. He was an evil person.
[03:00.000 --> 03:05.000]  He had a lot of other people connected with him. He did not act alone.
[03:05.000 --> 03:14.000]  He was protected and his little time he's going to spend in prison is probably nothing more than a respite.
[03:14.000 --> 03:19.000]  And I'm sure he's going to be well taken care of when he comes out.
[03:19.000 --> 03:23.000]  Larry King was merely a functionary of a lot of other people doing a lot of bad things.
[03:23.000 --> 03:28.000]  The horror to Camp Investigated continues unabated to this very day,
[03:28.000 --> 03:37.000]  although local police task forces under the Trump administration have been making arrests regardless of the mainstream media's silence on the issue.
[03:37.000 --> 03:45.000]  Of course, the very bureaucracy, namely child protective services, continues to be a portion of the problem rather than the solution.
[03:45.000 --> 03:54.000]  According to the adoption and foster care analysis and reporting system, there are roughly 415,000 children in foster care.
[03:54.000 --> 04:00.000]  At least 75% of those children are there simply due to poverty rather than reported abuse.
[04:00.000 --> 04:09.000]  But it is horror like what happened to a young girl in Arizona that calls out for something to be done immediately to protect these children
[04:09.000 --> 04:12.000]  and a major overhaul of CPS to be undertaken.
[04:12.000 --> 04:20.000]  Beginning in Arizona, a lawsuit filed in Arizona recounts how a two-year-old victim was taken from her mother who had not abused her
[04:20.000 --> 04:27.000]  and placed her into a pornographic pedophile ring that eventually led to the victim nearly being burned to death.
[04:27.000 --> 04:30.000]  An innocent child right here in America.
[04:30.000 --> 04:41.000]  And under Senator John McCain's nose, this dubious foster care system in Arizona rose by 80% while the rest of the country declined by 22%.
[04:41.000 --> 04:49.000]  What's more, the foster care system is a revolving door into, in some cases, the abused becoming the abusers
[04:49.000 --> 04:54.000]  and those abusers becoming yet another statistic of incarceration.
[04:54.000 --> 05:00.000]  The system is broken. John Baum reporting for Infowars.com.
