[00:00:30.203 --> 00:00:31.624]  It's Sunday Live.
[00:00:31.624 --> 00:00:32.924]  I am your host Alex Jones.
[00:00:32.924 --> 00:00:40.747]  We're broadcasting worldwide from the embattled Infowars News Centers in Austin, Texas.
[00:00:40.747 --> 00:00:43.468]  It is June 27th.
[00:00:43.468 --> 00:00:44.228]  The year is 2021.
[00:00:44.228 --> 00:00:48.229]  We have some really big guests today.
[00:00:48.229 --> 00:00:54.612]  We have Mike Lindell on the latest with all of the election fraud that's coming out, and I've seen the evidence.
[00:00:54.612 --> 00:00:55.832]  It's massive.
[00:00:55.832 --> 00:00:58.213]  He's going to be joining us in the second hour.
[00:00:59.051 --> 00:01:02.752]  The media attacks him because he is so optimistic.
[00:01:02.752 --> 00:01:07.014]  But if you're not optimistic when you have the truth, then they're going to be able to gaslight everybody.
[00:01:07.014 --> 00:01:09.455]  They're not understanding what a fraud Joe Biden is.
[00:01:09.455 --> 00:01:15.197]  But even a lot of mainline leftists that I personally know are starting to panic.
[00:01:15.197 --> 00:01:19.978]  Joe Rogan's gone from being a Democrat basically now being a nationalist populist Republican.
[00:01:19.978 --> 00:01:21.619]  It's awakened him.
[00:01:21.619 --> 00:01:27.681]  You've got Bill Maher coming out and saying Google and big tech are invested in the
[00:01:28.490 --> 00:01:32.834]  COVID lie, and they're involved in the cover up, and they shouldn't be doing that.
[00:01:32.834 --> 00:01:34.375]  It's criminal.
[00:01:34.375 --> 00:01:38.078]  And so again, the wheels are really, really starting to come off.
[00:01:38.078 --> 00:01:49.607]  Also, we told you here a month ago, because Roger Stone used to live in New York, but he just sold his apartment there last year, because they've been bankrupting him with all these criminal charges and the rest of it.
[00:01:49.607 --> 00:01:51.449]  And he has Democrat sources in the city.
[00:01:51.449 --> 00:01:54.291]  And they said, we're intending to indict Trump
[00:01:55.009 --> 00:01:58.450]  At least members of his family, by July 4th.
[00:01:58.450 --> 00:02:09.795]  That was a month ago, now CNN's reporting, and the Democrats are saying that they're planning to indict his company, which is unheard of, before July 4th.
[00:02:09.795 --> 00:02:13.676]  And Rogers talked to the people, they say it's happening.
[00:02:13.676 --> 00:02:14.537]  It's just insane.
[00:02:14.537 --> 00:02:22.340]  I mean, the government spent 47 million dollars trying to find something, the feds did, they couldn't find it, but Rogers got the inside scoop.
[00:02:24.079 --> 00:02:34.826]  He's going to be joining us coming up at the bottom of the hour, and then Lyndell is on in the second hour.
[00:02:34.826 --> 00:02:38.729]  I want to show TV viewers a couple of things here that really say it all.
[00:02:38.729 --> 00:02:42.211]  One of the producers gave me this, and it touched my heart because it's so true.
[00:02:42.211 --> 00:02:47.335]  Many are the plans in a man's heart, but it is the Lord's purpose that prevails, Proverbs
[00:02:48.873 --> 00:02:49.193]  21.
[00:02:49.193 --> 00:02:55.275]  And then this really funny little piece that a friend sent me that I guess is from Twitter.
[00:02:55.275 --> 00:02:57.276]  And you really should go there and I guess find the HD version.
[00:02:57.276 --> 00:02:59.277]  We can put it on screen, but there it is.
[00:02:59.277 --> 00:03:00.937]  And it's a wolf.
[00:03:00.937 --> 00:03:01.598]  It's a wolf.
[00:03:01.598 --> 00:03:03.258]  If you're a radio listener, I'll narrate it.
[00:03:03.258 --> 00:03:07.040]  It's a wolf, you know, in the woods, the frozen landscape.
[00:03:07.040 --> 00:03:09.440]  And he says, humans at a campfire.
[00:03:09.440 --> 00:03:11.241]  It's cold and I'm starving.
[00:03:11.241 --> 00:03:14.842]  Maybe I should ask for some scraps.
[00:03:14.842 --> 00:03:16.643]  What's the worst thing that could happen?
[00:03:18.132 --> 00:03:33.237]  10,000 years later, you've got a very cute pug wearing a birthday cake hat on top of its head, completely domesticated, totally and absolutely enslaved by the nanny state, a shadow of its former self.
[00:03:33.237 --> 00:03:43.020]  And I really think Arctopoli, I'm going to reverse engineer this or make our own t-shirt version of this meme shirt, because this really says everything.
[00:03:43.020 --> 00:03:46.941]  Humanity's choice, ladies and gentlemen, that is
[00:03:47.971 --> 00:03:49.432]  Where we are right now.
[00:03:49.432 --> 00:03:53.115]  This is really, this is really humanity's choice.
[00:03:53.115 --> 00:04:04.562]  And this whole velvet octopus that is the New World Order is sucking all of our energy, all of our will, all of our male and female energy.
[00:04:04.562 --> 00:04:07.684]  And not trying to domesticate us so we can be a lap dog.
[00:04:07.684 --> 00:04:12.066]  Domesticating us so we can be phased out from the face of the earth.
[00:04:12.066 --> 00:04:13.948]  I've got a lot of huge articles dealing with that.
[00:04:13.948 --> 00:04:15.769]  We're going to be laying out here today.
[00:04:17.592 --> 00:04:19.592]  Right away when we come back, because we have two big guests.
[00:04:19.592 --> 00:04:22.673]  I need to hit a lot in the first 30 minutes or so.
[00:04:22.673 --> 00:04:27.854]  We have the London Guardian and others saying it's time to empty out half the Earth's population.
[00:04:27.854 --> 00:04:31.694]  You have all these declarations of transhumanist war on the family.
[00:04:31.694 --> 00:04:33.355]  They're now out in the open.
[00:04:33.355 --> 00:04:37.795]  It is all coming up on this live Sunday show.
[00:04:37.795 --> 00:04:46.737]  Oh, and the big headline for the live show that I have on InfoWars.com is CDC admits COVID-19 vaccine does not work.
[00:04:47.324 --> 00:04:55.470]  They're now saying, so's the UN, put your masks back on, permanent lockdown forever, because it's all about bankrupting us and taking control of us.
[00:04:55.470 --> 00:04:58.133]  You could never make a vaccine for the common cold.
[00:04:58.133 --> 00:05:03.036]  It's all a criminal fraud.
[00:05:03.036 --> 00:05:08.541]  The globalists are having their revolution, but free humanity has to have its revolution.
[00:05:08.541 --> 00:05:13.485]  We have to first recognize this anti-human takeovers trying to
[00:05:14.591 --> 00:05:25.754]  Enslave the entire biological processes of humans and turn us into these artificial, corporate, controlled slaves.
[00:05:25.754 --> 00:05:26.514]  Worse than slaves.
[00:05:26.514 --> 00:05:30.555]  They're just property from cradle to grave of the system.
[00:05:30.555 --> 00:05:37.377]  Rendered down to be servile minions of the system in a ritual of dominance and satanic control.
[00:05:38.095 --> 00:05:48.142]  We have to recognize the great reset post-industrial world that realizes a nightmare dystopia and we have to promote liberty and freedom that is the opposite of their dystopia.
[00:05:48.142 --> 00:05:48.823]  It's that choice.
[00:05:48.823 --> 00:05:52.305]  It's that realization that's going to change the world.
[00:05:52.305 --> 00:05:54.506]  And it's the only choice we've got.
[00:05:54.506 --> 00:05:55.287]  Freedom or slavery.
[00:05:55.287 --> 00:05:56.768]  Good or evil.
[00:05:56.768 --> 00:05:58.089]  It is a spiritual battle.
[00:05:58.089 --> 00:06:03.593]  And M4 is at the tip of the spear fighting it.
[00:06:03.593 --> 00:06:05.314]  Big Brother.
[00:06:05.314 --> 00:06:06.455]  Mainstream Media.
[00:06:07.595 --> 00:06:09.415]  Government cover-ups.
[00:06:09.415 --> 00:06:11.456]  You want to stop tyranny?
[00:06:11.456 --> 00:06:13.616]  Well, so does he.
[00:06:13.616 --> 00:06:29.839]  Live from the InfoWars.com studios, it's Alex Jones.
[00:06:29.839 --> 00:06:30.860]  Welcome, my friends.
[00:06:30.860 --> 00:06:32.820]  Welcome to this live June 27th
[00:06:35.253 --> 00:06:36.494]  I'm your host Alex Jones.
[00:06:36.494 --> 00:06:42.337]  We've got big breaking news on the looming attempts to indict President Trump and his family.
[00:06:42.337 --> 00:06:48.942]  We told you about a month ago that they were planning to launch in New York City by July 4th.
[00:06:48.942 --> 00:06:56.426]  Now CNN says the plan is to have the Trump Organization indicted, very rare operation, by July 4th.
[00:06:56.426 --> 00:06:59.008]  We have sources inside the enemy camp.
[00:06:59.008 --> 00:07:03.811]  Roger Stone will be joining us at the bottom of the hour and then Mike Lindell to help
[00:07:04.620 --> 00:07:10.447]  Break down the massive evidence of fraud pouring out of the Arizona audit and so much more.
[00:07:10.447 --> 00:07:14.952]  President Trump more and more saying he can be reinstated, saying that Biden's an imposter.
[00:07:14.952 --> 00:07:20.999]  You've got Al Gore and you've got Mitt Romney and all of them on TV scared, saying it's white supremism.
[00:07:20.999 --> 00:07:22.741]  What does that have to do with
[00:07:23.722 --> 00:07:25.182]  The election being stolen.
[00:07:25.182 --> 00:07:30.144]  If we go find evidence of it, just throwing that out there, they are really getting desperate.
[00:07:30.144 --> 00:07:33.405]  So that's coming up on this live Sunday edition.
[00:07:33.405 --> 00:07:36.586]  And Owen Schroyer comes in with the new Sunday live show.
[00:07:36.586 --> 00:07:37.226]  It's very proper.
[00:07:37.226 --> 00:07:39.767]  We've been doing now for about six months.
[00:07:39.767 --> 00:07:41.507]  It's crazy how time flies.
[00:07:41.507 --> 00:07:43.087]  And that is 6 to 8 p.m.
[00:07:43.087 --> 00:07:45.048]  Central, right after this transmission.
[00:07:45.048 --> 00:07:46.729]  Again, I'm Alex Jones, your host.
[00:07:46.729 --> 00:07:50.109]  But let's get this first right now.
[00:07:50.109 --> 00:07:51.850]  The wheels have completely come off.
[00:07:52.483 --> 00:07:54.504]  The COVID-19 fraud.
[00:07:54.504 --> 00:07:59.026]  Why did they never have a vaccine for just the basic common cold?
[00:07:59.026 --> 00:08:01.688]  The coronavirus is the main cause of the common cold.
[00:08:01.688 --> 00:08:07.871]  If you're debilitated on the right amount of vitamins and minerals, it will go in, it will replicate, and you will get sick.
[00:08:07.871 --> 00:08:08.591]  That's known science.
[00:08:09.841 --> 00:08:13.083]  Well, because there's too many variants of it.
[00:08:13.083 --> 00:08:15.404]  There's hundreds of thousands a year.
[00:08:15.404 --> 00:08:16.084]  There's millions.
