[00:00.000 --> 00:04.000]  Forgive me, I have scammed.
[00:04.000 --> 00:08.000]  The government wants you to view them as God.
[00:08.000 --> 00:13.000]  To do that, they attempt to reproduce the very attributes of God.
[00:13.000 --> 00:19.000]  God, Bermont, wants you to see it as omniscient, knowing everything about you.
[00:19.000 --> 00:23.000]  Omnipresent, its constant presence on the media.
[00:23.000 --> 00:27.000]  Cameras watching you everywhere, on your phone, on your computer.
[00:27.000 --> 00:32.000]  And as omnipotent, presenting itself as all-powerful and irresistible.
[00:32.000 --> 00:37.000]  This is why the police are becoming increasingly brutal and publicly hitting away with it.
[00:37.000 --> 00:42.000]  This is the fog for what I would liken to specter in these global corporations to just take over.
[00:42.000 --> 00:46.000]  Yeah, that's right. And what it really does is it gives them all that power.
[00:46.000 --> 00:54.000]  Having all that knowledge, then they now know how or who they have to deal with in their societies to be able to control the outcomes.
[00:54.000 --> 01:01.000]  That's really what I've been saying for several years, is that their whole idea is population control.
[01:01.000 --> 01:06.000]  And in order to do that, you have to have knowledge about the population, and that's what this is giving them.
[01:06.000 --> 01:10.000]  A security clearance even be able to function and have a job, even in the private sector.
[01:10.000 --> 01:14.000]  I mean, this is beyond Hitler's best dreams, isn't it, sir?
[01:14.000 --> 01:18.000]  Oh, it's well beyond Orwells in 1984, too.
[01:18.000 --> 01:27.000]  I mean, it's getting into not only the things that you're doing and who you're working with and who you do those things with, but also what you're thinking.
[01:27.000 --> 01:30.000]  And that's really where this is heading.
[01:30.000 --> 01:39.000]  And then openly blackmailing you to submit and do everything you're told, or they will lower your social score so you can't operate in society and can't travel.
[01:39.000 --> 01:44.000]  Yeah, and if they can't get to you, they'll get to somebody you care about, just like the KGB did.
[01:44.000 --> 01:53.000]  On December 1st, 2016, the SPI state will slip a Fourth Amendment violating procedure into the federal rules of criminal procedure.
[01:53.000 --> 01:55.000]  Notice the term procedure.
[01:55.000 --> 02:04.000]  According to an article released by the Electronic Frontier Foundation back in April, the amendment to Rule 41 isn't procedural at all.
[02:04.000 --> 02:10.000]  It creates new avenues for government hacking that were never approved by Congress.
[02:10.000 --> 02:17.000]  The proposal would grant a judge the ability to issue a warrant to remotely access search, seize, or copy data
[02:17.000 --> 02:24.000]  when the district where the media or information is located has been concealed through technological means
[02:24.000 --> 02:32.000]  or when the media are on protected computers that have been damaged without authorization and are located in five or more districts.
[02:32.000 --> 02:39.000]  It would grant this authority to any judge in any district where activities related to the crime may have occurred.
[02:39.000 --> 02:47.000]  The first part of this change would grant authority to practically any judge to issue a search warrant to remotely access, seize, or copy data
[02:47.000 --> 02:54.000]  relevant to a crime when a computer was using privacy-protective tools to safeguard one's location.
[02:54.000 --> 03:01.000]  All of those using a VPN service or even those denying GPS location of their devices through a map app, for example,
[03:01.000 --> 03:06.000]  are subject to being implicated by the little-known procedural amendment.
[03:06.000 --> 03:14.000]  And while the federal hackers are hacking your device or computer with malware, malicious hackers with far better experience
[03:14.000 --> 03:21.000]  hacking botnet devices will be hacking the federal government, causing any and all of your private data to be exposed
[03:21.000 --> 03:28.000]  simply because you were exercising your right to privacy, which is apparently a crime now.
[03:28.000 --> 03:31.000]  And all of it done with zero public debate.
[03:31.000 --> 03:41.000]  Two and a half weeks ago it was discovered that there were 17 cell towers in the southwest, the southeast actually, that were faked cell towers.
[03:41.000 --> 03:50.000]  They were, rather than transmitting phone calls directly to who you were talking to, they were planting software on the devices that you were using to connect.
[03:50.000 --> 03:53.000]  You don't have to actually put a cell tower beside the road or on top of the mountain.
[03:53.000 --> 03:59.000]  You can put it in the back of your car and put an antenna on the top of your car and be anywhere.
[03:59.000 --> 04:02.000]  And they look and sound exactly like real cell towers.
[04:02.000 --> 04:07.000]  These devices are manufactured by the Harris Corporation, and they're the only company that manufactures them.
[04:07.000 --> 04:15.000]  And they have a contract with all of their customers saying that the customer cannot talk about where they bought the equipment from
[04:15.000 --> 04:17.000]  or the fact that they own this equipment.
[04:17.000 --> 04:22.000]  Google was founded by the CIA and NSA on record 14 years ago.
[04:22.000 --> 04:25.000]  Apple is really a CIA front.
[04:25.000 --> 04:29.000]  Microsoft is pre-CIA. It's an IBM front that actually created the CIA.
[04:29.000 --> 04:31.000]  You might want to look into that.
[04:31.000 --> 04:33.000]  Who set up IBM? What its goal was?
[04:33.000 --> 04:38.000]  World domination, master race, eugenics.
[04:38.000 --> 04:41.000]  IBM was probably the main funder of Hitler.
[04:41.000 --> 04:44.000]  If you're a new listener, that sounds crazy. Just please look it up.
[04:44.000 --> 04:56.000]  John Bound for Infowars.com
[05:14.000 --> 05:16.000]  Please leave now.
[05:16.000 --> 05:19.000]  Let's take all the good people out of there because there's some good ones down there.
[05:19.000 --> 05:26.000]  And then we'll just dump the rest of Portland and New York and Miami and Austin and all the liberal hellholes.
[05:26.000 --> 05:33.000]  And we'll just dump them all in California and we'll even help break away the land and push you guys out into the ocean.
[05:33.000 --> 05:34.000]  That'd be even better.
[05:34.000 --> 05:36.000]  You don't even have to have borders because guess what?
[05:36.000 --> 05:41.000]  Nobody's going to want to go there because that sounds like hell on earth.
[05:41.000 --> 05:49.000]  Now facing Donald Trump's imminent interest in the Oval Office, the once outlandish idea of succession doesn't seem so crazy anymore to some Californians.
[05:49.000 --> 06:18.000]  Doesn't sound crazy to me either. See you later. This has been Joe Biggs with Infowars.com.
[06:19.000 --> 06:26.000]  The new PPX system provides an endless supply of off-the-grid electricity, basically creating your own private power grid anywhere in the world.
[06:26.000 --> 06:29.000]  A true innovation. I have never seen anything like this.
[06:29.000 --> 06:33.000]  You're going to want to load up on these. One for your truck, your wife's car, your house, cabin.
[06:33.000 --> 06:37.000]  It's even a great Christmas idea if you've got a friend who wants to get off the grid.
[06:37.000 --> 06:43.000]  Go to privatepowergrid.com. That's privatepowergrid.com and check this out. Buy one right now.
[06:43.000 --> 06:50.000]  Use coupon code private at checkout and get a second one free on with $300 in free off-the-grid bonuses.
[06:50.000 --> 06:56.000]  Check it out. Privatepowergrid.com. Limited one for household. Privatepowergrid.com.
[06:56.000 --> 07:04.000]  I am very proud to announce the introduction of the highest quality Infowars biome defense probiotic.
[07:04.000 --> 07:18.000]  We wanted to come out with the largest spectrum of high quality known probiotics that have been proven to improve overall digestion and health and detoxification in the body.
[07:18.000 --> 07:30.000]  Biome defense is an exclusive blend of 50 billion live and active cultures from over 23 different probiotic strains that are known to support digestion and intestinal function.
[07:30.000 --> 07:37.000]  Our researchers are confident that we have been able to develop what will be the leading probiotic on the market.
[07:37.000 --> 07:46.000]  Secure your biome defense in ultra strength or regular strength at infowarslife.com today and get started supporting your digestive system naturally.
[07:46.000 --> 07:52.000]  We've been testing this formula for years, but this is the limited first run to the public, so please take advantage of it today.
[07:52.000 --> 08:02.000]  Support your own health and support the Infowar.
[08:22.000 --> 08:27.000]  We're only 50 days out from the inauguration of Donald Trump.
[08:27.000 --> 08:32.000]  And as I warned everyone weeks ago, the Democrats and the globalists are not giving up.
[08:32.000 --> 08:35.000]  These people have overthrown countless nations.
[08:35.000 --> 08:48.000]  These corporate combines openly fund the most radical forms of Islam to butcher and murder millions of people during the Arab Spring across the Middle East and across Africa.
[08:48.000 --> 08:51.000]  They're not playing games. They're not giving up easy.
[08:51.000 --> 08:57.000]  We have to realize they are savage military enemies of this country and of free people everywhere.
[08:57.000 --> 09:11.000]  We have to harden ourselves against them and realize these are our sworn absolute enemies that want to make us poor and break us and abort our children and poison our food and our water with their GMOs and fluoride.
[09:11.000 --> 09:15.000]  You understand they hate you and your family.
[09:15.000 --> 09:22.000]  The minute you start realizing that is the minute you turn the corner. They are globalists.
[09:22.000 --> 09:28.000]  What do you think? You think they just stop at wars? Look at all their occult garbage.
[09:28.000 --> 09:35.000]  Look at all the pedophilia worldwide at the tops of these organizations. We're dealing with devils.
[09:35.000 --> 09:43.000]  And they've got all their useful idiots out there who watch mainstream TV and believe it's their right to ignore the people's vote.
[09:43.000 --> 10:01.000]  It's okay to vote and then have what you do stolen by the political party just like we saw the arrogance of George Will in the Washington Post saying we're going to ignore the majority vote for Donald Trump in the primaries
[10:01.000 --> 10:10.000]  because we don't listen to a mere plurality of the people or a majority. We listen to the sovereigns of the party, the sovereigns.
[10:10.000 --> 10:29.000]  These people believe they're royalty, gods over us. And they run the gamut from mercenaries to arrogant pieces of tyrannical filth like George Will to the true evil that's above them that feeds on their fellow humans in a predatory fashion.
[10:29.000 --> 10:41.000]  So now I have a clip where Paul Watson breaks down the fact that they've got electors lined up ready to vote against Trump. And I can confirm this report.
[10:41.000 --> 10:51.000]  I was told over a week ago that they had 15 of the electors ready to jump ship and perhaps more.
[10:51.000 --> 11:01.000]  Now they get 40-something folks, bye-bye Donald Trump. Now you're going to say, well, he's elected. They'll never get away with it. It'll cause a civil war.
[11:01.000 --> 11:15.000]  That's what they want to do. They've got their people hopped up and whacked out of their brains all because Donald Trump wants to try to cut taxes and has brought carrier air conditioning back and has brought Ford back and is about to bring Apple back.
[11:15.000 --> 11:26.000]  They want to be screwed. They want to be hurt. They want to be losers. They have mass Stockholm syndrome, learn helplessness. They worship the tyranny. They enjoy it.
[11:26.000 --> 11:37.000]  They have no lives. They have no future. But they associate their personal power, their entire identity with MSNBC, with CNN.
[11:37.000 --> 11:46.000]  Now they are a minority of people, dumbed down fools, manipulated from birth. They can be black. They can be white. They can be Hispanic. They can be Asian.
[11:46.000 --> 11:56.000]  What they are is fad-driven idiots who believe that it's a cool idea to give them the bandwagon to try to block Donald Trump at any level.
[11:56.000 --> 12:03.000]  And they're going to do it at every front because, listen, the globalists almost had the United States destroyed. They almost had the UK destroyed.
[12:03.000 --> 12:12.000]  They're continuing their program of impoverishing populations by design. The EU's own documents have been released decades ago.
[12:12.000 --> 12:22.000]  This is their plan. This is their program. They almost had us where they wanted us. The spider had almost gotten us completely tied up in its web so it could finally then have its meal.
[12:22.000 --> 12:42.000]  But America is now in its death battle, is now in a death struggle, and so is the UK and others, against this scourge that weakens our society, that weakens our cultures, that dumbes us down, that nerve-gasses us with the psychic propaganda that spews out of the television set.
[12:42.000 --> 12:59.000]  And I'm telling you, you have to realize these are not just dupes at the high level doing this. They all, at the highest levels, consciously understand what they're doing and believe through sheer force of demonic will that it's their right to rule over us.
[12:59.000 --> 13:07.000]  Now, Paul Watson has another very powerful piece we'll air after this, and we'll go back to David Knight dealing with Jill Stein as a complete idiot.
[13:07.000 --> 13:14.000]  And that's a viral term he uses to spread the video. But look, Jill Stein knows exactly what she's doing consciously.
[13:14.000 --> 13:24.000]  And Hillary keeps playing possum, and her lawyer comes out and says, don't be part of the recount. Meanwhile, she's got her ground troops in Michigan and other states launching the recount.
[13:24.000 --> 13:47.000]  So they're trying to disrupt things, they're trying to create some numbers in states that he won, to look like he may have stolen something, to add legitimacy to these electors, which they've already organized when they make their announcement that, oh, because it looks like the voters in question, we're now swinging against Trump and for Hillary.
[13:47.000 --> 13:58.000]  But they were already organizing day one to pull the electors from the electoral college before they went and started the recounts that haven't even begun in most of these states.
[13:58.000 --> 14:17.000]  So it's on folks, understand this, this is serious, this is real, and they've been business to bare minimum destabilize the country further, and George Soros has got his proxy armies of Black Lives Matter, the jihadis, and others like the communists, activated and rolling out and ready.
[14:17.000 --> 14:26.000]  And the mainstream media, just like they backed the Europe Spring and Anderson Cooper, said how great it was, will praise them as they burn cities to the ground.
[14:26.000 --> 14:32.000]  Look, we've got Trump elected so far, but he's not an office yet, and there's many battles yet to come.
[14:32.000 --> 14:42.000]  But his sin is that he's not out to get America. His sin is that he wants Americanism, non-globalism, and that's why this is such an incredible and amazing time to be alive.
[14:42.000 --> 14:52.000]  But it's time to get focused, it's time to get angry, and it's time to spread the word of the information war like you never have, not just spreading our videos, not just spreading our articles,
[14:52.000 --> 15:04.000]  but also on the ground with posters and micro FM and calling in the talk shows and calling in the C-SPAN and marching and going on and engaging these anti-Trump people,
[15:04.000 --> 15:13.000]  and really lovingly, but very focused, getting in their face and saying, break your conditioning fool, because most of them have only gone off the peer pressure of mainstream media,
[15:13.000 --> 15:24.000]  and most of them you can take out of the trance very, very quickly, but we've got to get engaged even more now, the battle for the republic and the planet has just begun.
[15:24.000 --> 15:33.000]  And remember, none of this is our opinions, we've proven it completely, we're on target, we're the patriots that are defending America, we're the ones that have been proven right,
[15:33.000 --> 15:38.000]  we're the people that should have everyone's respect, and that means all of you that have spread the word for decades.
[15:38.000 --> 15:45.000]  You are amazing what you've done, bucking the globalist when it was early on, when everybody was against you, going against the peer pressure,
[15:45.000 --> 15:51.000]  having the will, the historical understanding, and the guts to do what's right, I salute everyone of you.
[15:51.000 --> 15:54.000]  Now here they are, back to back, Paul Watson's reports.
[15:54.000 --> 16:15.000]  In a sensational new development, TV host David Pakman says he was told by a high level source that 15 electors in states that Trump won will refuse to vote for Donald Trump.
[16:15.000 --> 16:31.000]  This is something that, if true, is absolutely huge, and what my source told me is that there is a coalition of at least 15 electors, electoral voters, electors,
[16:31.000 --> 16:40.000]  Trump electors, who have decided that they are not going to cast their electoral votes for Donald Trump on December 19th.
[16:40.000 --> 16:47.000]  Pakman went on to say that the electors are lobbying other members of the Electoral College to not vote for Trump.
[16:47.000 --> 16:54.000]  The goal is to prevent Trump from getting the 270 electoral votes he requires to become president.
[16:54.000 --> 17:04.000]  If Trump loses 37 electoral votes, it will put him under the 270 benchmark and throw America into a constitutional crisis.
[17:04.000 --> 17:15.000]  One elector in Texas has already resigned saying he will refuse to cast his electoral vote for Trump because he doesn't consider the president-elect biblically qualified to work in the White House.
