[00:00.000 --> 00:18.000]  Infowars, tomorrow's news, today.
[00:30.000 --> 00:46.000]  It's Thursday, November 11th, 2021.
[00:46.000 --> 00:49.000]  I'm your host, Alex Jones, live in studio.
[00:49.000 --> 00:51.000]  I'm very blessed and honored to be here.
[00:51.000 --> 00:56.000]  Well, every time I think I've seen something so unbelievable
[00:56.000 --> 01:04.000]  that it can't be topped by the globalist worldwide medical tyranny depopulation rollout,
[01:04.000 --> 01:09.000]  the New World Order just does something even more insane.
[01:09.000 --> 01:17.000]  And then by the time that's even covered, something even more horrible unfolds.
[01:17.000 --> 01:27.000]  Yesterday, at about 4.30, I was going to go home early and spend time with my young daughter, wife.
[01:27.000 --> 01:35.000]  And I went in my office and hit refresh on infowars.com.
[01:35.000 --> 01:39.000]  And there was a big article with this headline,
[01:39.000 --> 01:46.000]  FDA document show Pfizer's secretly added heart attack drug to children's COVID vaccines.
[01:46.000 --> 01:51.000]  So then I spent an hour, at least, going through and going to the FDA's own website
[01:51.000 --> 01:59.000]  and indeed seeing that this has now been announced 10 days before and it got no coverage.
[01:59.000 --> 02:04.000]  Alex Jones didn't know about it for 10 days.
[02:04.000 --> 02:09.000]  And I sent the documents off to other prominent talk show hosts, they hadn't heard of it.
[02:09.000 --> 02:15.000]  That's how high level the censor is because they're worse than medical doctors and scientists in news sites
[02:15.000 --> 02:18.000]  that did report on it eight days ago.
[02:18.000 --> 02:21.000]  It broke 12 days ago.
[02:21.000 --> 02:23.000]  That is just so incredible.
[02:23.000 --> 02:30.000]  I mean, ladies and gentlemen, do you realize how illegal that is?
[02:30.000 --> 02:35.000]  It's one thing to have them say, oh, they've approved an experimental shot.
[02:35.000 --> 02:37.000]  And that, of course, was illegal.
[02:37.000 --> 02:45.000]  Now they add a very strong heart attack drug that you give somebody once they've had a heart attack
[02:45.000 --> 02:53.000]  to stabilize the heart that has horrible side effects and is extremely strong and extremely toxic.
[02:53.000 --> 02:59.000]  And so then I had a couple more hours research and it turned out that Rob Dude knew about this six days ago.
[02:59.000 --> 03:01.000]  I'm not mad at Rob.
[03:01.000 --> 03:07.000]  We're so punch-drunk to this evil that, oh, they added a heart attack drug secretly to the shot and didn't tell anybody.
[03:07.000 --> 03:10.000]  And now they just buried it in an FDA announcement.
[03:10.000 --> 03:16.000]  And 12 days later, Alex Jones doesn't know about it or 11 days later last night.
[03:16.000 --> 03:19.000]  I mean, we could talk for the next four hours just about that.
[03:19.000 --> 03:23.000]  And I've got stuff just as horrible, just as crazy.
[03:23.000 --> 03:28.000]  Australia has now announced that they're going to declare martial law around Christmas
[03:28.000 --> 03:31.000]  and anyone that doesn't take injections is locked in their house.
[03:31.000 --> 03:33.000]  And they say, then if you go bankrupt, that's fine.
[03:33.000 --> 03:34.000]  You're going to be put in a camp.
[03:34.000 --> 03:35.000]  That's been announced.
[03:35.000 --> 03:39.000]  I have mainstream news here, reporting it like it's a good thing.
[03:39.000 --> 03:46.000]  Associated Press, Australian leaders says lockdown for unvaccinated is likely.
[03:46.000 --> 03:48.000]  They say, we're going to make it very uncomfortable for you.
[03:48.000 --> 03:50.000]  We're going to take your house.
[03:50.000 --> 03:55.000]  And then it gets crazier because do you know what just happened last night?
[03:55.000 --> 04:03.000]  The fourth European country in a week banned the Moderna shot in under 30s because of the massive heart attack
[04:03.000 --> 04:07.000]  and myocarditis issues and blood clots.
[04:07.000 --> 04:11.000]  At least a 15-fold increase.
[04:11.000 --> 04:14.000]  I had to watch them on CNN last night trying to spend it.
[04:14.000 --> 04:15.000]  I saw the clip this morning.
[04:15.000 --> 04:18.000]  It was Anderson Cooper like, well, that's not that common.
[04:18.000 --> 04:22.000]  I mean, it's 15 times increase.
[04:22.000 --> 04:25.000]  And so now Germany has banned it.
[04:25.000 --> 04:29.000]  And a bunch of countries have banned the Pfizer too, India, China, you name it.
[04:29.000 --> 04:34.000]  So they're trying to give and are giving five-year-olds, evil brainwashed parents are running out as well,
[04:34.000 --> 04:39.000]  and injecting their five-year-olds with something that embraces their immune system
[04:39.000 --> 04:44.000]  and can give them cancer, blood clots and heart attacks.
