[00:00:11.713 --> 00:00:12.834]  Well, here we are.
[00:00:33.544 --> 00:00:34.925]  Monday, February 19th, 2018.
[00:00:34.925 --> 00:00:37.007]  This is the Alex Jones Show.
[00:00:37.007 --> 00:00:39.469]  Standing in for Alex today, I'm Owen Troyer.
[00:00:39.469 --> 00:00:43.592]  And we will be hearing from Alex shortly on the other side of this break.
[00:00:43.592 --> 00:00:47.676]  Now, every time a shooting like this happens, they want to talk about guns.
[00:00:47.676 --> 00:00:50.778]  Like, that's the only issue at hand here.
[00:00:50.778 --> 00:00:54.702]  Even though there are numerous other issues at hand here, such as mental health.
[00:00:55.546 --> 00:00:57.628]  Big pharmaceutical drugs, etc.
[00:00:57.628 --> 00:01:00.250]  But this always turns into a political football after this.
[00:01:00.250 --> 00:01:03.573]  Darren McBreen put together this video montage explaining just that.
[00:01:03.573 --> 00:01:10.320]  Today the 18th school shooting in the past 45 days happened in Parkland, Florida, leaving 17 people dead.
[00:01:10.320 --> 00:01:12.962]  This year there have already been 18 school shootings.
[00:01:12.962 --> 00:01:15.665]  Those 18 school shootings so far this year, shocking.
[00:01:15.665 --> 00:01:16.846]  There's a group called Everytown.
[00:01:16.846 --> 00:01:18.307]  Everytown is a gun control group.
[00:01:18.307 --> 00:01:21.270]  And Everytown said that there were 18 school shootings in the month of January.
[00:01:21.690 --> 00:01:24.654]  Now you may be wondering, why didn't I hear about those school shootings every single day?
[00:01:24.654 --> 00:01:27.177]  The answer is because there were not 18 school shootings in the month of January.
[00:01:27.177 --> 00:01:28.359]  There were more like three.
[00:01:28.359 --> 00:01:32.023]  Eight now fatal school shootings we had in this country this year.
[00:01:32.023 --> 00:01:33.885]  Children are being murdered.
[00:01:33.885 --> 00:01:35.968]  We cannot accept this.
[00:01:35.968 --> 00:01:36.969]  I can't do a wolf.
[00:01:36.969 --> 00:01:37.890]  I'm sorry.
[00:01:37.890 --> 00:01:38.671]  We can't do it.
[00:01:39.312 --> 00:01:42.814]  President Trump, you say, what can you do?
[00:01:42.814 --> 00:01:46.477]  You can stop the guns from getting into these children's hands!
[00:01:46.477 --> 00:01:57.143]  We are committed to working with state and local leaders to help secure our schools and tackle the difficult issue of mental health.
[00:01:57.143 --> 00:02:04.388]  Well, I'm just struck by the emptiness, the hypocrisy,
[00:02:07.006 --> 00:02:12.787]  Of Donald Trump's words, we will do anything to protect you.
[00:02:12.787 --> 00:02:14.087]  Do you feel safe tonight?
[00:02:14.087 --> 00:02:22.389]  That vital conversation has been drowned out and made impossible by mindless screeching about gun control, led by blustery charlatans in the media.
[00:02:22.389 --> 00:02:23.489]  You know exactly who they are.
[00:02:23.489 --> 00:02:24.870]  Hey, go to Google!
[00:02:24.870 --> 00:02:26.150]  They're lying to you!
