[00:00.000 --> 00:10.000]  Live from Austin, Texas. Broadcasting Worldwide. It's Alex Jones.
[00:31.000 --> 00:40.000]  Ladies and gentlemen, it is the 22nd day of December 2013.
[00:40.000 --> 00:53.000]  And it's on days like this here on the Sunday edition that I have had a day to only work a little bit on news and geopolitical developments
[00:53.000 --> 01:04.000]  in the state of our world and have had a little bit of time to spend some moments with the family and reflect that I think we do probably even a better radio broadcast
[01:04.000 --> 01:10.000]  than on average I do weekdays, noon to 3 p.m. Eastern.
[01:10.000 --> 01:18.000]  Over the years, obviously, I'm 40 years old now, I've had a lot of family come and go, friends and family die, seen family die in the hospital,
[01:18.000 --> 01:23.000]  been there holding friends and family's hands when they die.
[01:23.000 --> 01:28.000]  And it never makes it easier.
[01:28.000 --> 01:33.000]  And when I open the phones up later, I don't want people to call them with sympathy because people are going through this stuff all over.
[01:33.000 --> 01:39.000]  One of our crew members, grandfather, just had a heart attack and is in bad shape. We need to pray for him.
[01:39.000 --> 01:48.000]  But my uncle, who I'm so close to and who anybody in the family knew more about the New World Order and everything else because he was a helicopter pilot in Vietnam
[01:48.000 --> 01:53.000]  and then worked and did things in Central America and other places.
[01:53.000 --> 01:59.000]  He is in really bad shape from this mystery illness, which they've tested him.
[01:59.000 --> 02:04.000]  They're not saying it's flu, they can't find out what it is in his lungs.
[02:04.000 --> 02:09.000]  Well, you guys print me that Reuters article that I mentioned on Friday.
[02:09.000 --> 02:16.000]  I forgot to get that where it talks about a superbug infects half of chicken and how you get this stuff.
[02:16.000 --> 02:18.000]  It basically kills you.
[02:18.000 --> 02:24.000]  And I'm not saying that's what it is, even though that's a microplasm, you know, microscopic bacteria.
[02:24.000 --> 02:28.000]  It's a microscopic bacteria compared to a regular bacteria.
[02:28.000 --> 02:30.000]  But that's what they think it is.
[02:30.000 --> 02:35.000]  And I knew the media because it's killing people all over the U.S. I know quite a few people that have died from it.
[02:35.000 --> 02:40.000]  And son of my crew, New Jersey, Texas, California, you name it.
[02:40.000 --> 02:43.000]  And of course, there's finally news articles a month into this.
[02:43.000 --> 02:51.000]  We're calling it a mystery almost three weeks ago and going on for a month that I've known about it killed my cousin, my uncle's son.
[02:51.000 --> 02:52.000]  He took care of him.
[02:52.000 --> 02:53.000]  That's where he got it.
[02:53.000 --> 02:57.000]  They didn't know it killed him either.
[02:57.000 --> 03:02.000]  And now they're reporting it in the Houston news and other things as a mystery illness.
[03:02.000 --> 03:08.000]  And then I said, watch, they're going to call it the flu because they've done this before where they say this person died of the flu, that person died of the flu.
[03:08.000 --> 03:13.000]  And I'm not saying the flu can't kill you, but a lot of times they will hype it up and it turns out it's something else.
[03:13.000 --> 03:18.000]  And they'll say, oh, child that died, died of complications from surgery, not from flu.
[03:18.000 --> 03:21.000]  And sure enough, they're calling this the flu.
[03:21.000 --> 03:25.000]  But then when you actually call the hospitals, I've done this trying to find out what this is.
[03:25.000 --> 03:28.000]  They go, no, we think it might have been a flu, but we can't prove that.
[03:28.000 --> 03:30.000]  Well, don't you have a test for the flu virus?
[03:30.000 --> 03:33.000]  Yes, inconclusive or didn't find it.
[03:33.000 --> 03:36.000]  And the point is hundreds of thousands died.
[03:36.000 --> 03:38.000]  Conservatively, it's 200,000.
[03:38.000 --> 03:49.000]  It varies 230, 180 something thousand died from flesh eating bacteria, staff infections, things like that, the different types of bacteria.
[03:49.000 --> 03:52.000]  But it's not a big hyped issue.
[03:52.000 --> 03:55.000]  Flu, they say, kills 35,000 a year.
[03:55.000 --> 03:58.000]  But mainly the infirm folks that already had complications.
[03:58.000 --> 04:00.000]  And that's a big deal still.
[04:00.000 --> 04:10.000]  And I would take the flu vaccine if they ever properly guessed which flu it was going to be the next year.
[04:10.000 --> 04:11.000]  I believe in inoculation.
[04:11.000 --> 04:13.000]  I know it's a real science.
[04:13.000 --> 04:19.000]  The problem is that these are corrupt companies that have been caught doing all these horrible things.
[04:19.000 --> 04:23.000]  And then lie and say, oh, get the flu shot will protect you when they admit you can look this up.
[04:23.000 --> 04:25.000]  It's never protected anyone.
[04:25.000 --> 04:28.000]  They've never guessed the right group of strains.
[04:28.000 --> 04:30.000]  And then they've got all the studies.
[04:30.000 --> 04:32.000]  In fact, I didn't do free research on this.
[04:32.000 --> 04:37.000]  I've done a ton of research in the past, but refresher research to pull up the actual news articles.
[04:37.000 --> 04:44.000]  But you can type in taking H1N1 vaccine doubles chances of getting regular flu and stuff like that.
[04:44.000 --> 04:45.000]  It lowers your immune system.
[04:45.000 --> 04:47.000]  And that's what we know.
[04:47.000 --> 04:52.000]  So it's just like antibiotics are great, but the over prescription of them is created superbugs.
[04:52.000 --> 04:54.000]  And so it's the same thing.
[04:54.000 --> 05:23.000]  We'll be right back. Stay with us.
[05:24.000 --> 05:27.000]  100% organic coffee at infowarslife.com.
[05:27.000 --> 05:34.000]  This coffee gives you a long, smooth pick me up for hours without the headaches and heartburn that so many other coffees give me personally.
[05:34.000 --> 05:36.000]  Hands down, this is my favorite coffee.
[05:36.000 --> 05:41.000]  And it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[05:41.000 --> 05:46.000]  Dropped by the site today, order a bag or two, and I don't think you're going to be disappointed.
[05:46.000 --> 05:49.000]  Available in original or with our immune support infusion blend.
[05:49.000 --> 05:58.000]  You will be supporting a free press all the while enjoying a truly great tasting cup of my favorite coffee available at infowarslife.com.
[05:58.000 --> 06:23.000]  In the councils of government, we must guard against the acquisition of unwanted influence, whether sought or unsought, by the military industrial commonwealths.
[06:23.000 --> 06:28.000]  President Kennedy has been seriously wounded by this shooting.
[06:28.000 --> 06:35.000]  It is a big idea. A new order.
[06:35.000 --> 06:42.000]  It was almost as if it were planned in motion. It's just pancakes.
[06:42.000 --> 06:59.000]  Either you were with us, or you were with the terrorists.
[06:59.000 --> 07:09.000]  I also believe a lot of gun owners would agree that AK-47s belong in the hands of soldiers, not in the hands of criminals.
[07:09.000 --> 07:18.000]  For many of the police and guard troops, it is an uncomfortable job to do this in an American city.
[07:18.000 --> 07:22.000]  Global governance at last. Is it one world? The central bank is in charge.
[07:22.000 --> 07:26.000]  But aren't we all just living and dying for what the central banks do?
[07:26.000 --> 07:32.000]  And for me, give me liberty or give me death!
[07:32.000 --> 07:38.000]  Live from the Infowars.com studios, it's Alex Jones.
[07:38.000 --> 07:47.000]  Ladies and gentlemen, it is the 22nd day already of December 2013.
[07:47.000 --> 07:53.000]  One more Sunday broadcast, and then we'll be into 2014.
[07:53.000 --> 07:58.000]  And this has been an incredible year. We'll obviously be doing broadcasts throughout the weekday show.
[07:58.000 --> 08:03.000]  And in the next Sunday and the Monday after that, eight days from now.
[08:03.000 --> 08:09.000]  Talking about 2013, looking ahead into 2014. It's been an amazing year for global awakening.
[08:09.000 --> 08:12.000]  About the nature of reality and geopolitical systems.
[08:12.000 --> 08:22.000]  It's also been a year of growing tyranny and growing oppression and growing fraud and basic corruption.
[08:22.000 --> 08:25.000]  Naked corruption parading around in front of everyone.
[08:25.000 --> 08:28.000]  I think that's one reason people are waking up so fast.
[08:28.000 --> 08:35.000]  It's a year that my radio show to a great extent has become passe.
[08:35.000 --> 08:42.000]  The White House put a report out this week because they'll report on what they're doing and what their controllers are doing
[08:42.000 --> 08:47.000]  to try to fool their constituents that there's some type of true liberals
[08:47.000 --> 08:51.000]  when they're actually authoritarians along with the Republican leadership.
[08:51.000 --> 08:57.000]  A bunch of bloodthirsty control freak autocrats who want to extinguish every form of individualism
[08:57.000 --> 09:04.000]  because they see it as something that stands against their hegemonic monopoly of control.
[09:04.000 --> 09:12.000]  But the White House came out, big national news, that they're reining in the NSA with their blue ribbon committee
[09:12.000 --> 09:19.000]  by certain corporations have access to the NSA data and are using it against their competition.
[09:19.000 --> 09:21.000]  Told you that's the main thing the NSA does.
[09:21.000 --> 09:27.000]  And they go, well, American interest, yeah, the people running our country really care about American interest.
[09:27.000 --> 09:31.000]  And then, oh, they're spying on Israel and other governments.
[09:31.000 --> 09:36.000]  Oh, this is so illegal. No, it's not.
[09:36.000 --> 09:44.000]  If there's going to be spying, the government spies on other countries that could be a threat to this nation.
[09:44.000 --> 09:48.000]  Like Russia, China, Israel, England, everybody else.
[09:48.000 --> 09:53.000]  I love how the media is like the biggest, dirtiest thing is we're spying on Germany.
[09:53.000 --> 10:03.000]  Oh, my God, folks, the truth is they put it all in one big echelon Anglo-American pool.
[10:03.000 --> 10:08.000]  When I say that, they call it the, the globalists call it the Anglo-American power alliance.
[10:08.000 --> 10:15.000]  Australia, New Zealand, I'm going from the, going from the Pacific over Japan.
[10:15.000 --> 10:22.000]  Some of the Asian countries in the Far East, right through to Eastern Europe.
[10:22.000 --> 10:28.000]  A few Middle Eastern countries, Jordan, Israel, right through into Eastern Europe, right into Western Europe.
[10:28.000 --> 10:34.000]  That's partially Anglo-American power access, but they play both sides with the Russian and Chinese power access.
[10:34.000 --> 10:42.000]  Right into the main source of the Anglo-American model, Britannia, all beyond the United Kingdom.
[10:42.000 --> 10:51.000]  Airstrip 1, the heart of the New World Order, into England's reconquered Laban's Frow, North America.
[10:51.000 --> 10:59.000]  And it is the main global monopolar empire is the Anglo-American establishment.
[10:59.000 --> 11:03.000]  And they are vying with Russia, they've almost taken down.
[11:03.000 --> 11:09.000]  And then communist China that they built up to de-industrialize and conquer the middle class in the West.
[11:09.000 --> 11:18.000]  They're, they're playing a double dual game using the a billion Chinese plus slaves to leverage out the West and bankrupt the system in a so-called free trade deal.
[11:18.000 --> 11:27.000]  It's not free trade with slaves and suicide nets and robots replacing the humans and Foxconn Apple slave complexes.
[11:27.000 --> 11:31.000]  And they've almost got their program in place.
[11:31.000 --> 11:38.000]  And then they're going to double cross the Chinese, double cross the Ruskies, who as bad as the Russian government is, they pay people to have kids.
[11:38.000 --> 11:45.000]  They admit eugenics. They admit a homosexual agenda to depopulate and source U.S. and globalist programs.
[11:45.000 --> 11:51.000]  You watch Russian TV, it's like the New World Order power structure is adding cancer viruses to the vaccine.
[11:51.000 --> 11:56.000]  Our scientists have found the proton, zikron, you know, microplasm, you know, blah, blah, blah.
[11:56.000 --> 11:59.000]  I mean, it's just unbelievable.
[11:59.000 --> 12:04.000]  And it's only because the Russians have gone from 200 million to 100 something million, they're all dying.
[12:04.000 --> 12:11.000]  They're all under chemical and bio attack. They were run by the communists that our banks put in power in 1917.
[12:11.000 --> 12:16.000]  And they admit that all over Russian TV. That's why it looks like Putin's a good guy. He's not a good guy.
[12:16.000 --> 12:23.000]  He's a strong man, but he's actually trying to build up the country under total New World Order attack.
[12:23.000 --> 12:27.000]  And don't worry, Russia's probably going to fall to the New World Order.
[12:27.000 --> 12:32.000]  The New World Order is too scientific, too focused, too wicked.
[12:32.000 --> 12:36.000]  And the Communist Chinese have totally bought into the whole deal.
[12:36.000 --> 12:45.000]  I just can't believe it. It's so horrible.
[12:45.000 --> 12:52.000]  I don't even know what to say about this abomination the New World Order is built, the Anglo-American New World Order.
[12:52.000 --> 13:00.000]  And again, it has nothing to do with white people. That's the old name of the alliance because the British Empire was known as the Anglo Empire.
[13:00.000 --> 13:11.000]  And then it an Anglo Dutch oil interest. And then it merged with the United States in 1922 with the establishment of the globalist Congress, the Council on Foreign Relations,
[13:11.000 --> 13:19.000]  which is the Royal Institute of International Affairs office in Pratt Street, New York.
[13:19.000 --> 13:29.000]  It's just so frustrating to see our people so dumbed down, so culturally destroyed, so even unaware of what's happening.
[13:29.000 --> 13:37.000]  And to know that we're under systematic economic warfare because the globalists are waging war against everyone, every nation state, every individual.
[13:37.000 --> 13:41.000]  They are all exempt from the law, exempt from the rules, diplomatic immunity.
[13:41.000 --> 13:49.000]  And so then everything they pass and push is meant to literally make us testitute in their own white papers as an act of total siege against humanity
[13:49.000 --> 14:07.000]  and the weakening of humanity with their psychological warfare, anti-family, anti-God, anti-liberty, anti-private property weapons systems, which have been so devastatingly effective.
[14:07.000 --> 14:14.000]  And their goal is death.
[14:14.000 --> 14:21.000]  Their goal is destruction. Their goal is raw, pure, satanic power.
[14:21.000 --> 14:37.000]  And I don't know how we'll ever face this and deal with it if people don't come to grips historically with this spirit that is in the world that manifests through governments and manifests through corporate combines.
[14:37.000 --> 14:46.000]  Now my uncle, who is one of the most dear people in my family, I love him as much as I love my mother. He's such a sweet, good, smart person.
[14:46.000 --> 14:51.000]  He is fighting for his life right now.
[14:51.000 --> 14:54.000]  And so many other people are fighting for their lives.
[14:54.000 --> 15:02.000]  Three weeks after we reported on the mystery illness, because we know it's a mystery illness because the doctors can't tell us what it is, even though they send it off to the CDC, they won't tell them.
[15:02.000 --> 15:11.000]  They believe it's a microplasm, the best hospitals in Texas, but it's killing people all over the United States.
[15:11.000 --> 15:19.000]  I mean, you'll have eight people admitted in a small hospital and six of them will die. That's on the Houston TV, you name it.
[15:19.000 --> 15:33.000]  23,000 killed by superbugs in U.S. each year. CDC says that's a whitewash, upwards of 200,000 die from infections in the different flesh-eating bacterias and strap and other things that are in the hospitals.
[15:33.000 --> 15:41.000]  So I've got some news on that because superbug Reuters reports bacteria widespread in U.S. chicken, half of the chicken in the U.S. has it.
[15:41.000 --> 15:49.000]  And if you eat it, a good chance it's going to kill you. And that's what a lot of scientists I've been talking to and doctors believe it is.
[15:49.000 --> 15:56.000]  We're going to tell you about that when we come back. And we've got U.S. sailors assisting with finishing the cleanup, crippled by cancer.
[15:56.000 --> 16:12.000]  I'm going to tell you about that.
[16:26.000 --> 16:33.000]  On record reports documented a 15-point IQ increase in areas that had previously been deficient in iodine.
[16:33.000 --> 16:42.000]  Bottom line, iodine is important. Unbound, clean, in a glycerin base, nascent iodine was the answer for myself and my family.
[16:42.000 --> 16:47.000]  You will find Survival Shield nascent iodine exclusively at InfowarsLife.com.
[16:47.000 --> 16:59.000]  InfowarsLife Survival Shield nascent iodine isn't just for emergencies. I take it every day. That's InfowarsLife.com or call toll-free 888-253-3139.
[16:59.000 --> 17:09.000]  The facts are in. The studies are legion. Sodium fluoride and other toxic members of the fluoride family are devastating the health and cognitive ability of the American people.
[17:09.000 --> 17:18.000]  So why are the social engineers adding it to the water? Simple. Dumb down the host population that the parasitic technocracy is feeding on.
[17:18.000 --> 17:24.000]  We may not have been able to get fluoride out of the water supply yet, but we can help to get it out of our bodies.
[17:24.000 --> 17:29.000]  I am extremely excited to announce the exclusive InfowarsLife fluoride shield formulation.
[17:29.000 --> 17:40.000]  Fusing six of the best documented ingredients from around the world to help the body remove not just toxic fluoride residues from the body, but a whole host of toxic substances.
[17:40.000 --> 17:45.000]  Let's take a stand against the globalist by blocking their poisons with fluoride shield.
[17:45.000 --> 17:53.000]  I use fluoride shield every day. Secure your fluoride shield and other pioneering formulations at InfowarsLife.com today.
[17:53.000 --> 17:59.000]  Let's start cleansing our bodies now and support the Infowar at the same time. That's InfowarsLife.com.
[17:59.000 --> 18:05.000]  My friends Alex Jones here to tell you about some of the most important information concerning you and your family's health.
[18:05.000 --> 18:12.000]  Radiation levels have more than doubled in the last 60 years in the Northern Hemisphere from all of the nuclear testing and radiological accidents.
[18:12.000 --> 18:18.000]  Radiolactive contamination is now in most of the food supply. There's only two ways to avoid this.
[18:18.000 --> 18:25.000]  Move south of the equator or properly protect your thyroid with nascent iodine. Looking to protect my family, I've done deep research.
[18:25.000 --> 18:31.000]  Nascent iodine is the purest, cleanest, absolute best form of iodine to protect yourself and your family.
[18:31.000 --> 18:35.000]  It's made right here in the USA completely non-GMO.
[18:35.000 --> 18:43.000]  I searched out the best quality and now have developed a double strength form of nascent iodine exclusively available at InfowarsLife.com.
[18:43.000 --> 18:49.000]  Nascent iodine is on record as one of the only safe ways to detox from fluoride poisoning.
[18:49.000 --> 18:57.000]  Survival Shield nascent iodine. Secure your super high quality nascent iodine today at InfowarsLife.com.
[18:57.000 --> 18:59.000]  That's InfowarsLife.com.
[18:59.000 --> 19:08.000]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting 100% organic coffee on the planet.
[19:08.000 --> 19:17.000]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico where the Chiapas farmers grow their unique shade-grown Arabica beans.
[19:17.000 --> 19:22.000]  We have now managed to secure these sought-after beans in a highly customized blend.
[19:22.000 --> 19:29.000]  Discover and try a bag of the Patriot Blend 100% organic coffee at InfowarsLife.com.
[19:29.000 --> 19:36.000]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[19:36.000 --> 19:43.000]  Hands down, this is my favorite coffee and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[19:43.000 --> 19:47.000]  Drop by the site today, order a bag or two and I don't think you're going to be disappointed.
[19:47.000 --> 19:51.000]  Available in original or with our immune support infusion blend.
[19:51.000 --> 19:57.000]  You will be supporting a free press all the while enjoying a truly great tasting cup of my favorite coffee.
[19:57.000 --> 20:00.000]  Available at InfowarsLife.com.
[20:00.000 --> 20:09.000]  Coast to coast, direct from Austin. You're listening to the Alex Jones Broadcasting Network.
[20:09.000 --> 20:24.000]  He aligns himself with the truth and it's time for you to choose a side. You're listening to Alex Jones.
[20:40.000 --> 20:46.000]  You know, this song by Robert Plant is one of my favorites.
[20:46.000 --> 20:54.000]  And it's a love song as he's driving for a day to see his love and having distant girlfriends.
[20:54.000 --> 20:59.000]  You know, you drive three, four hours up to see your girlfriend up in Dallas from Austin.
[20:59.000 --> 21:05.000]  I know that feeling, how it intensifies wanting to be with them.
[21:05.000 --> 21:10.000]  But I was just thinking about when I drive tomorrow or maybe even the night to be with my uncle,
[21:10.000 --> 21:16.000]  who's in critical condition and might die from this mystery illness in East Texas.
[21:16.000 --> 21:23.000]  How it's a different type of love and driving to meet someone who you've got to be with,
[21:23.000 --> 21:27.000]  who you want to be with, but you don't want to be with them.
[21:27.000 --> 21:34.000]  You don't want to see them like that on a respirator.
[21:34.000 --> 21:40.000]  You're in that song. I always think of going to see a lover driving the distance,
[21:40.000 --> 21:47.000]  building the electricity in the air instead of driving towards someone who may die.
[21:47.000 --> 21:52.000]  In fact, the doctors statistically think he probably will.
[21:52.000 --> 21:55.000]  They've seen people come back from this point.
[21:55.000 --> 21:58.000]  Not, oh, many times they come back from this point.
