[00:00:00.009 --> 00:00:01.230]  We're good.
[00:00:35.720 --> 00:00:40.604]  Hello ladies and gentlemen, hello and thank you for joining us today.
[00:00:40.604 --> 00:00:58.240]  Dr. Rima Labo and Major General Elmer Stubblebine are over in Europe at the Codex Alimentarius International Private Consortium setting world law through the already operating world government, world trade organization, IMF, World Bank, UN, NATO.
[00:00:58.240 --> 00:01:04.245]  They'll be popping in in about 30 minutes to give us a report from the Codex Alimentarius meeting.
[00:01:04.972 --> 00:01:13.882]  Then we're scheduled in about an hour and a half to have Congressman Ron Paul on with us on this July 3rd, 2008 edition.
[00:01:13.882 --> 00:01:17.806]  And then, yes, he is scheduled for more than an hour with us.
[00:01:17.806 --> 00:01:20.128]  Haven't had him on in a few years.
[00:01:20.128 --> 00:01:22.431]  It should be interesting to say the least.
[00:01:22.431 --> 00:01:24.413]  He is such a global icon.
[00:01:25.554 --> 00:01:46.887]  That he cannot be ignored and we're bringing him on the air for you and he's now running for Parliament in England in the seat where one of the Chief Tories quit a few weeks ago because saying that the government was setting up a police state and martial law in England and so David Icke is running for his place in the British Parliament.
[00:01:46.887 --> 00:01:52.771]  I thought we'd have David Icke on for you and he is scheduled to be joining us from his hotel room.
[00:01:52.771 --> 00:01:53.832]  He is on the road
[00:01:54.812 --> 00:02:01.114]  So that is coming up in two hours from now.
[00:02:01.114 --> 00:02:09.077]  We will be talking to David Icke on a host of interesting issues.
[00:02:09.077 --> 00:02:10.677]  Today is the day.
[00:02:10.677 --> 00:02:13.758]  Truth Rising will be coming out tonight.
[00:02:13.758 --> 00:02:21.621]  Now I know technically I said July 4th and that is in 12 hours on the East Coast.
[00:02:23.310 --> 00:02:36.533]  13 hours Central, 14 hours Mountain, 15 hours Pacific, but it will be coming out sometime this evening.
[00:02:36.533 --> 00:02:38.553]  I will surprise everybody.
[00:02:38.553 --> 00:02:39.713]  You'll see it go live.
[00:02:39.713 --> 00:02:46.835]  It could go live as early as four or five o'clock Central today, and that way with the CDN
[00:02:47.799 --> 00:03:11.044]  Systems we have the content distribution network systems the servers we can gauge it and make sure there's no overloading And then the majority of folks of course will hit it tonight at midnight and then throughout the next few days And we'll have people writing that and sitting on top of servers it downloads super quick I mean we had thousands of people hit endgame the minute it was put up on the web and the servers didn't even hiccup and
[00:03:12.594 --> 00:03:15.275]  And that was when we had one CDN eight months ago.
[00:03:15.275 --> 00:03:16.796]  Now we've got two big ones.
[00:03:16.796 --> 00:03:20.438]  You can download it in super high quality, download it in flash, super high quality.
[00:03:20.438 --> 00:03:24.980]  We're going to have it in DivX for you to burn right to disk.
[00:03:24.980 --> 00:03:30.502]  It's just an amazing activist tool that PrisonPlanet.TV is.
[00:03:30.502 --> 00:03:40.187]  And yes, the seed funding by you being members of PrisonPlanet.TV and getting my weekly TV reports, my in-studio interviews, special sneak peeks, behind-the-scenes footage,
[00:03:41.002 --> 00:04:09.032]  uh... the live fourth hour every day usually we do two three hours a day in studio guest all of it with prison planet dot tv so if you don't have a prison planet dot tv membership i suggest you go over right now it's five ninety five a month you can do it month to month or if you get a year membership you get three months free uh... and save what is it uh... eighteen dollars roughly it's like seventeen
[00:04:10.171 --> 00:04:10.211]  85.
[00:04:10.211 --> 00:04:13.892]  I guess we want to get technical.
[00:04:13.892 --> 00:04:20.574]  So, go on over and get your PrisonPlanet.tv membership now, and prepare for the info war.
[00:04:20.574 --> 00:04:29.456]  The 4th of July, back in 1776, the British had just blasted people who wouldn't turn their firearms in.
[00:04:29.456 --> 00:04:34.578]  And so they met together, and said, we declare independence against tyranny as free human beings.
[00:04:35.518 --> 00:04:48.146]  So, I suggest you do shoot some fireworks off and eat some barbecue, but also, how about you burn copies of Truth Rising as a true revolutionary on what the day is meant for.
[00:04:48.146 --> 00:04:49.367]  Huge news, stay with us.
[00:04:53.883 --> 00:05:07.028]  Now from the makers of Loose Change, the most downloaded film in internet history, comes the long-awaited release of Loose Change Final Cut, an entirely new two-hour film that completely destroys the official fable forever.
[00:05:07.028 --> 00:05:10.849]  Loose Change Final Cut hopes to be a catalyst for a new independent investigation.
[00:05:11.189 --> 00:05:18.074]  In which family members receive answers to their questions and the true perpetrators of this horrendous crime are brought to justice.
[00:05:18.074 --> 00:05:21.496]  Loose Change Final Cut is the ultimate 9-11 expose.
[00:05:21.496 --> 00:05:23.257]  From hijackers being trained at U.S.
[00:05:23.257 --> 00:05:29.381]  military bases to bombs in the buildings, Loose Change Final Cut is the one 9-11 film everyone must see.
[00:05:29.381 --> 00:05:36.626]  Secure your copy of Loose Change Final Cut today at InfoWars.com or PrisonPlanet.com while you're visiting the online video store.
[00:05:36.846 --> 00:05:45.013]  Be sure to check out the huge discounts on films like Endgame, Blueprint for Global Enslavement, America, Freedom to Fascism, and hundreds of other titles.
[00:05:45.013 --> 00:05:47.655]  We're in a no-holds-bar information war.
[00:05:47.655 --> 00:05:52.960]  Truth is our weapon, and PrisonPlanet.com has the tools you need to take the fight back to Big Brother.
[00:05:55.276 --> 00:06:00.918]  Are you tired of hearing that a cure for cancer is coming, but it will be available sometime in the future?
[00:06:00.918 --> 00:06:03.559]  At LaysMedInc, the future is here.
[00:06:03.559 --> 00:06:07.221]  Now it's cancer's turn to die with our patented methodology.
[00:06:07.221 --> 00:06:10.162]  Without cutting, bleeding, drugs, or damaging radiation.
[00:06:10.342 --> 00:06:18.654]  We can kill skin cancer and breast tumors of any size and many other types of cancer without adverse side effects at our outpatient facility.
[00:06:18.654 --> 00:06:22.118]  We offer a real solution using real science.
[00:06:22.118 --> 00:06:25.904]  Our unique approach to cancer treatment is what everyone has been waiting for.
[00:06:26.224 --> 00:06:29.686]  A simple, easy way to eliminate the threat of cancer.
[00:06:29.686 --> 00:06:31.948]  LASER technology at its best.
[00:06:31.948 --> 00:06:35.550]  To receive an information packet, call our treatment center at 501-255-0528.
[00:06:35.550 --> 00:06:36.310]  That's 501-255-0528.
[00:06:36.310 --> 00:06:38.832]  Or visit our website at lasmedinc.com.
[00:06:38.832 --> 00:06:40.793]  That's L-A-S-E-M-E-D-I-N-C dot com today.
[00:06:53.533 --> 00:06:58.055]  Are you fed up with all the side effects of chemicals in your shampoos and detergents?
[00:06:58.055 --> 00:07:03.158]  Even fragrances can signal some 4,000 separate ingredients, most of which are synthetic.
[00:07:03.158 --> 00:07:04.659]  Hi folks, Alex Jones here.
[00:07:04.659 --> 00:07:08.281]  Why not go back to basics and be safe with Calbin Pure Soaps?
[00:07:08.281 --> 00:07:13.684]  They're all natural and you'll save some 85% the money you're spending for your cleaning products now.
[00:07:13.684 --> 00:07:19.467]  Marty Schachter founded Calbin Soap Company in 1947 and provided products for health institutions.
[00:07:19.787 --> 00:07:22.309]  Now, Calvin Soaps are available to you and me.
[00:07:22.309 --> 00:07:24.831]  Triple concentrated for all your cleaning needs.
[00:07:24.831 --> 00:07:27.253]  From bathing and laundry to dishes, hair and more.
[00:07:27.253 --> 00:07:28.453]  No harsh chemicals.
[00:07:28.453 --> 00:07:29.654]  No animal testing.
[00:07:29.654 --> 00:07:30.995]  I use them and love them.
[00:07:30.995 --> 00:07:32.877]  Knowing they're all natural and safe.
[00:07:32.877 --> 00:07:34.278]  And I say big time.
[00:07:34.278 --> 00:07:35.539]  Call Calvin Pure Soap at 1-800-340-7091.
[00:07:35.539 --> 00:07:35.779]  That's 1-800-340-7091.
[00:07:35.779 --> 00:07:37.460]  Or log on to 5starsoap.com now for a free catalog.
[00:07:45.766 --> 00:07:48.451]  Again, that number 1-800-340-7091 or 5starsoap.com for all your cleaning needs!
[00:07:53.769 --> 00:07:58.531]  If you say no to a breathalyzer, you might just get stuck with a needle instead.
[00:07:58.531 --> 00:07:59.731]  Hello again, I'm Robert Hadler.
