whisper_model_load: loading model from 'whisper.cpp/models/ggml-large.bin'
whisper_model_load: n_vocab       = 51865
whisper_model_load: n_audio_ctx   = 1500
whisper_model_load: n_audio_state = 1280
whisper_model_load: n_audio_head  = 20
whisper_model_load: n_audio_layer = 32
whisper_model_load: n_text_ctx    = 448
whisper_model_load: n_text_state  = 1280
whisper_model_load: n_text_head   = 20
whisper_model_load: n_text_layer  = 32
whisper_model_load: n_mels        = 80
whisper_model_load: f16           = 1
whisper_model_load: type          = 5
whisper_model_load: adding 1608 extra tokens
whisper_model_load: mem_required  = 4712.00 MB
whisper_model_load: ggml ctx size = 2950.97 MB
whisper_model_load: memory size   =  304.38 MB
whisper_model_load: model size    = 2950.66 MB

system_info: n_threads = 6 / 16 | AVX = 1 | AVX2 = 1 | AVX512 = 0 | NEON = 0 | F16C = 1 | FP16_VA = 0 | WASM_SIMD = 0 | BLAS = 0 | 

main: processing './wav/20190127_Sun_Alex.wav' (115135635 samples, 7196.0 sec), 6 threads, 1 processors, lang = en, task = transcribe, timestamps = 1 ...


[00:00:00.000 --> 00:00:10.000]   [MUSIC]
[00:00:10.000 --> 00:00:15.080]   Live from the Infowars.com studios,
[00:00:15.080 --> 00:00:18.680]   you're listening to the Alex Jones Show.
[00:00:18.680 --> 00:00:28.680]   [MUSIC]
[00:00:28.680 --> 00:00:38.680]   [FOREIGN]
[00:00:38.680 --> 00:00:50.520]   >> Thank you for joining us, ladies and
[00:00:50.520 --> 00:00:55.880]   gentlemen, on this Sunday, global transmission, January 27th, 2019.
[00:00:55.880 --> 00:01:01.480]   We'll be here as we are every Sunday, 4 to 6 PM Central Standard Time.
[00:01:01.480 --> 00:01:05.600]   I thought a lot about what I'm going to say today.
[00:01:05.600 --> 00:01:09.280]   It's complex, there's a lot of different angles to it.
[00:01:09.280 --> 00:01:12.560]   And I think the best way to lay it out is just get into it, and
[00:01:12.560 --> 00:01:16.200]   then open the phones up and get your take on the situation as well.
[00:01:16.200 --> 00:01:20.080]   And that's the paradox that Trump's tried to do a lot of good things and
[00:01:20.080 --> 00:01:22.400]   has done some really good things.
[00:01:22.400 --> 00:01:23.880]   My gut tells me he's a good guy.
[00:01:25.760 --> 00:01:29.160]   And he's going to be able to declare an emergency in 21 days, and
[00:01:29.160 --> 00:01:31.000]   the Democrats will be in the wrong.
[00:01:31.000 --> 00:01:34.960]   Because they had a government shutdown, they didn't even take
[00:01:34.960 --> 00:01:38.800]   reasonable compromise because they want to hurt the economy.
[00:01:38.800 --> 00:01:40.800]   And Trump knows that.
[00:01:40.800 --> 00:01:44.320]   And so now he will then declare the emergency, or at least he should.
[00:01:44.320 --> 00:01:48.440]   But he should have done it 35 days ago before the emergency started,
[00:01:48.440 --> 00:01:51.120]   because they were already in concentrate.
[00:01:51.120 --> 00:01:54.960]   And that's just a window into the issue with Trump.
[00:01:54.960 --> 00:01:59.120]   And the fact that he's in the swamp, he's bogged down in the swamp, and
[00:01:59.120 --> 00:02:02.080]   the swamp is basically engaged in mutiny.
[00:02:02.080 --> 00:02:07.200]   So, President Trump is being prepared for
