[00:00.000 --> 00:16.000]  Infowars, tomorrow's news, today.
[00:31.000 --> 00:40.000]  If you want my actual world view, I believe that we're at war, and that this is a takedown of western civilization, if not humanity.
[00:40.000 --> 00:47.000]  So that it's an attack on us as humans against, I mean, they're coming after us, they're coming after our children, and they want us dead or sterilized.
[00:47.000 --> 00:54.000]  And we can argue that they are, but I think it's not a necessarily a nation-state war. This is a fifth-generation, uncharacteristic war.
[00:54.000 --> 01:03.000]  There's a book that, if people don't get this, they should read this book by Zhao and Wang, they're Chinese colonels, and it was written in 99, and it really talks about this.
[01:03.000 --> 01:13.000]  The idea of using everyday items that we think of as not harmful suddenly become lethal. Do you use poisons or using genetic agents?
[01:13.000 --> 01:20.000]  It's not characteristic warfare. We have a battlefield and you have an army, and we can see what's going on. Part of this is the psychological operation.
[01:20.000 --> 01:28.000]  There's clearly been a psychological operation that has gotten the American people are getting their children vaccinated with something that's totally experimental.
[01:28.000 --> 01:37.000]  That's the symptom of some psychological illness. It's Stockholm syndrome. They created this, and so I think that's my world view, is that this is not by accident.
[01:37.000 --> 01:39.000]  And they want us dead or sterilized.
[01:39.000 --> 01:51.000]  25, 14, 10, 11, 12, 4, Charlotte, Florida, and I don't have children in school here. I have seven nieces and nephews in school here.
[01:51.000 --> 02:01.000]  I teach self-defense courses to teenagers in this area, and I want to tell you right now, I've had children tell me they're scared to be white because of the schools that they go to here, and that's not okay.
[02:01.000 --> 02:07.000]  It doesn't matter what your skin color is. It doesn't matter who you are. We all love each other. We should be teaching our children that.
[02:07.000 --> 02:19.000]  I'm telling you right now, if you try to force our children to get a vaccine, it'll be 1776 in the town.
[02:19.000 --> 02:25.000]  And we will take you out of office, and we will take our children out of your school, and you will know what happens.
[02:25.000 --> 02:34.000]  We'll stand up and go to prisons for these people because we love them and we will protect them. That's our duty as citizens.
[02:34.000 --> 02:46.000]  And this is crazy. I'm just going to say 25 million people were buried in masks during the swine flu, by the unmasked here, because they died from infections that they could not handle because they were wearing masks for too long.
[02:46.000 --> 02:53.000]  25 million people died from wearing masks during the swine flu, and they were buried by the unmasked as we lived.
[02:53.000 --> 02:59.000]  We weren't smart enough not to listen to what the government told us. Do you understand?
[02:59.000 --> 03:09.000]  While y'all wearing this up here, and unconstitutively making people stay back here, by the way, which is an executive order signed by our governor three weeks ago saying you cannot do that, you're breaking the law right now.
[03:09.000 --> 03:18.000]  He said no government, state, or county, facility, your county and state facilities are allowed to mandate masks and sale of Florida any more as an executive order.
[03:18.000 --> 03:24.000]  So now that you're breaking laws, you're breaking constitution. So we're going to have a problem here.
[03:24.000 --> 03:32.000]  We believe in the Constitution in the United States of America. We stand up for it. We do not even teach our children that the Constitution is bad.
[03:32.000 --> 03:42.000]  Think you're a racist because you're a conservative. Think you're a racist because you hold out three fingers. This is trash. This is absolute trash what our children are being taught right now.
[03:42.000 --> 03:53.000]  Thank you very much. You have a very blessed day, everybody.
[03:53.000 --> 03:57.000]  You should take your masks off and liberate yourselves.
[03:57.000 --> 04:01.000]  All right. I'm going to say things coming up next segment that have to be said.
[04:01.000 --> 04:10.000]  The good news is humanity is awakening. The bad news is the globalists have initiated a new form of warfare on a mass scale that cannot be reversed at this point.
[04:10.000 --> 04:15.000]  And I'm sorry. Mainline universities have now confirmed what all the other research said.
[04:15.000 --> 04:24.000]  Everyone that's been injected with these vaccines, no matter which type it was, it was all designed by Fauci to have the same effect, will now have prions growing them until they die.
[04:24.000 --> 04:30.000]  They take five years. They take a year. They take 10. The studies show the older you are, the faster the crystals grow.
[04:30.000 --> 04:37.000]  And they have murdered billions of people. Millions of people have already been murdered. I don't just say this for effect. It's absolutely true.
[04:37.000 --> 04:46.000]  And the behavioral psychologists and psychiatrists that came up with this knew that people wouldn't want to admit this had been done to them. It's just too horrible to believe.
[04:46.000 --> 04:52.000]  And so admitting to this will stop the rest of us being murdered. We're going to have to take care of those that are going to be dead and dying. All right.
[04:52.000 --> 05:00.000]  Stay where this folks. We've been hit by the equivalent of nuclear war.
[05:00.000 --> 05:08.000]  You've got amazing shoes, amazing pillows, towels, sheets, beds for humans, beds for dogs, beds for cats, all amazing products at already very low prices,
[05:08.000 --> 05:13.000]  hiring thousands and thousands of Americans, and with promo code Alex with mypilla.com or frankspeech.com.
[05:13.000 --> 05:17.000]  In New York sites, they get the very best discount. It's an amazing deal.
[05:17.000 --> 05:21.000]  You get my six pack of towels for $39.99, normally $199.
[05:21.000 --> 05:32.000]  You can get my Gives and Dreams sheets, normally $100 a set, as low as $49.99 a set. I took everything and just passed the savings on because we need support right now for what's going on.
[05:32.000 --> 05:40.000]  Myself, I need the cyber symposium. I just lost a million dollar week revenue by telling Fox, you know what, I'm not going to succumb to your cancel culture.
[05:40.000 --> 05:42.000]  We're going to bring the word out on our own.
[05:42.000 --> 05:54.000]  Your best special is using the promo code Alex and you're supporting us getting the word out. With Alex's great show, him for worse, and you're supporting my pillow, 2,500 employees.
[05:54.000 --> 05:57.000]  And I haven't had to lay anybody off in spite of trying to be an attack and camp.
[05:57.000 --> 06:13.000]  Beautiful, you're an example of resistance, Mike Lindell, Godspeed.
[06:28.000 --> 06:51.000]  The top scientist in the world warned in emergency papers followed with the European Union, with the UK government, the Australian government, the US government, that every vaccine they tried to develop for coronavirus has created horrible autoimmune responses and other serious diseases in the body.
[06:51.000 --> 07:02.000]  And then in studies of trying to attack the shell casing of the virus or creating an autoimmune response for that would cause blood clots all throughout the body.
[07:02.000 --> 07:10.000]  There are now major studies out backing that up. We're now seeing open air guinea pigging of everyone down to age 12.
[07:10.000 --> 07:25.000]  Thank God only 23% of Australia was dumb enough to take the injection. Saudi Arabia is less than 20%. India is less than 10%. China's refused all of our globalist vaccines.
[07:25.000 --> 07:28.000]  But here in the United States, it's really around 50%.
[07:28.000 --> 07:41.000]  And more prestigious studies just came out on humans and on animals with these vaccines that aren't vaccines. And it shows prion growth throughout all major tissues of the body.
[07:41.000 --> 07:48.000]  And it shows massive acceleration of aging and is killing the lab animals.
[07:48.000 --> 08:01.000]  And then you realize that Fauci funded dozens and dozens and dozens of studies. One was a national initiative for Obama in 2012 with seven universities headed up by the University of Texas Galveston.
[08:01.000 --> 08:15.000]  And they said, do not develop a human vaccine perceived with extreme caution. Almost all the lab animals died within months of prion disease bleeding out in the lungs, brain, heart and liver and kidneys.
[08:15.000 --> 08:22.000]  And I just keep repeating that because I've got thousands of things I could cover here, but I am just blown away.
[08:22.000 --> 08:29.000]  I did three hours of research just this morning, actually reading the new studies that have come out that I've got right here.
[08:29.000 --> 08:35.000]  And I understand it's hard to listen to this show. It is extremely hard for me to do this show.
[08:35.000 --> 08:49.000]  I love fighting the globalists and I want to try to defend humanity, but I am seriously sick and freaked out by this, that they've gotten enough fellow humans to go along with this and that we have already witnessed the slow kill operation.
[08:49.000 --> 08:57.000]  That is equivalent to a nuclear war. I mean, a nuclear war would kill billions of people in just a few hours.
[08:57.000 --> 09:16.000]  And then hundreds of millions of billions more from fallout. But this is a soft kill weapon that affects every person differently and is just absolutely so evil and so well thought out and so premeditated that when you see a big flash on the horizon of a hydrogen bomb going off,
[09:16.000 --> 09:30.000]  you know what that means. But with this, because it's a slow kill, because it's a soft kill, the people don't know what has hit them.
[09:30.000 --> 09:42.000]  And then I can read all the Pentagon reports to you, silent weapons for quiet wars. I can go over all the background of the globalist bragging about this and people that actually cooked all this up saying they want to depopulate.
[09:42.000 --> 09:54.000]  We can look at the fact that in India and in China and many other nations, these shots are banned. And you ask, why would our own government and why would Western Europe target its people and why would Australia?
