[00:00:00.109 --> 00:00:04.291]  Pat Robertson, you've got to be... Folks, come on!
[00:00:04.291 --> 00:00:06.451]  Come on!
[00:00:06.451 --> 00:00:08.812]  Give me a break!
[00:00:08.812 --> 00:00:21.597]  Let's go to Paul Joseph Watson, author of Order Out of Chaos, the best 9-11 book, better than mine, in existence, the most definitive, the most well-documented, to bring us up to speed on a plethora of key issues.
[00:00:21.597 --> 00:00:25.718]  Paul, thanks for coming on.
[00:00:25.718 --> 00:00:26.219]  But Paul,
[00:00:28.092 --> 00:00:31.093]  You're the webmaster, the researcher for PrisonPlanet.com.
[00:00:31.093 --> 00:00:35.895]  You put great polls up there every day, original articles, government documents, streaming audio, video.
[00:00:35.895 --> 00:00:43.478]  You are just a one-man wrecking crew to the New World Order at your battle station there in England.
[00:00:43.478 --> 00:00:51.240]  The Princess Diana situation, recap it for us, give us the history, what we've already known for six years, now mainstream news.
[00:00:51.240 --> 00:00:52.241]  Lay it out for us, sir.
[00:00:53.441 --> 00:00:55.702]  Well, yeah, we had the articles on Monday.
[00:00:55.702 --> 00:01:04.607]  We need to introduce this again by bringing in the story which broke on Monday concerning Diana, in effect, predicting her own death.
[00:01:06.305 --> 00:01:21.092]  We've got the picture actually on PrisonPlanet.com if you click on the Monday Archive, which was Paul Burrell, Diana's former butler, who released a handwritten note which was addressed to him, signed and dated by Diana.
[00:01:21.092 --> 00:01:30.496]  The note was originally written in October 1996 and Diana said that she gave the note to him for insurance purposes and
[00:01:31.764 --> 00:01:36.509]  The note said, quote, I'm going to date this and I want you to keep it just in case.
[00:01:36.509 --> 00:01:41.874]  And she went on to say that, quote, this particular phase in my life is most dangerous.
[00:01:41.874 --> 00:01:53.485]  And XXX, and the name is obviously blanked out, is planning an accident in my car, brake failure and serious head injury in order to make the path clear for Charles to marry.
[00:01:54.246 --> 00:02:02.623]  Now, the British newspapers have speculated that XXX, the blanked out name, is in fact Prince Philip, the Queen's husband.
[00:02:02.623 --> 00:02:04.807]  And this is also what insiders have said.
[00:02:05.954 --> 00:02:19.725]  You can gauge the mentality of Prince Philip by just reading some of his own quotes as it pertains to so-called overpopulation, and I believe that there are a few of those quotes contained in your book, Alex.
[00:02:19.725 --> 00:02:30.113]  Well, he said in his own book written in, what, 1987, if I was an animal, by His Royal Highness Prince Philip, out of the royal family behind the Queen Elizabeth,
[00:02:30.633 --> 00:02:33.916]  And he said, quote, we need to kill 80% of the population.
[00:02:33.916 --> 00:02:36.779]  I want to come back as a virus to kill 80%.
[00:02:36.779 --> 00:02:37.820]  But the point here is...
[00:02:38.755 --> 00:02:42.517]  The British Royal Family is well known, going back hundreds of years, for killing their family members.
[00:02:42.517 --> 00:02:43.897]  I mean, this is a pastime.
[00:02:43.897 --> 00:02:49.559]  The Tower was built to kill family members, quietly, away from prying eyes.
[00:02:49.559 --> 00:02:55.682]  And to have her specifically say, car accident, head injury, they're going to kill me, they had to have threatened her.
[00:02:55.682 --> 00:02:59.583]  Now it's come out that she told others, verbally, they've been threatening me.
[00:02:59.583 --> 00:03:00.824]  Give us your analysis of that.
[00:03:02.196 --> 00:03:08.277]  Yeah, so the bottom line is that life is definitely not sacred to Prince Philip, Duke of Edinburgh.
[00:03:08.277 --> 00:03:23.200]  And as we mentioned, in the two days since the story broke, other close confidants of Diana have actually come forward and stated that Diana said the same thing to them, that the royal family was planning to assassinate her in the near future.
[00:03:23.200 --> 00:03:31.142]  Now, most of us know what the official explanation for Diana's death is, which could, obviously, late August 97,
[00:03:32.952 --> 00:03:36.642]  The official explanation is that Diana and her fiancé Dodi are fired.
[00:03:38.391 --> 00:04:00.246]  Leave the Ritz Hotel in Paris, supposedly heading for Dodi's flat, are chased relentlessly by paparazzi photographers before entering the Pont Delmas tunnel, where a combination of the paparazzi and their drunk driver, in inverted commas, Henri Paul, cause the Mercedes to crash into a pylon at high speed.
[00:04:00.246 --> 00:04:08.011]  Henri Paul, Diana, Dodi, Paul Dye, and the only survivor is Diana's bodyguard, Trevor Rees-Jones,
[00:04:08.972 --> 00:04:22.222]  Now, in response to that, we've had all the highbrow British newspapers react to the latest story by saying that it supports the wild Diana conspiracy theory that she was murdered.
[00:04:22.222 --> 00:04:31.309]  So, we can go through the actual evidence in a bullet point fashion to support the fact that the official story is bogus and that this was an assassination.
[00:04:35.735 --> 00:04:39.157]  We see this pattern in almost every political assassination.
[00:04:39.157 --> 00:04:47.422]  When Diana was being driven in the Mercedes earlier in the evening, there were two other vehicles flanking her for protection.
[00:04:47.422 --> 00:04:49.763]  Both were absent later on in the evening.
[00:04:51.395 --> 00:05:04.190]  The driver, Henri Paul, was not a qualified chauffeur and had no car hire permit and he mysteriously just turned up and it was arranged that he would be the driver for that night.
[00:05:04.190 --> 00:05:10.838]  So, I mean, we can go back to the famous quote from Fletcher Prouty, the former colonel,
[00:05:11.565 --> 00:05:15.387]  But assassinations don't necessarily have to be directed.
[00:05:15.387 --> 00:05:19.790]  It can just be allowed to happen by removing the usual security provisions.
[00:05:19.790 --> 00:05:31.656]  Your listeners will all remember the pictures of the four bodyguards in Dealey Plaza who were standing on the car behind Kennedy, not on Kennedy's car, where they should have been.
[00:05:31.656 --> 00:05:35.938]  And again, the same thing happened when Yitzhak Rabin was killed.
[00:05:35.938 --> 00:05:36.799]  The video shows
[00:05:37.543 --> 00:05:43.591]  How his security team stepped back in unison and allowed the killer to come through.
[00:05:43.591 --> 00:05:49.979]  Well, one of the biggest pieces of evidence is what, for over an hour, they don't put her in an ambulance.
[00:05:49.979 --> 00:05:53.964]  The security forces that just show up stand around, get in the car, do things.
[00:05:54.651 --> 00:05:58.997]  Yeah, actually an hour and a half before she actually gets to the hospital.
[00:05:58.997 --> 00:06:06.287]  The car itself, the Mercedes, was changed and was actually a different model to the one they've been using nearly in the day.
[00:06:06.287 --> 00:06:09.150]  And by the way, I've read just last week Associated Press articles
[00:06:09.751 --> 00:06:22.984]  Where the new systems in the cars can already take control of your vehicle, and we know they've had these technologies for decades, and then she says they're going to tamper with my car and kill me.
[00:06:22.984 --> 00:06:25.466]  I mean, this is amazing.
[00:06:25.466 --> 00:06:31.632]  And the only survivor of the crash, the bodyguard, was not wearing the seatbelt when the car left the Ritz Hotel, and of course,
[00:06:32.549 --> 00:06:37.791]  It's standard for bodyguards because they need to react quickly to not wear a seatbelt.
[00:06:37.791 --> 00:06:44.473]  But then we're told by the official version of events that the bodyguard survived because he was the only one in the car wearing a seatbelt.
[00:06:44.473 --> 00:06:46.794]  So there's another discrepancy.
[00:06:46.794 --> 00:06:54.116]  And the major question is why the car even entered the pond down that tunnel when it takes you away from Dodie's flat.
[00:06:54.116 --> 00:06:59.438]  The route was also totally different from the one they took to Dodie's flat earlier in the day.
[00:07:00.138 --> 00:07:12.288]  And going back to the drunk driver explanation, this contradicts what Henri Paul's close family recently came out and stated, and we had the articles up there on Monday, that he didn't drink.
[00:07:12.288 --> 00:07:19.613]  And the French inquest also said that he had taken no dose of antidepressants, which the family also said that he wasn't taking.
[00:07:19.613 --> 00:07:20.474]  And the Ritz Hotel
