[00:00:15.608 --> 00:00:17.210]  8-8-7-6-6-6-0-6-6 today.
[00:00:17.210 --> 00:00:18.892]  Zeroflu.com.
[00:00:18.892 --> 00:00:21.776]  Protecting you and your family, one day at a time.
[00:00:21.776 --> 00:00:25.240]  From the Triton Financial Golf Classic coming up in the Impact.
[00:00:25.240 --> 00:00:30.366]  You're listening to GCN, the world leader in independent talk radio.
[00:00:30.366 --> 00:00:31.047]  News Radio 590KL.
[00:00:35.154 --> 00:00:37.836]  IRN USA Radio News, I'm Mark Thomas.
[00:00:37.836 --> 00:00:44.461]  A retired State Department official that had top-secret security clearance and his wife have been arrested for allegedly spying for Cuba.
[00:00:44.461 --> 00:00:49.984]  The Justice Department says Walter Myers and his wife Gwendolyn were arrested by federal agents in Washington, D.C.
[00:00:49.984 --> 00:00:57.590]  The State Department alleges the couple were spies for the Cuban government for nearly 30 years and claims that at one time the couple met with Cuban leader Fidel Castro.
[00:00:58.110 --> 00:01:01.714]  The Saturn brand is being sold by General Motors to Penske Automotive Group.
[00:01:01.714 --> 00:01:08.020]  The two companies have confirmed the sale, which GM says will save more than 350 dealerships and 13,000 jobs.
[00:01:08.020 --> 00:01:14.507]  Since GM debuted the brand in 1990, Saturn has sold more than 4 million vehicles, with more than 80% of them still on the road.
[00:01:15.191 --> 00:01:21.034]  The Labor Department's latest jobless figures show employers nationwide cut 345,000 jobs in May.
[00:01:21.034 --> 00:01:23.735]  That's the lowest job cuts figure since last September.
[00:01:23.735 --> 00:01:29.097]  The overall unemployment rate, however, rose to a 26-year high of 9.4% last month.
[00:01:29.097 --> 00:01:30.838]  This is IRN USA Radio News.
[00:01:32.423 --> 00:01:35.805]  Men and women, if you've got 10 to 30 pounds or more to lose, please listen carefully.
[00:01:35.805 --> 00:01:37.406]  Guys, many of us tend to overeat.
[00:01:37.406 --> 00:01:39.807]  We eat too much red meat, fast foods, and processed foods.
[00:01:39.807 --> 00:01:42.429]  This keeps the belly flabby and keeps our bodies overweight.
[00:01:42.429 --> 00:01:44.530]  Ladies, have you ever said, I feel fat today?
[00:01:44.530 --> 00:01:45.871]  Or do you have this bloated feeling?
[00:01:45.871 --> 00:01:49.132]  And how many of you have been trying to lose the same 10 to 20 pounds for years?
[00:01:49.132 --> 00:01:51.834]  There's a healthy and faster way to lose weight than any diet pill.
[00:01:52.114 --> 00:02:01.801]  It's called EverCleanse, a clinically proven weight loss and detox formula that helps you lose weight and get rid of the 5 to 25 pounds of waste that some experts say is trapped to the colon walls like spackle or paste.
[00:02:01.801 --> 00:02:04.162]  Two weeks of EverCleanse may be equal to months of dieting.
[00:02:04.162 --> 00:02:05.023]  It's simple, too.
[00:02:05.023 --> 00:02:07.544]  Natural, tasteless crystals that dissolve in any food or beverage.
[00:02:07.544 --> 00:02:12.408]  EverCleanse will flatten out your midsection, reduce love handles, and bellies and bloating have been disappearing in just days.
[00:02:12.408 --> 00:02:16.931]  You see, EverCleanse gets rid of the weight you can't take off by exercising or starving yourself on a diet.
[00:02:16.931 --> 00:02:19.032]  And it's not something you have to take for the rest of your life.
[00:02:19.032 --> 00:02:20.733]  Call now to receive a very special offer.
[00:02:21.954 --> 00:02:22.114]  800-567-5598.
[00:02:22.114 --> 00:02:23.396]  Ask about a free supply.
[00:02:23.396 --> 00:02:23.496]  800-567-5598.
[00:02:23.496 --> 00:02:23.676]  That's 800-567-5598.
[00:02:32.378 --> 00:02:40.522]  At least 29 children were killed and several others injured when a fire swept through a daycare center Friday in the northern Mexican city of Hermosillo.
[00:02:40.522 --> 00:02:42.783]  Most of the children died of smoke inhalation.
[00:02:42.783 --> 00:02:48.065]  A Mexican official says the children range in age from 3 or 4 months to 2 or 3 years old.
[00:02:48.065 --> 00:02:57.169]  The official says it has not been determined where or how the fire started, but some Mexican media outlets are reporting the blaze may have erupted in a nearby warehouse or tire shop.
[00:02:58.320 --> 00:03:02.263]  A change could be in the wind concerning detainees at Guantanamo Bay, Cuba.
[00:03:02.263 --> 00:03:10.949]  The Obama administration is considering allowing terrorism suspects at Guantanamo Bay who are facing the death penalty to plead guilty without receiving a full trial.
[00:03:10.949 --> 00:03:20.176]  The New York Times reports the changes being investigated by the administration would be designed to resolve an ambiguity in a 2006 law covering military commissions.
[00:03:20.176 --> 00:03:25.460]  The newspaper reports the guilty plea proposal is contained in draft legislation that would be sent to Congress.
[00:03:25.841 --> 00:03:30.112]  For the latest news and analysis, log on to IRNUSANews.com
[00:03:32.364 --> 00:03:33.885]  My name is John Demartino.
[00:03:33.885 --> 00:03:37.886]  I'm from Colorado, and I started using Andy Willoughby Three Step Plan.
[00:03:37.886 --> 00:03:40.847]  I'm 56 years old, and I feel renewed.
[00:03:40.847 --> 00:03:41.707]  I'm happy.
[00:03:41.707 --> 00:03:43.768]  I'm excited about my financial future.
[00:03:43.768 --> 00:03:46.349]  This is a stress-relieving business.
[00:03:46.349 --> 00:03:47.989]  Hi, how in the world are you anyway?
[00:03:47.989 --> 00:03:49.369]  This is Andy Willoughby.
[00:03:49.369 --> 00:03:54.191]  If you're tired of worrying about money all the time, go to 3stepplan.com or call 800-480-2102.
[00:03:54.191 --> 00:03:54.231]  800-480-2102.
[00:04:02.287 --> 00:04:08.013]  The top Senate Republican refuses to close the door on a filibuster over Supreme Court nominee Sonia Sotomayor.
[00:04:08.013 --> 00:04:09.654]  Jerry Bodlander has more.
[00:04:09.654 --> 00:04:21.706]  As lawmakers pour over the 3,600 cases that Judge Sotomayor was involved in and the answers she provided the Senate Judiciary Committee, Senate Minority Leader Mitch McConnell told reporters a filibuster remains an option.
[00:04:21.826 --> 00:04:27.770]  I think the precedent's been firmly established by the now majority that that's a tool available.
[00:04:27.770 --> 00:04:37.636]  McConnell added it's much too early to say if that'll happen, but he also said he's concerned about Sotomayor's repeated comment that ethnicity or gender leads to better decision-making.
[00:04:38.797 --> 00:04:46.100]  A New Jersey father returns home from Brazil empty-handed as this international custody battle continues to get back his son.
[00:04:46.100 --> 00:04:52.584]  David Goldman says he's worried for his son Sean after three court-appointed psychologists say he's under emotional stress.
[00:04:52.584 --> 00:04:55.725]  There's evidence that he is being emotionally damaged.
[00:04:55.725 --> 00:04:57.386]  He's been told that I've abandoned him.
[00:04:57.386 --> 00:05:00.347]  Goldman says he'll keep fighting to get back his nine-year-old son.
[00:05:00.347 --> 00:05:04.390]  Goldman's son has been in Brazil since his biological mother took him there on vacation in 2004.
[00:05:05.350 --> 00:05:05.810]  I'm Mark Thomas.
[00:05:05.810 --> 00:05:06.671]  This is IRN USA Radio News.
[00:05:32.193 --> 00:05:39.197]  Spicewood Springs Road in 183, and tell them... Less than a century ago, half of the American public grew much of their own food.
[00:05:39.197 --> 00:05:43.579]  Today, it's been estimated that only 1% of Americans still grow their own food.
[00:05:43.579 --> 00:05:47.821]  During the Great Depression, over 18 million people suffered from starvation.
[00:05:48.061 --> 00:05:54.828]  And as America continues down its current path, for many, the reality of another depression is a very serious concern.
[00:05:54.828 --> 00:06:02.475]  With massive layoffs and unemployment at record levels, growing your own food will help you save money that you'd normally spend at the grocery store.
[00:06:02.475 --> 00:06:08.602]  Invest in your family's future by stocking up with your very own supply of seeds available from GetSeeds.net.
[00:06:09.262 --> 00:06:16.305]  Each order includes over 14,000 non-GMO, chemical-free seeds that will provide you with food for years.
[00:06:16.305 --> 00:06:19.606]  Call 877-394-6657 to get 100 varieties of our heirloom seeds for just $49.
[00:06:19.606 --> 00:06:22.167]  Once again, that's GetSeeds.net or call 877-394-6657 to establish your order.
[00:06:44.280 --> 00:06:47.022]  He stands for truth.
[00:06:47.022 --> 00:06:50.245]  He stands for justice.
[00:06:50.245 --> 00:06:52.687]  He stands for what's right.
[00:06:52.687 --> 00:06:55.990]  This is the Alex Jones Show.
[00:06:55.990 --> 00:06:58.833]  Call Alex now, toll free at 877-590-5525.
[00:07:04.361 --> 00:07:20.653]  Now live from Austin, Texas, here's Alex Jones.
[00:07:20.653 --> 00:07:24.997]  We are being dehumanized.
[00:07:24.997 --> 00:07:26.518]  We are being enslaved.
[00:07:29.409 --> 00:07:44.074]  We are being conditioned to not care about horrible crimes being committed against our fellow humans, scientifically by design, so that when we are abused, our neighbors, our friends, our communities will stand by and let it happen.
[00:07:44.074 --> 00:07:54.997]  We are being conditioned, we are being taught that it is okay to torture and to be tortured.
[00:07:55.751 --> 00:08:08.714]  That it's okay for the government to spy on you without warrants, that it's okay for police to wear black uniforms and masks, that cameras in school rooms and on street corners are normal.
[00:08:08.714 --> 00:08:20.617]  We are going from a state of incredible liberty and freedom and dynamic creativity into a rapidly evolving situation of total despotism and enslavement.
[00:08:24.045 --> 00:08:36.627]  A lot of things happened this week that really brought into focus a lot of the research and stories I've been working on over the last 13 years.
[00:08:36.627 --> 00:08:43.988]  And more and more when I come on the radio, on the weekday show or the Sunday evening abbreviated transmission from 4 to 6 p.m.
[00:08:43.988 --> 00:08:53.350]  Central Standard Time, I realize that everything else I'm covering, all the other important news stories, like
[00:08:54.286 --> 00:08:55.647]  British and U.S.
[00:08:55.647 --> 00:08:59.390]  courts ruling that police can torture U.S.
[00:08:59.390 --> 00:09:02.092]  citizens.
[00:09:02.092 --> 00:09:04.213]  Yes, it's publicly a torture U.S.
[00:09:04.213 --> 00:09:13.140]  citizens and non-terror related, and it just is a footnote in the Buffalo newspaper, a footnote in the London Guardian.
[00:09:13.140 --> 00:09:14.861]  And I have scores of such articles.
[00:09:14.861 --> 00:09:22.867]  I have a stack of probably 30, 40 articles here in front of me, and they all pale in significance towards the root of all of this, the mindset
[00:09:23.402 --> 00:09:27.624]  Of all of this.
[00:09:27.624 --> 00:09:34.068]  And that is eugenics.
[00:09:34.068 --> 00:09:51.177]  So today, I want to go over some of the latest developments concerning the global government that's openly been announced, openly set up, and it's openly stated goal of carrying out forced population reduction.
[00:09:57.262 --> 00:10:16.831]  And the fact that the general public has been sold on going along with this bill of goods, and that the general public, even if you're immoral and believe that 80% of the public should be killed, don't you understand you're going to be amongst that 80%?
[00:10:16.831 --> 00:10:19.912]  You're not part of the elite?
[00:10:19.912 --> 00:10:25.015]  I'm going to go over the latest news and break this down and talk about the biggest
[00:10:25.714 --> 00:10:27.635]  Which isn't really a secret anymore.
[00:10:27.635 --> 00:10:29.076]  It's now being pushed.
[00:10:29.076 --> 00:10:30.537]  It's being mainlined.
[00:10:30.537 --> 00:10:33.719]  It's being mainstreamed because they've built their world government.
[00:10:33.719 --> 00:10:41.004]  Now they're getting ready to go ahead with the end.
[00:10:41.004 --> 00:10:47.228]  They got their means, their world government, but what is the means to the end?
[00:10:47.228 --> 00:10:49.690]  They've got their system to carry this out.
[00:10:49.690 --> 00:10:51.471]  What is it they want to carry out?
[00:10:51.471 --> 00:10:53.713]  As they set up their world government and as they
[00:10:54.730 --> 00:11:03.953]  Complete the final beta test of this and roll it out of this technocratic terror.
[00:11:03.953 --> 00:11:07.335]  As they launch this against humanity, what is it they're launching?
[00:11:07.335 --> 00:11:09.175]  I think that needs to be discussed.
[00:11:09.175 --> 00:11:21.240]  Instead of just getting caught up in kind of that eddy pool, that groundhog day of arguing does the world government exist or is there a eugenics plan or
