[00:00:01.452 --> 00:00:09.615]  You want answers?
[00:00:09.615 --> 00:00:11.436]  Well, so does he.
[00:00:11.436 --> 00:00:16.518]  Live from the InfoWars.com studios, it's Alex Jones.
[00:00:16.518 --> 00:00:20.059]  Folks, I have plugged maybe two hours.
[00:00:29.676 --> 00:00:32.237]  My friends, we're in the middle of the Second American Revolution.
[00:00:59.485 --> 00:01:04.609]  The globalist social engineers are trying to play us off against each other in a big way.
[00:01:04.609 --> 00:01:13.895]  They're trying to play us off according to race, according to region, according to ethnicity, background, sexual orientation, male, female.
[00:01:13.895 --> 00:01:21.320]  And again, it's in the WikiLeaks, it's in the Facebook documents, it's in their own admissions that they're cold-bloodedly doing this.
[00:01:21.320 --> 00:01:22.301]  And it's up to us
[00:01:23.581 --> 00:01:31.884]  To understand they're doing that, and to transcend it, and to educate others about what's happening and what is unfolding.
[00:01:31.884 --> 00:01:39.327]  The divide and conquer we're witnessing is a desperate last ditch attempt.
[00:01:39.327 --> 00:01:52.512]  To have this country forget that we were under globalist control, forget that the social compact had been broken, forget that we had been de-industrialized, and to basically grab
[00:01:54.867 --> 00:01:58.550]  Victory from the jaws of defeat.
[00:01:58.550 --> 00:02:00.471]  We've beaten the globalists.
[00:02:00.471 --> 00:02:10.859]  The fact that we're aware of their multi-national operation, the fact that we're aware of their private fellow reserve, the fact that the public is becoming more and more informed, that's the end of their operation.
[00:02:10.859 --> 00:02:22.028]  So if we can beat their censorship, if we can reach out to other folks that aren't awake yet, and if we can elect good people to public office, but also rebuild our industrial and cultural base,
[00:02:22.848 --> 00:02:26.550]  America's best days are ahead of us, not behind us.
[00:02:26.550 --> 00:02:33.314]  To quote Merle Haggard, the late great, we don't have to keep rolling downhill like a snowball headed for hell.
[00:02:33.314 --> 00:02:36.236]  With no chance for freedom or the Liberty Bell, it's here.
[00:02:38.885 --> 00:02:50.031]  But at the same time, the globalists are trying to cut off the funding of organizations and institutions and operations that are telling the truth and that are exposing their narrative in real time.
[00:02:50.031 --> 00:03:03.619]  That's why this Christmas, it is more important than ever to support InfoWars because you're supporting yourself and you can beat the crowds, beat the traffic, beat the high prices, beat the garbage, beat the additives.
[00:03:04.918 --> 00:03:14.986]  And get, from the biggest budget to the lowest budget, high quality products that you, your family, your friends, your loved ones, that those that you're giving gifts need.
[00:03:16.417 --> 00:03:27.267]  We have 70-plus high-quality supplements that we produce, that we develop with top firms, and other high-quality brands that we also carry at InfowarsStore.com.
[00:03:27.267 --> 00:03:32.691]  And we have Patriot apparel that helps you meet like-minded people, support the broadcast, and spread the word.
[00:03:32.691 --> 00:03:35.974]  High-quality water filtration, air filtration, non-GMO.
[00:03:36.835 --> 00:03:39.356]  Air Loom Seeds and so much more.
[00:03:39.356 --> 00:03:55.721]  If you'll just do some of your Christmas shopping for your loved ones at Infowarsstore.com, you'll get them original, healthy, high-quality, low-cost products that'll make their lives better and at the same time defeat the globalists in the information war.
[00:03:55.721 --> 00:03:57.602]  Don't shop with the globalists.
[00:03:57.602 --> 00:03:58.862]  Don't trade with the enemy.
[00:03:58.862 --> 00:04:04.424]  As much as you can, and none of us are perfect, support independent media that stands up for what's right.
[00:04:05.543 --> 00:04:13.165]  You can shop at InfoWarsStore.com or InfoWarsLife.com or call toll free 888-253-3139.
[00:04:13.165 --> 00:04:17.426]  You can also give InfoWarsStore gift cards to friends and family.
[00:04:17.426 --> 00:04:24.648]  That's a great way to get them to visit the site and find out about the political message while they're getting high quality products at the same time.
[00:04:24.648 --> 00:04:27.489]  And we also now have Patreon points where you get
[00:04:28.981 --> 00:04:35.204]  5% off of every purchase added to your account for future purchases.
[00:04:35.204 --> 00:04:40.746]  That is a high-end system at 5% compared to most rewards cards.
[00:04:40.746 --> 00:04:45.528]  That is on the very high end of the spectrum for the level of 5%.
[00:04:45.528 --> 00:04:50.349]  So please, do your Christmas shopping at InfoWorksStore.com and help fund the tip of the spear against the globalists.
