[00:00:00.489 --> 00:00:05.791]  This will free up the relief organs due to those unable or not smart enough to prepare.
[00:00:05.791 --> 00:00:08.952]  The greatest gift this Christmas is life itself.
[00:00:08.952 --> 00:00:11.272]  Food for these unknown times.
[00:00:11.272 --> 00:00:11.652]  Call 800-409-5633.
[00:00:11.652 --> 00:00:12.673]  On the web, efoodsdirect.com.
[00:00:12.673 --> 00:00:12.713]  800-409-5633.
[00:00:25.140 --> 00:00:28.324]  You are listening to GCN.
[00:00:28.324 --> 00:00:29.105]  On News Radio 590K.
[00:00:33.613 --> 00:00:36.714]  IRN USA Radio News, I'm Jody Jordan.
[00:00:36.714 --> 00:00:44.357]  Advisors to President-elect Barack Obama are pleased that Wall Street reacted so well to his choice for Treasury Secretary.
[00:00:44.357 --> 00:00:51.799]  The Dow soared almost 500 points Friday on word that Obama had tapped Timothy Geithner of the New York Federal Reserve.
[00:00:51.799 --> 00:00:57.721]  Obama has even gone outside his inner circle in naming Ellen Moran as White House Communications Director.
[00:00:58.368 --> 00:00:59.588]  Here's Sandy Cozell.
[00:00:59.588 --> 00:01:02.529]  Moran will be in charge of getting Obama's message out.
[00:01:02.529 --> 00:01:07.791]  She's now in charge of Emily's List, a group that backs female candidates who support abortion rights.
[00:01:07.791 --> 00:01:11.592]  Moran was an active supporter of Senator Hillary Clinton during the primaries.
[00:01:11.592 --> 00:01:16.633]  She also worked for the AFL-CIO and helped plan inaugurals for President Bill Clinton.
[00:01:16.633 --> 00:01:25.716]  And Obama advisor David Alexrod says unless the big three automakers offer a plan for retooling and restructuring, they're unlikely to get any taxpayer help.
[00:01:26.474 --> 00:01:30.117]  This is IRN USA Radio News.
[00:01:30.117 --> 00:01:32.719]  The following from News Broadcast Network.
[00:01:32.719 --> 00:01:44.408]  A study called Jupiter presented at the American Heart Association's annual meeting found that 20 milligrams of Crestor reduced the combined risk of heart attack, stroke, or cardiovascular death by nearly half.
[00:01:44.408 --> 00:01:49.091]  Howard Hutchinson, AstraZeneca's chief medical officer, says that this is a dramatic result.
[00:01:49.091 --> 00:01:55.156]  The Jupiter study showed us that Crestor had a beneficial effect on cardiovascular morbidity and mortality
[00:01:55.556 --> 00:01:57.759]  In a never before studied population.
[00:01:57.759 --> 00:02:04.168]  In Jupiter, Crestor 20 milligrams was well tolerated in nearly 9,000 patients during the course of the study.
[00:02:04.168 --> 00:02:04.829]  I'm Lee Shepard.
[00:02:05.442 --> 00:02:12.729]  The Blockbuster Call of Duty series is back with Call of Duty World at War, the latest epic action game experience that will leave players breathless.
[00:02:12.729 --> 00:02:15.371]  Legendary actor Gary Oldman lends his voice to the game.
[00:02:15.371 --> 00:02:18.954]  I was always very intrigued by the game from the very beginning.
[00:02:18.954 --> 00:02:23.358]  You play a video game, but you also get a little taste of history.
[00:02:23.358 --> 00:02:24.980]  The game is rated M for Mature.
[00:02:24.980 --> 00:02:27.522]  For more information, visit Activision.com.
[00:02:27.522 --> 00:02:28.263]  I'm Kid Michaels.
[00:02:30.518 --> 00:02:35.384]  The Economic Summit of Asian and Pacific Countries is wrapping up today in Peru.
[00:02:35.384 --> 00:02:40.571]  President Bush is reassuring them that the world economy will emerge in better shape.
[00:02:40.571 --> 00:02:43.315]  The countries have agreed to resist protectionism.
[00:02:44.002 --> 00:02:45.063]  Here's Ben Feller.
[00:02:45.063 --> 00:02:53.266]  He mainly wants to send a message to the world that the United States and other nations, big and small, are being aggressive and working together.
[00:02:53.266 --> 00:02:58.088]  There was reportedly a coup attempt overnight in Guinea-Bissau in West Africa.
[00:02:58.088 --> 00:03:05.912]  A top official says the country's president was not hurt as mutinous soldiers fought their way into his residence during a three-hour gun battle.
[00:03:06.531 --> 00:03:10.913]  And a member of Florida State's football team has been named a Rhodes Scholar.
[00:03:10.913 --> 00:03:15.916]  Safety Myron Royal interviewed for the honor in Birmingham, Alabama yesterday.
[00:03:15.916 --> 00:03:24.500]  The aspiring neurosurgeon then immediately flew north for a game against the University of Maryland, making it to the game before halftime.
[00:03:24.500 --> 00:03:28.362]  For more news and analysis, log on to IRNnews.com.
[00:03:30.143 --> 00:03:32.244]  Do you suffer from cold sores?
[00:03:32.244 --> 00:03:37.725]  Relieve One Day Cold Sore Symptom Treatment is out to prove how fast it really works.
[00:03:37.725 --> 00:03:45.107]  If you suffer from those nasty sores, try Relieve and find out for yourself if Relieve works really fast for you.
[00:03:45.107 --> 00:03:48.428]  Relieve is spelled R-E-L-E-E-V.
[00:03:48.428 --> 00:03:51.708]  It's easy to find and is in all major drugstores.
[00:03:51.708 --> 00:03:58.150]  So if you get cold sores, remember to get Relieve now and keep it ready to use the moment a cold sore attacks.
[00:04:05.862 --> 00:04:09.444]  Sounds from the wake-up call to Endeavor astronauts!
[00:04:09.444 --> 00:04:18.669]  An excerpt of Can't Take My Eyes Off You, played for Commander Christopher Ferguson, who's celebrating his 23rd wedding anniversary.
[00:04:18.669 --> 00:04:27.674]  Astronauts on the International Space Station hope the way a centrifuge is mounted can explain why a water recycling system hasn't been working.
[00:04:27.674 --> 00:04:31.496]  For three days in a row, the new machine hasn't quite worked right.
[00:04:31.496 --> 00:04:34.578]  It's essential for expanding the size of the crew next year.
[00:04:35.367 --> 00:04:35.967]  The U.S.
[00:04:35.967 --> 00:04:41.009]  military carried out an offensive in Afghanistan today that left several militants dead.
[00:04:41.009 --> 00:04:43.190]  Here's Jason Strasioso.
[00:04:43.190 --> 00:04:43.871]  The U.S.
[00:04:43.871 --> 00:04:54.555]  military said American and Afghan troops were dropped off by helicopters in the southern province of Kandahar into an insurgent safe haven where they killed 17 militants.
[00:04:54.555 --> 00:04:58.717]  Southern Afghanistan is the center of the Taliban-led insurgency.
[00:04:58.717 --> 00:05:04.299]  More than 5,200 people, mostly militants, have died in insurgency-related violence this year.
[00:05:06.793 --> 00:05:14.340]  The Vatican media are praising the music of the Beatles compared to what it caused the standardized stereotypical songs of today.
[00:05:14.340 --> 00:05:21.266]  Last week, the Vatican newspaper and radio noted the 40th anniversary of the Beatles' White Album.
[00:05:21.266 --> 00:05:24.349]  I'm Jody Jordan for IRN USA Radio News.
[00:05:30.578 --> 00:05:32.439]  Hello, this is Steve Shank.
[00:05:32.439 --> 00:05:36.242]  The economic disaster is taking food out of the mouths of our families.
[00:05:36.242 --> 00:05:40.165]  Farmers, food brokers, and grocery stores can't get credit to supply your food.
