[00:00:04.493 --> 00:00:06.876]  Waging war on corruption.
[00:00:06.876 --> 00:00:13.923]  Alex Jones on the GCN radio network.
[00:00:13.923 --> 00:00:18.987]  Yesterday I had the journalist on for the BBC documentary makers.
[00:00:20.343 --> 00:00:29.852]  Head of a large branch of the media union over in England, who was at Bilderberg meeting this year.
[00:00:29.852 --> 00:00:38.801]  Today we're joined by the granddaddy of it all, Jim Tucker of American Free Press, formerly with the Spotlight for 25 plus years.
[00:00:38.801 --> 00:00:40.642]  He has been covering the Bilderberg group.
[00:00:40.642 --> 00:00:42.004]  He's an expert on the New World Order.
[00:00:42.774 --> 00:00:44.074]  He's an old-time journalist.
[00:00:44.074 --> 00:00:49.875]  Worked with some of the big syndicates in the news before he found out about the New World Order 20-plus years ago.
[00:00:49.875 --> 00:00:52.496]  And he just got back from Bilderberg.
[00:00:52.496 --> 00:00:54.956]  He sneaks through drainage pipes.
[00:00:54.956 --> 00:00:56.496]  He climbs over fences.
[00:00:56.496 --> 00:00:58.457]  He's been detained, arrested.
[00:00:58.457 --> 00:00:59.157]  Others have been.
[00:00:59.157 --> 00:01:01.597]  He's been chased by men in dark sunglasses and vehicles.
[00:01:01.597 --> 00:01:03.998]  This has been on national TV here in the U.S.
[00:01:03.998 --> 00:01:10.519]  on the TRIO Network and a documentary I was in as well, Secret Rulers of the World, five-part series.
[00:01:11.622 --> 00:01:21.024]  And he has now returned from the, well, the most plush hotel in France, right next door to the Versailles Palace.
[00:01:21.024 --> 00:01:23.684]  And it's just an amazing story.
[00:01:23.684 --> 00:01:30.725]  So Big Jim Tucker is on with us, fresh back from France, and the Merovingian folks that are over there.
[00:01:30.725 --> 00:01:34.906]  Jim, it's great to have you on the show with us.
[00:01:34.906 --> 00:01:36.547]  I appreciate you coming on the show, Jim.
[00:01:36.547 --> 00:01:38.867]  Do we have Jim Tucker there?
[00:01:39.847 --> 00:01:40.787]  Can he hear me?
[00:01:40.787 --> 00:01:41.968]  Oh yes, I can hear you.
[00:01:41.968 --> 00:01:42.688]  Fantastic.
[00:01:42.688 --> 00:01:46.890]  Jim, thanks for coming on the show with us, sir.
[00:01:46.890 --> 00:01:49.171]  I'm very happy to join you.
[00:01:49.171 --> 00:01:52.593]  Tell us a little bit about yourself for those that haven't heard you in the last few months.
[00:01:54.208 --> 00:02:02.811]  How you got involved in Bilderberg, what Bilderberg Group is, and what happened this year, and any inside information you got out from inside the complex.
[00:02:02.811 --> 00:02:20.178]  Well, to quick capsule, I spent 20 years with the establishment press, with Washington Daily News, Akron Beacon Journal, Richmond Times Dispatch, other newspapers, until 1975, when I was being interviewed by Willis Carter at Liberty Lobby.
[00:02:21.184 --> 00:02:21.604]  We're good to go.
[00:02:49.477 --> 00:03:00.426]  They've been operating in absolute secrecy all these years, making decisions that affect the lives of all of us in Europe and North America and sometimes throughout the world.
[00:03:00.426 --> 00:03:10.815]  Bilderberg is a group of 120 men with a solid membership of about 100 year after year, replaced by those who die in the fullness of time.
[00:03:10.815 --> 00:03:12.777]  They've met under the name Bilderberg since 1954.
[00:03:14.867 --> 00:03:17.869]  There's normally two or three newcomers each year.
[00:03:17.869 --> 00:03:23.794]  Some are invited back, others are cast aside when they're found not to be useful.
[00:03:23.794 --> 00:03:27.977]  But they do make decisions that affect war, peace, the economy.
[00:03:30.545 --> 00:03:32.547]  They make decisions that affect the lives of all of us.
[00:03:32.547 --> 00:03:35.009]  Well, the Trilateral Commission is sort of the junior varsity.
[00:03:35.009 --> 00:03:37.932]  They'll have 300 members and they are less secret.
[00:03:37.932 --> 00:03:38.953]  They have an office in Washington.
[00:03:38.953 --> 00:03:42.016]  You can call them up and they'll cheerfully tell you where their next meeting will be.
[00:03:55.348 --> 00:03:57.930]  They will not take over the whole resort like Bilderberg.
[00:03:57.930 --> 00:04:07.617]  They will take over two floors of the hotel and maybe some big meeting rooms, and they'll mingle in the lobby with others of the unwashed multitudes.
[00:04:07.617 --> 00:04:12.701]  They include Japan and Korea.
[00:04:12.701 --> 00:04:18.245]  Bilderberg is strictly North America and Europe, but they have an interlocking leadership.
[00:04:21.383 --> 00:04:28.206]  The executive committee of both groups, David Rockefeller founded the Trilateral Commission.
[00:04:28.206 --> 00:04:33.588]  He was a co-founder of Bilderberg, so he's a power in both groups.
[00:04:33.588 --> 00:04:43.332]  And they do have an interlocking agenda, which is broadly defined as moving the United Nations into a world government, which it almost is now.
[00:04:46.314 --> 00:04:46.855]  I don't know.
[00:05:05.603 --> 00:05:10.947]  There's one Bilderberg meeting within a year of scholarly white paper coming out that will support that view.
[00:05:10.947 --> 00:05:31.480]  So basically the Bilderberg group is the 100 top upper echelon, the Dutch, the British royal families, the Rockefellers, the Rothschilds, the Crumps, all these classic names, and then you've got the Trilateral Commission with 300 that comes up with the, that more fine-tunes the policy, and then you've got the three
[00:05:32.120 --> 00:05:35.163]  Yeah, so is the Propaganda Ministry.
[00:05:35.163 --> 00:05:35.303]  Yes.
[00:05:56.674 --> 00:06:02.403]  And of course the collaboration of the American press is nothing short of a scandal.
[00:06:02.403 --> 00:06:04.486]  They're journalistic prostitutes.
[00:06:04.486 --> 00:06:06.469]  The Washington Post, New York Times.
[00:06:07.518 --> 00:06:08.899]  I think we're good to go.
[00:06:34.211 --> 00:06:35.732]  Several European reporters were there.
[00:06:35.732 --> 00:06:39.654]  I was interviewed just this morning by BBC from London.
[00:06:39.654 --> 00:06:44.237]  They interviewed me twice when I was at Versailles.
[00:06:44.237 --> 00:06:48.961]  Reporters from Norway and several other countries were present in Versailles.
[00:06:48.961 --> 00:06:51.182]  We collaborated.
[00:06:51.182 --> 00:06:52.203]  We pooled our information.
[00:06:52.203 --> 00:06:55.325]  We worked together to identify.
[00:06:55.325 --> 00:07:01.069]  And also the American Free Press staff spent a lot of time out there positively identifying
[00:07:02.947 --> 00:07:05.710]  Many of the 120 who appeared.
[00:07:05.710 --> 00:07:07.652]  You also got a lot of photographs of them.
[00:07:07.652 --> 00:07:08.693]  Now, last year...
[00:07:10.060 --> 00:07:13.742]  The media was all saying the attack was coming in 2002.
[00:07:13.742 --> 00:07:15.423]  For sure, they said.
[00:07:15.423 --> 00:07:17.744]  You said, that is not correct.
