[00:00:00.069 --> 00:00:01.410]  Coconut oils.
[00:00:01.410 --> 00:00:02.930]  See them on the web.
[00:00:02.930 --> 00:00:12.834]  www.5starsoap.com or call 1-800-340-7091 for a free catalog and buy American-made products.
[00:00:12.834 --> 00:00:19.517]  Order the sampler, a 1-2 month supply or get a 1-2 year supply of soaps for all your cleaning needs.
[00:00:19.517 --> 00:00:22.458]  You're getting soap products twice as good as what you're using now.
[00:00:23.058 --> 00:00:27.722]  This is an amazing deal and you will love the way real soap makes your skin feel.
[00:00:27.722 --> 00:00:35.087]  Call 1-800-340-7091 or visit www.5starsoap.com.
[00:00:35.087 --> 00:00:39.731]  Alex and his staff have used these earth friendly pure soaps for years.
[00:00:39.731 --> 00:00:44.574]  See them on the web www.5starsoap.com or call 1-800-340-7091 for a catalog.
[00:00:52.717 --> 00:00:55.099]  Waging war on corruption.
[00:00:55.099 --> 00:01:00.524]  Alex Jones on the GCN Radio Network.
[00:01:07.518 --> 00:01:11.899]  Waging war on corruption.
[00:01:11.899 --> 00:01:17.381]  It's Alex Jones coming to you live from the front lines of the InfoWar.
[00:01:17.381 --> 00:01:20.922]  Ladies and gentlemen, it is the
[00:01:26.364 --> 00:01:32.048]  First day of September 2013 as you listen to this worldwide transmission.
[00:01:32.048 --> 00:01:41.774]  And I am normally live here on Sundays, but we are taking off a little bit of time to actually work on Obama Deception 2, to be quite frank with you.
[00:01:41.774 --> 00:01:46.437]  The woods are lovely, dark and deep, but I have miles to go before I sleep.
[00:01:46.437 --> 00:01:50.199]  But part of this transmission will be original.
[00:01:50.199 --> 00:01:50.799]  It will be virgin.
[00:01:52.347 --> 00:02:06.690]  It will be a maiden voyage in the last three segments of the second hour coming up today because I had a chance to interview Friday night just a little while ago.
[00:02:06.690 --> 00:02:08.991]  As I said, I'm recording this on Friday night.
[00:02:08.991 --> 00:02:10.551]  Russell Brand.
[00:02:10.551 --> 00:02:11.932]  A lot of you probably heard of him.
[00:02:11.932 --> 00:02:17.333]  He is a very fast rising movie star, TV host, and a comic.
[00:02:18.784 --> 00:02:25.689]  And he's really been shaking things up, calling the media a bunch of narcissistic, basically mentally ill fools.
[00:02:25.689 --> 00:02:29.651]  And I had heard from David Icke that he was a listener, so we contacted him.
[00:02:29.651 --> 00:02:34.715]  Turned out he was a follower of me on my little Twitter account, Real Alex Jones.
[00:02:35.865 --> 00:02:43.767]  And so I contacted him on his Twitter that's got six million plus followers and said, hey, we'd like to catch you on.
[00:02:43.767 --> 00:02:48.769]  And boom, he came on and he says when he comes to Austin in a few weeks, we'll be able to do a video interview.
[00:02:48.769 --> 00:02:49.489]  So that should be interesting.
[00:02:49.489 --> 00:02:51.230]  People say, oh, why do we care about that?
[00:02:51.230 --> 00:02:52.570]  Well, he's a smart guy.
[00:02:52.570 --> 00:02:54.651]  He's getting people to think outside the box.
[00:02:54.651 --> 00:03:04.414]  And he's really, you know, awakened a lot from purely Marxist type ideas to a more libertarian view is what I got from the interview that you will be hearing.
[00:03:05.154 --> 00:03:08.397]  Because when I did it earlier today, it was only myself and the crew that heard it.
[00:03:08.397 --> 00:03:09.758]  Very small audience.
[00:03:09.758 --> 00:03:12.160]  But you will be hearing it by the millions coming up.
[00:03:12.160 --> 00:03:13.261]  And I think it was very informative.
[00:03:13.261 --> 00:03:29.856]  And then, the best part is, all of Russell Brand's hundreds of millions of fans around the world will then, many of them, tune in to this radio broadcast and to see the video of the interview that we will be posting up on Infowars.com after the show today.
[00:03:30.971 --> 00:03:37.137]  Uh, so that they can then hear him not being interrupted, uh, by petty issues.
[00:03:37.137 --> 00:03:39.959]  Only interrupted by other serious questions.
[00:03:39.959 --> 00:03:42.301]  So, that is coming up.
[00:03:42.301 --> 00:03:51.169]  Don't worry, the signature, trademark, interruptions, ah-ah-ah-ah-ah-ah-ah, uh, will be, uh, brought to you by the speech impediment master, Alex Jones.
[00:03:51.169 --> 00:03:53.451]  I don't really have that, but I wish I did.
[00:03:53.451 --> 00:03:55.913]  So, ladies and gentlemen, that is coming up.
[00:03:55.913 --> 00:03:56.534]  Now, um,
[00:03:57.722 --> 00:04:03.507]  It doesn't really matter that I'm saying this, but it's interesting.
[00:04:03.507 --> 00:04:08.272]  If there is a big strike on Syria, you will be hearing me this Sunday, so you'll never hear this tape.
[00:04:08.272 --> 00:04:10.254]  This is all for naught.
[00:04:10.254 --> 00:04:18.942]  But obviously, if you are hearing it, there's a little inside baseball of how we're pre-planning things and how hard we work here at TheInfoWars.com studios.
[00:04:18.942 --> 00:04:22.706]  If Obama, for face-saving, only cruise missiles and a few military outposts,
[00:04:23.919 --> 00:04:24.439]  I don't
[00:04:43.866 --> 00:04:46.567]  He will be live doing three hours of the show.
[00:04:46.567 --> 00:04:51.710]  I will be here at the office working on the bomb deception too, as I have been about seven days a week as of late.
[00:04:51.710 --> 00:04:53.411]  Best film, most powerful film ever made.
[00:04:53.411 --> 00:04:54.371]  It's unbelievable.
[00:04:54.371 --> 00:04:55.832]  I mean, just how it exposes this thing.
[00:04:55.832 --> 00:04:58.053]  It's the Rosetta Stone of understanding this tyranny.
[00:04:58.053 --> 00:04:59.134]  So that's coming up.
[00:04:59.134 --> 00:05:09.519]  But we've got a still boiled down to the most important World War III, the potential World War III news of the week with Greg Pallast, Dr. Jerome Corsi, Dr. Paul Greg Roberts.
[00:05:09.519 --> 00:05:12.120]  That's all coming up from those interviews this week.
[00:05:12.120 --> 00:05:12.901]  Boiled down.
[00:05:13.661 --> 00:05:18.466]  And then you get the, again, maiden voyage of my interview with Russell Brandt.
[00:05:18.466 --> 00:05:33.521]  And again, if we win the culture wars to wake up people that have once been the princes of trendiness and now they're the princes of mass awakening, we are certainly beginning to win the culture war for free humanity against the bored, collectivist, globalist.
[00:05:33.521 --> 00:05:34.583]  So we're going to go to break.
[00:05:35.183 --> 00:05:43.791]  For now, though, my friends, I've got to leave you with the original transmission until Russell Brand joins us in about an hour and 15 minutes from now.
[00:05:43.791 --> 00:05:46.554]  But next, Dr. Jerome Corsi, straight ahead.
[00:05:46.554 --> 00:05:47.435]  It's September 1st, 2013.
[00:05:47.435 --> 00:05:48.255]  PrisonPlanet.tv.
[00:06:00.774 --> 00:06:02.859]  It's hurricane and wildfire season again.
[00:06:02.859 --> 00:06:10.415]  Why do thousands of people sit in these reoccurring problem areas year after year, betting their lives that the disaster won't get them?
[00:06:13.102 --> 00:06:15.824]  50,000 donated meals to the Oklahoma victims.
[00:06:15.824 --> 00:06:18.006]  The problem is we can't help everybody.
[00:06:18.006 --> 00:06:24.410]  If every one of us who can will take care of ourselves, we can all pitch in to take care of those who really can't.
[00:06:24.410 --> 00:06:32.635]  The new Just In Case Pack from eFoods Direct is the big brother to the 7-Day Emergency Pack designed for Oklahoma disaster donations.
[00:06:32.635 --> 00:06:38.980]  It contains a 2-month supply for 1 person, or a 1-month supply for 2 adults, or a 2-week supply for a family of 4.
[00:06:39.600 --> 00:06:41.182]  The $320 price is $50 less than retail.
[00:06:41.182 --> 00:06:44.086]  Call 800-409-5633 on the web efoodsdirect.com slash alex.
[00:06:44.086 --> 00:06:46.408]  Order two or more, get 10% off, free shipping applies.
[00:06:46.408 --> 00:06:49.412]  Call 800-409-5633 on the web efoodsdirect.com slash alex.
[00:07:11.028 --> 00:07:14.591]  Crashing through the lies and disinformation.
[00:07:14.591 --> 00:07:22.017]  It's Alex Jones on the GCN Radio Network.
[00:07:22.017 --> 00:07:25.399]  Waging war on corruption.
[00:07:25.399 --> 00:07:27.221]  We're here Monday through Friday 11 a.m.
[00:07:27.221 --> 00:07:27.721]  to 2 p.m.
[00:07:27.721 --> 00:07:28.101]  Central.
[00:07:28.101 --> 00:07:30.683]  Back Sundays live 4 to 6 p.m.
[00:07:30.683 --> 00:07:36.528]  But this is a retransmission for part of the broadcast today because the information was so important this week.
[00:07:37.088 --> 00:07:47.952]  Breaking down the confusing mess that is the Middle East, and then a premiere interview that I taped Friday with the top comedian, movie star, you name it, Russell Brand on a host of political issues.
[00:07:47.952 --> 00:07:49.172]  It's powerful.
[00:07:49.172 --> 00:07:55.455]  We're going to premiere it in the last three segments of the second hour, coming up in about an hour and 15 minutes.
[00:07:55.455 --> 00:07:57.295]  So stay with us for that.
[00:07:57.295 --> 00:08:01.457]  First up, Dr. Jerome Corsi of WorldNetDaily.
[00:08:01.457 --> 00:08:03.958]  You cannot get a better political mind on what's happening in the Middle East.
[00:08:04.338 --> 00:08:15.626]  With bombshell info about the nuclear threat, the World War III threat, posed if this expansion of the war gets out of hand by Obama.
[00:08:15.626 --> 00:08:18.488]  Excuse me, that's illegal in America to talk about the President.
[00:08:18.488 --> 00:08:19.869]  We don't have a First Amendment anymore.
[00:08:19.869 --> 00:08:24.732]  I meant our Lord, our King, our dear leader, Kim Jong-il, Kim Jong-un.
[00:08:24.732 --> 00:08:25.692]  I meant Obama.
[00:08:25.692 --> 00:08:26.133]  Here it is.
[00:08:27.830 --> 00:08:28.871]  This is unprecedented.
[00:08:28.871 --> 00:08:29.611]  Here's the headline.
[00:08:59.030 --> 00:09:06.252]  Dr. Corsi, how big is this that they're doing this and that they don't have support?
[00:09:06.252 --> 00:09:13.953]  Bush had 72% in Gallup polls and Pew had 72% in 2003.
[00:09:13.953 --> 00:09:21.715]  I think this is the total collapse of credibility, but it's kind of like Hitler wasn't supported at the end either, but he was still in control of the Reich.
[00:09:21.715 --> 00:09:22.675]  What are we seeing here?
[00:09:22.675 --> 00:09:23.815]  And break down this bombshell.
[00:09:24.400 --> 00:09:40.121]  Well, first of all, Alex, the article we've got running on world.dailywnd.com right now, as you say, I went yesterday and researched, checked with the Arabic-speaking sources, Waleed Chobat, who helped write the article.
[00:09:41.182 --> 00:09:55.022]  There's numerous videos on the internet and in the Arabic-speaking world that make it clear the rebels are the ones who have launched the sarin gas attacks, not the Assad government.
[00:09:55.768 --> 00:09:58.449]  Now, the Assad government is not a great government.
[00:09:58.449 --> 00:10:01.671]  I mean, there's no good guys in Syria.
[00:10:01.671 --> 00:10:04.032]  But the point is, the truth is the truth.
[00:10:04.032 --> 00:10:12.096]  And I think the attempt by the Obama administration, which now appears to be the second time the Obama administration has tried this.
[00:10:12.096 --> 00:10:16.219]  It was the narrative being run out of the White House back in May.
[00:10:17.119 --> 00:10:21.363]  That the Assad government was launching chemical attacks.
[00:10:21.363 --> 00:10:24.666]  But the problem is that there's no validation of it.
[00:10:24.666 --> 00:10:26.207]  There's no hard proof.
[00:10:26.207 --> 00:10:30.851]  John Kerry, Secretary of State, said yesterday he has indisputable proof.
[00:10:30.851 --> 00:10:32.132]  Well, let's see it.
[00:10:33.095 --> 00:10:34.797]  Why don't we see this proof?
[00:10:34.797 --> 00:10:36.619]  It's not there.
[00:10:36.619 --> 00:10:47.132]  Even the United Nations, going back to May, doubted very seriously that the Assad regime, as bad as it is, was going to use sarin gas attacks.
[00:10:47.132 --> 00:10:49.114]  As you said, it does not make any sense.
[00:10:50.459 --> 00:10:56.283]  Why, when the Assad government's winning, would it resort to sarin gas attacks?
[00:10:56.283 --> 00:11:13.457]  And with video after video, with testimony after testimony coming out of the Arab world, in Syria it's widely known that it's the rebels, which are a group of Al-Qaeda, Muslim Brotherhood, ragtag radicals.
[00:11:14.329 --> 00:11:14.569]  That's
