[00:00:04.924 --> 00:00:08.126]  It's Wednesday, July 21st.
[00:00:08.126 --> 00:00:11.668]  This is the biggest news we've broken in our entire history.
[00:00:11.668 --> 00:00:15.210]  Get ready.
[00:00:15.210 --> 00:00:16.331]  InfoWars.
[00:00:16.331 --> 00:00:17.852]  Tomorrow's news, today.
[00:00:43.682 --> 00:00:50.323]  Excuse me, sir.
[00:00:50.323 --> 00:01:00.326]  Would you mind letting me have a look at the contents of your bag, please?
[00:01:00.326 --> 00:01:03.507]  Me?
[00:01:03.507 --> 00:01:04.547]  Biological samples.
[00:01:06.354 --> 00:01:08.615]  I have the papers right here.
[00:01:08.615 --> 00:01:13.177]  Well, I'm going to have to ask you to open this up, sir.
[00:01:13.177 --> 00:01:15.759]  Open it?
[00:01:15.759 --> 00:01:17.620]  Yes, of course.
[00:01:17.620 --> 00:01:18.260]  Excuse me.
[00:01:18.260 --> 00:01:21.301]  Man, you'll have to get in the lawn.
[00:01:21.301 --> 00:01:21.581]  See?
[00:01:21.581 --> 00:01:23.342]  It's biological.
[00:01:23.342 --> 00:01:25.323]  Check the papers.
[00:01:25.323 --> 00:01:26.744]  It's all proper.
[00:01:26.744 --> 00:01:27.284]  Get the permit.
[00:01:34.036 --> 00:01:35.097]  It's empty.
[00:01:35.097 --> 00:01:36.618]  Well, yes, to be sure.
[00:01:36.618 --> 00:01:40.361]  It looks empty.
[00:01:40.361 --> 00:01:41.903]  I assure you, it's not.
[00:01:41.903 --> 00:01:42.904]  You don't understand.
[00:01:42.904 --> 00:01:46.347]  No, ma'am, I don't have to understand.
[00:01:46.347 --> 00:01:48.729]  This is very important.
[00:01:48.729 --> 00:01:50.350]  There you see?
[00:01:50.350 --> 00:01:55.514]  Also invisible to the naked eye.
[00:01:55.514 --> 00:01:59.498]  It doesn't even have an odor.
[00:02:00.495 --> 00:02:02.577]  That's not necessary, sir.
[00:02:02.577 --> 00:02:03.598]  There you go.
[00:02:03.598 --> 00:02:05.279]  Thank you for your cooperation.
[00:02:05.279 --> 00:02:13.426]  Have a good flight.
[00:02:13.426 --> 00:02:15.548]  Bill Gates tells you he wants to kill you.
[00:02:20.097 --> 00:02:29.921]  When he takes over every major medical system on the planet, backed by the Rockefeller Foundation, now in public control of world health, through the UN that they established in 1946.
[00:02:29.921 --> 00:02:34.163]  And I want you to meet the real 12-Monkey Scientist.
[00:02:34.163 --> 00:02:42.247]  He heads up the program, ladies and gentlemen, of the biggest bio-weapons lab in the world in London, England.
[00:02:42.247 --> 00:02:44.748]  He's David L. V. Bower, and he went on TV.
[00:02:45.973 --> 00:02:46.293]  I don't
[00:03:06.658 --> 00:03:09.180]  Every month, this gets rid of your immune system.
[00:03:09.180 --> 00:03:11.362]  It basically gives you the equivalent of HIV.
[00:03:11.362 --> 00:03:17.846]  It even has the HIV delivery system in it, but it does it through a different mechanism and destroys your body's immune system.
[00:03:17.846 --> 00:03:20.228]  They've committed mass crimes against humanity.
[00:03:20.228 --> 00:03:23.090]  I think we're too stupid to know what's happening.
[00:03:23.090 --> 00:03:27.794]  I had a huge brainstorm yesterday and I did seven hours of research yesterday evening
[00:03:29.560 --> 00:03:31.384]  Until 3.30 in the morning.
[00:03:31.384 --> 00:03:32.587]  And I'm going to present that here today.
[00:03:32.587 --> 00:03:35.674]  But here's just a small prelude of what's coming up.
[00:03:35.674 --> 00:03:36.195]  Here he is!
[00:03:37.875 --> 00:03:49.520]  The key message from our finding is that we found that recipients of the Pfizer vaccine, those who've had two doses, have about five to six fold lower amounts of neutralizing antibodies.
[00:03:49.520 --> 00:03:58.964]  Now these are the sort of gold standard private security antibodies of your immune system, which block the virus from getting into your cells in the first place.
[00:03:59.864 --> 00:04:02.285]  So we found that that's less for people with two doses.
[00:04:02.285 --> 00:04:11.369]  We've also found that for people with only one dose of the Pfizer jab, that they are less likely to have high levels of these antibodies in their blood.
[00:04:11.369 --> 00:04:16.232]  And perhaps most importantly for all of us going forward is that we see that the older you are,
[00:04:16.932 --> 00:04:25.874]  The lower your levels are likely to be, and the time since you've had your second jab, as that time goes on, the lower your levels are also likely to be.
[00:04:25.874 --> 00:04:34.796]  So that's telling us that we're probably going to be needing to prioritize boosters for older and more vulnerable people coming up soon, especially if this new variant spreads.
[00:04:34.796 --> 00:04:38.597]  So folks saw that, and it got about 5 million views, and Twitter took it down.
[00:04:38.597 --> 00:04:40.198]  It was on international TV.
[00:04:41.258 --> 00:04:44.623]  And then I went and read a bunch of his papers, and he admits it gets rid of your immune system.
[00:04:44.623 --> 00:04:45.945]  So, wow!
[00:04:45.945 --> 00:04:47.508]  Who needs an immune system?
[00:04:47.508 --> 00:04:49.090]  Thank you, Pfizer!
[00:04:49.090 --> 00:04:49.931]  Oh, it's all coming up.
[00:04:49.931 --> 00:04:53.497]  Oh, and guess who's sponsoring making little kids wear masks?
[00:04:53.497 --> 00:04:54.198]  You guessed again.
[00:04:54.198 --> 00:04:55.440]  Pfizer.
[00:04:55.440 --> 00:04:56.822]  The spirit of Hitler lives.
