[00:00:06.913 --> 00:00:07.334]  1-800-340-7091.
[00:00:07.334 --> 00:00:10.676]  That's 1-800-340-7091.
[00:00:10.676 --> 00:00:16.641]  Or log on to 5starsoap.com now for a free catalog.
[00:00:16.641 --> 00:00:23.507]  Again, that number, 1-800-340-7091 or 5starsoap.com for all your cleaning needs.
[00:00:23.507 --> 00:00:32.114]  York Monument is dedicated to commemorate racial integra- Thank you for listening to GCN.
[00:00:32.114 --> 00:00:33.615]  KLVJ Austin-
[00:00:37.231 --> 00:00:39.051]  IRN USA Radio News.
[00:00:39.051 --> 00:00:40.172]  I'm Jody Jordan.
[00:00:40.172 --> 00:00:43.452]  The Red River is slowly receding at Fargo, North Dakota.
[00:00:43.452 --> 00:00:47.813]  But a breach in the dike protecting the city's north side has flooded a school campus.
[00:00:47.813 --> 00:00:52.354]  But it wasn't serious enough to warrant the evacuation of nearby residents.
[00:00:52.354 --> 00:00:55.115]  Robin Litby is a spokeswoman for the city of Fargo.
[00:00:55.115 --> 00:00:58.495]  We've just asked them to plug their sewers and to monitor their basements.
[00:00:58.495 --> 00:01:01.276]  Waters may remain dangerously high for a week.
[00:01:02.208 --> 00:01:07.194]  And the Obama administration is readying a fresh aid for General Motors and Chrysler.
[00:01:07.194 --> 00:01:10.859]  The two automakers have already received more than $17 billion.
[00:01:10.859 --> 00:01:16.706]  GM is asking for more than $16 billion in new aid, while Chrysler wants another $5 billion.
[00:01:16.706 --> 00:01:20.571]  The administration is expected to insist on tough cost-cutting measures.
[00:01:21.286 --> 00:01:22.487]  Here's Ken Thomas.
[00:01:22.487 --> 00:01:30.090]  It has an impact on communities throughout the country in terms of supplier jobs, dealer jobs, and the like.
[00:01:30.090 --> 00:01:33.872]  This is IRN USA Radio News.
[00:01:33.872 --> 00:01:35.393]  My name is John Demartino.
[00:01:35.393 --> 00:01:39.375]  I'm from Colorado, and I started using Andy Willoughby's three-step plan.
[00:01:39.375 --> 00:01:49.220]  It's extremely encouraging for me, and they've given me training on exactly what to say, and I don't have to be a salesman to talk to people that are calling me.
[00:01:49.660 --> 00:01:53.082]  It's made me feel like, wow, let's do business.
[00:01:53.082 --> 00:01:57.505]  I can only conceive of growing and growing and growing now.
[00:01:57.505 --> 00:02:00.867]  I'm 56 years old and I feel young.
[00:02:00.867 --> 00:02:01.848]  I feel renewed.
[00:02:01.848 --> 00:02:02.648]  I'm happy.
[00:02:02.648 --> 00:02:05.010]  I'm excited about my financial future.
[00:02:05.010 --> 00:02:11.414]  In a short amount of time, less than an hour a day, if someone wanted to, they could have a system.
[00:02:11.414 --> 00:02:13.515]  This is a stress-relieving business.
[00:02:13.835 --> 00:02:15.337]  Hi, how in the world are you anyway?
[00:02:15.337 --> 00:02:16.658]  This is Andy Willoughby.
[00:02:16.658 --> 00:02:20.802]  After five years, the 3-Step Plan is a proven success story.
[00:02:20.802 --> 00:02:25.666]  If you're tired of worrying about money all the time, go to 3stepplan.com or call 800-480-2102.
[00:02:25.666 --> 00:02:25.706]  800-480-2102.
[00:02:34.013 --> 00:02:40.296]  President Barack Obama makes his first overseas presidential visit this week to some of America's closest allies.
[00:02:40.296 --> 00:02:47.899]  The president is widely popular among the European public and may learn this week whether the same holds true for European leaders.
[00:02:47.899 --> 00:02:52.121]  His agenda includes the global financial meltdown and the fight against terror.
[00:02:52.705 --> 00:03:01.017]  An Israeli official close to Prime Minister Ehud Olmert says there's a slim chance of a prisoner swap deal with Hamas before Olmert leaves office.
[00:03:01.017 --> 00:03:07.727]  The official says contacts are ongoing, but he assumes matters will wait for the new government, which will be sworn in next week.
[00:03:08.507 --> 00:03:11.870]  And college basketball's Final Four is shaping up.
[00:03:11.870 --> 00:03:15.833]  Connecticut will be there, along with Big East rival Villanova.
[00:03:15.833 --> 00:03:20.276]  Villanova beat Pitt last night, while UConn topped Missouri.
[00:03:20.276 --> 00:03:27.062]  Later today, Louisville takes on Michigan State, and North Carolina plays Oklahoma for the two other spots.
