[00:00.000 --> 00:29.960]  From the front lines of the Information War, it's Alex Jones.
[00:29.960 --> 00:42.960]  What we are looking at is good and evil, right and wrong.
[00:42.960 --> 00:48.960]  Well, we've got a new talking point that's being put out by mainstream media we're going to go to coming up the next long segment.
[00:48.960 --> 00:55.960]  Questioning Hillary Clinton exposing uranium-1 or Russian connections is dictatorship.
[00:55.960 --> 01:01.960]  But then they're the ones calling for Trump to be overthrown and the ones that want martial law.
[01:01.960 --> 01:06.960]  So that is all coming up today. There is so much more to go over.
[01:06.960 --> 01:14.960]  Plus Judge Roy Moore saying that he courted 16, 17-year-old girls when he was 35.
[01:14.960 --> 01:18.960]  I think that's a little creepy but not illegal.
[01:18.960 --> 01:24.960]  But meanwhile you've got, as I said, Joe Biden groping little kids all over television hundreds of times.
[01:24.960 --> 01:28.960]  The service agents saying that he would grop little kids and was worse than Weinstein.
[01:28.960 --> 01:34.960]  You've got Bill Clinton, you've got just all the Democrat garbage, Kevin Spacey, Hollywood, the rest of it.
[01:34.960 --> 01:43.960]  And they're trying to project their activity on the conservatives, Christians and libertarians as if we're the ones that have the big, giant history of this.
[01:43.960 --> 01:47.960]  When we see there's evidence of Moore doing something, we'll go after him.
[01:47.960 --> 01:50.960]  But more and more the evidence gets undermined.
[01:50.960 --> 01:55.960]  The mall says he was never banned. It was never an issue with him at the mall and teenage girls.
[01:55.960 --> 01:58.960]  It's just made up. And now people want to see the yearbook.
[01:58.960 --> 02:02.960]  Not just hold it up. And a bunch of them turned out to be Democrat party operatives.
[02:02.960 --> 02:08.960]  That's what I'm saying is they take Moore and turn him into the devil incarnate
[02:08.960 --> 02:11.960]  and then change the whole subject of everything they've been doing
[02:11.960 --> 02:18.960]  and then make normal courtship activities between men and women a dirty bad thing.
[02:18.960 --> 02:25.960]  Now that said, according to Democratic standards, and I knew this news two days ago,
[02:25.960 --> 02:30.960]  I was dealing with a bunch of family stuff today, so I didn't really come in and do a bunch of preparation.
[02:30.960 --> 02:36.960]  I normally do that, but I walked in here and they said, have you heard Al Franken and I said, assaulted a woman.
[02:36.960 --> 02:39.960]  They said, oh, yeah, you've already seen it? Is it just broke?
[02:39.960 --> 02:47.960]  And I said, yeah, I knew about it two days ago, but I was not green-lighted to go anywhere, whether I knew about it from Roger Stone.
[02:47.960 --> 02:50.960]  So we should probably get Roger on to give us the rest of the story today.
[02:50.960 --> 02:54.960]  Now he knew about it a couple days ago, and I've got his text messages.
[02:54.960 --> 02:59.960]  Al Franken's sex accusation, kissed and groped, not funny.
[02:59.960 --> 03:05.960]  According to Democratic Party nomenclature, a man and woman who are married having sex is rape.
[03:05.960 --> 03:08.960]  Feminists actually teach any sex with a man and woman is evil.
[03:08.960 --> 03:15.960]  Of course, don't ignore the fact that lesbians have the highest rate of rape, highest rate of beating each other up.
[03:15.960 --> 03:20.960]  And I'm not saying they're all rapists or I'm just saying statistically, it's a very abusive group to their own people.
[03:20.960 --> 03:22.960]  So they just demonize heterosexuals all day.
[03:22.960 --> 03:28.960]  But here's photos of Al Franken joking like he's grabbing a woman's breast.
