[00:00.000 --> 00:02.000]  We've got it
[00:07.400 --> 00:09.400]  Waging war on corruption
[00:09.400 --> 00:34.400]  It's Alex Jones, coming to you live from the front lines of the Info War
[00:34.400 --> 00:46.400]  It's already the 5th day of October 2014. I'm your host Alex Jones. We're live broadcasting worldwide, some casting video at infowars.com.
[00:46.400 --> 00:59.400]  I want to open the phones up today and talk to Texans but Americans and other people around the world for that matter about the handling of Ebola 2014.
[00:59.400 --> 01:15.400]  We saw the video and photo images Friday of workers cleaning up piles of vomit where the Ebola stricken man in Dallas had been vomiting.
[01:15.400 --> 01:24.400]  He had been in the hospital a week before and given antibiotics for a virus. You don't give antibiotics for a virus.
[01:24.400 --> 01:36.400]  Then it took them a week to think, hey, we better go find the ambulance he was in and scrub it down.
[01:36.400 --> 01:50.400]  And we witnessed a federal government when France and England and everybody else for that matter over a month ago banned flights out of these stricken African countries on the African West Coast and Central Africa.
[01:50.400 --> 01:59.400]  Here in the United States they have the head of the CDC running around saying it would make it worse but giving no evidence to that.
[01:59.400 --> 02:15.400]  And they've got MSNBC headlines, how the NRA is making the Ebola crisis worse and I've seen headlines about Perry better do a good job with Ebola in Texas or he'll be in political trouble.
[02:15.400 --> 02:23.400]  How is it Rick Perry's job to control the airplanes flying in? That's a federal.
[02:23.400 --> 02:33.400]  And I'm not defending Rick Perry, it's just total spoken mirrors. Rick Perry better watch it, NRA better watch it. How about the state of Marshmallow Man better watch it?
[02:33.400 --> 02:50.400]  It has nothing to do with any reality. It is the out of control reckless federal government that has opened the borders up months ago, two months ago M4 wars came out.
[02:50.400 --> 02:56.400]  Drudge came out, others came out and said, hey, why are the southern borders wide open while this is happening?
[02:56.400 --> 03:01.400]  And now they're saying, yeah, Ebola could come across but there's no way to control it so.
[03:01.400 --> 03:11.400]  Look, Geraldo Rivera was wrong is the issue and political correctness has paralyzed this country.
[03:11.400 --> 03:13.400]  That's what it's designed to do.
[03:13.400 --> 03:28.400]  Last few years we've seen articles at colleges across the United States and England where they say don't have a Halloween party and don't dress up like a gay sugar or an Eskimo or a cowboy or a Native American or a pirate or anybody because it's hurtful.
[03:28.400 --> 03:39.400]  And then I was reading an email that a friend sent me from their big yoga studio that they attend where they were going to have a India style party.
[03:39.400 --> 03:48.400]  And they said, well, we're really a complaints that would be racist if we dressed up like people from India because obviously yoga is connected to India.
[03:48.400 --> 03:52.400]  And so we're going to shut it down.
[03:52.400 --> 04:05.400]  See, we can't even shut flights down from countries where they're estimating 1.4 to 5 million people will get Ebola by the time it runs its course.
[04:05.400 --> 04:09.400]  They are trying to get out in mass.
[04:09.400 --> 04:15.400]  Other African countries have sealed their borders, but we can't.
[04:15.400 --> 04:30.400]  Because if they can shell us on having open borders during Ebola or during other superbugs like this intro virus that's killing kids, then they can do anything.
[04:30.400 --> 04:37.400]  So we're going to come back over all the information covering this, all the latest developments, open the phones up and get your take on it.
[04:37.400 --> 04:39.400]  We're going to be talking about Ebola here today.
[04:39.400 --> 04:45.400]  We don't screen your calls, but sometimes we're on topic, so that's what we're going to be discussing.
[04:45.400 --> 04:53.400]  And also, if you want to cover it, want to talk about it, Army Chiefs tell U.S. government and the Brits are doing as well, stop Gulf States funding terrorism.
[04:53.400 --> 04:56.400]  So our own military is admitting what's really going on here.
[04:56.400 --> 05:25.400]  It's very good news.
[05:25.400 --> 05:54.400]  It's very good news.
[05:54.400 --> 06:23.400]  This is an emergency transmission from FEMA Region 6 in the occupied North America.
[06:23.400 --> 06:25.400]  There is a war.
[06:25.400 --> 06:27.400]  It's happening now.
[06:27.400 --> 06:29.400]  It will decide the fate of humanity.
[06:29.400 --> 06:32.400]  The time to choose sides has come.
[06:32.400 --> 06:34.400]  We are the resistance.
[06:34.400 --> 06:38.400]  We are the Info War.
[06:38.400 --> 06:40.400]  Thank you for joining us live.
[06:40.400 --> 06:44.400]  It is October 5th, ladies and gentlemen, on this Worldwide Sunday edition.
[06:44.400 --> 06:46.400]  I am your host, Alex Jones.
[06:46.400 --> 06:51.400]  We're going to be here for the next two hours as we are every Sunday, 4 to 6 p.m. Central.
[06:51.400 --> 06:57.400]  And I'll be back, Lord willing, tomorrow live, 11 a.m. to 2 p.m. Central with the weekday broadcast.
[06:57.400 --> 06:59.400]  We have Info Wars Nightly News.
[06:59.400 --> 07:02.400]  And that, of course, is 7 o'clock Central each and every weeknight.
[07:02.400 --> 07:11.400]  Monday through Friday, 7 o'clock Central at infowarsnews.com or prisonplanet.tv.
[07:11.400 --> 07:21.400]  We're going to open the phones up and get your view and your take on Ebola coming to the United States, the epicenter being Dallas, Texas,
[07:21.400 --> 07:24.400]  that's being announced, of course, last week.
[07:24.400 --> 07:28.400]  We've had our reporters, Joe Biggs and others on the ground up there in Dallas.
[07:28.400 --> 07:37.400]  I'm just three and a half hours by car, 25 minutes by aircraft from Dallas reporting from Austin.
[07:37.400 --> 07:51.400]  Countedly, if Ebola has spread to other people and has a 22-day incubation period that's expanded from just three days to 22 now, 21-22,
[07:51.400 --> 07:58.400]  then it has spread all up and down I-35 airplanes, you name it.
[07:58.400 --> 08:02.400]  But this is a lot bigger than just Ebola.
[08:02.400 --> 08:12.400]  It shows how the governments claim that it's setting up this giant high-tech surveillance NSA police state grid to keep us safe is not true.
[08:12.400 --> 08:24.400]  It's being put in place to control and fix the markets and to give select intel to private corporations that are anti-free market insider crony combines.
[08:24.400 --> 08:31.400]  And we've had former heads of the NSA like Bill Benning on the show.
[08:31.400 --> 08:35.400]  He's the director of their intelligence operations to say just exactly what I just stated.
[08:35.400 --> 08:38.400]  This is not an opinion. This is what's going on.
[08:38.400 --> 08:44.400]  Our government has been colonized by special interest.
[08:44.400 --> 08:49.400]  And they have openly said in different North American Union documents, the BAMF Canada documents came out in 2007,
[08:49.400 --> 08:56.400]  that they would use smallpox, the flu, Ebola to bring in a North American Union
[08:56.400 --> 09:02.400]  and would want it to spread across three nations at least to then have a coordinated response
[09:02.400 --> 09:09.400]  and sell the idea of extra governmental, global governmental systems fixing a problem
[09:09.400 --> 09:15.400]  because the normal governmental systems state and federal fail.
[09:15.400 --> 09:19.400]  And if you look at what's happening, it's failing by design.
[09:19.400 --> 09:30.400]  The Arab countries, the African countries, the UK, France, all in the last month and a half,
[09:30.400 --> 09:39.400]  banned flights out of Sierra Leone, Liberia and other areas that have epidemic levels,
[09:39.400 --> 09:41.400]  hundreds of thousands of Ebola spreading.
[09:41.400 --> 09:47.400]  UN models are 1.4 to 5 million people getting it, millions dying by the end of the year.
[09:47.400 --> 09:51.400]  I don't know if that's accurate. That's what they're saying.
[09:51.400 --> 10:01.400]  And you've got cases where if someone has drug resistant TB, they're banned from flying
[10:01.400 --> 10:05.400]  and if they get caught doing it, they get locked up for years.
[10:05.400 --> 10:06.400]  They get quarantined.
[10:06.400 --> 10:09.400]  We've had medical doctors on to talk about this last week.
[10:09.400 --> 10:11.400]  We've had CDC experts on.
[10:11.400 --> 10:15.400]  Everyone who's worked in hazmat, anyone who's worked in a hospital,
[10:15.400 --> 10:21.400]  you know the rules, you know the law, state, federal, international.
[10:21.400 --> 10:28.400]  There is a default that when you have a serious contagion, a level four type contagion
[10:28.400 --> 10:34.400]  that kills a vast majority of those that contract it,
[10:34.400 --> 10:39.400]  that you do not let people come in from those countries.
[10:39.400 --> 10:45.400]  If you go and just look it up, the surrounding African nations in North Africa,
[10:45.400 --> 10:50.400]  Southern Africa, Eastern Africa are heavily screening people at their borders.
[10:50.400 --> 10:55.400]  They have their borders shut down and they're not accepting flights from major cities
[10:55.400 --> 11:00.400]  out of Sierra Leone and Liberia and what four other countries.
[11:00.400 --> 11:01.400]  You can look it up.
[11:01.400 --> 11:04.400]  The UK banned flights a month and a half ago out of those countries.
[11:04.400 --> 11:07.400]  They're screening people.
[11:07.400 --> 11:12.400]  If you came here 100 years ago to Ellis Island, you got screened for TB.
[11:12.400 --> 11:18.400]  About two-thirds of the people got turned back at Ellis Island.
[11:18.400 --> 11:21.400]  Now it's just come on.
[11:21.400 --> 11:27.400]  The CDC chief has come out and said, quote, we can't shut down the border.
[11:27.400 --> 11:28.400]  Said that on NBC News.
[11:28.400 --> 11:33.400]  We have that video clip coming up.
[11:33.400 --> 11:37.400]  On Wednesday, I called for a petition and folks did set that up.
[11:37.400 --> 11:40.400]  It's got about 100,000 signatures.
[11:40.400 --> 11:44.400]  Not because Obama does anything with those petitions,
[11:44.400 --> 11:52.400]  but because it draws attention to what's going on and becomes a news item.
[11:52.400 --> 11:55.400]  I also called for calling the White House and Congress
[11:55.400 --> 11:58.400]  and saying the default is for you to control the borders
[11:58.400 --> 12:02.400]  and to control the aircraft coming in here and to block these flights.
[12:02.400 --> 12:05.400]  I called for Rick Perry and I know you called for Rick Perry,
[12:05.400 --> 12:11.400]  the governor of Texas, to call on Obama to do his job and shut down the flights.
[12:11.400 --> 12:17.400]  Rick Perry, as far as we know, and I've been following it, has not done that.
[12:17.400 --> 12:22.400]  Now Louisiana governor Bobby Jindal did come out on Friday
[12:22.400 --> 12:25.400]  and called on the Obama administration to impose a travel ban on flights
[12:25.400 --> 12:27.400]  to the US from countries with Ebola outbreaks.
[12:27.400 --> 12:30.400]  We should stop accepting flights from countries that are Ebola stricken
[12:30.400 --> 12:35.400]  by the Republican governor said in a statement.
[12:35.400 --> 12:40.400]  And he went on from there.
[12:40.400 --> 12:44.400]  The media, the AP and others are saying this is a test of Perry's leadership.
[12:44.400 --> 12:47.400]  If he doesn't get it under control,
[12:47.400 --> 12:52.400]  it's the feds that are supposed to blockade aircraft coming in from outside the nation.
[12:52.400 --> 12:57.400]  That is a federal prerogative of federal jurisdiction.
[12:57.400 --> 13:06.400]  Rick Perry, his only job is to demand the CDC do its job
[13:06.400 --> 13:09.400]  and demand state agencies try to contain it as well,
[13:09.400 --> 13:15.400]  but to put pressure on the president and the federal government to not open us up to this.
[13:15.400 --> 13:22.400]  So on Wednesday, when we had our reporters there at the press conference,
[13:22.400 --> 13:24.400]  we tried to push the governor to do that.
[13:24.400 --> 13:27.400]  He hasn't done that. It's a common sense default thing to do.
[13:27.400 --> 13:36.400]  Rick Perry didn't do it. Bobby Jindal did do it.
[13:36.400 --> 13:41.400]  And again, CDC director travel ban could make Ebola outbreak worse.
[13:41.400 --> 13:44.400]  They've sent more, thousands of more US troops,
[13:44.400 --> 13:46.400]  total of 5,000 now have gone into Africa,
[13:46.400 --> 13:53.400]  and they spend this like, well, we have a travel ban that will stop our response to it trying to, quote, fix it.
[13:53.400 --> 13:59.400]  They can't even clean up vomit off the street where this Ebola patient was running around throwing up.
[13:59.400 --> 14:06.400]  Our hospitals are so screwed up that when he went in a week before vomiting and sick,
[14:06.400 --> 14:12.400]  they gave him antibiotics and said he had a virus, antibiotics don't affect viruses.
[14:12.400 --> 14:19.400]  They didn't even clean for a week the ambulance for five days, the ambulance he'd been in.
[14:19.400 --> 14:23.400]  They're not cleaning his apartment. They're not doing anything, folks.
[14:23.400 --> 14:28.400]  They're not quarantining his family or people who were around him and knew him because they obviously wanted to spread.
[14:28.400 --> 14:36.400]  They've never allowed, in its federal law, someone with a super deadly disease like Ebola to come into the US.
[14:36.400 --> 14:40.400]  They've brought more than 20 Ebola patients in. They're now bringing more in.
