[00:00.000 --> 00:14.000]  Waging War on Corruption, it's Alex Jones
[00:14.000 --> 00:32.000]  At the time of the season, when love runs high, in this time, give it to me easy, and let me try with pleasure in hands
[00:32.000 --> 00:43.000]  To take you in the sun to promise love, to show you everyone is the time of the season
[00:43.000 --> 00:49.000]  The decisions we make will affect countless lives
[00:49.000 --> 01:05.000]  King Solomon, I thank you for the creation of this great moment in history, and for your massive investments in America and its industries and its jobs
[01:05.000 --> 01:23.000]  I also thank you for investing in the future of this part of the world. The fertile region, and it is so fertile, has all of the ingredients for extraordinary success
[01:23.000 --> 01:42.000]  A rich history and culture, a young and vibrant people, a thriving spirit of enterprise, but you can only unlock this future if the citizens of the Middle East are freed from extremism, terror and violence
[01:42.000 --> 02:03.000]  We in this room are the leaders of our peoples. They look to us for answers and for action, and when we look back at their faces, behind every pair of eyes is a soul that yearns for justice and yearns for peace
[02:03.000 --> 02:14.000]  Today, billions of faces are now looking at us, waiting for us to act on the great question of our time
[02:14.000 --> 02:40.000]  Will we be indifferent in the presence of evil? Will we protect our citizens from its violent ideology? Will we let its venom spread through our societies? Will we let it destroy the most holy sites on earth?
[02:40.000 --> 02:46.000]  If we do not confront this deadly terror, we know what the future will bring
[03:11.000 --> 03:21.000]  I think that remains to be seen, but I'll say this, there's a whole controversy brewing out there, and as they say, optics are pretty much everything
[03:21.000 --> 03:31.000]  President Trump criticized President Obama, as I did, for bowing from the waist all the way down in front of Saudi royalty, truly disgusting
[03:31.000 --> 03:40.000]  You don't see British Prime Ministers and other people doing that, or even French leaders. It's one thing of its custom, the Japanese, to bow slightly to each other in respect
[03:40.000 --> 03:45.000]  Now, this is bowing to a royal saying, you're subservient
[03:45.000 --> 04:04.000]  Now, a lot of conservative media says Trump didn't bow, well the truth is he curtsied, he didn't really bow from the waist, he lowered his legs, technically, so that they could put the medal that they give presidents, they've given W. Bush and they've given Obama the same medal
[04:04.000 --> 04:20.000]  It's all optics, and so he didn't bow as far down, but if you say you're not going to play golf, like Obama, and then you do, or you say you're not going to bow then you curtsied, optically, it's breaking the promise
[04:20.000 --> 04:29.000]  I'm going to open the phones up, not just on this issue, on a whole host of them, a little bit later in the hour, and we're going to have a free-for-all discussion about this
[04:29.000 --> 04:38.000]  Roger Stone tweeted out that it made him sick at his stomach, seeing Trump hand-in-hand with the Saudis and all the rest of it
[04:38.000 --> 04:53.000]  My big question is, are we not seeing engagement? Is he not criticizing radical Islam to their faces, something other U.S. presidents won't do? Is he not bombing the forces they've backed and driving them out of Syria and then showing up with an olive branch?
[04:53.000 --> 04:58.000]  We'll see, but it looks like a master stroke to me, a lot more coming up
[04:58.000 --> 05:06.000]  Electrify your day with Secret 12. It's like lightning in a bottle. We all have days in which we just can't seem to perform at the level we'd like to
[05:06.000 --> 05:14.000]  InfoWars Live Secret 12 is designed to naturally energize your body and mind, with two great tasting and super high quality forms of vitamin B12
[05:14.000 --> 05:19.000]  Proper vitamin and nutrient intake is essential to keep your body functioning at optimum levels
[05:19.000 --> 05:25.000]  The reality is, it's hard to take in the proper amount of vitamins we need each day with our modern diets
[05:25.000 --> 05:33.000]  Secret 12 by InfoWars Live is an easy way to naturally upgrade your vitamin B12 intake and support your body's natural systems
[05:33.000 --> 05:38.000]  It pairs two forms of vitamin B12 into one explosive formula
[05:38.000 --> 05:44.000]  Vitamin B12 supports healthy energy levels through red blood cell formation and aiding in the body's natural processes
[05:44.000 --> 05:47.000]  But it also assists with many other functions of the body
[05:47.000 --> 05:50.000]  Electrify your mind and body and take your health to the next level
[05:50.000 --> 05:57.000]  Experience the power of Secret 12 at InfoWarsLife.com. That's InfoWarsLife.com
[06:21.000 --> 06:26.000]  They openly admit they're doing it. Will they get away with it? Will you put up with it?
[06:26.000 --> 06:32.000]  And breaking live, will Donald Trump resign? It's come out in government documents and from sources
[06:32.000 --> 06:35.000]  But the Democrats do plan to get the president to resign
[06:35.000 --> 06:39.000]  Paul Watson wrote about that for InfoWars.com on Friday
[06:39.000 --> 06:42.000]  We'll be going over those leaked memos and documents
[06:42.000 --> 07:01.000]  But they say even if they can't get Trump to resign, they plan to sabotage his administration where he's completely scared to engage in any type of political interface or discourse with the Russians or anyone else because he'll be called a treacherous agent against America
[07:01.000 --> 07:11.000]  It's truly the gutting and the gilding of the presidency by the special interest and by the bureaucracy if they're successful
[07:11.000 --> 07:21.000]  Both Korea's fired off another unspecified missile into the sea off Japan as South Korea condemns it as irresponsible and reckless behavior escalating that
[07:21.000 --> 07:26.000]  Come he's set to be testifying in Congress next week and we keep asking the question
[07:26.000 --> 07:37.000]  He said on May 3rd two weeks ago in front of the Judiciary Committee in the Senate that no one had tried to influence him
[07:37.000 --> 07:49.000]  No one and then a few weeks later we learned there's a memo from two months before saying that he had tried to influence him
[07:49.000 --> 07:58.000]  And then the Daily Beast comes out and says Alex Jones caught in fake news again
[07:58.000 --> 08:08.000]  Alex Jones caused the stock market to go up you cannot make this up they called the head of the stock market and they said yes it's Alex Jones
[08:08.000 --> 08:11.000]  It's horrible
[08:11.000 --> 08:17.000]  He played this clip of Comey saying that no one had tried to influence him
[08:17.000 --> 08:29.000]  But the Daily Beast goes but it's it's it's it's two weeks old so it doesn't matter Jones act like it was new no we didn't we said in the article with the video this is from the Senate Judiciary Committee
[08:29.000 --> 08:38.000]  Two weeks ago where he says no one's tried to influence him and then he knew of no one no one two months after
[08:38.000 --> 08:49.000]  So see they're talking about a memo that's two months old two and a half months old and saying it's the most powerful thing on earth just oh Trump is such a criminal he's such an obstructor of justice it's all over
[08:49.000 --> 08:59.000]  And then they play this game going but Jones put out a two week old thing that like it was new and and you need to fake because because it didn't mean anything
[08:59.000 --> 09:08.000]  No one had pointed out that he'd said months after this memo was written in the Judiciary Committee that no one had tried to influence him
