[00:00.000 --> 00:15.600]  It's Mother's Day, and here comes the Valkyries.
[00:15.600 --> 00:24.000]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[00:24.000 --> 00:32.000]  Yes, it is I, my faithful and diligent info warriors out there facing down the terrain.
[00:32.000 --> 00:37.000]  On every front, if it wasn't for people like you, we'd be in a lot more trouble than we are right now.
[00:37.000 --> 00:44.000]  And the world, not just the United States, is beginning to awaken in a big, big way.
[00:44.000 --> 00:51.000]  Again, thank you for joining us on this Mother's Day, May 13th, 2012 edition.
[00:51.000 --> 00:55.000]  Coming up, because I think these speeches need to get some attention.
[00:55.000 --> 01:00.000]  We have a powerful speech Ron Paul gave last Sunday in Austin, Texas that my crew went down and taped,
[01:00.000 --> 01:03.000]  and we aired my info wars nightly news.
[01:03.000 --> 01:09.000]  And at Prism Planet.tv, we're going to air pretty much the entire 20-minute speech he gave in two segments, Ron Paul,
[01:09.000 --> 01:16.000]  and then most of the 10-minute speech that Ron Paul gave, because he gave actually about a 12-minute speech
[01:16.000 --> 01:19.000]  in the segments 10 minutes long, hence the reason we're going to cut part of it.
[01:19.000 --> 01:24.000]  That's coming up, the full speech is also at prismplanet.tv, so that's coming up.
[01:24.000 --> 01:28.000]  First, I'm going to get into the latest fake underwear bomber.
[01:28.000 --> 01:35.000]  CIA busting, LCIA busting itself, that is coming up in the next segment.
[01:35.000 --> 01:42.000]  I wanted to speak a little bit about motherhood and how the family, fatherhood, motherhood, it's all under attack.
[01:42.000 --> 01:46.000]  Hitler said, first you get the women, then you've got the children, so follow the men.
[01:46.000 --> 01:50.000]  And that is certainly the case. They try to play men and women off against each other.
[01:50.000 --> 01:53.000]  We don't just have chemical and biological and radiological attack against the population.
[01:53.000 --> 01:58.000]  We have all this cultural division, all the sitcoms, dramas, miss magazine,
[01:58.000 --> 02:03.000]  all about getting the family at each other's throat and then the children ultimately suffer.
[02:03.000 --> 02:07.000]  It's just amazing to see this, but motherhood is special.
[02:07.000 --> 02:14.000]  I'm not a fan of Mitt Romney, but when Democratic operatives came out and said that Mitt Romney's wife didn't work with five sons,
[02:14.000 --> 02:20.000]  it really blew up in their face, but it just shows they're disdain for women that actually hold the family together
[02:20.000 --> 02:25.000]  and then actually take care of their children. They want the man out of the home so the state can be the daddy,
[02:25.000 --> 02:32.000]  and mommy's having to work all the time, so she's just basically a biological android to provide more young.
[02:32.000 --> 02:38.000]  We saw that with the Department of Labor coming out and saying children can't do chores on a farm, which would kill the family farm.
[02:38.000 --> 02:41.000]  That's how you learn how to do it. It's a lot of fun when I worked on the farm.
[02:41.000 --> 02:45.000]  I'd be sitting down at the farm on the summers and things. They have a family farm slash ranch.
[02:45.000 --> 02:51.000]  They're not farming anymore, but they are doing some truck farm type stuff, but mainly a little bit of cattle.
[02:51.000 --> 02:59.000]  But the point is, is that this is all under attack. This is a corporate standardized system where the globalists see us as these creatures,
[02:59.000 --> 03:07.000]  like dogs, they're breeding to be a certain way. That's what eugenics is, and they're trying to have children from three parents now
[03:07.000 --> 03:14.000]  and splicing all the plants and animals. It's an abomination against our creation, and it trespasses.
[03:14.000 --> 03:20.000]  Monsanto trespasses with their DNA from the plants getting into other people's crops,
[03:20.000 --> 03:23.000]  and then they have courts to after folks who've been contaminated by them.
[03:23.000 --> 03:27.000]  That'd be like if I dumped motor oil in your backyard and said you'd stolen my motor oil.
[03:27.000 --> 03:32.000]  And the court said, well, Alex dumped the motor oil in your backyard, but since you have it there, you're stealing it.
[03:32.000 --> 03:38.000]  That's how ridiculous this is. So they're trespassing on us, they're running all over us, and we've got to learn about what they're doing,
