[00:00.000 --> 00:24.000]  Resistance to tyrants is obedience to God. It's Alex Jones.
[00:24.000 --> 00:32.000]  No doubt you have realized the splendor of my conception. First, a necklace of death about the earth.
[00:32.000 --> 00:42.000]  Fifty globes, each releasing its nerve gas over a designated area. Each capable of killing 100 million people.
[00:42.000 --> 00:48.000]  The human race, as you know it, will cease to exist.
[00:48.000 --> 00:59.000]  Who needs a James Bond villain to kill everyone when media darling eugenicist Bill Gates is off to such a celebrated start?
[00:59.000 --> 01:08.000]  While earning billions of dollars off his investments in the experimental vaccine industry, Bill Gates claims to be some sort of altruist,
[01:08.000 --> 01:13.000]  and all of pop culture media support this spurious tale.
[01:13.000 --> 01:21.000]  But remember when Bill Gates became the world's richest man as a result of ruthless business practices and abuse of powers?
[01:21.000 --> 01:31.000]  And remember the world's most evil corporation, Monsanto, creators of DDT, Agent Orange and genetically modified foods?
[01:31.000 --> 01:44.000]  The company working tirelessly to replace all the world's organic seed banks with their own patented GMO varieties so they can one day own the entire world's food supply?
[01:44.000 --> 01:53.000]  Well now Monsanto, along with agribusiness giant Cargill, are primarily controlled by the Bill and Melinda Gates Foundation,
[01:53.000 --> 02:05.000]  which is also the biggest farmland owner in the U.S. Bill Gates says, we all must eat GMO food while aggressively working towards giving us no choice in the matter.
[02:05.000 --> 02:14.000]  The Bill and Melinda Gates Foundation sponsored the mRNA vaccines, which are now opening the Gates to genetically modified humans,
[02:14.000 --> 02:21.000]  recklessly experimenting on the human genome in hundreds of millions of people.
[02:21.000 --> 02:30.000]  These experimental gene therapy shots have already killed thousands, but Bill wants everyone to get more.
[02:30.000 --> 02:34.000]  And now Bill is preparing to block out the sun.
[02:34.000 --> 02:42.000]  Bill Gates is working with Harvard's David Keith on a stratospheric solar geoengineering experiment known as Scopex,
[02:42.000 --> 02:54.000]  wherein a kilogram of calcium carbonate particles will be released in the stratosphere to see how viable it will be at reflecting the light from the sun away from the surface of the Earth.
[02:54.000 --> 03:03.000]  They claim they want to lower the temperature of the Earth, despite the fact that nobody has any idea what this could do to the overall system of the planet.
[03:03.000 --> 03:11.000]  Since the beginning of time man has yearned to destroy the sun, I will do the next best thing, block it out.
[03:11.000 --> 03:22.000]  In the film The Matrix, they tried to block out the sun in order to stop the man-made AI threat, but it ended up enslaving all of mankind in The Matrix.
[03:22.000 --> 03:32.000]  In the film Snowpiercer, the world tried blocking out the sun to stop global warming, but ended up triggering a cataclysmic ice age.
[03:32.000 --> 03:39.000]  And in the dystopian reality that we live in today, Bill Gates wants to save the world by blocking out the sun.
[03:39.000 --> 03:52.000]  We are told to trust him. We are told to trust the science, even though the so-called science is wildly theoretical, inconclusive, and universally challenged.
[03:52.000 --> 03:58.000]  Bill Gates does indeed embody the characteristics of an evil James Bond villain.
[03:58.000 --> 04:16.000]  But the real villains are obviously the degenerates of world governments and mainstream media who allow this damaged, deranged old man in a pink sweater to play out his father's dreams of depopulation and eugenics on the world stage.
[04:16.000 --> 04:26.000]  While at the same time protecting the big banks and multinational corporations who are orchestrating this entire war against humanity.
[04:26.000 --> 04:30.000]  For Infowars.com, this is Greg Rees.
[04:57.000 --> 05:04.000]  The globalists are purposely collapsing our world. They are creating insecurity, crime, war, and famine.
[05:04.000 --> 05:11.000]  All of us should do everything we can to get prepared and get ready for ourselves and our family's sakes, but also our community.
[05:11.000 --> 05:18.000]  And CitizenStronghold.com is the best place to go to get high quality body armor at the lowest price you're going to find.
[05:18.000 --> 05:26.000]  Again, this is high quality body armor at the lowest price you're going to find. We've worked with them for years, but they can never supply enough to our audience.
[05:26.000 --> 05:32.000]  They have massively expanded their factories. It's made right here in America, and they're ready to ship it to right now.
[05:32.000 --> 05:38.000]  CitizenStronghold.com. When you go there, put in promo code ALIX and get 10% off on your purchases.
[05:38.000 --> 05:41.000]  They have it for children, they have it for women, they have it for men.
[05:41.000 --> 05:48.000]  They have backpacks that then unfold in our full top body armor. They've got it all right now ready to ship to you, 10% off.
[05:48.000 --> 05:52.000]  And the globalists are coming to try to stop the sale of it soon.
[05:52.000 --> 06:12.000]  That's why you need to get it now at CitizenStronghold.com, promo code ALIX and get 10% off.
[06:22.000 --> 06:32.000]  CitizenStronghold.com.
[06:53.000 --> 07:02.000]  Ladies and gentlemen, it is Monday, April 5th, 2021.
[07:02.000 --> 07:07.000]  This is the Alex Jones Show. Owens Royer sitting in for Alex Jones today.
[07:07.000 --> 07:12.000]  Alex is on the road or in the air.
[07:12.000 --> 07:23.000]  He is heading to the southern border to report on Joe Biden's massive criminal illegal immigration pipeline
[07:23.000 --> 07:30.000]  that the White House is currently facilitating and promoting and now turning our law enforcement,
[07:30.000 --> 07:37.000]  border patrol, immigration and customs enforcement into human smugglers and traffickers.
[07:37.000 --> 07:42.000]  It's sick, it's disgusting, it's criminal behavior, perhaps even treason.
[07:42.000 --> 07:48.000]  I wouldn't say perhaps, but those listening may want to have the debate.
[07:48.000 --> 07:53.000]  This is all happening right now and Mainstream News is finally starting to catch up.
[07:53.000 --> 07:59.000]  You see them sending all their reporters to the border. You see them doing their live reports from the border.
[07:59.000 --> 08:06.000]  Where is the Republican Party? Well, I guess they're okay with DC getting all the power.
[08:06.000 --> 08:15.000]  I guess they're okay with Democrats setting it up so that they can steal any election they want now in the state of Georgia.
[08:15.000 --> 08:26.000]  That's what they're going for. And now just a blank check whenever the District of Criminals wants it.
