[00:00.000 --> 00:10.000]  Waging War on Corruption. It's Alex Jones coming to you live from the front lines of the Info War.
[00:10.000 --> 00:21.000]  It's Tuesday the 23rd day of October 2018. We are now 14 days, 2 weeks to the incredible midterms.
[00:21.000 --> 00:25.000]  And just as I predicted, wasn't hard to predict by the way, it's a playbook.
[00:25.000 --> 00:41.000]  The globalist plunged, starting with the Chinese market in 2008, just weeks ahead, 2 weeks ahead of the 2008 election to make sure it went to Barack Obama.
[00:41.000 --> 00:49.000]  And now, 2 weeks exactly ahead of the midterms. 2 weeks from now there will be people voting.
[00:49.000 --> 00:59.000]  Here in America, the stock market goes down more than 500 points and all these former Federal Reserve chairmen from Volcker to Greenspan come out and say,
[00:59.000 --> 01:09.000]  it's the end of the world, it's going down. And guess who led the stocks going down in Monday and Tuesday's trading on the other side of the world?
[01:09.000 --> 01:21.000]  The Chycoms who pump $100 billion a month into their fake stock market that is the most inflated the world has ever seen.
[01:21.000 --> 01:35.000]  They led with not pumping money in the last week and not buying US Treasuries to do this bigger than Dallas, Texas, naked in your face.
[01:35.000 --> 01:46.000]  Right on time, 2 weeks before to try to rattle the economy and now they're piling on everywhere in the globalist media trying to drive down the stock market, trying to kill the US recovery.
[01:46.000 --> 01:55.000]  People are like, well, it is fiat, most of it. Yeah, and China's is even a bigger bubble. The point is we have globalist enemies trying to manipulate our economy.
[01:55.000 --> 01:59.000]  That's an executable offense in China. So it just shows you how crazy it is.
[01:59.000 --> 02:12.000]  There's another one. This is in mainstream Canadian papers. The Chinese military with the Canadian military just put super high tech subsensors in international waters right off the US coast.
[02:12.000 --> 02:27.000]  Candidates stalls underwater Chinese modern devices in a joint operation against the United States. And of course they use university funding through the Chycom op to do it.
[02:27.000 --> 02:37.000]  Ladies and gentlemen, a few weeks ago, they had a understanding the rhetoric of Donald Trump and Alex Jones event with the city street shut down on Congress front of the Capitol.
[02:37.000 --> 02:48.000]  I go down to the event. And when I started saying the USA is back, they literally started screaming and hessing last night with the anti Trump protesters in Houston.
[02:48.000 --> 03:00.000]  I would just say America is back and they would all look like they'd seen Freddie Krueger that literally they would their skin would get pale like vampires to to to holy water.
[03:00.000 --> 03:07.000]  And it just made me realize these people are crazy.
[03:07.000 --> 03:17.000]  When we come back, we're going to play some of these clips of the president saying I'm a nationalist, I believe in doing what's good for our nation.
[03:17.000 --> 03:31.000]  And they're literally all of the news, like he said, I want to feed babies into woodchippers. But that shows how whacked out the corporate media is the universities and these big corporations that are globalist.
[03:31.000 --> 03:38.000]  That of course they have to have an anti American system America dominated the world through ideas 50 years ago.
[03:38.000 --> 03:51.000]  We had 54% of the wealth that we were 4% of the population of the planet 4% out of 100%. We had over half the wealth because of ideas, because other places had elites that didn't allow competition and that censored.
[03:51.000 --> 04:00.000]  But we had the Renaissance and we had America and we had 1776. So they are always attacking the American system because they can't compete with it.
[04:00.000 --> 04:12.000]  And Donald Trump is bringing it back and the country's coming back. And they are literally flipping out. I can't believe it. It's so incredibly horrible.
[04:12.000 --> 04:19.000]  This is the worst thing I've ever seen. Oh my God, Donald Trump. I mean, these quotes are incredible.
[04:19.000 --> 04:29.000]  Trump declares himself a nationalist CNN says it's racist. You've got to go read the clips because you think he came out for child molestation, something Hollywood and HBO and vice have done.
[04:29.000 --> 04:36.000]  But no, he didn't come out for child molestation like the corporate media has or like salon has.
[04:36.000 --> 04:44.000]  He came out saying it's okay to love your country and they literally are acting like Linda Blair with their head spinning.
[04:44.000 --> 04:53.000]  Folks, the China has announced official human clones for sale. It's all happening. They've been cloning humans for 30 years, but now they're about to roll it out.
[04:53.000 --> 05:00.000]  Public, get a clone of yourself. We'll be right back. Stay with us.
[05:23.000 --> 05:30.000]  Clinically study probiotic strains. When paired with carnivore, our incredible enzyme formula that helps you break down nutrients.
[05:30.000 --> 05:36.000]  These formulas fuel your gut and your body to help you fight toxins and stay fueled all day.
[05:36.000 --> 05:44.000]  These incredible formulas can help keep your body in tip top shape in the fight against stress, age and outside toxins.
[05:44.000 --> 05:54.000]  There's no better time to try fluorolife and carnivore to see how well they can support your body. Don't miss out on the chance to fuel your body and support recovery.
[05:54.000 --> 06:23.000]  You can try the Info Wars Life Daily Digestive Pack today.
[06:23.000 --> 06:35.000]  Ladies and gentlemen, we're now only T-minus 14 days. That's two weeks until the middle of the most important election in world history.
[06:35.000 --> 06:43.000]  A referendum on nationalism versus globalism. President Trump has declared himself the nationalist.
[06:43.000 --> 06:48.000]  As I told you he would do last week. We're synced up.
[06:48.000 --> 06:57.000]  Ladies and gentlemen, I went to the Trump rally yesterday. The first one I've gone to, when we had tickets to go inside and pass this as well, and Rob do went in and did great coverage.
[06:57.000 --> 07:02.000]  And that HD video we're going to have for you right there in front of the stage. I mean right there, front and center.
[07:02.000 --> 07:09.000]  But I was outside where 40,000, 50,000 people got turned away but watched on Jumbotrons. They were all asking, why aren't you inside?
[07:09.000 --> 07:19.000]  And I'm like, it's 60 degrees out here and gorgeous. And this is where all the people are. And I'm getting to watch on the Jumbotrons and interview you.
[07:19.000 --> 07:34.000]  But it's incredible footage where I really couldn't even do interviews. We have hours and hours and hours of incredibly good looking, diverse crowd of blacks, Hispanics, white folks, a lot of Asian Americans.
[07:34.000 --> 07:39.000]  Very, very proud folks. All dressed nice. All super articulate.
[07:39.000 --> 07:47.000]  And the most articulate people I ran into were all these black folks that you never see behind the stage with Trump.
[07:47.000 --> 07:55.000]  Because the media goes, oh look, there's a token black guy that's blacks for Trump that goes around. That's because he wants to follow around his friends with the Trumps.
[07:55.000 --> 08:07.000]  But I mean, I was mobbed by black people who were way better spoken than I was. I mean, the best speakers I've ever heard on Trump and that HD video is coming.
[08:07.000 --> 08:16.000]  We've got hours and hours and hours of it. I was very, very impressed. I've got to go to more of these Trump rallies. I just get pinned down here.
[08:16.000 --> 08:26.000]  90% of people would go, it's out of shoes. It's out of shoes. And take photos or anything. I mean, it wasn't like half of them were in full wars listeners.
[08:26.000 --> 08:37.000]  And a good 10% were wearing in full wars shirts. So just no doubt, folks, you launched the Trump phenomenon and America coming back from the dead.
[08:37.000 --> 08:42.000]  There's some of the footage do shot. You did it. You did.
[08:42.000 --> 08:50.000]  And man, do they hate me, though. We had 18 Twitter accounts, a bunch that weren't even ours, people that restream us and stuff.
[08:50.000 --> 09:03.000]  We're out there covering it, showing all this and showing the 15 anti-Trump demonstrators that showed up, screaming they were going to rape us and they were going to kill me.
[09:03.000 --> 09:11.000]  We have all that HD footage we'll be playing today and tomorrow, but a lot of bleeping has to be done. It was insane.
[09:11.000 --> 09:17.000]  We had the stupid Trump balloon from England floating around and the media was all standing around them.
[09:17.000 --> 09:25.000]  And I said, watch the media is going to come over because I was, you know, they're covering the protesters.
[09:25.000 --> 09:34.000]  I said, watch, they're going to come over here and say, oh, look, your crowd isn't big because no one was watching the anti-Trump demonstrators.
[09:34.000 --> 09:42.000]  I'd come over there and about 20 listeners had followed me over. It was about three blocks away from the main convention center where this was happening.
[09:42.000 --> 09:49.000]  The Toyota Center, I said to my crew live on there, I said, watch, the media is going to run over here and say, look, your crowd's small, no one's here for Trump.
[09:49.000 --> 09:56.000]  And they all came over and said exactly that five minutes later. They all met. They all talked. What was going to be their BS line?
[09:56.000 --> 10:05.000]  Okay, we're going to say this is who came out of the Toyota Center, 20 people with Alex Jones. And they walked over and did it. I know the enemy.
[10:05.000 --> 10:16.000]  So they banished on 18 Twitter accounts and the headlines are Jones banned for saying no one died at Parkland shoot.
[10:16.000 --> 10:22.000]  I guess they know people are sick of hearing about Sandy Hook over and over again and the twisted disinfo of the media puts out that I've supposedly said.
[10:22.000 --> 10:28.000]  So they go to the big lie they tried four months ago when they said that I said no one died at Parkland. They're all crisis actors.
[10:28.000 --> 10:34.000]  And they show quotes everywhere, but there is no quote. There is no audio or video. And I could say that if I wanted to, it's my free speech.
[10:34.000 --> 10:47.000]  But think about that. Hundreds and hundreds of articles everywhere saying Jones banned and you read because he said no one died at Parkland.
[10:47.000 --> 10:54.000]  And they were quote crisis actors. Didn't ever say that.
[10:54.000 --> 11:01.000]  And there's these big celebrations. Yay, ban him taking completely off the air. These people are out of control.
[11:01.000 --> 11:11.000]  But notice, see, this isn't three months ago when I was banned on those other platforms and it made all this big news. People are upset.
[11:11.000 --> 11:17.000]  No, now they don't even deny that they're censoring. They're very, very proud of it. But everybody else being banned, you're not hearing about them.
[11:17.000 --> 11:23.000]  And that's what's so dangerous about this. But I'm going to get more to that later. But here's the good news.
[11:23.000 --> 11:27.000]  America is awake. The sleeping giant is awakening.
[11:27.000 --> 11:39.000]  Here's the bad news. The people that look like escapees from a mental institution who were protesting against Trump all looked completely like they were from central casting from one who flew over the cuckoo's nest.
[11:39.000 --> 11:48.000]  And they were all screaming the most vicious hateful crap you can imagine. KKK go away, no borders, no walls, no USA at all.
[11:48.000 --> 11:56.000]  And when I would say USA's back, it looked like I was tearing their guts out.
[11:56.000 --> 12:04.000]  And the bad news is they're backed by big tech. They're the type of folks that manage all the censorship and they are getting more and more radicalized and more and more dangerous.
[12:04.000 --> 12:11.000]  They're the ally with the communist Chinese, the unelected Soros, the unelected EU had Yunker.
[12:11.000 --> 12:15.000]  And they're making their move right now against this country.
[12:15.000 --> 12:26.000]  And the good news is people are awake. The bad news is I saw all these incredible people out there saying, hey, I still tune in at infowars.com.
[12:26.000 --> 12:35.000]  But when you get back on YouTube or Twitter, and I'm like, listen, I'm being purged. You're being purged. Use these platforms and fight against them and build your own platforms.
[12:35.000 --> 12:41.000]  If you had those 100,000 people that showed up in Houston, it was about 100,000 total. It was incredible.
[12:41.000 --> 12:50.000]  If they were all setting up their own websites, but also using Twitter, using Facebook, using Google to fight back, the censors could never stop them all.
[12:50.000 --> 12:57.000]  But they're all counting on, oh, look, it's Alex Jones. Thank God you're here. You woke me up. You exposed global government.
[12:57.000 --> 13:03.000]  You explain globalism versus nationalism. We can see that, you know, Trump is rebooting everything you're talking about.
