[00:00:00.009 --> 00:00:01.370]  Welcome, my friends.
[00:00:01.370 --> 00:00:01.790]  Welcome.
[00:00:01.790 --> 00:00:03.691]  Already the 10th day of April 2008.
[00:00:29.016 --> 00:00:50.474]  We're going to be live here for the next three hours then in the fourth hour for radio listeners at Infowars.com or people that listen audibly to the radio transmission you're going to hear sneak peek the audio from a sneak peek about 15 minutes of
[00:00:51.497 --> 00:00:57.062]  The new JFK film that I'm working on, which we know the title now, but I'm not going to release that at this point.
[00:00:57.062 --> 00:01:06.551]  We're going to play that, and then some other unseen footage, and then some new video that we posted the last week for PrisonPlanet.TV members.
[00:01:06.551 --> 00:01:08.693]  That is coming up, introduced by me.
[00:01:08.693 --> 00:01:15.419]  I'll be playing the different clips in here in studio, so it will be live in the fourth hour today.
[00:01:15.419 --> 00:01:16.680]  Everybody's chomping at the bit.
[00:01:17.786 --> 00:01:23.014]  I am an FM affiliates to here and I'm very honored that we've gotten now more than 10 stations of call.
[00:01:23.014 --> 00:01:31.065]  Ted was telling me last night it was a three Monday and then five or six by Wednesday and then by today a whole bunch of stations.
[00:01:31.997 --> 00:01:32.377]  We're good to go.
[00:01:59.938 --> 00:02:03.120]  And basically did five and a half hours.
[00:02:03.120 --> 00:02:04.521]  No, I did four and a half hours yesterday.
[00:02:04.521 --> 00:02:08.184]  I did five and a half hours the day before that.
[00:02:08.184 --> 00:02:12.807]  But I am settling in today to only do four hours of live radio.
[00:02:12.807 --> 00:02:24.775]  Now, I learned a few weeks ago that Celica Stillo, the highly decorated Vietnam sniper veteran in the Army, his father, highly decorated World War II Hispanic member of the Army,
[00:02:27.071 --> 00:02:29.192]  In fact, a war hero, both of them.
[00:02:29.192 --> 00:02:34.853]  He then became a police officer in the Valley here in Texas, South Texas, Southwest Texas.
[00:02:34.853 --> 00:02:44.896]  He then, after that, went into the Border Patrol, then he was recruited into the DEA, and ended up being the head DEA officer.
[00:02:44.896 --> 00:02:52.758]  There was only about two dozen of them, but he was the head guy in all of Southern North America, Central America, and South America.
[00:02:53.587 --> 00:02:57.789]  And he witnessed the government loading cocaine every day on the aircraft and flying it back into the U.S.
[00:02:57.789 --> 00:03:00.890]  And he has now been in a national film.
[00:03:00.890 --> 00:03:07.472]  He's been given death threats when he was on Dateline decades ago, and Nightline, and a bunch of other news programs.
[00:03:07.472 --> 00:03:12.274]  He got death threats then, had his place broken into, other things happened.
[00:03:12.274 --> 00:03:16.596]  And he was told, you're gonna be killed, he's talked about this on air, if you don't shut up.
[00:03:16.596 --> 00:03:20.517]  Well, he was in a film I consulted for and worked on, and I'm in the extras.
[00:03:21.186 --> 00:03:23.907]  Because part two of the film is mainly the more conspiratorial angle.
[00:03:23.907 --> 00:03:27.529]  This was just about how destructive drugs are, and a little bit on government drug dealing.
[00:03:27.529 --> 00:03:28.290]  It's award-winning.
[00:03:28.290 --> 00:03:30.051]  It's won a bunch of film festivals.
[00:03:30.051 --> 00:03:33.433]  And Sully's one of the main characters in it.
[00:03:33.433 --> 00:03:35.474]  And for weeks, he's called me back.
[00:03:35.474 --> 00:03:36.674]  We played phone tag.
