[00:00:05.635 --> 00:00:06.136]  Stand by.
[00:00:06.136 --> 00:00:07.438]  Big Brother.
[00:00:07.438 --> 00:00:08.699]  Mainstream media.
[00:00:08.699 --> 00:00:10.982]  Government cover-ups.
[00:00:10.982 --> 00:00:11.843]  You want answers?
[00:00:11.843 --> 00:00:14.106]  So do I. Well, so does he.
[00:00:14.106 --> 00:00:18.312]  He's Alex Jones on the GCN Radio Network.
[00:00:18.312 --> 00:00:22.357]  And now, live from Austin, Texas, Alex Jones.
[00:00:24.790 --> 00:00:35.653]  Welcome ladies and gentlemen, welcome and thank you so much for joining us on this live, worldwide, Tuesday edition, the 15th day of December, 2015.
[00:00:35.653 --> 00:00:40.514]  We have Wayne Madsen joining us, investigative journalist with big breaking news on the campaign trail.
[00:00:40.514 --> 00:00:49.277]  Michael Springman, former head of the JETA visa section, to deal with all the visa news, how terrorists and others are being given visas into the United States coming up.
[00:00:50.077 --> 00:01:02.003]  We have California's one of its largest schools shut down today because of unspecified terrorist threat that supposedly came over that references the TV show Homeland.
[00:01:02.003 --> 00:01:05.864]  And also New York schools are looking at shutting down right now.
[00:01:05.864 --> 00:01:08.486]  Talk about the wicked flee when none pursue.
[00:01:08.486 --> 00:01:11.107]  They open the borders up, bring in the terrorist.
[00:01:11.587 --> 00:01:21.655]  And then we become a basically catatonic fetal position society, teaching our children how to get in fetal positions and be shot in the head.
[00:01:21.655 --> 00:01:24.216]  So that is all coming up.
[00:01:24.216 --> 00:01:34.044]  But first, John Bowne looks at the big assault, the middle class, the latter out of being poor, so you can be independent, being destroyed.
[00:01:34.044 --> 00:01:37.486]  President Obama's record-breaking national debt.
[00:01:37.486 --> 00:01:40.789]  Raising the debt ceiling, which has been done over a hundred times, does not
[00:01:41.983 --> 00:01:43.104]  Increase our debt.
[00:01:43.104 --> 00:01:54.293]  Increasing Obamacare tax penalties and premiums, blue-collar depleting trade deals, and overall Salinski-esque tactics are demolishing the American middle class.
[00:01:54.293 --> 00:02:10.127]  As we near the finish line of Obama's two terms, the only change we've experienced is a totalitarian transformation of the presidential office begun by his criminal counterparts that have continuously seized the throne since JFK was gunned down in Dallas.
[00:02:13.584 --> 00:02:21.712]  Breitbart reports Pew Research found that the share of American adults living in middle income households has fallen from 61% in 1971 to 50% in 2015.
[00:02:21.712 --> 00:02:25.496]  The share living in the upper income tier rose from 14% to 21% over the same period.
[00:02:25.496 --> 00:02:29.339]  Meanwhile, the share in the lower income tier increased from 25% to 29%.
[00:02:38.348 --> 00:02:41.310]  Manufacturing accounted for 26% of employed adults in 1971, compared with 11% in 2014.
[00:02:41.310 --> 00:02:46.354]  A Gallup poll discovered that since the year 2000 through 2008, 10% of middle class to upper middle class of Americans transferred into the lower class.
[00:02:57.843 --> 00:03:03.447]  62% of Americans have under $1,000 in savings.
[00:03:03.447 --> 00:03:12.014]  Meanwhile, Obamacare will raise the penalty next year by 50% for not participating to $1,000.
[00:03:12.014 --> 00:03:15.777]  Just to make sure that anybody struggling can't get ahead.
[00:03:15.777 --> 00:03:24.504]  So their goal has always been to eliminate the middle class, raise taxes, give away their health care to poor and illegals, flood the country with immigrants,
[00:03:25.244 --> 00:03:25.844]  We're good to go.
[00:03:40.896 --> 00:03:50.629]  When I grew up, I guess it was years before you grew up, but we had a country of middle-class families who had intact nuclear families.
[00:03:50.629 --> 00:03:56.637]  That is, the mother and father were married to each other and raising their own children in one household.
[00:03:57.626 --> 00:04:02.773]  And now, that's just a minority of people in our country.
[00:04:02.773 --> 00:04:07.419]  But the nuclear family was a self-contained economic unit.
[00:04:07.419 --> 00:04:11.865]  They spent their own money, made their own decisions, decided how they were going to raise their children.
[00:04:12.503 --> 00:04:21.129]  The now pseudo-privileged, financially doomed Millennial Generation has proclaimed the death of the American Dream, according to a Harvard poll.
[00:04:21.129 --> 00:04:30.275]  Blindly throwing their collective votes towards the socialist promises of Bernie Sanders out of total desperation, the Millennial Generation workforce
[00:04:30.715 --> 00:04:33.757]  Still makes up 40% of the unemployed.
[00:04:33.757 --> 00:04:43.302]  This generation will overtake the baby boomer generation as the nation's largest living population approaching 75 million strong.
[00:04:43.302 --> 00:04:53.767]  A generation that will inherit the mind-controlling PC culture, dwindling middle class numbers, Obamacare penalties and rate hikes, and crippling student debt.
[00:04:53.767 --> 00:04:57.969]  If you thought the middle class was in trouble now, you ain't seen nothing yet.
[00:04:59.989 --> 00:05:05.673]  A New York City principal has banned Christmas and the Pledge of Allegiance, reports EAG News.
[00:05:05.673 --> 00:05:15.119]  The new principal has also eliminated Thanksgiving, despite clear notice from the city's Department of Education allowing for holiday themes and symbols, the New York Post writes.
[00:05:15.119 --> 00:05:17.401]  We definitely can't say Christmas.
[00:05:17.401 --> 00:05:18.842]  Nothing with Christmas on it.
[00:05:18.842 --> 00:05:22.765]  Nothing with Santa, a local PTA president told the news site.
[00:05:22.765 --> 00:05:23.905]  No angels.
[00:05:23.905 --> 00:05:28.729]  We can't even have a star because it can represent a religious system, like the Star of David.
[00:05:29.349 --> 00:05:37.172]  The report states that about 95% of the students at Brooklyn's PS169 are either Hispanic or Asian.
[00:05:37.172 --> 00:05:45.536]  And the assistant principal announced last month that the school is changing its holiday traditions to be sensitive to the diversity of our families.
[00:05:45.536 --> 00:05:49.057]  Not all children celebrate the same holidays, he added.
[00:05:49.057 --> 00:05:53.219]  And the Pledge of Allegiance was also ditched when the principal took office.
[00:05:53.219 --> 00:05:56.921]  You can find more reports on InfoWars.com.
[00:05:59.881 --> 00:06:00.481]  I want more candy!
[00:06:00.481 --> 00:06:01.622]  I want more video games!
[00:06:01.622 --> 00:06:01.822]  Mine!
[00:06:01.822 --> 00:06:02.202]  Mine!
[00:06:02.202 --> 00:06:03.142]  Mine!
[00:06:03.142 --> 00:06:12.866]  And it's that type of behavior that spurred me to do the research to develop a true nutraceutical formula that was designed to smooth out and help children focus.
[00:06:12.866 --> 00:06:15.567]  All of our children are hit with modern mind control.
[00:06:15.567 --> 00:06:19.128]  Television, music, fast food, GMOs, sugars, you name it.
[00:06:19.128 --> 00:06:25.450]  Young humans have not yet developed their nervous system and are being hammered daily by globalist concoctions.
[00:06:25.450 --> 00:06:27.971]  It's no wonder they can't focus and calm down.
[00:06:28.171 --> 00:06:30.573]  And then are put on dangerous psychotropic drugs.
[00:06:30.573 --> 00:06:36.957]  Working with my team, we set out to find the best formula with the highest quality ingredients that children would actually like and take.
[00:06:36.957 --> 00:06:44.702]  We worked with the leading manufacturer in nutritional supplements that are safe for children to bring you the most affordable and powerful calming formula out there.
[00:06:44.702 --> 00:06:52.247]  Introducing ChildEase with herbs and calming extracts like chamomile and lemon balm and essential nutrients that taste great.
[00:06:52.247 --> 00:06:55.850]  Obtain your ChildEase today at InfoWarsLife.com.
[00:06:55.850 --> 00:06:57.551]  That's ChildEase exclusively.
[00:06:57.731 --> 00:06:59.954]  At InfoWarsLife.com.
[00:06:59.954 --> 00:07:09.444]  InfoWarsLife and InfoWarsLife.com is extremely excited to announce our latest release, Winter Sun, a revolutionary type of vitamin D3.
