[00:00:03.493 --> 00:00:06.157]  Waging war on corruption.
[00:00:06.157 --> 00:00:11.304]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:39.604 --> 00:00:46.448]  It's Thursday April 4th 2019 under host Alex Jones.
[00:00:46.448 --> 00:01:04.379]  Well I just walked in there about two minutes ago before we went live and I wrote the headline for the page we post every day that has the show in it so people can share the audio and video link and the headline states the facts.
[00:01:04.379 --> 00:01:06.781]  The planet is only six months away
[00:01:07.964 --> 00:01:12.445]  from total civilizational collapse.
[00:01:12.445 --> 00:01:17.807]  Already in most areas of the world, what civilization was built is collapsing.
[00:01:17.807 --> 00:01:22.368]  It's being done by design, and if we act quickly, it can be averted, it can be changed.
[00:01:22.368 --> 00:01:36.493]  But you notice the talking point out of the EU, the talking point out of the UN, the talking point out of AOC, the talking point out of Beto O'Rourke, is that the Earth will completely be uninhabitable
[00:01:37.386 --> 00:01:43.508]  And that we will all be dead within 12 years.
[00:01:43.508 --> 00:01:47.870]  Now, you understand, they didn't just cook that up.
[00:01:47.870 --> 00:01:51.931]  They didn't just pull that out of their rear end.
[00:01:51.931 --> 00:02:01.415]  They are purposely... They are purposely engineering this situation.
[00:02:02.850 --> 00:02:20.139]  And I want to lay it out in the next segment exactly what the globalists are planning, so that people understand that as it begins to unfold, we have a chance to A. blame who's behind it, and B. stop it.
[00:02:20.139 --> 00:02:25.522]  So we sit here and we laugh at AOC, and we laugh at Beto,
[00:02:27.278 --> 00:02:44.272]  But you understand, ladies and gentlemen, that if you go watch my film, Endgame, Blueprint for Global Enslavement, 2007, I have the quotes and the video clips of the Bilderberg Group, the UN, all of them saying that.
[00:02:44.272 --> 00:02:51.438]  That they're creating a planetary crisis that by 2030, remember this is June 21, that's from 1992 in Rio de Janeiro,
[00:02:56.052 --> 00:02:58.373]  And then they now codified the UN a couple years ago.
[00:02:58.373 --> 00:03:01.555]  Agenda 2030.
[00:03:01.555 --> 00:03:06.517]  So this is a real globalist plan.
[00:03:06.517 --> 00:03:11.339]  And they are carrying the plan out.
[00:03:11.339 --> 00:03:12.840]  Now humanity is fighting back.
[00:03:16.522 --> 00:03:30.686]  And many intelligence agencies and militaries around the world have gone and looked at these plans, they've decompartmentalized, and they realize that they are taking part in the post-human system that's being built.
[00:03:30.686 --> 00:03:41.788]  Now, if you looked at this just as a scientist or as a geopolitical strategist, what's being done, does it make sense for humanity?
[00:03:41.788 --> 00:03:44.009]  And is it something that even psychotics would come up with?
[00:03:45.748 --> 00:03:51.809]  And that's why I've shared that it appears to be an off-world manipulation.
[00:03:51.809 --> 00:03:57.971]  And a lot of these technologies just appeared out of nowhere, by the way, and are way more advanced than anybody even knew.
[00:03:57.971 --> 00:04:00.331]  And there's jumps in them.
[00:04:00.331 --> 00:04:04.492]  There's major jumps going on inside the compartmentalization of government.
[00:04:04.492 --> 00:04:05.672]  I'm not a UFO guy.
[00:04:05.672 --> 00:04:07.592]  I don't get into all that.
[00:04:07.592 --> 00:04:11.753]  The globalists, though, are into it.
[00:04:11.753 --> 00:04:14.494]  And Silicon Valley and all these guys are signed on
[00:04:15.916 --> 00:04:35.264]  There's some really hardcore stuff that was popularized by British intelligence and others who were working with Alistair Crowley, Jack Parsons, the Jet Propulsion Laboratory, and others who were a big pack of hardcore black magicians who believed they were conjuring entities that were giving them this advice.
[00:04:35.264 --> 00:04:39.165]  And Alistair Crowley wrote about it before they were put in Hollywood movies, before Hollywood existed.
[00:04:39.165 --> 00:04:43.747]  Little three-foot gray alien at the pyramid coming out telling him what to do in a black magic ritual.
[00:04:44.841 --> 00:04:48.965]  So that's where you get little grey aliens and the black eyes and all that, that's a demon.
[00:04:48.965 --> 00:04:52.249]  So they can call this crazy all day, this is their real plan.
[00:04:52.249 --> 00:04:54.411]  They plan to kill every one of us.
[00:04:54.411 --> 00:04:56.073]  They're coming to kill everybody, stay with us.
[00:05:00.450 --> 00:05:05.093]  The globalists, the eugenicists, are always talking down to us.
