[00:00.000 --> 00:12.000]  Big Brother, Mainstream Media, Government Cover-Ups. You want answers? Well, so does
[00:12.000 --> 00:21.000]  he. He's Alex Jones on the GCN Radio Network. And now, live from Austin, Texas, Alex Jones.
[00:21.000 --> 00:34.000]  And a rousing good morning. Catherine Ulbrecht here. Fill it in for Alex Jones. Let's hope he gets a good,
[00:34.000 --> 00:40.000]  well, a week of well-deserved rest. Alex Jones, on the front lines of liberty out there defending our rights,
[00:40.000 --> 00:46.000]  out there fighting against the globalists and the folks like Piers Morgan who would take away your guns
[00:46.000 --> 00:53.000]  and your rights and all of your freedoms. Well, even Alex Jones, hard to believe because it's hard to believe
[00:53.000 --> 00:59.000]  that man ever gets tired or ever rests, but we're encouraging him. Hey, get a back rub. Take a little break.
[00:59.000 --> 01:06.000]  So I'm sitting in with you. I will be with you today, Monday. This is March 4th, 2013. I'll also be with you
[01:06.000 --> 01:13.000]  Tuesday and Friday as well. And you may know me, my radio program broadcast not long after Alex is on the
[01:13.000 --> 01:19.000]  same network, the GCN Network. Catherine Ulbrecht is my name. I've been a regular guest on Alex's show in the
[01:19.000 --> 01:26.000]  past. And you probably know me either as the RFID lady or the privacy lady or maybe the lady who's out there
[01:26.000 --> 01:31.000]  always telling you to get off of Google and make the switch over to StartPage, that private search engine we've
[01:31.000 --> 01:37.000]  been talking about for a while. So it is my pleasure to be with you today. I've got a pretty exciting show lined up
[01:37.000 --> 01:43.000]  for you. Alex said, hey, bring some of your best guests on. So I'm going to be doing that today. First hour, I
[01:43.000 --> 01:48.000]  want to give you some updates from the news, bring a couple of things to your attention in terms of how the
[01:48.000 --> 01:55.000]  technology is merging to create what I've been referring to as the giant, hey, you know, I've got a name for it.
[01:55.000 --> 02:03.000]  How about the web? Ooh, the web. How about the net? Let's call it that. Trouble is that's what it's already called.
[02:03.000 --> 02:10.000]  But if you put it all together, you realize that all of these technologies are combining to create prison walls,
[02:10.000 --> 02:16.000]  whether it is a net, whether it is a web, whether it's a jail, whether it's a prison, lots of ways you can refer to
[02:16.000 --> 02:23.000]  it. And the crazy part about this, I think our ancestors, especially back in the days of John sitting there on the
[02:23.000 --> 02:30.000]  island of Patmos, taking down some dictation from the big guy in the sky in the book of Revelation, I think he
[02:30.000 --> 02:37.000]  would have said, I can't imagine that anybody is going to welcome the changes that come about as this global
[02:37.000 --> 02:44.000]  entity takes form. And yet we look around ourselves and we see that people are welcoming it with open arms. Isn't it
[02:44.000 --> 02:51.000]  crazy? It's almost like there's a degree of discernment that some people have and a degree of discernment that
[02:51.000 --> 02:56.000]  other people seem to not have ears at all to hear. But if you are listening to this radio program, if you're a
[02:56.000 --> 03:02.000]  regular listener to Alex Jones or to my own show, then I'm guessing that you have ears to hear and you're feeling
[03:02.000 --> 03:09.000]  something coming. Something. And that something that's coming when you really feel it down in your bones, it
[03:09.000 --> 03:14.000]  probably gives you a little bit of a chill, maybe, maybe makes the hair stand up on the back of your neck. Well,
[03:14.000 --> 03:22.000]  there's other people out there who are dancing with joy at the development of the encroaching technology. Several of
[03:22.000 --> 03:28.000]  those folks out there, one of them, you'll get a kick out of this one, Justin Bieber. Yeah, any Justin Bieber fans
[03:28.000 --> 03:35.000]  out there? Yeah, I didn't think so. Well, Justin Bieber's latest plan, he has actually been enlisted as one of many
[03:35.000 --> 03:43.000]  of a long line of folks here, enlisted to promote and make cool, at least to his following, his fans, to make the
[03:43.000 --> 03:51.000]  idea of embracing this future technology very cool. Yeah, Justin Bieber, he's actually marketing a prepaid card so
[03:51.000 --> 03:58.000]  that kids will get away from using cash and move into using numbered payment systems. Give you more details on
[03:58.000 --> 04:03.000]  that as we come back. I've got a break coming up here in just a moment. I also want to talk about how those spy
[04:03.000 --> 04:09.000]  drones, turns out they've been in use now, spying on Americans for the last seven years. Yeah, we just started
[04:09.000 --> 04:15.000]  hearing about these last year. But by the time we hear about it, usually this stuff's been around for a couple of
[04:15.000 --> 04:21.000]  years at the very least. And even the seven years may be an understatement as to how long this stuff has been
[04:21.000 --> 04:28.000]  going on. But yeah, we've got the drones now getting equipped with eavesdropping surveillance technology on
[04:28.000 --> 04:33.000]  board. So not only can they spy on you and look through your window, but they'll also be able to listen to you.
[04:33.000 --> 04:38.000]  All right, we'll be right back right after this break coming up. And then the final thing I want to talk about this
[04:38.000 --> 04:45.000]  hour is national service. Yeah, you want to sign up for that? It's not compulsory military service they're promoting
[04:45.000 --> 04:51.000]  now but compulsory public service. And guess who's going to be defining what that is? All right, I'm your host for
[04:51.000 --> 05:20.000]  this today show at least Catherine Albrecht filling in for Alex, stay tuned. Introducing pro one all of your filtration in one system portable on the go no more do you have two or three filters to just reduce sodium fluoride, you have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosolic acid advanced manufacturing technology combined silver impregnated white ceramic with
[05:20.000 --> 05:27.000]  new aqua medics advanced media for removal of fluoride and other heavy metals all in one filter element. It is the only one that does it and out of the gates we have a discounted at 10% off with promo code water. This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosolic acid, the most common form of fluoride not covered by other fluoride filter brands and sodium hexyl
[05:27.000 --> 05:55.000]  get your pro pure with a new pro one filter today at info war store.com or by calling 88888888888888888888888.
[05:55.000 --> 06:18.000]  It's no secret that pathogens such as bacteria, viruses, moles and fungus can inflict severe damage in the human body. Fortunately, a new and fastly improved silver solution has been developed. Supernatural silver is a revolutionary broad spectrum antibacterial antiviral antifungal solution that can be used inside the body as well as on the skin. Supernatural silver is unique to all of us.
[06:18.000 --> 06:45.000]  Supernatural silver is unique and superior to colloidal and ionic silver using a patented technology that is highly effective against colds, flus, infections, food poisoning and yeast in addition to many other pathogens. Supernatural silver is scientifically supported, extremely safe and is the number one choice of thousands of people for immune system support.
[06:45.000 --> 06:59.000]  Find out how supernatural silver could change your life. Go to supernaturalsilver.com and use the promo code healthy for 20% off. That's supernaturalsilver.com and like us on Facebook.
[06:59.000 --> 07:19.000]  You prepare by purchasing gold, food and firearms. But if you don't have a home security system, then you're missing a critical weapon in your arsenal for home protection. When you're sleeping or away from home, who's watching out for intruders? Check out SimpliSafe. It's a new do it yourself home security system that is completely wireless.
[07:19.000 --> 07:36.000]  Go to getsimplisafe.com. SimpliSafe is independent and off the grid. It runs on battery power so even if the grid goes down, you're protected. It's completely customizable so you can use it in your home, business, boat, trailer, storage unit or shed.
[07:36.000 --> 08:01.000]  Go to getsimplisafe.com. SimpliSafe is also ridiculously easy to install yourself in under 20 minutes so there's no need to let a stranger into your home. If you move or need to relocate, you can take the system with you wherever you go. You aren't always at home but SimpliSafe will stand guard, protecting your property 24 hours a day, 7 days a week. Again, that's getsimplisafe.com.
[08:01.000 --> 08:15.000]  We now take you live to the Central Texas Command Center in the heart of the resistance. You're listening to the Alex Jones Show.
[08:15.000 --> 08:35.000]  Hey, hey, good morning. Catherine Albrecht here with you filling in for Alex Jones. He's taking a much needed break. I'll tell you, out there fighting on the front lines, he needs a little break so I'm going to be your guest today, tomorrow and Friday also of this week.
[08:35.000 --> 08:52.000]  Giving you updates on the area of my expertise which is the issues of privacy, the encroaching technological, oh, I suppose you could call it the web or the net or the trap or the jail, lots of names you can give it. By the way, in Spanish, it's called la red which means the trap.
[08:52.000 --> 09:18.000]  So isn't it crazy that this thing we call the internet, this web, this net has such an entrapment just built right into its name. One of the things that I've been long concerned about and anyone who's listened to my radio show over the last six years or followed my work since 1999, actually Alex is one of the folks who helped wake me up way back when, then you know that I'm extremely concerned about the elimination of cash.
[09:18.000 --> 09:32.000]  Retail privacy, this idea that when you make a purchase, if you think about it, in the past, it used to be an issue of our parents needing the ability to grow food or have the ability to provide for themselves, maybe have some land, be able to put a roof over their heads.
[09:32.000 --> 09:41.000]  Well, for us nowadays, it's less an issue of being able to plant crops on your own land. It's literally an issue of being able to walk into the grocery store and buy food.
[09:41.000 --> 09:52.000]  And we know that historically, whenever governments have wanted to crack down on people, they do it by either rationing or eliminating altogether their ability to buy the things that they need to survive.
[09:52.000 --> 10:11.000]  Well, there's an interesting story in the news out this week. We know that Justin Bieber, before you laugh too hard, note that he has more than 51 million friends on Facebook. I didn't even realize there were enough people of his age group to actually friend him down.
[10:11.000 --> 10:22.000]  30 million Twitter followers say what you will about Justin Bieber. It is absolutely the case that he's got an immense following of young fans.
[10:22.000 --> 10:35.000]  Well, guess what? The powers that be have decided to use Justin Bieber to promote. And this is going to blow your mind. He is marketing a prepaid payment card designed to promote responsible teen spending.
[10:35.000 --> 10:44.000]  He's promoting this to his millions of fans, taking to social media to spread this message. It is a MasterCard from a company called BillMyParents, Inc.
[10:44.000 --> 10:53.000]  And it is called the Spend Smart MasterCard. Now, why is this important? Because let me tell you what they're conditioning these kids to accept.
[10:53.000 --> 11:00.000]  And I really would alert you, if you're a parent, to take a look at the things that are being marketed and targeted at your children.
[11:00.000 --> 11:11.000]  Because really, the kids are the next generation. It's not going to take too long for today's teens to be tomorrow's judges and corporate officers and bankers and attorneys and everything else.
[11:11.000 --> 11:23.000]  They're going to become the power structure that we are going to grow old at their mercy. And these folks, including Justin Bieber, who just turned 19, apparently last week, these folks are the future.
[11:23.000 --> 11:33.000]  So what is it they're promoting to the kids of the future? Well, let me give you some of the details out of this. Prepaid card to teach financial responsibility.
[11:33.000 --> 11:46.000]  Here's what it does, though. Every time a teen swipes the card, both the parent and the teen receive an immediate text that tells them how much was spent, where it was spent, and what the balance is on the card.
[11:46.000 --> 11:57.000]  Now, if you were a teen, would you really want to switch from cash in your pocket to a prepaid plastic, numbered payment device that every place you went would rat you out to your parents?
[11:57.000 --> 12:10.000]  All right, well, let me ask you, even if you thought it was appropriate for parents to know every last dime and penny that you spent and exactly where you were when you spent it, what kind of conditioning is this creating?
[12:10.000 --> 12:20.000]  Yeah, every time a teen swipes the card, the parent receives an immediate text, get this, it gets worse. The parents can also lock and unlock the card if it gets lost.
[12:20.000 --> 12:31.000]  Or if a parent wants the child to stop using the card for any reason, they have the ability, the parent that is, to log on and immediately shut down your ability to use this numbered payment device.
[12:31.000 --> 12:44.000]  Sound familiar? Maybe it sounds like something coming up in our future. My big concern, and I keep saying this over and over, is that we have got to start, if we're not already, we've got to start using cash.
[12:44.000 --> 12:54.000]  Cash, use it or lose it. Let's talk about one place we've already seen the cash beginning to vanish in Texas and Washington State, and that is your ability to pay cash at the toll roads.
[12:54.000 --> 13:08.000]  And any time they take away your ability to pay cash and switch you over into a numbered payment system, you get all of the things that we're seeing here with Justin Bieber's promoted Bill My Parents smart MasterCard,
[13:08.000 --> 13:19.000]  which is the ability for someone out there, some parental unit, whether it's your own mom or dad, as in the case of this particular nasty thing, or whether it's your, you know, maybe it's Nancy Pelosi.
[13:19.000 --> 13:28.000]  Maybe it is Hillary Clinton. Maybe it's Big Sister out there just wanting to make sure that you stick to your diet. You know, we all have a hard time sticking to our resolutions.
[13:28.000 --> 13:41.000]  We say, oh, I'm going to lose 10 pounds. Well, a card like this, you know, you could reach out to Big Sister, and Big Sister could actually help you to make sure that you didn't buy that extra pint of Haagen-Dazs, or maybe any pint of Haagen-Dazs ever again.
[13:41.000 --> 13:53.000]  See, once you start tying in the ability to monitor what people purchase, which is what credit cards enable you to do, which is what all of these numbered payment systems do, then you get to the next step.
[13:53.000 --> 14:04.000]  Now, we know, why isn't it you don't, why is it that you don't want your guns registered? For example, well, the reason you don't want your gun registered is because you know from history, which tells us this pretty clearly,
[14:04.000 --> 14:17.000]  that when you register guns, the next step is confiscating guns, or controlling them, limiting who can actually have access to self-defense, and then you get restrictions on who can have access to self-defense,
[14:17.000 --> 14:24.000]  and then ultimately you wind up with confiscation and control, and you wind up with a system that says, no, I'm sorry, no, no.
