[00:00.000 --> 00:18.480]  Today, that's 1-800-426-6186.
[00:18.480 --> 00:24.120]  This is a limited time offer, so call 1-800-426-6186 now.
[00:24.120 --> 00:31.120]  The federal funding is expected at Capital Metro for a...
[00:31.120 --> 00:35.120]  Thank you for listening to GCN. Visit GCNLive.com today.
[00:35.120 --> 00:37.120]  KLBJ Austin, it's four o'clock.
[00:37.120 --> 00:39.120]  Fox News Radio, I'm Karen Riegel.
[00:39.120 --> 00:42.120]  When President Obama addressed the graduates of Notre Dame,
[00:42.120 --> 00:47.120]  he also addressed the controversy that preceded and accompanied his visit.
[00:47.120 --> 00:50.120]  Let's go live now to Fox News Radio's Jennifer Kuiper.
[00:50.120 --> 00:53.120]  Barack Obama talked about abortion, telling graduates...
[00:53.120 --> 00:57.120]  So let us work together to reduce the number of women seeking abortions.
[00:57.120 --> 01:00.120]  Let's reduce unintended pregnancy.
[01:00.120 --> 01:03.120]  Some guests who stood up and yelled were escorted from the audience,
[01:03.120 --> 01:06.120]  the students in unison chanting back, we are ND,
[01:06.120 --> 01:09.120]  on some graduation caps and protests of the President's visit,
[01:09.120 --> 01:11.120]  the sign of the cross and baby's feet,
[01:11.120 --> 01:17.120]  outside at least 27 people arrested on trespassing charges before and during the event.
[01:17.120 --> 01:21.120]  Karen? Jennifer, this abortion controversy comes as President Obama is considering
[01:21.120 --> 01:25.120]  who will replace Justice David Souter on the nation's highest court.
[01:25.120 --> 01:28.120]  Senator Mitch McConnell is the Senate's top Republican.
[01:28.120 --> 01:31.120]  I think Chief Justice Roberts had it right during his confirmation hearing.
[01:31.120 --> 01:33.120]  He said the judge ought to be like an umpire,
[01:33.120 --> 01:35.120]  call the balls and strikes but don't make the rules.
[01:35.120 --> 01:37.120]  That's the kind of individual we're looking for.
[01:37.120 --> 01:40.120]  We know it will be someone of the political left,
[01:40.120 --> 01:45.120]  but a number of leftist judges have been able to put aside their personal views
[01:45.120 --> 01:47.120]  and call it like they said.
[01:47.120 --> 01:49.120]  He spoke on Fox News Sunday.
[01:49.120 --> 01:52.120]  House Speaker Nancy Pelosi got hammered on the Sunday talk shows
[01:52.120 --> 01:59.120]  after claiming last week the CIA liked her about the use of enhanced interrogation techniques.
[01:59.120 --> 02:01.120]  Republican Senator John Kyle.
[02:01.120 --> 02:06.120]  I am less interested in investigating whether her memory was correct or she lied about it
[02:06.120 --> 02:10.120]  than I am in the policies that flow from the debate that we're having.
[02:10.120 --> 02:13.120]  I am not one who thinks we ought to have truth commissions and all the rest of it
[02:13.120 --> 02:15.120]  and keep looking backward. I agree with the president.
[02:15.120 --> 02:17.120]  We've got enough on our plate. We need to look forward.
[02:17.120 --> 02:19.120]  The senator was on ABC's this week.
[02:19.120 --> 02:24.120]  CIA Chief Leon Panetta said last week the CIA misleads no one
[02:24.120 --> 02:27.120]  and was straightforward when it came to briefing lawmakers.
[02:27.120 --> 02:30.120]  You're listening to Fox News Radio, Fair and Balanced.
[02:30.120 --> 02:44.120]  News Radio 590 KLBJ. Good afternoon. It's 4.02. I'm Sarah Hudaberg. Topping Alston's news.
[02:44.120 --> 02:50.120]  The Alston City Council approves almost $800,000 in solo rebates for area businesses.
[02:50.120 --> 02:55.120]  Austin Energy's Ed Clark says that amount is the highest paid out so far
[02:55.120 --> 02:59.120]  to commercial property owners since the solo rebate program was launched.
[02:59.120 --> 03:02.120]  We do have a limit. We do have a budget limit.
