[00:00.000 --> 00:18.000]  Waging war on corruption. It's Alex Jones, coming to you live from the front lines of the Info War.
[00:18.000 --> 00:40.000]  We see the earth from here. It is infested with parasite bureaucrats and corporate kleptocrats that use monopoly systems to shut down their competition and suck the population dry.
[00:40.000 --> 00:48.000]  Well, we see the people of the planet waking up and kicking the hind ends of the parasites off this planet.
[00:48.000 --> 00:58.000]  Thank you for joining us. It is already the 26th day of August 2012. It is Sunday and we're going to be here for the next two hours.
[00:58.000 --> 01:24.000]  And I do intend to start going to your phone calls at the bottom of the hour. I'll give the number out coming up in the next segment. And as usual, we have a veritable cornucopia of absolutely enlightening, informative, thought-provoking and, well, quite frankly, angering news and information that we are going to be running down here today with you.
[01:24.000 --> 01:36.000]  All of the great viewers out there that are tuning in via the radio, you're listening and obviously watching at prisonplanet.tv.
[01:36.000 --> 01:54.000]  Now, up until the moment I went live here, this constantly happens. I'm all focused. I know what I want to cover. I know what issue I want to get into. And then I see something out there on the street that totally takes me in another direction.
[01:54.000 --> 02:09.000]  You remember the gentleman, the West Point grad with no criminal record who filmed police roughing up women so they arrested him? Well, now he got pulled over and filmed the police. He got arrested. We've got that type of news.
[02:09.000 --> 02:28.000]  We're just all over the Western world. You get arrested for filming the government servants. And when I went to the Zilker Park this morning that's been free since it was set up over 100 years ago by a prominent Austinite that dedicated his land, Mr. Zilker,
[02:28.000 --> 02:49.000]  and you go down there now, they are charging you to even get into the park. People can say, well, government needs money. Government needs money. Well, no, it doesn't because all over the country we see fines, fees, regulations, taxes being raised on us.
[02:49.000 --> 02:58.000]  But the big ultra rich, they're exempt and we pay for their billion dollar stadiums or we pay for their Formula One tracks.
[02:58.000 --> 03:04.000]  And studies have been done showing it doesn't even really bring money to the economy because it brings it only to select insiders.
[03:04.000 --> 03:14.000]  I saw reports where the Olympics cost $14 billion for the people of England and 8 billion plus was siphoned off to friends of the Olympic Committee.
[03:14.000 --> 03:19.000]  It's all a giant boondoggle, all a giant scam.
[03:19.000 --> 03:28.000]  And people need to understand the banks are really being robbed in this country in a different way than we think.
[03:28.000 --> 03:41.000]  Our local banks are being shut down by the big megabanks. The big megabanks are exempt from taxation, exempt from regulation, and they're the ones pushing and selling this whole new world order.
[03:41.000 --> 03:50.000]  But the point I want to make is the only crime going on out there is not just the stuff you hear about on the news.
[03:50.000 --> 03:55.000]  Bank robbers are stupid. That's a high risk job.
[03:55.000 --> 04:04.000]  But if you can get into government and you can get into the bureaucracy, you can rob the people blind.
[04:04.000 --> 04:13.000]  Because as a culture now across the world, government just unifies its criminal activity to where it's a seamless wall of corruption.
[04:13.000 --> 04:22.000]  I saw a report today where in a small town where people are going bankrupt and the economy is collapsing in Illinois,
[04:22.000 --> 04:36.000]  there is a government bureaucrat paid half a million dollars a year to do, quote, ten jobs and it isn't ten jobs and the person gets five months of sick days off,
[04:36.000 --> 04:45.000]  not counting a couple more months of vacation time. So they work like four months out of the year and get half a million dollars.
[04:45.000 --> 04:55.000]  And I've seen cases like that all over the country where you'll have a shitty manager getting $890,000 a year while they're taking little old ladies' houses for property taxes.
[04:55.000 --> 05:19.000]  It's wrong. We'll be right back.
[05:25.000 --> 05:47.000]  We'll be right back.
[05:55.000 --> 06:10.000]  You are listening to an info wars dot com frontline report.
[06:10.000 --> 06:21.000]  If you are receiving this transmission, you are the resistance.
[06:21.000 --> 06:31.000]  From deep in the heart of FEMA region six, Austin, Texas, transmitting worldwide, it's Alex Jones.
[06:31.000 --> 06:42.000]  It certainly is. And I want to thank all of you for joining us on this Sunday transmission. There is no doubt I am the hardest working man in radio.
[06:42.000 --> 06:52.000]  I am here Monday through Friday, 12 noon to 3 p.m. Eastern back Sundays, five to seven Eastern or four to six central 11 a.m. to 2 p.m. central.
[06:52.000 --> 07:03.000]  And then we come back Sundays again with the four to six transmission. We also have the weeknight info wars nightly news seven o'clock central standard time.
[07:03.000 --> 07:13.000]  The television show seven o'clock central eight o'clock Eastern that streams out every night is already picked up by some cable systems not just here in the U.S.
[07:13.000 --> 07:19.000]  But in England from the national cable system, two hours a week. Very exciting. Haven't even officially launched that out on the cable yet.
[07:19.000 --> 07:24.000]  Find out more at prisonplanet.tv or info wars news dot com.
[07:24.000 --> 07:29.000]  Okay. Wow. Where to start. I am again in total overload right now.
[07:29.000 --> 07:36.000]  First off, Isaac, the big hurricane could rival Hurricane Katrina and the amount of damage it could cause.
[07:36.000 --> 07:41.000]  And it's set to hit, I guess, Louisiana, Mississippi and other areas.
[07:41.000 --> 07:45.000]  I'm wondering, will they confiscate everyone's guns again?
[07:45.000 --> 07:55.000]  Not let people get out on the highways, not let people leave their homes or make them go to a sports stadium to be raped and then have the FBI command the U.S. Army to take the guns.
[07:55.000 --> 08:00.000]  Because the government is so nice and friendly. No, we have a predatory government.
[08:00.000 --> 08:11.000]  Also, I said this a few days ago. I don't normally get into tabloid news headlines unless there's a teaching moment in it all to show propaganda.
[08:11.000 --> 08:19.000]  I saw the Prince Harry photos. You've seen them in Vegas. They're not playing strip billiards without getting graphic.
[08:19.000 --> 08:25.000]  He has a woman been over and he's clearly engaged in an active intercourse.
[08:25.000 --> 08:30.000]  Again, I'm not a rocket scientist, but I know what I'm seeing.
[08:30.000 --> 08:47.000]  And it is now being reported by WYNN TV report. Prince Harry Vegas scandal could get much worse, more serious than strip billiards.
[08:47.000 --> 08:50.000]  And it goes on from there.
[08:50.000 --> 08:56.000]  In fact, the headline ends over at dredgerport.com at that point. This is on the Las Vegas Review Journal.
[08:56.000 --> 09:06.000]  And I guess they were at, I thought that was an acronym for the TV station's Las Vegas Review Journal reports that billionaire hotel developer Steve Wynn
[09:06.000 --> 09:14.000]  picked up the tab for Prince Harry's stay last week when his credence to Scuttlebutt that he's unhappy with his security team.
[09:14.000 --> 09:22.000]  Yeah, no kidding that they let the photos get out or the people that released those photos are going to have accidents.
[09:22.000 --> 09:32.000]  You better believe that because the Royal Family puts on this whole act like they're nice and they're friendly, that they care about everybody,
[09:32.000 --> 09:41.000]  that they're sweet and harmless. No, it's a giant criminal organization, a giant crime syndicate right at the head of the New World Order.
[09:41.000 --> 09:51.000]  It's kind of like the American media outfit, the tabloid that took photos of the bush daughters falling down drunk here in Austin, Texas, where I come to you from.
[09:51.000 --> 10:02.000]  They got mailed anthrax and the photographer got, of course, receipt of it and died when the US government weaponized, super, super weaponized that anthrax was delivered to him.
[10:02.000 --> 10:09.000]  So not a healthy move to release those. In fact, I predict the people involved will be dead within one year.
[10:09.000 --> 10:19.000]  I just remember I predicted that here. Continuing here, ladies and gentlemen, that's just some of the mindless tabloid stuff that's out there.
[10:19.000 --> 10:29.000]  But if anybody else was caught naked with women bent over tables, it would be a giant scandal and it would be, oh, how horrible they are.
[10:29.000 --> 10:43.000]  Instead, the media spinning it. Oh, just some naked billiards. Oh, just, you know, no big deal. No, the elites go to Las Vegas to have sex with your daughters who can't get jobs in an economy anymore outside of the sex trade.
[10:43.000 --> 10:49.000]  Let's just get that part straight as well. That's the new trade here in America.
[10:49.000 --> 10:57.000]  And the only reason the government keeps it illegal in most areas, they don't. Las Vegas is so they can control it and suck money out of it.
[10:57.000 --> 11:05.000]  Everybody knows in every major city, police department runs the horse. They've even caught a bunch of the Austin police over the years running the horse around here.
[11:05.000 --> 11:11.000]  Again, I'm coming to you from Austin, Texas, but anything I talk about happening in my town, you better believe it's happening in your town.
[11:11.000 --> 11:23.000]  All of this tyranny we face is able to take place because the general public thinks it's cool to be uninformed and naive.
[11:23.000 --> 11:28.000]  That's why we're in this position.
[11:28.000 --> 11:42.000]  And we need to understand that as the liberty goes out the window, so goes the prosperity. And as things get worse and worse, we need to understand that getting back to liberty will restore our republic.
[11:42.000 --> 11:53.000]  Now, I was on Coast to Coast AM for four hours Friday night with John B. Wells and sitting in for the great George Norrie, Coast to Coast AM.com.
[11:53.000 --> 12:01.000]  If you want to go through and find the subscription podcast of it, it was particularly powerful fourth hour got picked up by the examiner.
[12:01.000 --> 12:12.000]  Coast to Coast AM at its best Alex Jones and the banking fraud special. Now they had a show called Spank the Banks Saturday where they had five experts on breaking it all down.
[12:12.000 --> 12:21.000]  That was excellent as well. That's linked up at infowars.com. But the point is, the point is that we went over all the different police state news.
[12:21.000 --> 12:34.000]  And I actually had one of the producers that was on the night shift there pop in and say, where is that Army manual for reeducation camps in America?
