[00:00:00.000 --> 00:00:19.000]  InfoWars, tomorrow's news, today.
[00:00:19.000 --> 00:00:22.280]  It's Friday, and we are live, broadcasting worldwide.
[00:00:22.280 --> 00:00:25.720]  We now take you to Owen Schroer, last night, confronting the Border Patrol, when they were
[00:00:25.720 --> 00:00:30.320]  secretly sneaking in illegal aliens, with the U.S. military overseeing it all.
[00:00:30.320 --> 00:00:36.920]  So, ladies and gentlemen, this bus, they have dozens, if not hundreds, of these buses, all
[00:00:36.920 --> 00:00:41.000]  throughout El Paso, all throughout Texas, taking illegal immigrants everywhere.
[00:00:41.000 --> 00:00:46.360]  And it's more important to protect the illegal immigrants, and drive this bus through a ravine
[00:00:46.360 --> 00:00:50.760]  across the border, so they can get them on, without the American media seeing them.
[00:00:50.760 --> 00:00:54.480]  And this bus is going to take them somewhere deep in the heart of Texas, drop them off.
[00:00:54.520 --> 00:00:59.520]  Border Patrol tells us, the border's secure, nobody's crossing, nobody's coming in illegally,
[00:00:59.520 --> 00:01:01.520]  as it happens, right in front of our face.
[00:01:01.520 --> 00:01:04.520]  Move back, move back, move back.
[00:01:07.520 --> 00:01:08.520]  Thank you.
[00:01:12.520 --> 00:01:15.520]  Yeah, get out of the way, Americans, there's illegals coming in.
[00:01:15.520 --> 00:01:20.520]  Get out of the way, dirty Americans, we got non-citizens we gotta help.
[00:01:20.520 --> 00:01:22.520]  You dirty, stinking Americans.
[00:01:22.560 --> 00:01:24.560]  This isn't your country.
[00:01:24.560 --> 00:01:25.560]  Get out of the way.
[00:01:33.560 --> 00:01:39.560]  I'm so glad that we're making sure that the media can't see Biden's border invasion.
[00:01:39.560 --> 00:01:46.560]  They drive 30-foot buses through ravines, so the media can't see Biden's border invasion,
[00:01:46.560 --> 00:01:49.560]  and they send border agents out here telling us it's not happening.
[00:01:49.600 --> 00:01:51.600]  I want you to go over there.
[00:01:53.600 --> 00:01:55.600]  So are they going to block our cameras too?
[00:01:55.600 --> 00:01:57.600]  Yeah, make sure we can't see it.
[00:01:57.600 --> 00:01:59.600]  Very nice.
[00:01:59.600 --> 00:02:02.600]  Make sure nobody can see Biden's border invasion.
[00:02:02.600 --> 00:02:05.600]  Make sure nobody can see the illegal immigrants.
[00:02:05.600 --> 00:02:07.600]  You dirty, stinking Americans.
[00:02:07.600 --> 00:02:08.600]  I'm sorry.
[00:02:08.600 --> 00:02:12.600]  Yeah, you dirty Americans, get out of the way, this is the illegal immigrants' country.
[00:02:12.600 --> 00:02:13.600]  What do you guys think you're doing?
[00:02:13.600 --> 00:02:16.600]  This country's for illegal immigrants, you guys are dirty Americans.
[00:02:16.600 --> 00:02:17.600]  Get out of the way.
[00:02:17.640 --> 00:02:18.640]  How rude of you.
[00:02:18.640 --> 00:02:21.640]  How rude of you to think you have a country anymore.
[00:02:21.640 --> 00:02:24.640]  Hey, let's get another truck up here so no media can see this.
[00:02:24.640 --> 00:02:26.640]  In fact, let's just ban the media.
[00:02:26.640 --> 00:02:28.640]  Hey guys, we're going to need you to shut your cameras off.
[00:02:28.640 --> 00:02:31.640]  We cannot document Biden's border invasion, okay?
[00:02:31.640 --> 00:02:33.640]  Everybody shut your cameras down.
[00:02:33.640 --> 00:02:34.640]  No free speech.
[00:02:34.640 --> 00:02:36.640]  The border patrol's here to tell me to shut up too.
[00:02:36.640 --> 00:02:38.640]  Sir, sir, he says.
[00:02:38.640 --> 00:02:39.640]  An American citizen.
[00:02:39.640 --> 00:02:41.640]  An American citizen.
[00:02:41.640 --> 00:02:42.640]  Unbelievable.
[00:02:42.640 --> 00:02:43.640]  Unbelievable.
[00:02:43.640 --> 00:02:44.640]  This guy's ridiculous.
[00:02:44.680 --> 00:02:47.680]  Please allow the other media to be able to cover this.
[00:02:47.680 --> 00:02:48.680]  No, no, no media.
[00:02:48.680 --> 00:02:50.680]  No, no, no media though.
[00:02:50.680 --> 00:02:51.680]  Hey, no media.
[00:02:51.680 --> 00:02:53.680]  Nobody see the illegal immigrants.
[00:02:53.680 --> 00:02:54.680]  It's not happening.
[00:02:54.680 --> 00:02:55.680]  It's not happening.
[00:02:55.680 --> 00:02:57.680]  Sir, am I okay to be upset?
[00:02:57.680 --> 00:02:59.680]  Do I have the right to redress grievances here?
[00:02:59.680 --> 00:03:02.680]  But you're being discourteous to your country.
[00:03:02.680 --> 00:03:03.680]  I'm being discourteous.
[00:03:03.680 --> 00:03:05.680]  A wide open border, but I'm being discourteous.
[00:03:05.680 --> 00:03:06.680]  Oh, I love it.
[00:03:06.680 --> 00:03:07.680]  Allow them to record.
[00:03:07.680 --> 00:03:08.680]  I love it.
[00:03:08.680 --> 00:03:09.680]  They can record.
[00:03:09.680 --> 00:03:10.680]  Nobody's stopping them.
[00:03:10.680 --> 00:03:11.680]  Nobody's stopping them except you guys.
[00:03:11.680 --> 00:03:13.680]  Look, she's trying to stop the media.
[00:03:13.720 --> 00:03:14.720]  Stop the media.
[00:03:14.720 --> 00:03:15.720]  You guys don't want us to see this.
