[00:00.000 --> 00:12.000]  It's Friday, December 30th, twilight hours, twenty, one, two, three, get ready, this is
[00:12.000 --> 00:16.000]  going to be one album transmission.
[00:16.000 --> 00:20.000]  Info Wars, tomorrow's news, today.
[00:20.000 --> 00:40.000]  For what is a man? What has he got? If not himself, then he has not to say the things he truly feels.
[00:40.000 --> 01:02.000]  And not the words of one who kneels, the wreckage shows. I took the blows and did it my way.
[01:02.000 --> 01:13.000]  We are still here at the end of 2022 under unprecedented global esteemed state attack, but the new world order is in deep trouble on every single front.
[01:13.000 --> 01:24.000]  The world is waking up to tyrants like we've done over and over again. We're coming into the bottom of the decadent cycle and hopefully coming out of it very, very soon.
[01:24.000 --> 01:31.000]  But that's going to be dictated by the actions that we, people that care about liberty and freedom take against these tyrants.
[01:31.000 --> 01:37.000]  All right, huge, huge broadcast lined up for you today.
[01:37.000 --> 01:53.000]  Massive economy news, massive military news, huge COVID-19 news, police state news, government pushed beyond assisted suicide.
[01:53.000 --> 02:05.000]  Government orchestrated, intimidated, bullied suicide, indoctrinating children, you name it, we have got so much to cover.
[02:05.000 --> 02:14.000]  And as I said, all the positive news coming out, the awakening to the WEF, to the new world order, to global governance is just massive.
[02:14.000 --> 02:26.000]  It's all over the world. Everybody's discussing it. It's the top stories in Africa and Latin America and Pacific Islands and Australia and New Zealand and Europe and the US and Canada.
[02:26.000 --> 02:34.000]  It's just everywhere now with government leaders, prime ministers, presidents even coming out against the new world order.
[02:34.000 --> 02:41.000]  Criminal investigations of Pfizer and Moderna and Bill Gates in Germany, in Florida, here in the United States.
[02:41.000 --> 02:49.000]  It is massive. Criminal investigations of Chase Bank working with Jeffrey Epstein and his trafficking operations.
[02:49.000 --> 02:55.000]  All of it, ladies and gentlemen, is massive. And then speaking of trafficking, Andrew Tate.
[02:55.000 --> 03:02.000]  I've gotten to know him over the last five years or so. We've hung out a few times, had dinner. He's been on the show very gentlemanly, very nice.
[03:02.000 --> 03:06.000]  I've been up to dinner with him and his brother and my wife several times.
[03:06.000 --> 03:13.000]  And he told me about people trying to set him up and all the BS. He has no criminal record. His dad's former world chess champion.
[03:13.000 --> 03:22.000]  He's a three-time heavyweight champion, very, very calculated, very, very in control of himself.
[03:22.000 --> 03:29.000]  I don't get any bad vibes off of Andrew. I know that he and his brother with Cam Girls reportedly made over $100 million.
[03:29.000 --> 03:36.000]  If you check even law enforcement, it's not Cam Girls where you see the trafficking going on. I don't really agree with it. I don't really like it.
[03:36.000 --> 03:42.000]  I didn't even really know he was into that until after I knew him for a few years. But that's where he made a lot of his wealth.
[03:42.000 --> 03:49.000]  So he's definitely a G when it comes to that. But he's just a guest on the show because I think he's a well-spoken person
[03:49.000 --> 03:52.000]  and has become the most Google person in the world.
[03:52.000 --> 03:59.000]  And I've definitely been reaching out to his viewers and listeners who are into male empowerment.
[03:59.000 --> 04:04.000]  I want to take them to the next level understanding the globalist are targeting male empowerment, trying to destroy it.
[04:04.000 --> 04:07.000]  And then you understand the whole new world order.
[04:07.000 --> 04:15.000]  So, you know, that said, I go on CNN, I go on ABC News, I go on Japanese TV, I go on Russian TV, I go on Mexican TV, I go on Brazilian TV.
[04:15.000 --> 04:17.000]  And I've gone on his show. He's been on my show.
[04:17.000 --> 04:25.000]  I do not believe this story is true. I've heard about this report for over a year.
[04:25.000 --> 04:31.000]  He told me about it and it is the girl's boyfriend that filed this report.
[04:31.000 --> 04:37.000]  And then what they did just like with Julian Assange is they went and talked to other women and you read what they're claiming he did
[04:37.000 --> 04:40.000]  and the supposed charges they want and it just doesn't fit.
[04:40.000 --> 04:43.000]  And so there was the one video him spanking his girlfriend.
[04:43.000 --> 04:48.000]  She came out and said, I asked him to do that. It was a joke video. It wasn't like punching her in the face.
[04:48.000 --> 04:51.000]  And so the point is, this is a hit job.
[04:51.000 --> 05:20.000]  He came out against Greta Thunberg and 24 hours later when it was the top story in the world, he was raided by the police in Romania. Stay with us.
[05:22.000 --> 05:27.000]  Ladies and gentlemen, we have Payne MD. It's a number one national bestseller under another name.
[05:27.000 --> 05:33.000]  We got it discounted for 40% off InfowarsStore.com under the label, Infowars Platinum.
[05:33.000 --> 05:38.000]  We've also got HGH Max Boost. Read all about it. Be very safe with it.
[05:38.000 --> 05:43.000]  I take only a fraction of what they say at first and take it before you go to bed at night. Don't do it during the day.
[05:43.000 --> 05:54.000]  1776 testosterone boost. Totally incredible. Go read about them. Learn more about them at InfowarsStore.com in the Infowars Platinum section.
[05:54.000 --> 06:14.000]  You get 40% off on these already bestselling products under the new name, Infowars Platinum.
[06:14.000 --> 06:24.000]  It's Alex Jones coming to you live from the front lines of the Infowar.
[06:24.000 --> 06:32.000]  All right. I have talked to Andrew Tate's lawyer and I've got the inside scoop on what's really going on, not just from Andrew Tate.
[06:32.000 --> 06:51.000]  I've been talking to him the last few years, talking to him on a phone or on a routine basis. And coming up at the bottom of the hour, I'll give you the inside scoop on what's going on with he and his brother Tristan being arrested in Romania at their home.
[06:51.000 --> 07:02.000]  And the supposed charges they're talking about, trying to levy against him in a course, I can tell you that it's completely, absolutely, totally made up.
[07:02.000 --> 07:11.000]  Andrew Tate is well known for being neurotic about not breaking the law, about being neurotic, about knowing they're trying to set him up.
[07:11.000 --> 07:18.000]  And it's well known that people try to start fights with him and stuff. You know what Andrew Tate does? He walks away.
[07:18.000 --> 07:32.000]  And so I know his MO, he was not trafficking women and all this crap, but they know how to come after us for the things that we've been exposing that they've been doing with the deep state with children and everything else.
[07:32.000 --> 07:44.000]  So it's the same way they got Julian Assange, two really hot women picked him up at a bar and he went home with them and it turned out they worked for the CIA, sex operatives.
[07:44.000 --> 07:52.000]  It happens to me all the time. I was at a business meeting. They were obviously tracking us just about a month ago.
[07:52.000 --> 07:59.000]  And this woman just came over, demanded that I go out with her, demanded I leave with her, followed us out of the car, everything else.
[07:59.000 --> 08:02.000]  And it's just all a total setup, ladies and gentlemen.
[08:02.000 --> 08:17.000]  And it's very, very dangerous to be fighting the New World Order if you are promiscuous or not married, because they will set you up. And Julian Assange, what, 10 years later, still locked up with no real trial.
[08:17.000 --> 08:30.000]  And the deep state admits they orchestrated the whole thing. CIA operatives had sex with him and then claimed the condom broke so it was rape.
[08:30.000 --> 08:39.000]  And then later it came out five years after that they were central intelligence agency sex operatives.
[08:39.000 --> 08:46.000]  You want to see the drug company reps. My dad's been a dentist for a long time and I have friends and family that are medical doctors.
[08:46.000 --> 08:52.000]  And I was in a medical clinic about two years ago and I'm sitting there.
[08:52.000 --> 09:02.000]  And all of a sudden I see this drug rep woman walk in who was so beautiful that I just, she just radiated sexiness and feminine power.
[09:02.000 --> 09:10.000]  And I sat there, they had me in a little side clinic, they all was getting some antibiotics, had an infection on the cut of my leg, and they were dressing it and fixing it and stuff.
[09:10.000 --> 09:17.000]  And I'm sitting there about 10 minutes listening to her sell that clinic to up their prescriptions of certain drugs.
[09:17.000 --> 09:28.000]  I was one of these big clinics walked in, never been there. And I'm sitting there with the door open watching her and just just just seeing that manipulation.
[09:28.000 --> 09:33.000]  Well, imagine the women the CIA has, ladies and gentlemen.
[09:33.000 --> 09:40.000]  And so that is where this world is. And they put sex operatives on me all the time.
[09:40.000 --> 09:48.000]  I mean, I told the story of the Russians put two of them on me two different times in New York. And they were just point blank, beautiful blondes.
[09:48.000 --> 09:54.000]  And they were like, we like Putin, you like Putin, you like you, we go to the hotel room with you both times.
[09:54.000 --> 10:00.000]  And then I'd be like, no, no, no, no, no. Then there'd be like a Russian guy step up an older guy, do you want stocks bonds?
[10:00.000 --> 10:04.000]  You come to Miami, we give you money, Putin like you.
[10:04.000 --> 10:15.000]  So it's the same thing over and over again. I've had the CIA try to recruit me. I've had the Kissinger group try to recruit me in front of the producer, John Harmon.
[10:15.000 --> 10:20.000]  He's a witness to that. And I'm not up here just rattling this off to try to sound cool.
[10:20.000 --> 10:26.000]  People need to know when you're fighting the New World Order, it is a James Bond movie for real.
[10:26.000 --> 10:31.000]  Like the James Bond movies, there's always a hot chick trying to pick him up and then he tries to kill him in the bedroom.
[10:31.000 --> 10:35.000]  That happens a lot. A lot of people get killed by sex operatives.
[10:35.000 --> 10:41.000]  So you know what goes on Alex Jones happily married and the zipper is up.
[10:41.000 --> 10:49.000]  But Andrew Tate's 36 years old, former three time heavyweight, kickboxing world champion.
[10:49.000 --> 10:58.000]  And he has been set up bigger than Dallas because he told me about it and I know the inside baseball and I know other sources in the UK.
[10:58.000 --> 11:04.000]  This is British intelligence MI6 at the behest of the WF and the Bilderberg group.
[11:04.000 --> 11:09.000]  He already got investigated for this stuff a year ago. He went to the police station in April.
[11:09.000 --> 11:18.000]  They clear him of anything. And now you see with the same allegations, the SWAT team raid, ladies and gentlemen.
[11:18.000 --> 11:28.000]  There you go. Ladies and gentlemen, we know how the devil got Adam to eat the apple. It was with Eve.
[11:28.000 --> 11:37.000]  And the story just continues on over and over again. So we should pray for Andrew and Tristan because they're politically incorrect.
[11:37.000 --> 11:48.000]  And he is reaching, I'll be conservative about this. The numbers are about 400 million men ages 25 and younger and down into teenagers.
[11:48.000 --> 11:51.000]  I mean, all they talk about in middle school and high schools, Andrew Tate.
[11:51.000 --> 11:55.000]  And he's talking about the new old order. He's talking about the globalist. He's talking about Alex Jones.
[11:55.000 --> 12:04.000]  He's talking about, you know, all these things and they just can't stand it. So there you go straight to jail.
[12:04.000 --> 12:08.000]  Now, I said I'd give you the inside baseball on that at the bottom of the hour.
[12:08.000 --> 12:16.000]  But now I'll do it in the last second of this hour because I got other stuff to hit and I care about, you know, what's happening to Andrew up the same way.
[12:16.000 --> 12:25.000]  But in the big picture, we had some really big fish to fry here. So let me get this out first.
[12:25.000 --> 12:28.000]  Let's break this down.
[12:28.000 --> 12:34.000]  I am proud of the fact that we're able to track it back to communist China starting yesterday afternoon.
[12:34.000 --> 12:42.000]  We've had about 150 million visits to m4store.com. And of course, 99.9% of them are fake.
[12:42.000 --> 12:47.000]  They are bot attacks. They are DDoS attacks. They're just flooding us with traffic.
[12:47.000 --> 12:55.000]  The site security is great. That's why the site locks down. You got to go do those little puzzles and stuff when you go to it to make sure you're a human.
[12:55.000 --> 13:01.000]  And we've got every security feature you can imagine. So none of the security has been breached in m4store.com.
[13:01.000 --> 13:10.000]  It's as strong as a fortress. But it's been slow because of the 150 million visits it's gotten.
[13:10.000 --> 13:14.000]  Again, 99.99999% of them are fake.
[13:14.000 --> 13:23.000]  So I want to thank you all for going through the trouble to do the little puzzles and things to prove you're a human and get to the site and then to order there.
[13:23.000 --> 13:30.000]  Because we've got about a $250,000 shortfall every month for the last six months.
[13:30.000 --> 13:36.000]  We've made it through most of the legal bills. We're going to the appeals process. We've got new products coming in.
[13:36.000 --> 13:40.000]  We should be stabilized very, very soon.
[13:40.000 --> 13:49.000]  But if we don't get out of the million dollar hole we're in for the last six months, we won't be able to buy more product after this group of product that came in.
[13:49.000 --> 13:54.000]  We're living off what we're selling and paying for the operation but not having money to buy in the future.
[13:54.000 --> 13:59.000]  It's kind of like when farmers finally have their last crop. They go, well, we don't have enough money to buy seed next season.
[13:59.000 --> 14:02.000]  So this is our last crop. And then you sell the farm and you move the city.
[14:02.000 --> 14:10.000]  Well, if I was a farmer failing, I would just do that. But we're waking up minds. We're farming souls to awaken to the new world order.
[14:10.000 --> 14:14.000]  We can't stop this operation. So I need the seed money.
