[00:00.000 --> 00:18.000]  Waging war on corruption. It's Alex Jones coming to you live from the front lines of the Info War.
[00:31.000 --> 00:35.000]  Now we see the earth. You got it.
[00:36.000 --> 00:39.000]  Now we see the earth.
[00:39.000 --> 01:01.000]  Ladies and gentlemen, it is Sunday, the 15th day of July 2012, and in the first hour, we're going to look at the United Nations Treaty.
[01:01.000 --> 01:13.000]  The United Nations Treaty that President Obama says he's planning to sign and that they plan to try to implement,
[01:14.000 --> 01:20.000]  even if Congress does not ratify it. People say, hey, that's the UN. What they do doesn't matter to us.
[01:20.000 --> 01:30.000]  Really, we've had the Congress basically lay down the fact that they've been told that the UN and NATO gives our military orders.
[01:31.000 --> 01:38.000]  And if you missed that clip, they've done it twice to the House and Senate Armed Services Committee in the last five months.
[01:38.000 --> 01:50.000]  First time five months ago, last time three months ago, and of course last year with the Libya bombardment, Obama in letters he sent to Congress said, you are not involved. Sit down and shut up.
[01:50.000 --> 02:09.000]  We've got at least four of the five Supreme Court justices who have been coming out and saying that they take their orders from the UN and that we should follow UN law.
[02:09.000 --> 02:24.000]  So I want to talk some about the United Nations today, not just about this treaty, and we're going to be going over all of that.
[02:25.000 --> 02:36.000]  But even Forbes, in articles that have been put out, has had to admit that this will at their minimum put the UN over gun registration here in the United States.
[02:36.000 --> 02:50.000]  Then I want to get into the proliferation of drones, because now people are finally paying attention to this, because it's going to be drone taxis, drone cars, drone submarines, drone ships, drone aircraft, drone spacecraft.
[02:51.000 --> 03:02.000]  It already is, and they're going to come out, the system's already saying this, I told you this a decade ago, and say humans aren't safe, humans are bad, and make you drive a robot car.
[03:02.000 --> 03:09.000]  At first they'll just be a lot higher insurance if you want to drive yourself, but over time they are going to end up restricting it.
[03:10.000 --> 03:22.000]  This is how the nanny state operates, this is how the nanny state mentality works, so I'm going to talk about the rise of the robot technocracy in the second half of the second hour.
[03:23.000 --> 03:24.000]  So about an hour and a half from now.
[03:25.000 --> 03:30.000]  When we come back, I'm going to also give the number out for your take, your view on the United Nations treaty.
[03:30.000 --> 03:42.000]  Guys, I meant to have the Forbes article, where it broke down the sections, because I have the sections, I have Aaron's breakdown of it, and then fullwars.com, but there's another article.
[03:43.000 --> 03:47.000]  It's the one that's actually linked right there, it's the first link in that article.
[03:48.000 --> 03:50.000]  That's the one I want, not this one.
[03:52.000 --> 03:53.000]  There you go.
[03:53.000 --> 03:57.000]  Print that one for me.
