[00:00.000 --> 00:26.000]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[00:26.000 --> 00:35.000]  Well, US diplomats, British diplomats, EU diplomats, and Russian diplomats all agree.
[00:35.000 --> 00:44.000]  Relations with Russia are now worse than they were during major periods of the Cold War.
[00:44.000 --> 00:58.000]  And you have a former Russian spy, KGB Colonel, who's lived for over a decade in the UK. He and his daughter, the Screepalls, get nerve-gassed.
[00:58.000 --> 01:06.000]  Coming out of a store, they're found on a bench. There's no evidence it's the Russians, and I'm not defending the Russians, but there's no motive.
[01:06.000 --> 01:11.000]  Why would they do this? And then England says, well, we think it's you, and Trump says we think it's you.
[01:11.000 --> 01:15.000]  And so we're going to announce all these big sanctions.
[01:15.000 --> 01:23.000]  That is Trump going along with the globalist narrative, and I don't think it'll make him stop saying he's a Russian agent with no proof.
[01:23.000 --> 01:29.000]  Here's the problem, and Dr. Pachennick and others talked about it a year and a half ago, and I know nothing against Jared Kushner.
[01:29.000 --> 01:35.000]  I'm not involved in the inner fighting of the White House. I've been sucked into that. I'm not going to be.
[01:35.000 --> 01:43.000]  I kind of defended Bannon's camp when it turned out he was one of the worst, just because I was trying to be loyal to who the media told us was the libertarian in there, and it wasn't true.
[01:43.000 --> 01:53.000]  But Kushner is on record getting loans from the Communist Chinese, which you can do all day long, but then you can't be in the administration.
[01:53.000 --> 02:01.000]  And so the only real leverage, and I've got the sources. I've known about this for a year and a half. We've talked about it.
[02:01.000 --> 02:12.000]  He used Jared Kushner and him trying to prop up his Manhattan real estate at 666. You can't make that up.
[02:12.000 --> 02:21.000]  So that's it. And the word is that that's the leverage they've got over Trump.
[02:21.000 --> 02:37.000]  And I think that there's not real evidence of corruption by Kushner because he was getting some of these loans before they got into office.
[02:37.000 --> 02:46.000]  But now that it's ongoing, it could bring down the whole operation.
[02:46.000 --> 02:53.000]  You got 25 House Dems demanding Kushner's firing. That was yesterday.
[02:53.000 --> 03:07.000]  So he could still have Kushner around. Kushner could still be an envoy or something, but unofficially, but it's just, it's a real soft spot that they've actually got a point on.
[03:07.000 --> 03:09.000]  So nothing else is real.
[03:09.000 --> 03:17.000]  Trump has fired all the lobbyists. He's lost hundreds of millions of dollars running and spent his own money and been persecuted and done a great job.
[03:17.000 --> 03:22.000]  But he is very loyal to family and Kushner reportedly does help a lot and get a lot of stuff done.
[03:22.000 --> 03:27.000]  He's a very smooth guy reportedly behind the scenes. So there you go.
[03:27.000 --> 03:35.000]  That said, ladies and gentlemen, Drudge is reporting that Chief of Staff Kelly next on the chopping block.
[03:35.000 --> 03:49.000]  Body Crown Prince, Iran leader, like Hitler. And then of course the big Russian news that Trump has announced these massive new sanctions and it's 10 times anything.
[03:49.000 --> 04:00.000]  I've looked at the numbers Obama ever even talked about doing and CNN goes, Trump administration finally announces Russian sanctions.
[04:00.000 --> 04:03.000]  We're going to go over all of those. It's unbelievable.
[04:03.000 --> 04:06.000]  Let's look at Mueller.
[04:06.000 --> 04:11.000]  Mueller witness is convicted pedophile with shadowy past.
[04:11.000 --> 04:15.000]  Oh, you hurt the pedophiles feelings. Maybe you should be sued.
[04:15.000 --> 04:18.000]  That's how it works now.
[04:18.000 --> 04:23.000]  But that's a Sacramento be, you see, if we looked at the records and said it, we'd be sued.
[04:23.000 --> 04:29.000]  But Mueller witness is convicted pedophile with shadowy passes Sacramento be reports.
[04:29.000 --> 04:35.000]  And that's the type of folks that they're getting to testify that are totally compromised.
[04:35.000 --> 04:42.000]  And they've again found no Russian collusion. They found process stuff like 10 years ago, you may not have paid your taxes exactly, right?
[04:42.000 --> 04:45.000]  You're facing 300 years, Manafort.
[04:45.000 --> 04:51.000]  But if you roll over and plead guilty like you're assistant, no prison time.
[04:51.000 --> 04:54.000]  Manafort's like, I didn't do anything.
[04:54.000 --> 05:00.000]  So this is a mesh and then we've got other even huge or news. They found election fraud.
[05:00.000 --> 05:05.000]  Feel your body with carnivore, the new digestive enzyme product by info wars life.
[05:05.000 --> 05:13.000]  Digestive enzymes assist in the digestive process and increase the bioavailability of nutrients by breaking down foods into easily absorbable components.
[05:13.000 --> 05:18.000]  They also help prevent discomfort from a digestion caused by fermentation of undigested food particles in the gut.
[05:18.000 --> 05:21.000]  Digestive enzyme production declines as we age.
[05:21.000 --> 05:25.000]  It's filled with digestive enzymes like those naturally present in the body.
[05:25.000 --> 05:28.000]  Enjoy the full potential of protein rich foods again.
[05:28.000 --> 05:35.000]  You can eat protein heavy foods now while minimizing the later indigestion and discomfort commonly associated with high meat diets.
[05:35.000 --> 05:43.000]  Just one pill with every high protein meal helps increase the bioavailability and absorption of amino acids, the building blocks to your muscles.
[05:43.000 --> 05:50.000]  Cardivore also contains digestive enzymes to help digest fats and carbohydrates so you can fully digest all types of meals.
[05:50.000 --> 05:54.000]  Don't let a meal go to waste. Use carnivore by info wars life.
[05:54.000 --> 06:21.000]  Head to info wars life dot com and secure your bottle now. That's info wars life dot com.
[06:24.000 --> 06:35.000]  We are back live broadcasting worldwide. We just kicked off this Thursday, the 15th day of March, 2018.
[06:35.000 --> 06:40.000]  The Ides of March, the date on which Julius Caesar was killed in the Roman Senate.
[06:40.000 --> 06:46.000]  Very unlucky day. They say for nobility and kings and presidents and prime ministers.
[06:46.000 --> 06:54.000]  Showhead has been said historically that the omen tends to turn trues. We'll see what this day bodes.
[06:54.000 --> 07:00.000]  Let me just read a couple headlines here because I can't even figure out where I want to start.
[07:00.000 --> 07:20.000]  Leading historian Silicon Valley will decide future election winners unless conservatives do something and he breaks down all the open announcements.
[07:20.000 --> 07:33.000]  That video, they are ending free speech, which means they're basically ending our chance to be politically heard and to basically pick it and to be involved in culture and society.
[07:33.000 --> 07:48.000]  And that's what I keep telling everybody. And only drudge report dot com the last month figured out that their attempt to ban us off the internet and sewage is to set the precedent because the new CEO of news corps said so in the Wall Street Journal.
[07:48.000 --> 08:01.000]  They said we would be used as the case point. And now in a month, five lawsuits to add into the other seven and the university suing us.
[08:01.000 --> 08:12.000]  Georgetown, Clinton lawyers suing us. All the calls to take our sponsors to ban us. And then Fox News gets the same suit.
[08:12.000 --> 08:18.000]  Now, yesterday, saying you can't investigate Seth Rich's murder period. Just don't talk about it.
[08:18.000 --> 08:25.000]  And it says in the suit, you hurt people talking about saying maybe he was murdered for governmental purposes when they don't know who murdered him.
[08:25.000 --> 08:37.000]  And it's wide open. There's a lot of evidence that it was governmental and then there is evidence pointing towards that he is a good suspect in being one of the leakers.
[08:37.000 --> 08:47.000]  Like the Pentagon Papers and Daniel Ellsberg. So in this climate, the New York Times would have been sued out of existence for the Pentagon Papers.
[08:47.000 --> 08:57.000]  That's what we've reached here. And top historians, top analysts say that I'm right. Well, you don't have to believe that I'm right.
[08:57.000 --> 09:07.000]  They're admitting the plan to shut down free speech. It's here. This is not rhetoric about, oh, look, look what's happening to me. I'll be honest with you.
[09:07.000 --> 09:19.000]  If things weren't this bad, I would be doing a radio show every day and not going full steam ahead trying to launch a resistance movement to the globalist and risking my life and going through this stuff.
[09:19.000 --> 09:32.000]  But because I know how bad it is and how real it is, I basically have almost no stress and no fear and I'm completely committed other than hoping I can be a stronger man to execute this operation better.
[09:32.000 --> 09:45.000]  That's where I stand. I am not a victim. I'm a winner. I am not downtrodden. I'm an overcomer and I bring victory.
[09:45.000 --> 09:51.000]  And so do you because we love God and we have that light in our eyes.
[09:51.000 --> 10:00.000]  Now, leading historian, Silicon Valley will decide future election winners unless conservatives do something.
[10:00.000 --> 10:07.000]  Well, put that headline back up for TV viewers. You just had about the far right group banned off Facebook.
[10:07.000 --> 10:16.000]  Stephen Crowder has been banned off of Twitter. More censorship, Facebook bans right-leaning group, Britain First.
[10:16.000 --> 10:22.000]  They're arresting members of it. They've arrested Marie Le Pen in France for saying Islam's is big a threat.
[10:22.000 --> 10:28.000]  Radical Islam, she said ISIS in Al Qaeda is big a threat to France as Hitler was in World War Two.
[10:28.000 --> 10:42.000]  Well, that's totally true. And now they had a transgender conference at South by Southwest and people are identifying as Golden Dragons.
[10:42.000 --> 10:50.000]  They're identifying as ornate buildings. That's in Google lawsuits where they call people into ample theaters and make them say you're a beautiful ornate building and have people chant that.
[10:50.000 --> 10:59.000]  People identify as blind. So the government dumps Drano in their eyes and taxpayers pay for it. A man identifies as a woman.
[10:59.000 --> 11:08.000]  And then if Stephen Crowder, who's kind of libertarian, liberal conservative, you know, they don't like him because he's funny and smart.
[11:08.000 --> 11:13.000]  But I'd call him on the spectrum of left, right, kind of in the middle.
[11:13.000 --> 11:24.000]  He had one of his crew go in and just say I identify as a robot and the transgender conference thought it was funny.
[11:24.000 --> 11:30.000]  They thought it was funny. Hey, if I wanted to find a robot, let me. Well, Twitter didn't think so and manned it.
[11:30.000 --> 11:42.000]  Stephen Crowder, gender fluidity video. Stephen Crowder, gender fluidity video triggers hateful conduct Twitter suspension.
[11:42.000 --> 11:47.000]  So we're going to play the offending video and Crowder's on tomorrow.
[11:47.000 --> 11:51.000]  You come on today, but it's at 2.30 and I'm doing the fourth hour today and I'm meeting with lawyers.
[11:51.000 --> 12:04.000]  So about our counteroffenses, which my lawyers are like, no, you got a case, but you want to sue Tom Brokaw.
[12:04.000 --> 12:09.000]  And I'm like, yeah, and I want to sue Fury of Peppy the Frog.
[12:09.000 --> 12:13.000]  Well, you'll win that one for sure. I mean, I just can't sit here anymore.
[12:13.000 --> 12:17.000]  So, but I got the kind of lawyers that are top lawyers. They don't like suing people. They defend people.
[12:17.000 --> 12:24.000]  So I'm getting in with all the big top lawyers that sue people and we're, I got about a month till the statute limitations is up.
[12:24.000 --> 12:34.000]  And we've had our letters sent out to Mr. Brokaw and we've done public notices and he wants to get up on TV and say, I am a total racist and then show no proof.
[12:34.000 --> 12:41.000]  Don't try to physically attack me on the street. And I've lost sponsorship. You name it. And so I always got NBC lawyers and all the rest of it.
[12:41.000 --> 12:47.000]  So get ready, bubba. Now, of course, there'll be no coverage of it when I put up the suit, but there'll be coverage here.
[12:47.000 --> 12:51.000]  And see, we have an audience. We have a voice. You don't like it.
[12:51.000 --> 12:58.000]  In fact, just playing Tom Brokaw right here. He said it multiple times. He said, I'm dangerous. It must be stopped too on the Megan Kelly special.
[12:58.000 --> 13:04.000]  The whole game is to, let me play gotcha. Let me show you how meaner I can be.
[13:04.000 --> 13:08.000]  There's a lot of controversy around this network about Alex Jones, for example.
[13:08.000 --> 13:19.000]  But the fact is that he is an unalloyed racist, a man whose outs are pulling the pin on the grenade every day and he has 6 million viewers who are paying attention to him.
[13:19.000 --> 13:24.000]  And the parents at Newtown are saying they're hearing from his followers all the time.
[13:24.000 --> 13:28.000]  They buy into what he is saying, which is partly not true.
[13:28.000 --> 13:36.000]  So at some point, there's got to be a coming together of the political culture. It's never going to be kumbaya. We don't expect that.
[13:36.000 --> 13:44.000]  He goes to say, take me off the ear. So he misrepresent what I say. He uses the straw man of some families and then says, I'm a racist.
[13:44.000 --> 13:56.000]  I'm supposed to be with Newtown and that I need to be taken off the ear and in other clubs how dangerous I am. So they're coming after my civil rights, my human rights, my Magna Carta, my Declaration of Independence, my First Amendment.
[13:56.000 --> 14:02.000]  And if they can, that's how this works. If they can get me, they can get you. So that's all coming up.
[14:02.000 --> 14:14.000]  So leading a story in Silicon Valley will decide future election winners and those conservatives do something. The video is on infowars.com. The article, I suggest you get that out because it's here. This is it.
