[00:00:00.000 --> 00:00:02.000]  Protect your family.
[00:00:09.000 --> 00:00:14.000]  Big Brother. Mainstream media. Government cover-ups.
[00:00:14.000 --> 00:00:17.000]  You want answers? Well, so does he.
[00:00:17.000 --> 00:00:21.000]  He's Alex Jones on the GCN Radio Network.
[00:00:21.000 --> 00:00:26.000]  And now, live from Austin, Texas, Alex Jones.
[00:00:27.000 --> 00:00:33.000]  Monday through Friday from 11 to 2 Central, back from 9 to midnight. I'm here live. I'm Alex Jones, your host.
[00:00:33.000 --> 00:00:35.000]  Thank you for joining us.
[00:00:35.000 --> 00:00:40.000]  I know we have loaded phone lines to talk about the economy. Patriot Act 2 being passed quietly last weekend.
[00:00:40.000 --> 00:00:43.000]  Signed by Lord Bush.
[00:00:43.000 --> 00:00:45.000]  The Neocon leader.
[00:00:45.000 --> 00:00:52.000]  The gun-grabbing, open-border-promoting, China-worshipping, Taiwan-hating creature.
[00:00:52.000 --> 00:00:57.000]  We're going to go to your calls here because no matter what issue you're bringing up, our guests will be able to comment on it
[00:00:57.000 --> 00:01:03.000]  because this military-industrial complex control grid that we're all living under affects everything in our lives
[00:01:03.000 --> 00:01:06.000]  and is interconnected with the entire system.
[00:01:06.000 --> 00:01:13.000]  The biggest part of our economy is prisons, is surveillance, is the military-industrial complex taking control of our lives.
[00:01:13.000 --> 00:01:19.000]  And that's what's always happened throughout history, is the military leadership, controlled by its financial interests,
[00:01:19.000 --> 00:01:26.000]  decides to go ahead and set themselves up as gods, as kings. That's the norm.
[00:01:26.000 --> 00:01:33.000]  And so when you have different generals like the head of NORTHCOM, Eberhard, or General Franks, the outgoing head of CENTCOM,
[00:01:33.000 --> 00:01:37.000]  saying martial law is the next step, you better watch out.
[00:01:37.000 --> 00:01:46.000]  And a lot of people have commented in the administration that yes, Project Phoenix, that is CIA hit teams, surveillance-controlled, is coming home to roost.
[00:01:46.000 --> 00:01:52.000]  And I had him on last week for an hour. He was an amazing guest. I want to have him on as a routine guest if he'll do it
[00:01:52.000 --> 00:02:00.000]  because I found very few people that have the same breadth of knowledge on the New World Order control grid as Douglas Valentine.
[00:02:00.000 --> 00:02:06.000]  The website is douglasvalentine.com. We have a link to it at infowars.com.
[00:02:06.000 --> 00:02:10.000]  And Mr. Valentine, good to have you back on the show with us.
[00:02:10.000 --> 00:02:13.000]  Thank you very much for inviting me on your show, Alex.
[00:02:13.000 --> 00:02:20.000]  And for folks who don't know who you are, tell them a little bit about yourself and up front about some of the books you've written and how folks get those.
