[00:00.000 --> 00:05.160]  Look at that.
[00:05.160 --> 00:12.640]  Y'all gonna keep riding here, Yuri.
[00:12.640 --> 00:16.040]  Yuh-uh...
[00:16.040 --> 00:39.640]  Two weeks ago, I was standing in one of the bays of a warehouse at the InfoWars News Center
[00:39.640 --> 00:48.880]  in Austin, Texas, and I was watching the armored vehicle roll out into the sun and knowing
[00:48.880 --> 00:55.080]  that Owen Schreuer and more of our crew were about to get on airplanes and fly to the East
[00:55.080 --> 01:02.200]  Coast to meet it and to engage the globalist at Point Blank Range.
[01:02.200 --> 01:08.760]  And that trip was fabulously successful.
[01:08.760 --> 01:16.440]  Imagine if we had crews, five or six crews, everywhere Trump goes, everywhere the leftist
[01:16.440 --> 01:20.960]  Democrat candidates go, taking over the media events, they can't help it all because of
[01:20.960 --> 01:29.920]  one little innovation, like an armored vehicle with mounted bullhorns blasting out.
[01:29.920 --> 01:35.520]  Taking control of narratives, all because we simply took action.
[01:35.520 --> 01:40.760]  That's you taking action that did that, and it cannot be stressed enough what the listeners
[01:40.760 --> 01:42.760]  and viewers of this broadcast have done.
[01:42.760 --> 01:46.000]  You have changed the world for the better.
[01:46.000 --> 01:50.400]  All right, I've told you in the last few months that I'm going to really shake the broadcast
[01:50.400 --> 01:57.000]  up into 2020, and we're going to be in the streets a lot more, obviously, in the next
[01:57.000 --> 02:01.240]  307 days.
[02:01.240 --> 02:07.320]  President Trump is surrounded by yes men and liars and traitors, and as Cicero warned 2,000
[02:07.320 --> 02:11.880]  plus years ago, an enemy that comes to the gate openly attacking is easily defeated.
[02:11.880 --> 02:21.720]  It's the traitor within that is the plague.
[02:21.720 --> 02:27.400]  And we understand just how evil and just how corrupt and just how committed to evil.
[02:27.400 --> 02:31.080]  The globalists, their minions are, but a lot of people are still naive to that.
[02:31.080 --> 02:32.080]  They're awake.
[02:32.080 --> 02:37.720]  They know they're being lied to, but they haven't really gotten their bearings yet.
[02:37.720 --> 02:43.520]  People are ready to be fully awoken, but we have to be there to do it, and that's why
[02:43.520 --> 02:50.440]  they've taken the incredibly bold, dangerous gamble and implemented the technocracy, the
[02:50.440 --> 02:57.440]  Chinese social score system early against the West.
[02:57.440 --> 03:01.640]  And it's blown up in their face across Europe, across the UK and here as well.
[03:01.640 --> 03:13.440]  So yes, ladies and gentlemen, we're having some devastating victories together.
[03:13.440 --> 03:17.080]  But the fight is joined.
[03:17.080 --> 03:22.360]  So I am going to go to your phone calls at 20 after, and I'm going to take phone calls
[03:22.360 --> 03:27.320]  throughout the broadcast, but I'm going to front load it with calls and then intersperse
[03:27.320 --> 03:33.040]  different pieces of news at the start of each segment, then take calls, then cover news,
[03:33.040 --> 03:34.520]  then take calls.
[03:34.520 --> 03:41.840]  And I'm going to have a more disciplined broadcast because 20 years ago I was more disciplined
[03:41.840 --> 03:42.840]  actually.
[03:42.840 --> 03:46.640]  15 years ago I was more disciplined, and I've gotten very undisciplined.
[03:46.640 --> 03:51.720]  It's good radio and it's important things get covered, and we break a lot of new ground
[03:51.720 --> 03:57.480]  and it's a game-changing transmission, the most hated broadcast in the world by evil.
[03:57.480 --> 04:04.000]  That's really a fact, but because of that responsibility, we must go to the next level.
[04:04.000 --> 04:08.280]  Everyone can feel it.
