[00:00:13.206 --> 00:00:15.328]  He is a very, very busy man.
[00:00:15.328 --> 00:00:19.552]  We're very honored to have him for the next 50 minutes or so.
[00:00:19.552 --> 00:00:26.239]  Dr. Alan Keyes, he's also an ambassador to the United States Department of State.
[00:00:26.239 --> 00:00:31.224]  Ronald Reagan appoints Keyes to the United Nations, a full ambassador.
[00:00:31.224 --> 00:00:34.908]  And he served on the staff of the National Security Council, sought the Republican nomination
[00:00:35.535 --> 00:00:37.438]  For President in 96 and 2000.
[00:00:37.438 --> 00:00:40.684]  Ran against Barack Obama for Illinois State Senate 2004.
[00:00:40.684 --> 00:00:44.470]  Would have been a lot better than Mr. Obama.
[00:00:44.470 --> 00:00:46.834]  And he warned people that Obama was going to be a radical.
[00:00:47.498 --> 00:00:54.683]  And I really respect Mr. Keyes, but I remember hearing this a year and a half ago, going, oh, come on, you know, maybe he'll be bad like Clinton.
[00:00:54.683 --> 00:00:56.865]  Who knew he could be even worse?
[00:00:56.865 --> 00:00:57.886]  And so he's with us for the next hour.
[00:00:57.886 --> 00:01:09.014]  We're going to get into that government health care, the cap and trade, the abortion, expanding funding for abortion in Asia and Africa, just his
[00:01:10.129 --> 00:01:17.955]  Ecoscience, written by the mad scientist Holdren, his science czar, which if anybody's a Nazi, it's him.
[00:01:17.955 --> 00:01:22.219]  And then these attacks on free speech, saying you can't say socialist now, it's racist.
[00:01:22.219 --> 00:01:27.343]  That's invoking the race card, in my humble opinion, and so many issues today.
[00:01:27.343 --> 00:01:30.465]  Ambassador Tease, it's really great to have you here, sir.
[00:01:30.465 --> 00:01:32.447]  I'm glad to be with you, thank you.
[00:01:32.447 --> 00:01:37.271]  We're going to break in a few minutes and come back with a full audience, but what is most important on your mind right now?
[00:01:37.271 --> 00:01:38.952]  And we'll come back and cover that first.
[00:01:39.764 --> 00:01:55.352]  Well, I think there are a couple of things, but the most important thing is the assault on the Constitution, which I think right now is epitomized in the healthcare proposal, which are really seeking to transform our whole way of life, to move us from pre-government to totalitarian government.
[00:01:57.372 --> 00:01:59.614]  Well, I hardly agree with you.
[00:01:59.614 --> 00:02:15.629]  We're starting to see the establishment go from saying all the anger was staged, which obviously it isn't, over 90% of the people there are angry, and most of them Democrats in many cases, to now they're apologizing, saying, okay, you're not thugs, you're not Nazis, you're not astroturf.
[00:02:15.629 --> 00:02:17.010]  Is that too little, too late, though?
[00:02:18.326 --> 00:02:18.967]  Of course it is.
[00:02:18.967 --> 00:02:21.449]  I think we've seen who these people really are.
[00:02:21.449 --> 00:02:30.296]  Their initial reaction was the reaction of offended rulers who are looking at you saying, how dare you question us?
[00:02:30.296 --> 00:02:37.381]  And they have begun to realize that the American people aren't yet at a stage where they're going to act like the peasants and serfs of old.
[00:02:37.381 --> 00:02:45.147]  We are used to being a free people, and we're going to stand up and act like it, whether they like it or not.
[00:02:45.147 --> 00:02:45.848]  Absolutely.
[00:02:47.398 --> 00:02:49.499]  The anger is just going across the board.
[00:02:49.499 --> 00:02:54.521]  He lost two more approval points this week, or three, excuse me.
[00:02:54.521 --> 00:03:02.524]  He has the lowest approval of any president up to this date, seven months into their administration.
[00:03:02.524 --> 00:03:04.985]  What is he going to do to try to save his presidency, do you think?
[00:03:05.973 --> 00:03:07.694]  Well, I think that depends.
[00:03:07.694 --> 00:03:11.955]  I think he came forward because of a deep ideological commitment.
[00:03:11.955 --> 00:03:14.816]  And this is what I tried to explain to people for the longest time.
[00:03:14.816 --> 00:03:23.818]  This man is deeply committed to Marxist-Leninism, to the Communist-Marxist-Socialist understanding of the world.
[00:03:23.818 --> 00:03:32.041]  In school, in associations, in background, in both in the Illinois State Senate, in his own activities, this has been the focus of his life.
[00:03:32.837 --> 00:03:38.523]  Uh, and so he is pursuing that agenda and surrounding himself with people committed to it.
[00:03:38.523 --> 00:03:42.428]  Uh, and whatever else is going on, they're not really going to drop it.
[00:03:42.428 --> 00:03:46.852]  Uh, they may have to stop for a while, but they'll probe with a bayonet.
[00:03:46.852 --> 00:03:51.177]  They've met resistance, they'll back off, but they'll keep probing, just as Lennon told them.
[00:03:52.982 --> 00:03:54.143]  That does seem to be the tactic.
[00:03:54.143 --> 00:04:00.646]  They'll constrict, we'll fight back, and push them back a little bit, but it's the two steps forward, one step back.
[00:04:00.646 --> 00:04:02.708]  They are still going to continue to squeeze.
[00:04:02.708 --> 00:04:10.452]  In your educated opinion, working internationally at the highest levels of the White House, when we come back after this break, how do we stop them then?
[00:04:10.452 --> 00:04:11.973]  How do we stop this incremental?
[00:04:11.973 --> 00:04:14.154]  Because we can get all fired up and say no,
[00:04:14.955 --> 00:04:17.457]  But then they always just come pushing back.
[00:04:17.457 --> 00:04:21.239]  I guess we've got to get on the offensive, and then we never back off.
[00:04:21.239 --> 00:04:24.561]  I mean, I guess if we're not on the offensive, we're on the defensive.
[00:04:24.561 --> 00:04:27.843]  That's right, and I think it's important to do a simple thing.
[00:04:27.843 --> 00:04:29.524]  We're not opposed to their proposals.
[00:04:29.524 --> 00:04:33.486]  We're opposed to them.
[00:04:33.486 --> 00:04:34.867]  Well, they've proven they're liars.
[00:04:34.867 --> 00:04:39.790]  I mean, you can't believe a word they say, so... It's kind of like you have a neighbor you've caught lying to you over and over again.
[00:04:39.790 --> 00:04:42.672]  You should just stop associating with them, or... and even some...
[00:04:43.951 --> 00:04:49.433]  You certainly start trusting them, and I think we can trust them to continue the march to socialism.
[00:04:49.433 --> 00:04:54.294]  If we don't want it, then we have to look at another direction for leadership.
[00:04:54.294 --> 00:04:56.875]  Ambassador Keyes is our guest.
[00:04:56.875 --> 00:05:02.177]  The illusion created by the power elite is a lie that covers even the food they want you to eat.
[00:05:02.177 --> 00:05:06.718]  Will you continue to be their profit center, buying their processed food that makes you sick?
[00:05:06.718 --> 00:05:08.999]  Go to the doctor and buy their drugs?
[00:05:08.999 --> 00:05:10.600]  You don't have to cooperate.
[00:05:10.600 --> 00:05:11.660]  There is a solution.
[00:05:11.880 --> 00:05:20.306]  Inner Health Botanicals, a company that my wife and I just love, have been providing products for the last five years that give you the perfect solution to this madness.
[00:05:20.306 --> 00:05:27.771]  Try their Inner Food with 20 organic ingredients full of dense nutrition that gives you the energy you need and will keep you well.
[00:05:27.771 --> 00:05:33.815]  It even won the award for Best Superfood of 2009 from our friend Mike Adams, the Health Ranger.
[00:05:33.815 --> 00:05:39.399]  I love their Nutri-Cafe, great organic coffee infused with herbal extracts to boost your immune system.
[00:05:39.819 --> 00:05:43.961]  Try all of their truly honest products that will keep you alive and healthy.
[00:05:43.961 --> 00:05:50.144]  Go to enerfood.com or give them a call right now.
[00:05:50.144 --> 00:05:51.425]  866-762-9238.
[00:05:51.425 --> 00:05:58.028]  Click on their banner at infowars.com to see all the available discounts.
[00:05:58.028 --> 00:05:59.429]  It is a big idea.
[00:05:59.429 --> 00:06:02.290]  A new world order.
[00:06:02.290 --> 00:06:05.032]  In the near future, Earth is dominated.
[00:06:07.042 --> 00:06:09.865]  It's known as the Builder Bird.
[00:06:09.865 --> 00:06:12.689]  Put their objective be world domination.
[00:06:12.689 --> 00:06:15.852]  For thousands of years, their dark order grew.
[00:06:15.852 --> 00:06:23.181]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:06:26.195 --> 00:06:31.639]  For the first time in history, the elite's plan for world government is blown wide open.
[00:06:31.639 --> 00:06:35.521]  You will learn the secret that drives the entire New World Order agenda.
[00:06:35.521 --> 00:06:38.083]  Bill of Rights is making great progress toward a world government.
[00:06:38.083 --> 00:06:39.244]  Most people have no idea.
[00:06:39.244 --> 00:06:40.024]  They're not after money.
[00:06:40.024 --> 00:06:41.305]  They have all the money they need.
[00:06:41.305 --> 00:06:42.286]  They're after power.
[00:06:42.286 --> 00:06:43.447]  That's what they're after these years.
[00:06:43.447 --> 00:06:51.712]  Order Endgame on DVD at PrisonPlanet.com or InfoWars.com or watch it online right now at PrisonPlanet.tv.
[00:06:51.712 --> 00:06:54.954]  Endgame, blueprint for global enslavement.
[00:06:54.954 --> 00:06:56.015]  You have been warned.
[00:06:56.916 --> 00:06:57.617]  You worry.
[00:06:57.617 --> 00:06:59.959]  If you don't, you don't understand the situation.
[00:06:59.959 --> 00:07:00.520]  Hi.
[00:07:00.520 --> 00:07:03.303]  Summer's coming and now's the time to learn self-sufficiency.
[00:07:03.303 --> 00:07:07.848]  If you're going to eat from nature's bounty of wild edible plants, remember, there's a learning curve.
[00:07:07.848 --> 00:07:10.311]  Experience is the best teacher, but that means time.
[00:07:10.311 --> 00:07:13.335]  To speed it up, you'll need to build on the wisdom of a teacher who has lived it.
[00:07:13.735 --> 00:07:15.376]  Folks, I can vouch that Linda's the real deal.
[00:07:15.376 --> 00:07:17.137]  She's my mom and I watched her do it.
[00:07:41.390 --> 00:07:46.060]  So go to upthefield.com or call 888-51-EAT-FREE.
[00:07:46.060 --> 00:07:46.982]  Start now.
[00:07:46.982 --> 00:07:48.686]  Knowledge is power.
[00:07:48.686 --> 00:07:49.688]  Better take action.
[00:07:49.688 --> 00:07:50.651]  I think a storm's coming.
[00:07:58.476 --> 00:08:00.697]  He's the T-Rex of political talk.
[00:08:00.697 --> 00:08:08.802]  Alex Jones on the GCN Radio Network.
[00:08:08.802 --> 00:08:16.026]  Well, he's a best-selling author, researcher, former ambassador to the United Nations under Ronald Reagan.
[00:08:16.026 --> 00:08:17.187]  He needs no introduction.
[00:08:18.428 --> 00:08:28.679]  Is one of his websites is loyal to liberty blogspot.com got that up on screen as we simulcast the radio show on the web Slash as a TV show.
[00:08:28.679 --> 00:08:33.545]  He also writes for world daily and other big publications Unhealthy for Liberty is it one of his latest?
[00:08:34.325 --> 00:08:42.449]  He also has another great piece, Socialist Right and Left, Same Difference, and so we'll go over some of that with him today.
[00:08:42.449 --> 00:08:46.330]  A great political mind and again we're honored to have him joining us.
[00:08:46.330 --> 00:08:49.532]  Some stations just joined us, so I want to recap.
[00:08:50.748 --> 00:08:58.792]  We see the town halls, the people, Republican, Democrat, old, young, black, white, coming out and saying, we don't want this.
[00:08:58.792 --> 00:09:01.893]  And they have copies of the bill, they have the subsections.
[00:09:01.893 --> 00:09:08.036]  The Democrats for three weeks tried to lie, and even some Republicans did, and say, that's not in there, this isn't in there.
[00:09:08.036 --> 00:09:12.879]  Now they're having to admit all the things we said were in there that were in there, and apologizing
[00:09:15.962 --> 00:09:18.543]  How do we ensure that this resistance continues?
[00:09:18.543 --> 00:09:22.544]  Because as you just said, they're going to continue to come back, probing.
[00:09:22.544 --> 00:09:26.785]  You know, they put the pressure on, we resist, they back off.
[00:09:26.785 --> 00:09:33.686]  I mean, give us your battle plan of how to not just hold them off, but actually regain some ground.
[00:09:33.686 --> 00:09:35.727]  Because you know, Ambassador, we've lost so much liberty.
[00:09:36.803 --> 00:09:41.204]  Well, I think that we have to be clear about what it is we're opposing.
[00:09:41.204 --> 00:09:52.667]  Because I think that the present overwhelming response to this health care program reminds me a little of what happened on the immigration bills when they were trying to destroy our sovereignty.
[00:09:52.667 --> 00:09:57.308]  You're not just looking at an opposition-specific proposals and elements.
[00:09:58.075 --> 00:10:20.360]  I think what happened is, some of these things, particularly for instance, the provisions that seem targeted at rationing care for the elderly, at setting up a system that would pressure people into accepting death and giving up therapy, side by side with provisions that might expand funding for illegal immigrants, which would therefore be being paid at the expense of
[00:10:20.860 --> 00:10:21.181]  I think?
[00:10:39.661 --> 00:10:46.705]  That would take control, first of all, of the health sector, of the terms of remuneration of doctors and things of this kind.
[00:10:46.705 --> 00:10:50.647]  So they claim that it's not aimed at phasing out the private sector.
[00:10:50.647 --> 00:10:51.427]  Two things are true.
[00:10:52.409 --> 00:11:00.154]  Barack Obama himself, in his early career, explicitly said he was for universal single payer, right?
[00:11:00.154 --> 00:11:08.659]  And then it comes out a proposal that has elements in it that, yes, over the course of a little time, are going to push the system in that direction.
[00:11:08.659 --> 00:11:16.784]  And these elements are backed by the big corporate guys who are trying to get out from under the health care costs so they can have bigger profits.
[00:11:16.784 --> 00:11:20.006]  Are we all supposed to be stupid that we don't realize what's happening?
[00:11:20.006 --> 00:11:20.506]  Of course not.
[00:11:20.506 --> 00:11:21.447]  People do realize it.
[00:11:22.208 --> 00:11:45.391]  And then you look at what's going on overseas, with Canada and Great Britain as other examples, and it turns out that there is rationing, there is pressure for the old people, there are long lines, there is poor access, there is lower quality in terms of medical personnel and so forth, and so the notion that everybody's going to have access is countervailed by the fact that they'll have access to a worse system
[00:11:45.951 --> 00:11:57.698]  In which they'll get worse service, in which they will no longer have the sense that a whole bunch of people have in America, that when something goes wrong with you, it's dealt with expeditiously, right?
[00:11:57.698 --> 00:11:59.299]  That won't even be there.
[00:11:59.299 --> 00:12:02.601]  And so I think people are looking at this saying, wait a minute, this is not America.
[00:12:02.601 --> 00:12:03.822]  This is not how we live.
[00:12:04.722 --> 00:12:09.446]  And we have been relying on a system that, yes, has its shortcomings.
[00:12:09.446 --> 00:12:21.697]  You know, they say that we're supposed to let government take over 100% of our lives because we want to care for the 10% of people who they say don't have access to some kind of health insurance right now.
[00:12:21.697 --> 00:12:22.738]  That doesn't make sense!
[00:12:23.373 --> 00:12:26.495]  So, I think a lot of people have begun to suspect the truth.
[00:12:26.495 --> 00:12:28.816]  The aim of this is to improve healthcare.
[00:12:28.816 --> 00:12:49.626]  The aim of it is to give that power to government over life and death and finances and privacy and personal decisions, so that we'll be in a position where we must hang on the decisions and words and power of the people in power, which gives them great control, so that they can remain in power at our expense.
[00:12:50.106 --> 00:12:53.090]  That is what totalitarian government is all about.
[00:12:53.090 --> 00:12:55.232]  That's what socialist takeovers are about.
