[00:00:00.069 --> 00:00:00.750]  Find out right now!
[00:00:29.687 --> 00:00:31.070]  Thank you for listening to GQA.
[00:00:39.841 --> 00:00:44.685]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:44.685 --> 00:00:46.267]  You want answers?
[00:00:46.267 --> 00:00:47.828]  Well, so does he.
[00:00:47.828 --> 00:00:52.012]  He's Alex Jones on the GCN Radio Network.
[00:00:52.012 --> 00:00:56.135]  And now, live from Austin, Texas, Alex Jones.
[00:01:06.596 --> 00:01:07.617]  Oh, yeah.
[00:01:15.885 --> 00:01:16.865]  Welcome, my friends.
[00:01:16.865 --> 00:01:17.305]  Welcome.
[00:01:17.305 --> 00:01:22.387]  Thank you so much for joining us as we start another three-hour transmission against tyranny.
[00:01:22.387 --> 00:01:25.707]  It is Tuesday, the 23rd day of January 2007.
[00:01:25.707 --> 00:01:32.149]  We're going to have open phones today and take a lot of your phone calls and cover the news.
[00:01:32.149 --> 00:01:41.171]  We have Hutton Gibson, who hasn't done a talk radio interview in over two and a half years, since the big Passion of the Christ controversy.
[00:01:42.200 --> 00:02:03.428]  He's coming on today, though, to talk about the Catholic Church and how it's been taken over by Masonic influences and what Ratzinger is doing when he calls for the New World Order, when he went to Turkey and prayed to Mecca, and much, much more, with Hutton Gibson joining us in the second hour.
[00:02:03.428 --> 00:02:11.171]  I am honored that Mr. Gibson and the Gibson family trust this show enough.
[00:02:12.264 --> 00:02:18.546]  That he would break his silence on this broadcast.
[00:02:18.546 --> 00:02:38.793]  And I was very pleased when I was contacted and told a few weeks ago that, and I talked to Hutton, that he was considering speaking out despite the media demonization and other things that he went through and the taking out of context statements
[00:02:39.694 --> 00:02:43.957]  Uh, that he'd made and then, well, people making up statements that he never had made.
[00:02:43.957 --> 00:02:52.624]  But again, he'll be joining us to talk about the Catholic Church, what the traditional Catholics are really saying.
[00:02:52.624 --> 00:02:57.407]  That is coming up in the second hour today.
[00:02:57.407 --> 00:03:01.370]  In the meantime, I don't know where to start with all this news.
[00:03:01.370 --> 00:03:07.635]  Paul Watson wrote an article yesterday about Mexican street gangs targeting blacks.
