whisper_model_load: loading model from 'whisper.cpp/models/ggml-large.bin'
whisper_model_load: n_vocab       = 51865
whisper_model_load: n_audio_ctx   = 1500
whisper_model_load: n_audio_state = 1280
whisper_model_load: n_audio_head  = 20
whisper_model_load: n_audio_layer = 32
whisper_model_load: n_text_ctx    = 448
whisper_model_load: n_text_state  = 1280
whisper_model_load: n_text_head   = 20
whisper_model_load: n_text_layer  = 32
whisper_model_load: n_mels        = 80
whisper_model_load: f16           = 1
whisper_model_load: type          = 5
whisper_model_load: adding 1608 extra tokens
whisper_model_load: mem_required  = 4712.00 MB
whisper_model_load: ggml ctx size = 2950.97 MB
whisper_model_load: memory size   =  304.38 MB
whisper_model_load: model size    = 2950.66 MB

system_info: n_threads = 6 / 16 | AVX = 1 | AVX2 = 1 | AVX512 = 0 | NEON = 0 | F16C = 1 | FP16_VA = 0 | WASM_SIMD = 0 | BLAS = 0 | 

main: processing './wav/20200521_Thu_Alex.wav' (216437238 samples, 13527.3 sec), 6 threads, 1 processors, lang = en, task = transcribe, timestamps = 1 ...


[00:00:00.000 --> 00:00:18.000]   [Music]
[00:00:18.000 --> 00:00:21.000]   Right. Alex Jones is funnier than Andy Kaufman's ever been.
[00:00:21.000 --> 00:00:24.000]   Alex Jones is f***ing hilarious often.
[00:00:24.000 --> 00:00:26.000]   Did you see the whole that he's Bill Hicks?
[00:00:26.000 --> 00:00:27.000]   Yeah.
[00:00:27.000 --> 00:00:28.000]   Conspiracy.
[00:00:28.000 --> 00:00:29.000]   That's not real.
[00:00:29.000 --> 00:00:30.000]   I went down that rabbit hole.
[00:00:30.000 --> 00:00:31.000]   That's the silly s***.
[00:00:31.000 --> 00:00:33.000]   I know, but there are videos.
[00:00:33.000 --> 00:00:39.000]   But he had one thing we're talking about like if it's between his family starving or eating his neighbor.
[00:00:39.000 --> 00:00:41.000]   He's like, "I'll eat your ass."
[00:00:41.000 --> 00:00:42.000]   I thought...
[00:00:42.000 --> 00:00:43.000]   So it became this giant... Come on.
[00:00:43.000 --> 00:00:46.000]   Do you don't think there's an entertainment value in him saying he's going to eat his neighbor?
[00:00:46.000 --> 00:00:47.000]   Stop my dumpster fire!
[00:00:47.000 --> 00:00:48.000]   Right.
[00:00:48.000 --> 00:00:52.000]   But there's something to that like to stop that and ban that.
[00:00:52.000 --> 00:01:08.000]   You're not stopping anyone from anything bad by not having Alex do this entertaining thing about eating his neighbor.
[00:01:08.000 --> 00:01:09.000]   You're not saving anybody.
[00:01:09.000 --> 00:01:10.000]   Yeah.
[00:01:10.000 --> 00:01:11.000]   You know what I'm saying?
[00:01:11.000 --> 00:01:14.000]   Like you got to-- What are you doing?
[00:01:14.000 --> 00:01:16.000]   Like what is he doing that's so awful?
[00:01:16.000 --> 00:01:18.000]   I don't know how to fix any of it.
[00:01:18.000 --> 00:01:20.000]   It's entertaining.
[00:01:20.000 --> 00:01:23.000]   Like why is it only acceptable if you have some kind of entertainment?
[00:01:23.000 --> 00:01:27.000]   Because there's so many rap videos that you could watch that I enjoy.
[00:01:27.000 --> 00:01:30.000]   But they're talking about shooting people and robbing people.
