[00:00:00.593 --> 00:00:01.198]  Oh, no!
[00:00:05.256 --> 00:00:10.080]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:10.080 --> 00:00:11.661]  You want answers?
[00:00:11.661 --> 00:00:13.202]  Well, so does he.
[00:00:13.202 --> 00:00:17.406]  He's Alex Jones on the GCN Radio Network.
[00:00:17.406 --> 00:00:25.032]  And now, live from Austin, Texas, Alex Jones.
[00:00:25.032 --> 00:00:28.534]  Alright, Ted Anderson's with us another five minutes.
[00:00:28.534 --> 00:00:30.396]  Ted, let me just have you back on.
[00:00:33.646 --> 00:00:43.114]  Let me just have you back on for the whole third hour, if you can do it, to actually get into monetary issues and not just sit here and pitch gold and silver.
[00:00:43.114 --> 00:00:47.058]  And again, we pitch things we believe in, which then funds our operation.
[00:00:47.058 --> 00:00:50.881]  But that's why I get so excited about all this, because I believe in it.
[00:00:50.881 --> 00:00:52.262]  I just called Ted last week and...
[00:00:53.496 --> 00:00:57.685]  Ted, you've been so busy, I asked what you thought the best of the radio specials were, and you were gonna call me back.
[00:00:57.685 --> 00:01:03.316]  I was gonna get a few gold coins and some silver, and Ted, you didn't call me back, so I need to call one of your brokers, don't I?
[00:01:03.939 --> 00:01:05.260]  Yeah, well, no, we'll get it done.
[00:01:05.260 --> 00:01:15.789]  But I can tell you right now, watching the charts yesterday, silver and gold both, it was just coming along and going, and then all of a sudden a spike upward.
[00:01:15.789 --> 00:01:24.376]  I mean, to have a $46 increase in gold in one day and about $4.60 in silver in one day, are you kidding me?
[00:01:24.376 --> 00:01:27.739]  And that's just quantitative easing, that's just the news breaking.
[00:01:27.739 --> 00:01:32.063]  The FOMC Open Market Committee comes out and they decide that they're going to
[00:01:32.623 --> 00:01:33.024]  We're good to go.
[00:01:55.045 --> 00:01:57.527]  Well, we're heading off of a cliff, Alex.
[00:01:57.527 --> 00:02:01.330]  And if people aren't smart enough to get out of paper, I mean, I don't care.
[00:02:01.330 --> 00:02:04.733]  Find, you know, buy, buy storable foods.
[00:02:04.733 --> 00:02:08.416]  I don't care what you buy, but get yourself, get yourself out of the paper.
[00:02:08.416 --> 00:02:10.037]  Ted, you predicted this.
[00:02:10.037 --> 00:02:11.579]  Porter Stansbury predicted it.
[00:02:12.299 --> 00:02:14.601]  Gerald Solente predicted it.
[00:02:14.601 --> 00:02:15.962]  They all predicted it.
[00:02:15.962 --> 00:02:17.583]  We all predicted it.
[00:02:17.583 --> 00:02:18.544]  And it means curtains.
[00:02:18.544 --> 00:02:21.266]  In fact, I have a clip of Ron Paul here.
[00:02:21.266 --> 00:02:26.230]  This is Ron Paul last night saying we should be panicking over this.
[00:02:26.230 --> 00:02:28.392]  And Ron Paul's never talked like that.
[00:02:28.392 --> 00:02:30.573]  This means inflation.
[00:02:31.630 --> 00:02:40.022]  And because it's not targeted as a real turning up the printing presses that at least helps the people on one level.
[00:02:40.022 --> 00:02:42.646]  This is all pointed at the ultra-rich.
[00:02:42.646 --> 00:02:43.968]  It's going to be a double whammy.
[00:02:43.968 --> 00:02:44.589]  Here's Ron Paul.
[00:02:45.137 --> 00:02:51.162]  The one thing that Bernanke has not achieved that frustrates him, I can tell, is he gets no economic growth.
[00:02:51.162 --> 00:02:54.164]  He doesn't do anything with the unemployment numbers.
[00:02:54.164 --> 00:03:01.150]  And from my viewpoint, I think the country should have panicked over the fact of what the Fed is saying, that we've lost control.
[00:03:01.150 --> 00:03:08.436]  The only thing we have left is massively creating new money out of thin air, which hasn't worked before and it's not going to work this time.
[00:03:09.016 --> 00:03:10.218]  You know, Ted, I'm gonna be honest.
[00:03:10.218 --> 00:03:11.059]  You know me privately.
[00:03:11.059 --> 00:03:18.751]  I'm very calm, very intellectual, very focused until I get on air, and then I turn into the wild man because I get so angry about this stuff.
[00:03:18.751 --> 00:03:20.153]  But I don't do it on purpose, but...
[00:03:21.337 --> 00:03:40.484]  Intellectually, this has been like a bomb being dropped on us, and I'm so angry that I even sarcastically made fun of the fake UT bomb threat for the first 45 minutes of the show, instead of really talking about the full magnitude of this unlimited QE.
[00:03:40.484 --> 00:03:47.266]  But as Ron Paul just said, this means that this is all they've got, and they're going to use it to transfer wealth.
[00:03:47.266 --> 00:03:49.247]  You know, Ron Paul says they're trying to fix it.
[00:03:49.887 --> 00:03:55.933]  Look, the globalists admit they've engineered this, so it's time to stop saying they don't know what they're doing.
[00:03:55.933 --> 00:03:56.954]  They're in control.
[00:03:56.954 --> 00:03:58.536]  They run a global government.
[00:03:58.536 --> 00:04:00.518]  They know exactly what they're doing.
[00:04:00.518 --> 00:04:05.022]  Ted, I'm not knocking Ron Paul here, but he gives them this thing that they don't know what they're doing.
[00:04:05.022 --> 00:04:08.866]  I've been saying for over a decade this was coming exactly as it has.
[00:04:08.866 --> 00:04:12.049]  George Humphrey's been saying it for 14 years, economist, friend of mine.
[00:04:12.049 --> 00:04:13.531]  This is an engineered collapse, Ted.
[00:04:14.304 --> 00:04:18.068]  I know, you've been talking about that, and I've alluded to that as well.
[00:04:18.068 --> 00:04:24.434]  The very system that's set up creates debt, you know, money from debt is going to just mean more debt.
[00:04:24.434 --> 00:04:26.636]  As the economy grows, we're going to get further into the hole.
[00:04:26.636 --> 00:04:27.457]  And they hold the debt.
[00:04:27.457 --> 00:04:30.220]  Listen, can you do a full hour with us and take calls?
[00:04:30.220 --> 00:04:33.002]  Yeah, we'll go ahead and do that on the third hour.
[00:04:33.002 --> 00:04:34.023]  I'll see you back in 55 minutes, Ted.
[00:04:35.097 --> 00:04:35.858]  Alright, sounds good.
[00:04:59.927 --> 00:05:05.431]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[00:05:05.431 --> 00:05:07.833]  Start purifying your water with ProPure.
[00:05:07.833 --> 00:05:16.939]  My friends, I've done a lot of research, and the best gravity filter out there bar none is ProPure, and it's available discounted at InfoWars.com.
[00:05:16.939 --> 00:05:20.402]  Its filters are silver impregnated to prevent bacterial growth.
[00:05:20.402 --> 00:05:22.063]  There's no priming required.
[00:05:22.063 --> 00:05:24.365]  It's NSF-42 certified.
[00:05:24.365 --> 00:05:26.846]  Optional fluoride filters can reduce fluoride up to 95%.
[00:05:27.907 --> 00:05:29.427]  Easy to set up and use.
[00:05:29.427 --> 00:05:30.848]  Doesn't require electricity.
[00:05:30.848 --> 00:05:34.028]  Purify water from lakes, streams, ponds, and wells.
[00:05:34.028 --> 00:05:37.409]  This filter system leaves in beneficial minerals, which is key.
[00:05:37.409 --> 00:05:41.550]  Save money by not buying bottled water, and avoid BPA that leaches from the plastic.
[00:05:41.550 --> 00:05:44.290]  ProPure is the best gravity-fed filter out there.
[00:05:44.290 --> 00:05:45.850]  It's what my family uses.
[00:05:45.850 --> 00:05:49.171]  Infowars.com already has the lowest price on ProPure.
[00:05:49.171 --> 00:05:54.412]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[00:05:54.972 --> 00:05:59.693]  You can also call to order 888-253-3139.
[00:05:59.693 --> 00:06:04.654]  Have you ever thought about actually getting off the grid and becoming truly self-reliant?
[00:06:04.654 --> 00:06:12.056]  Introducing a brand new book for independent Americans who want practical advice on how to survive and even prosper in the challenging days ahead.
[00:06:12.056 --> 00:06:20.258]  The big book of off-the-grid secrets is packed with hard-hitting information on self-reliance gardening, food preparation, alternative energy, home security, and more.
[00:06:20.498 --> 00:06:24.461]  At 436 pages, there's simply nothing like it anywhere.
[00:06:24.461 --> 00:06:28.884]  Get the big book of off-the-grid secrets by going to offthegridsecrets.com.
[00:06:28.884 --> 00:06:31.366]  That's offthegridsecrets.com.
[00:06:31.366 --> 00:06:34.569]  Or call 800-206-4095.
[00:06:34.569 --> 00:06:37.711]  That's 800-206-4095.
[00:06:37.711 --> 00:06:42.715]  Order online and get our top 14 off-the-grid special reports free with your order.
[00:06:42.715 --> 00:06:47.198]  Reports like cash garden, how to grow all the food you'll ever need, and stick to your guns.
[00:06:47.278 --> 00:06:51.919]  The worst drought in 50 years continues, and the first six months of 2012 marks the hottest half year on record.
[00:06:51.919 --> 00:06:54.320]  78% of the Midwest corn belt is in drought conditions.
[00:06:54.320 --> 00:06:58.561]  Not only corn, but soy, alfalfa, fruits, vegetables, and wheat are all impacted, raising prices.
[00:07:14.025 --> 00:07:19.008]  The cost to feed livestock is forcing farmers and ranchers out of business, blowing up your food prices.
[00:07:19.008 --> 00:07:26.654]  The only strategy to counter this is to freeze your food cost at today's prices by getting your own supply of foods from eFoodsDirect now.
[00:07:26.654 --> 00:07:30.516]  As the price of raw ingredients increases, eFoods will have to raise prices too.
[00:07:30.516 --> 00:07:32.317]  Now is the time to get your supply.
[00:07:32.317 --> 00:07:36.160]  I recently increased my supply from eFoodsDirect because we've all known this was coming.
[00:07:36.320 --> 00:07:39.221]  You know about their delicious long-term storable foods.
[00:07:39.221 --> 00:07:42.003]  The fact is, you can eat it anytime to save money today.
[00:07:42.003 --> 00:07:46.565]  And because it stores for 25 years, you're locking in today's prices and avoiding the rising food cost.
[00:07:46.565 --> 00:07:47.205]  Don't wait!
[00:07:47.205 --> 00:07:49.666]  Call 800-409-5633 or go to efoodsdirect.com forward slash Alex.
