[00:00.000 --> 00:09.000]  This is an emergency transmission from FEMA Region 6 in occupied North America.
[00:14.000 --> 00:17.000]  There is a war. It's happening now.
[00:17.000 --> 00:22.000]  It will decide the fate of humanity. The time to choose sides has come.
[00:22.000 --> 00:32.000]  We are the resistance. We are the Info War.
[00:32.000 --> 00:36.000]  We're here, ladies and gentlemen. It's hard to believe so much has happened in the last year.
[00:36.000 --> 00:42.000]  Happy New Year. It's now January 1st, 2018.
[00:42.000 --> 00:53.000]  And if you thought 2016 and 2017 were momentous, building towards the cultural, spiritual, technological singularity.
[00:53.000 --> 00:57.000]  Well, you ain't seen nothing yet, as they say.
[00:57.000 --> 01:01.000]  I am extremely thankful to God, my family, the crew here at Info Wars.
[01:01.000 --> 01:11.000]  All of you that are out there watching and listening to make this transmission possible, I am very, very humbled to be your host.
[01:11.000 --> 01:22.000]  Well, today, on New Year's, I thought we should go back and look at one of the biggest, if not one of the most important events in 2017.
[01:22.000 --> 01:30.000]  And that was the inauguration, not just the election of Donald John Trump as the 45th President.
[01:30.000 --> 01:32.000]  It was a referendum on the globalist.
[01:32.000 --> 01:40.000]  It was an overthrow and an overturning of their propaganda, of their lies, of their attempts to steal elections,
[01:40.000 --> 01:46.000]  their operations having millions of people vote with the names of dead people from the voter registration rolls.
[01:46.000 --> 01:50.000]  It was a repudiation of everything they threw against us.
[01:50.000 --> 02:03.000]  And it is part of a larger global trend of nationalism and populism that even the Financial Times of London and many others admit is basically unstoppable.
[02:03.000 --> 02:06.000]  Here's an article from just last week of the Sunday Express.
[02:06.000 --> 02:11.000]  Populous uprising, anti-EU parties will continue to soar.
[02:11.000 --> 02:21.000]  Tony Blair's think tank admits as if we need Mr. E.U., Mr. Globalist, Mr. Arab Spring to tell us something we don't already know.
[02:21.000 --> 02:23.000]  The point is they're losing.
[02:23.000 --> 02:35.000]  We're winning as the establishment has less and less credibility as people more and more trust their own instincts, their own research and get back to common sense populism
[02:35.000 --> 02:37.000]  and common sense free market.
[02:37.000 --> 02:39.000]  That is the vanguard of human thinking.
[02:39.000 --> 02:46.000]  That is the new system in the last 400 years known as the Renaissance that built this high tech world we live in.
[02:46.000 --> 02:48.000]  The good, the bad and the ugly.
[02:48.000 --> 02:51.000]  But definitely it is the main engine of innovation.
[02:51.000 --> 03:06.000]  So, coming up, we have got a breakdown of President Trump and the inauguration from that day when I was live in D.C. and so much more.
[03:06.000 --> 03:11.000]  And then I got back to town that Sunday morning after the inauguration that was on Friday.
[03:11.000 --> 03:20.000]  And I did a breakdown in studio with clips from Trump's historic speech that was extremely important and powerful, obviously.
[03:20.000 --> 03:36.000]  And then we could see, not even a year later, but I guess exactly 11 months and a few days later, 11 months in change, 11 months and a day later,
[03:36.000 --> 03:39.000]  look how the world has already changed so much.
[03:39.000 --> 03:43.000]  It has technically been 11 months and 10 days or so.
[03:43.000 --> 03:51.000]  So, this is an incredible, incredible, incredible time to be alive.
[03:51.000 --> 04:03.000]  And it is just such a blessing that humanity is beginning to start the process of waking up and digging out of the cultural and spiritual cancer
[04:03.000 --> 04:14.000]  that is the new order system that seeks to end competition, end families, end independence in a final revolution against humanity as they've openly called it.
[04:14.000 --> 04:27.000]  So again, from my family to your family and to everyone else out there across the world who breathes the same air on this planet and has the same visions and dreams for their children,
[04:27.000 --> 04:33.000]  or what color we are and where we came from, we have to come together and understand that everything the globalists are pushing,
[04:33.000 --> 04:41.000]  though it's all packaged with a bunch of sugar coating, is absolute total and complete poison.
[04:41.000 --> 04:46.000]  So please be part of the second global revolution against tyranny, not just the second American Revolution,
[04:46.000 --> 04:51.000]  and spread the live links to this feed or the local radio station that you're listening to or TV station you're watching,
[04:51.000 --> 04:55.000]  because again, you are the reason we're overriding their censorship and control.
[04:55.000 --> 05:00.000]  You're the reason we're breaking their back. You're the reason we defeated Hillary, because you are the resistance.
[05:00.000 --> 05:06.000]  Choose to take control of your chemistry with Survival Shield X2 and Biotru Selenium.
[05:06.000 --> 05:11.000]  This powerful combo is perfect for supporting your thyroid and health.
[05:11.000 --> 05:18.000]  Biotru Selenium's formula is far from synthetic and is made from a source of 100% organic mustard seed.
[05:18.000 --> 05:27.000]  Our super high quality nascent iodine is an essential mineral sourced of 99.99% ultra pure deep earth iodine crystals.
[05:27.000 --> 05:35.000]  This essential mineral is necessary in order to produce thyroid hormones which influence every cell, tissue and organ in the body.
[05:35.000 --> 05:42.000]  With inadequate thyroid hormones, you may experience slow metabolism, lethargy, weight gain and overall brain fog.
[05:42.000 --> 05:48.000]  Survival Shield X2 and Biotru Selenium work together to support the systems in your body.
[05:48.000 --> 05:52.000]  Take control of your chemistry today with this super combo.
[05:52.000 --> 06:00.000]  Discover the power of Survival Shield X2 and Biotru Selenium at infowarslife.com.
[06:00.000 --> 06:08.000]  So as true classical liberals in the vein of Thomas Jefferson, I want to salute all of you of every race, color and creed,
[06:08.000 --> 06:12.000]  color one race, red blood, who understand the globalists are in trouble.
[06:12.000 --> 06:16.000]  You broke the back of Hillary Clinton and the crime syndicate.
[06:16.000 --> 06:21.000]  You went up against the mainstream fake news media and broke their will.
[06:21.000 --> 06:28.000]  You stood like a lighthouse out on a promontory in a raging storm and beamed out the truth.
[06:28.000 --> 06:33.000]  You are the victors. You are the resistance.
[06:33.000 --> 06:38.000]  You are the power. You are the windows through which God's light shines into our world.
[06:38.000 --> 06:44.000]  You are destiny. And this isn't some Oprah Winfrey name it and claim it secret stuff.
[06:44.000 --> 06:55.000]  This is real, the history, the culture, the will, the understanding, the Christian ethos, the English common law ethos,
[06:55.000 --> 07:06.000]  the classic Judaic ethos of the Old Testament, not of the modern forms of Judaism,
[07:06.000 --> 07:11.000]  but the ancient forms about not being corrupt, not being part of the manipulative systems.
[07:11.000 --> 07:15.000]  That all is coming back into the world right now.
[07:15.000 --> 07:19.000]  And the knowledge is coming back into the world.
[07:19.000 --> 07:24.000]  And the knowledge of Solomon is coming back into the world.
[07:24.000 --> 07:27.000]  And with it is great danger. The globalists are afraid of information.
[07:27.000 --> 07:30.000]  They're afraid of freedom because it does incredible things,
[07:30.000 --> 07:36.000]  but they're the ones suppressing information and suppressing humanity and creating something with abominations.
[07:36.000 --> 07:41.000]  And so a great unchaining of humanity is in the process right now.
[07:41.000 --> 07:51.000]  No one can deny it. The globalists in their own elite publications that they think we don't read admit that globalism, if Hillary fell, was basically done.
[07:51.000 --> 07:57.000]  And now they're in complete panic mode saying, get rid of Trump. We've hijacked the U.S. before.
[07:57.000 --> 08:04.000]  They've taken control of our main command base. If we can't get rid of him, it's over for us.
[08:04.000 --> 08:08.000]  And so they're in complete panic mode and they admit we have broken their will.
[08:08.000 --> 08:14.000]  We have broken their back thanks to God Almighty, the Creator.
[08:14.000 --> 08:18.000]  This is a historic time to be alive right now.
[08:18.000 --> 08:21.000]  And that's why Hollywood's dying. It's why the NFL's dying.
[08:21.000 --> 08:24.000]  Again, we're not just saying they're dying. They're dying.
[08:24.000 --> 08:27.000]  It's why the modern cults are falling apart.
[08:27.000 --> 08:37.000]  It's why people are pulling away from fraud everywhere and getting back to basic common sense and back to God and back to humbleness
[08:37.000 --> 08:46.000]  and realizing that Hollywood and mainstream media and none of these systems are going to deliver anything but bondage and enslavement and fraud.
[08:46.000 --> 08:50.000]  Look at the collapse of their system. Look at the scandals. Look at their ratings plunge.
[08:50.000 --> 08:54.000]  Look at Hollywood doing the worst it's done in its history.
[08:54.000 --> 09:01.000]  Yes, there's large numbers of victims, a large remnant of victims that they still prey upon and control and program.
[09:01.000 --> 09:05.000]  But those people are followers. Those people are slaves.
[09:05.000 --> 09:10.000]  Those people are seen as cattle by the globalist.
[09:10.000 --> 09:19.000]  They are victims. Don't ever let their bullying or their attempted group thing to intimidate you ever make you cave in
[09:19.000 --> 09:23.000]  because you're caving into the master signal of programming.
[09:23.000 --> 09:25.000]  And that's what I want you to know.
[09:25.000 --> 09:31.000]  Despite the rigging of Google, Facebook, Twitter, despite them throwing everything they could, Trump was elected.
[09:31.000 --> 09:34.000]  Is he perfect? No, none of us are. But he means well.
[09:34.000 --> 09:42.000]  He's not out to get America and he's doing classical things that will create a boom in the economy and rising wages and rising savings.
[09:42.000 --> 09:44.000]  And they are cutting some areas of government.
[09:44.000 --> 09:49.000]  They need to cut more so that we can pay down the deficit, not just expand it.
[09:49.000 --> 09:57.000]  But compared to the globalists that were going to expand the deficits, bankrupt things, pick the winners and losers, bring an austerity like it's a cool thing
[09:57.000 --> 10:01.000]  and make us permanently poor in their own admissions to control us.
[10:01.000 --> 10:08.000]  That's called feudalism. That's called servitude. That's called serfdom where that term comes from.
[10:08.000 --> 10:11.000]  And again, it's the admitted plan of the globalist.
[10:11.000 --> 10:16.000]  Their arrogance has and will continue to be their downfall.
[10:16.000 --> 10:19.000]  They can't help it. They have a disdain for everyone around them.
[10:19.000 --> 10:23.000]  They don't want to teach people. They want to hurt people.
[10:23.000 --> 10:26.000]  They're like spiders. They do not create.
[10:26.000 --> 10:29.000]  And they're being broken right now.
[10:29.000 --> 10:38.000]  Their main push to totally take over the world and totally have had hegemonic world government and totally destroy the family and totally break down society
[10:38.000 --> 10:43.000]  finally brought humanity out of a coma into an awakening.
[10:43.000 --> 10:46.000]  And we're laying on our bed in a coma for years.
[10:46.000 --> 10:50.000]  We have trouble moving, but our focus is coming back.
[10:50.000 --> 10:51.000]  Our memory is coming back.
[10:51.000 --> 10:58.000]  We're now getting up from the bed as they attempted to get us to lay back down and take their poison culture back.
[10:58.000 --> 11:06.000]  We're now pushing away towards the doors, out towards the front porch, out towards the sun, and the beautiful vista God has prepared for us.
[11:06.000 --> 11:16.000]  Out there, out leaving this filthy, fetid coffin, this matrix box, this artificial construct that they had been putting us into.
[11:16.000 --> 11:19.000]  We're coming out of it in 2017.
[11:19.000 --> 11:22.000]  2016 was a great time of awakening.
[11:22.000 --> 11:36.000]  2017 was a great time of explosive change and honor and delivery and truth and expansion of that and of globalist counter-strike.
