[00:00:07.412 --> 00:00:11.794]  Ladies and gentlemen.
[00:00:11.794 --> 00:00:15.075]  It is Tuesday, September 15th.
[00:00:15.075 --> 00:00:15.515]  The year is 2020.
[00:00:15.515 --> 00:00:18.676]  We're 48 days out from the election.
[00:00:18.676 --> 00:00:22.538]  I'm your host, Alex Jones.
[00:00:22.538 --> 00:00:25.539]  You're going to be live here for the next four hours.
[00:00:25.539 --> 00:00:35.283]  The information you're receiving in this broadcast is the most dangerous information in the world for the anti-human forces of Satan.
[00:00:36.701 --> 00:00:39.903]  This is not a drill, this is not hyperbole, this is not exaggeration.
[00:00:39.903 --> 00:00:43.004]  This is the reality that we face.
[00:00:43.004 --> 00:00:48.067]  And no matter if some of you are doubting this information now or in the future, you will see it all unfold.
[00:00:48.067 --> 00:00:50.908]  You will be forced to admit there is a God, there is a devil.
[00:00:50.908 --> 00:00:52.229]  You will be forced to choose a side.
[00:00:52.229 --> 00:00:56.651]  The founder of Black Lives Matter has now come out and admitted that they are Satanists.
[00:00:56.651 --> 00:00:57.792]  That's all coming up.
[00:00:57.792 --> 00:00:59.313]  But first, this report, breaking it down.
[00:01:00.732 --> 00:01:02.533]  I am so angry at these people.
[00:01:02.533 --> 00:01:03.074]  It's beyond angry.
[00:01:03.074 --> 00:01:04.254]  I can't believe this is all going on.
[00:01:29.767 --> 00:01:36.510]  I know this is a war, I know it's an assault, I know it's 21st century war where they can't militarily attack us front on.
[00:01:36.510 --> 00:01:44.813]  So this international crime syndicate, the globalists, are doing it through the culture, through the corruption, through the people they've manipulated through their economic power.
[00:01:44.813 --> 00:01:50.275]  But it's so obvious, it's so admitted, it's so ridiculous, it's just mind-blowing.
[00:01:50.275 --> 00:01:56.397]  At least six cops in the last two days got executed in the United States.
[00:01:56.397 --> 00:01:58.978]  Two more got shot in Los Angeles, they're fighting for their lives.
[00:02:00.179 --> 00:02:03.620]  They just aired the police out!
[00:02:03.620 --> 00:02:06.601]  They just aired the police out!
[00:02:06.601 --> 00:02:09.682]  It go up in content!
[00:02:09.682 --> 00:02:13.264]  Them got aired out cuz!
[00:02:13.264 --> 00:02:15.184]  They just bust on them!
[00:02:15.184 --> 00:02:17.905]  That's crazy!
[00:02:17.905 --> 00:02:20.706]  Damn!
[00:02:20.706 --> 00:02:22.647]  It goes down in content!
[00:02:23.268 --> 00:02:31.049]  And it was these people coming to the hospital saying, we hope the cops die, and just acting like complete maniacs.
[00:02:31.049 --> 00:02:35.330]  And I didn't hate them because they were black people, because there's a bunch of white people that act just like them.
[00:02:35.330 --> 00:02:38.111]  I hated them because they're so stupid.
[00:02:38.111 --> 00:02:45.732]  You might get 14 black guys killed wrongfully a year by police, and a few hundred black guys shot by police a year.
[00:02:45.732 --> 00:02:49.353]  You're twice as likely to be shot if you're white per capita.
[00:02:49.353 --> 00:02:50.953]  You're the least educated people here.
[00:02:52.377 --> 00:02:53.178]  Yes.
[00:02:53.178 --> 00:02:54.179]  Really?
[00:02:54.179 --> 00:02:54.979]  Yeah.
[00:02:54.979 --> 00:02:55.540]  Let's go.
[00:02:55.540 --> 00:02:56.200]  Let's do it.
[00:02:56.200 --> 00:02:57.201]  Let's dance.
[00:02:57.201 --> 00:02:57.621]  Alright.
[00:02:57.621 --> 00:02:57.922]  Alright.
[00:02:57.922 --> 00:03:01.384]  Let's talk statistics because black people are being killed by police, right?
[00:03:01.384 --> 00:03:01.524]  Yes.
[00:03:01.524 --> 00:03:02.125]  What are the numbers?
[00:03:02.125 --> 00:03:03.406]  What are the numbers?
[00:03:03.406 --> 00:03:07.229]  I don't need to tell you the numbers.
[00:03:07.229 --> 00:03:14.294]  I need you to f***ing understand your privilege and the fact that your skin color does not get you f***ing killed.
[00:03:14.654 --> 00:03:17.977]  Okay, can we talk about statistics and numbers and data and facts and evidence?
[00:03:17.977 --> 00:03:18.877]  What are the numbers?
[00:03:18.877 --> 00:03:21.960]  What are the numbers for you guys?
[00:03:21.960 --> 00:03:22.901]  I'm going to tell you.
[00:03:22.901 --> 00:03:29.346]  The number of unarmed black people who were killed by police last year was nine.
[00:03:29.346 --> 00:03:34.029]  That's 0.000022% of the entire black population.
[00:03:34.029 --> 00:03:39.033]  The number of white people who were killed by the unarmed white people killed by the police last year was 19. 19.
