[00:00.000 --> 00:15.000]  The answer to 1984 is 1776.
[00:15.000 --> 00:35.000]  You're listening to the Alex Jones Show.
[00:35.000 --> 00:43.000]  So I might as well begin to put some action in my life.
[00:43.000 --> 00:50.000]  Ladies and gentlemen, the new national sport is to have the big corporate media,
[00:50.000 --> 00:54.000]  along with all the major Fortune 500 corporations,
[00:54.000 --> 01:01.000]  Facebook, Twitter, Google, YouTube, all publicly concerted now,
[01:01.000 --> 01:09.000]  going out and bullying libertarians, conservatives, anyone with blonde hair, blue eyes, anyone who's white.
[01:09.000 --> 01:20.000]  This is a massive move of the Overton window into insanity, into malice style revolution in their own words.
[01:20.000 --> 01:29.000]  Whether it's Uber or whether it's banks or whether it's other companies or whether it's a flower shop or Starbucks,
[01:29.000 --> 01:35.000]  you go in and they say, admit racism is a problem and white people are really evil.
[01:35.000 --> 01:42.000]  Literally. And if you don't say that, they then refuse your service.
[01:42.000 --> 01:48.000]  Remember Starbucks tried this about six months ago and it killed their stock 25% so they backed off for a while.
[01:48.000 --> 01:58.000]  I've got reports pouring in at infowars.com where you go in a flower shop or you go in a bakery or you go anywhere.
[01:58.000 --> 02:02.000]  It's happening in Austin and it's white people mainly. They're bullying you.
[02:02.000 --> 02:07.000]  But if you're also a, quote, minority, they want you to announce it like you're in a cult
[02:07.000 --> 02:12.000]  and say you're in the solidarity to create a buzz on the street of total hysteria.
[02:12.000 --> 02:19.000]  And now it's only intensified. I have epic, total proof of this.
[02:19.000 --> 02:23.000]  And by the way, CNN didn't accidentally release this.
[02:23.000 --> 02:34.000]  CNN is just putting out the teleprompter screed that they're projecting on these panel shows, most of which are staged,
[02:34.000 --> 02:39.000]  and it says, quote, ordinary people made Charlottesville possible.
[02:39.000 --> 02:48.000]  And they're saying, see, you are in the KKK because you don't follow the exact political system of carbon taxes, global government.
[02:48.000 --> 02:54.000]  Then they cut to this piece and it says, CNN, blame President Trump for his tepid moral response,
[02:54.000 --> 03:01.000]  call the neo-Nazis and white nationalist thugs, fill your Facebook and Twitter accounts with moral outrage.
[03:01.000 --> 03:04.000]  They're telling you what you're supposed to do.
[03:04.000 --> 03:10.000]  And then my email, my wife's email, everyone I know with just companies we use,
[03:10.000 --> 03:15.000]  we're realizing how globalist they are because its message is about the white supremacists are everywhere.
[03:15.000 --> 03:22.000]  They're deadly, we understand it, but don't worry, let's all work together and let's report anyone and let's refuse service to anybody.
[03:22.000 --> 03:30.000]  This is if you've used Uber, it's telling you to walk around like you're a college student, fresh out of high school, showing up scared at college,
[03:30.000 --> 03:36.000]  and they go, get into this dormitory quick, there's white supremacists on campus, but we'll teach you, we'll protect you.
[03:36.000 --> 03:41.000]  This is your group. This is like cult kidnapping.
[03:41.000 --> 03:48.000]  This is like cult setting up new age cults at campuses. That's what the government is. It's crazy.
[03:48.000 --> 03:54.000]  And then it coordinates with Facebook and Google and Twitter to make you feel like everyone's agreeing with you,
[03:54.000 --> 03:59.000]  and then by successive approximation you're put into a total cult bubble.
[03:59.000 --> 04:06.000]  And then this, it's on infowars.com right now, newswars.com, Steve Watson exclusive.
[04:06.000 --> 04:16.000]  From the ACLU themselves, they put out an image, put it on screen, of a little blonde haired boy or girl, you're not sure,
[04:16.000 --> 04:27.000]  and they got an American flag and a little lion toy in their hand, and it talks about how the ACLU stands up for American values.
[04:27.000 --> 04:31.000]  They literally were hit with thousands of tweets and comments even by media people saying,
[04:31.000 --> 04:36.000]  how insensitive you racist a blonde baby.
[04:36.000 --> 04:45.000]  And the ACLU apologized and removed it and said, thank you for teaching us. We are sorry.
[04:45.000 --> 04:49.000]  And then the tweet responses are epic.
[04:49.000 --> 04:55.000]  When people going good, we don't want to see white filth, we want to see shotguns in their heads, we want to see white's dad.
[04:55.000 --> 04:59.000]  And it's mainly white people. Oh my, saying it.
[04:59.000 --> 05:05.000]  You deserve a deep restful sleep with knockout by info wars life.
[05:05.000 --> 05:16.000]  Our organic formula is made from high quality natural ingredients such as valerian root extract, L tryptophan, lemon balm leaf extract and melatonin.
[05:16.000 --> 05:21.000]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[05:21.000 --> 05:29.000]  Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[05:29.000 --> 05:37.000]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[05:37.000 --> 05:39.000]  Wake up refreshed and take on the day.
[05:39.000 --> 05:47.000]  Info wars life wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[05:47.000 --> 05:51.000]  Get the sleep you deserve and experience the power of knockout.
[05:51.000 --> 06:20.000]  Head on over to info wars life dot com and say goodbye to fatigue. That's info wars life dot com.
