[00:00:27.099 --> 00:00:31.383]  Yeah, we're good.
[00:00:42.854 --> 00:00:43.174]  Yeah.
[00:01:12.093 --> 00:01:18.217]  We're good to go.
[00:01:31.815 --> 00:01:33.677]  We're good to go.
[00:01:54.563 --> 00:01:56.165]  We're good to go.
[00:02:13.327 --> 00:02:15.108]  Hello, Austin, Texas.
[00:02:15.108 --> 00:02:17.430]  You are watching Exposing Corruption Live.
[00:02:17.430 --> 00:02:21.072]  Again, I want to thank Andy McEvoy and Buckley
[00:02:42.441 --> 00:02:43.682]  Hammond did an excellent job.
[00:02:43.682 --> 00:02:49.245]  They're doing this evening and every evening, that is, every Tuesday night when this program is live.
[00:02:49.245 --> 00:02:52.466]  I also want to thank Mike Hanson for the great job he does with the Freedom Report.
[00:02:52.466 --> 00:03:00.111]  On Monday nights, which I'm no longer live on, but the show is live, and they run stories that Ian might go out and do.
[00:03:00.111 --> 00:03:11.817]  But don't worry, in a month and a half or so, with new series times, I'll be back live, and Andy and Buckley are going to have a program called Transcending Control.
[00:03:12.688 --> 00:03:19.572]  So, good lineup coming up in the fall, but we're here enjoying the hotness of the summer.
[00:03:19.572 --> 00:03:25.096]  We've got some new pieces for you tonight that aren't even edited pieces, so that means I didn't put any commentary through them.
[00:03:25.096 --> 00:03:28.278]  I haven't had time today.
[00:03:28.278 --> 00:03:32.901]  We went down to Commissioner's Court today because the Delta Force is trying to come back.
[00:03:32.901 --> 00:03:40.346]  That's just what Al A. Philippus, Chief of Police in San Antonio, told us when he threw them out for attempted bribery
[00:03:41.503 --> 00:03:46.888]  And the action probably of some people and much more and for the damage they caused to different buildings.
[00:03:46.888 --> 00:03:48.250]  We're going to replay that tonight.
[00:03:48.250 --> 00:03:50.332]  That's the only old thing we're going to play.
[00:03:50.332 --> 00:03:56.478]  And that's for people that are tuning in for the first time that need to see this information because you need to get politically motivated.
[00:03:56.478 --> 00:03:57.759]  They were coming in late June.
[00:03:57.759 --> 00:03:59.421]  We stopped them in May.
[00:03:59.421 --> 00:04:02.544]  Now they're coming in September according to the statement.
[00:04:02.544 --> 00:04:06.027]  I have the Monday, August 3rd, yesterday's statement.
[00:04:08.004 --> 00:04:12.447]  And it starts out, health units ill-prepared to ward off germ attacks.
[00:04:12.447 --> 00:04:12.728]  U.S.
[00:04:12.728 --> 00:04:16.891]  network of state, local, and health departments lacks money and technology to fight bioterrorism.
[00:04:16.891 --> 00:04:35.145]  Then it talks about the billions of dollars that Clinton, the billions of dollars the Pentagon, and all the rest of this money that's going, and they have all these experts, since the press is mainly ignorant, saying, we don't understand why only 3% of this supposed anti-terrorism, biological, and chemical money is going to actual medical treatment and
[00:04:35.660 --> 00:04:37.701]  EVAC and the detection systems.
[00:04:37.701 --> 00:04:39.362]  Because that's the ruse.
[00:04:39.362 --> 00:04:40.543]  That's the game.
[00:04:40.543 --> 00:04:46.127]  That's the fictitious crisis that they are using.
[00:04:46.127 --> 00:04:51.810]  And they admit that the Pentagon spends $1 billion a year to defend against chemical and biological attacks.
[00:04:51.810 --> 00:05:00.015]  It says that $300 million this year is going to a new program to establish 50 or more National Guard Rapid Response Teams.
[00:05:00.015 --> 00:05:04.058]  Then as you turn to page A5 in yesterday's paper,
[00:05:05.888 --> 00:05:18.223]  And I apologize to people that saw this yesterday when I did it on Late Night, on another program, but I have to get... This show is about information, about stopping things here in Tickle, Texas.
[00:05:18.223 --> 00:05:21.147]  We can only hope that others around the country are fighting as hard as we are.
[00:05:24.767 --> 00:05:33.110]  They have these experts like Zachary Sheldon, a specialist in chemical and germ warfare, and other experts from the World Health Organization.
[00:05:33.110 --> 00:05:37.791]  Just ignorant bureaucrats that probably actually half the time want to help people.
[00:05:37.791 --> 00:05:51.715]  They talk about why are we creating all these military teams with the Marines, with other military units, with the National Guard, and they have quotes in here that are pretty close to what I've said.
[00:05:51.715 --> 00:05:53.916]  You don't fight germs with bullets, okay?
[00:05:56.297 --> 00:05:59.699]  I mean, a terrorist biological threat would be delivered by a few people.
