[00:00.000 --> 00:10.000]  Big Brother, mainstream media, government cover-ups.
[00:10.000 --> 00:11.000]  You want answers?
[00:11.000 --> 00:13.000]  Well, so does he.
[00:13.000 --> 00:40.000]  He's Alex Jones on the GCN Radio Network, and now, live from Austin, Texas, Alex Jones.
[00:40.000 --> 00:50.000]  I did a lot of research last night on the different trends taking place in the world after I completed my Sunday evening radio transmission.
[00:50.000 --> 00:56.000]  And then this morning I got up at about 6 a.m. and I did a research for several hours.
[00:56.000 --> 01:05.000]  But then driving into work when you're calm and not on the telephone or not looking over stacks of news,
[01:05.000 --> 01:15.000]  it just hit me that I needed to calmly try to take a deep breath and come on air and break down the big picture.
[01:15.000 --> 01:26.000]  I know we talk about the big overall view of the world by the globalist versus the general public and humanity,
[01:26.000 --> 01:33.000]  but it's important to really state where we are currently in the history of the world.
[01:33.000 --> 01:41.000]  So I want to talk a few minutes about that at the start of the next segment and then obviously go through all of the news.
[01:41.000 --> 01:50.000]  And I've talked a lot about this on air, but it's a phenomenon that happens that I've somehow got to dominate in myself.
[01:50.000 --> 01:51.000]  I've got to change.
[01:51.000 --> 01:53.000]  The broadcast is informative.
[01:53.000 --> 01:54.000]  I have a lot of passion.
[01:54.000 --> 01:56.000]  I speak from the heart.
[01:56.000 --> 01:58.000]  It's not scripted.
[01:58.000 --> 02:02.000]  I have a pretty good grasp on the geopolitical systems and how they really work.
[02:02.000 --> 02:16.000]  But at the same time, sometimes I drive a little too fast and end up wrecking the car on the way to trying to get the pole position
[02:16.000 --> 02:18.000]  and then the checkered flag.
[02:18.000 --> 02:20.000]  I think we all do that.
[02:20.000 --> 02:26.000]  But I got so angry yesterday on the Sunday broadcast, I had invited David Knight down here to be on for one segment
[02:26.000 --> 02:32.000]  and ended up having him on base of the whole show and Kit Daniels down on the border, he'll be back on today with us giving us an update.
[02:32.000 --> 02:41.000]  I started yelling and screaming and talking over everyone and hyperventilating and literally yelling and screaming during the breaks.
[02:41.000 --> 02:44.000]  I mean, it's not an act.
[02:44.000 --> 02:57.000]  And it's because I sit here studying the globalist day after day, hour after hour, week after week, month after month, year after year, dreaming about it as well,
[02:57.000 --> 03:05.000]  seeing it threaten my family, seeing the social engineering destroying my world, your world, seeing the psychological rot,
[03:05.000 --> 03:15.000]  expanding not just with my own eyes, but I can see the digital readout metrics of it in society all across the planet.
[03:15.000 --> 03:26.000]  And I realize the reason I'm so disgusted is that I'm beyond anger and hatred of the New World Order now.
[03:26.000 --> 03:38.000]  I look at these people and they are just giant piles of stinking garbage.
[03:38.000 --> 03:50.000]  And I know they're weak and I know they're pathetic and I know how they're programmed and I know how their substratas operate.
[03:50.000 --> 03:59.000]  And it's very frustrating as an individual that I can't flip the levers to reverse what they're doing.
[03:59.000 --> 04:14.000]  And it's a very sickening feeling, the opposite of empowering to realize that I'm smarter and better than even most of the establishment operatives.
[04:14.000 --> 04:26.000]  And that they're so weak they've chosen evil, but they've got such a jump on us long term, building these systems of artificiality and false consciousness, false reality,
[04:26.000 --> 04:31.000]  that they themselves are just programmed biological androids.
[04:31.000 --> 04:43.000]  And it's then frustrating to have to focus on them all day and that they become the center of our world when there's this incredible universe all around us.
[04:43.000 --> 04:54.000]  But I know the way to beat them and that is to set the brush fires of liberty in the minds of men and women everywhere and we will overthrow this humanizing system together.
[04:54.000 --> 04:59.000]  The only question is how painful will it be?
[04:59.000 --> 05:03.000]  A chemical spill contaminating the water supply in nine West Virginia counties.
[05:03.000 --> 05:07.000]  This year alone over 300,000 people in West Virginia had their drinking water contaminated.
[05:07.000 --> 05:11.000]  What are the health effects of having these drugs in our drinking water?
[05:11.000 --> 05:14.000]  It's forced medical treatment without the consent of residents.
[05:14.000 --> 05:21.000]  My friends, water filtration is one of the most basic actions you can take to protect you and your family from the harmful toxins and heavy metals in your tap water.
[05:21.000 --> 05:25.000]  On average the county says it sprays with the glyphosate at least once a week.
[05:25.000 --> 05:30.000]  Few filters cut out the glyphosates that is found in water supplies worldwide.
[05:30.000 --> 05:36.000]  Remove pesticides, herbicides, chloramines, hydrofluorosalic acid, sodium hexafluorosilicate.
[05:36.000 --> 05:41.000]  It is in tea, it's in coffee, it's in water, it's in bread, it's in toothpaste.
[05:41.000 --> 05:44.000]  It is our responsibility to protect our families. The establishment is not going to do it.
[05:44.000 --> 05:47.000]  It's time to take action. It's time to filter our water.
[05:47.000 --> 05:54.000]  Visit infowarsthor.com and use promo code WATER to get 10% off their entire family of incredible products.
[05:54.000 --> 05:59.000]  Or call toll-free 888-253-3139.
[05:59.000 --> 06:09.000]  Hi, I'm Dr. Edward Groot. It took me 20 years of searching the globe to find the deposit of the highest purity iodine available.
[06:09.000 --> 06:20.000]  The new survival shield X2 is mined from 7 to 10,000 feet below the earth in pristine, environmentally clean conditions.
[06:20.000 --> 06:30.000]  The iodine crystals we use are extracted from an ancient 300 million-plus year-old deposit deep in the earth.
[06:30.000 --> 06:38.000]  It's the strongest nascent iodine on the market today. It delivers 650 micrograms per drop.
[06:38.000 --> 06:42.000]  Experience the new formula. Experience the ancient purity.
[06:42.000 --> 06:49.000]  Shield your family. Survival Shield X2, available now at infowarsthor.com.
[06:49.000 --> 06:57.000]  Shield X2 from infowarsthor.com or call toll-free 888-253-3139.
[07:20.000 --> 07:29.000]  It's up to us to set brush fires in the minds of men and women everywhere, and that's what prisonplanet.tv is designed to do.
[07:29.000 --> 07:37.000]  You watch the Assad regime is going to be blamed or accused of using chemical weapons against the so-called rebels.
[07:37.000 --> 07:41.000]  What we see now is a war against reality. It's a war against the truth.
[07:41.000 --> 07:50.000]  It's more vital than ever that supporters of freedom become members of prisonplanet.tv and share their membership with up to 11 friends and family.
[07:50.000 --> 07:58.000]  Visit infowarsnews.com today. Become a member, share your membership, and help take the info war to the next level.
[07:58.000 --> 08:08.000]  When I grow up, I want to be a rock star.
[08:08.000 --> 08:37.000]  We now take you live to the Central Texas Command Center in the heart of the Resistance. You're listening to Alex Jones.
[08:38.000 --> 09:05.000]  It is Monday, the 23rd day, ladies and gentlemen, of June 2014. I am your host, Alex Jones.
[09:05.000 --> 09:12.000]  We're going to be live here for the next three hours, always thought-provoking, always informative.
[09:12.000 --> 09:22.000]  We're going to have David Ike joining us via video Skype from his TV network studios in the second hour today.
