whisper_model_load: loading model from 'whisper.cpp/models/ggml-large.bin'
whisper_model_load: n_vocab       = 51865
whisper_model_load: n_audio_ctx   = 1500
whisper_model_load: n_audio_state = 1280
whisper_model_load: n_audio_head  = 20
whisper_model_load: n_audio_layer = 32
whisper_model_load: n_text_ctx    = 448
whisper_model_load: n_text_state  = 1280
whisper_model_load: n_text_head   = 20
whisper_model_load: n_text_layer  = 32
whisper_model_load: n_mels        = 80
whisper_model_load: f16           = 1
whisper_model_load: type          = 5
whisper_model_load: adding 1608 extra tokens
whisper_model_load: mem_required  = 4712.00 MB
whisper_model_load: ggml ctx size = 2950.97 MB
whisper_model_load: memory size   =  304.38 MB
whisper_model_load: model size    = 2950.66 MB

system_info: n_threads = 6 / 16 | AVX = 1 | AVX2 = 1 | AVX512 = 0 | NEON = 0 | F16C = 1 | FP16_VA = 0 | WASM_SIMD = 0 | BLAS = 0 | 

main: processing './wav/20180705_Thu_Alex.wav' (230270851 samples, 14391.9 sec), 6 threads, 1 processors, lang = en, task = transcribe, timestamps = 1 ...


[00:00:00.000 --> 00:00:08.620]   [MUSIC]
[00:00:08.620 --> 00:00:11.020]   >> Well, here we are, July 5th,
[00:00:11.020 --> 00:00:13.780]   2018, another epic July 4th has
[00:00:13.780 --> 00:00:15.060]   come and gone.
[00:00:15.060 --> 00:00:17.080]   And never has it been more clear
[00:00:17.080 --> 00:00:19.320]   where the stakes are for humanity.
[00:00:19.320 --> 00:00:20.720]   But I want to make a point.
[00:00:20.720 --> 00:00:22.600]   There's a Churchill quote,
[00:00:22.600 --> 00:00:24.700]   I'm paraphrasing it, that many
[00:00:24.700 --> 00:00:26.480]   people get hit by history.
[00:00:26.480 --> 00:00:28.880]   They get run over in the street by
[00:00:28.880 --> 00:00:31.300]   huge, big, epic developments.
[00:00:31.300 --> 00:00:32.820]   And they kind of dust themselves
[00:00:32.820 --> 00:00:34.440]   off and ignore the point in history
[00:00:34.440 --> 00:00:35.280]   that they're in.
[00:00:35.280 --> 00:00:37.960]   But there are other people that get
[00:00:37.960 --> 00:00:38.900]   hit by destiny and
[00:00:38.900 --> 00:00:40.220]   hit by history.
[00:00:40.220 --> 00:00:41.040]   And they get up and
[00:00:41.040 --> 00:00:42.680]   it changes the course of their lives
[00:00:42.680 --> 00:00:44.280]   and countless other people's lives.
[00:00:44.280 --> 00:00:47.200]   And so I want people to remember
[00:00:47.200 --> 00:00:48.920]   that the hundreds of millions that
[00:00:48.920 --> 00:00:50.120]   died under communism and
[00:00:50.120 --> 00:00:51.620]   the tens of millions that died
[00:00:51.620 --> 00:00:53.220]   under fascism and other cults and
[00:00:53.220 --> 00:00:54.660]   permutations of governmental
[00:00:54.660 --> 00:00:55.200]   control.
[00:00:55.200 --> 00:00:58.840]   And societal mental illness,
[00:00:58.840 --> 00:01:00.500]   manifest by government,
[00:01:00.500 --> 00:01:02.440]   that we are on the precipice of
[00:01:02.440 --> 00:01:04.240]   a new global revolution and
[00:01:04.240 --> 00:01:05.920]   a new renaissance.
[00:01:05.920 --> 00:01:07.680]   And we're actually, because of
[00:01:07.680 --> 00:01:09.480]   other people's work before us,
