[00:00.000 --> 00:01.020]  In the conditioning!
[00:01.020 --> 00:02.180]  Info Wars comes to mind.
[00:02.180 --> 00:02.980]  Alex Jones.
[00:02.980 --> 00:03.780]  Alex Jones.
[00:03.780 --> 00:04.580]  Alex Jones.
[00:04.580 --> 00:07.580]  But there's a lot of controversy around this network about Alex Jones.
[00:07.580 --> 00:12.420]  For Google it's been accused of hiding negative stories about Hillary and her campaign,
[00:12.420 --> 00:17.100]  but changing its algorithm to bury stories like the Clinton body count story.
[00:17.100 --> 00:18.940]  That's according to website Info Wars.
[00:18.940 --> 00:22.700]  It's currently confirmed there are at least two shooters with fully automatic weapons.
[00:22.700 --> 00:24.140]  Automatic action is on fire!
[00:24.140 --> 00:28.380]  Dr. Martin Luther King has been shot to death and messed with Tennessee.
[00:28.380 --> 00:31.580]  JFK was shot from the back and the front.
[00:31.580 --> 00:36.380]  It was almost a district where a planned impulsion hit just hanging.
[00:36.380 --> 00:38.540]  They took the babies out of the incubators.
[00:38.540 --> 00:40.940]  They left the children to die on the cold floor.
[00:40.940 --> 00:43.420]  I think this is a national security imperative.
[00:43.420 --> 00:47.340]  We have clear things that we do not understand how they work,
[00:47.340 --> 00:50.620]  operating in areas that we can't control.
[00:50.620 --> 00:51.740]  USA.
[00:51.740 --> 00:53.980]  Is this global governance at last?
[00:53.980 --> 00:56.380]  Is it one world the central bank has been charged?
[00:56.380 --> 00:58.620]  Israel claims the attack was accidental.
[00:58.620 --> 01:01.900]  Some former U.S. naval officers say it was on purpose.
[01:01.900 --> 01:05.420]  They describe today's action as part of a continuing cover-up.
[01:05.420 --> 01:11.020]  Russian intelligence compiled a dossier on Mr. Trump during visits to Moscow.
[01:11.020 --> 01:12.540]  Russian scum!
[01:12.540 --> 01:14.860]  Denied everything. He called it all fake news.
[01:14.860 --> 01:17.820]  And he accused CNN of being fake news.
[01:17.820 --> 01:19.740]  This is a national emergency.
[01:19.740 --> 01:25.580]  If they kill Trump or remove Trump it will cause a massive civil war in this country.
[01:25.580 --> 01:27.580]  This is a female high-level emergency.
[01:29.500 --> 01:31.100]  We are at war with Russia.
[01:31.100 --> 01:34.300]  Are you aware that Mr. Stone also stated publicly that he was in direct
[01:34.300 --> 01:36.860]  communication with Julian Assange and WikiLeaks?
[01:36.860 --> 01:39.820]  The White House and the President are citing info wars.
[01:39.820 --> 01:41.580]  They can shut us down, you're next.
[01:42.620 --> 01:46.620]  If you are receiving this transmission, you are the resistance.
[01:47.420 --> 01:50.060]  It's Alex John's info war.
[01:50.060 --> 01:58.380]  It's Tuesday, April 30th, 2019.
[01:59.100 --> 02:00.540]  I'm your host Alex Jones,
[02:01.340 --> 02:04.460]  broadcasting worldwide on the AM and FM dial global shortwave.
[02:05.100 --> 02:07.500]  And of course many television stations across the country
[02:08.300 --> 02:11.260]  at infowars.com and newswars.com.
[02:13.660 --> 02:18.780]  A theme has emerged from the President and from his advisors and from patriots
[02:18.780 --> 02:24.540]  that are in the Pentagon and also from a lot of former actual CIA counterterrorism
[02:24.540 --> 02:28.380]  experts and people that have been in the field and been in command of large operations,
[02:28.380 --> 02:30.380]  not leftist pencil pushing.
[02:31.180 --> 02:34.060]  That's the other CIA we've been battling with the last few years,
[02:34.060 --> 02:35.020]  trying to get the country back.
[02:36.700 --> 02:40.620]  It's emerged that it is confirmed and in Congress is even
[02:41.180 --> 02:44.300]  set to have hearings on this on the attempted coup against Trump
[02:44.300 --> 02:47.100]  that there is still an ongoing embedded group of criminals
[02:47.100 --> 02:52.860]  being directed by Obama, Hillary and others and that they are still trying to overthrow Trump
[02:52.860 --> 02:54.140]  and destroy the First Amendment.
[02:54.140 --> 02:57.020]  They're allied with big tech and the communist Chinese.
[02:57.580 --> 03:02.860]  And so it's now coming out that Biden has gotten billions to his sons.
[03:02.860 --> 03:07.820]  That's B with a B, not millions from communist Chinese state run companies.
[03:08.460 --> 03:12.860]  Joe Biden should have obviously be arrested for treason and tried and dealt with accordingly.
[03:12.860 --> 03:14.220]  But it's all hiding in plain view.
[03:14.220 --> 03:16.780]  That's why they're fighting so hard and won't give up.
[03:16.780 --> 03:19.980]  Because they'd gotten so far down the rat hole.
[03:20.620 --> 03:25.020]  They drug this country so deep down the rat hole that they still believe
[03:25.020 --> 03:27.820]  they can snatch victory from the jaws of defeat.
[03:29.100 --> 03:31.180]  So it's all coming out.
[03:31.180 --> 03:32.940]  The chickens are coming home to roost.
[03:32.940 --> 03:36.060]  We have Rosenstein resigning yesterday.
[03:36.060 --> 03:37.740]  We have the head of the Air Force Academy.
[03:37.740 --> 03:40.860]  Obviously a lot of evidence shows involved staging those racial events
[03:41.500 --> 03:44.460]  for political correctness and mind control being removed.
[03:44.460 --> 03:48.540]  We have the head of Gitmo being removed and I'm told that a lot more is about to happen.
[03:48.540 --> 03:53.420]  The heads are going to start rolling in a big fat juicy way.
[03:53.420 --> 03:57.820]  Larry C. Johnson formally with the CIA and covert operations.
[03:57.820 --> 03:59.820]  He'll be in a bunch of other operations.
[03:59.820 --> 04:02.380]  He'll be joining us to get into this ongoing coup.
[04:02.380 --> 04:04.700]  We're going to play clips from a powerful report
[04:04.700 --> 04:08.380]  that's in a Paul Joseph Watson report up at newswars.com
[04:08.380 --> 04:10.860]  and infowars.com that will play when we come back.
[04:10.860 --> 04:12.300]  I hope you'll share with everyone you know.
[04:12.300 --> 04:16.940]  So, former CIA officer Warren's leftist violence is going to get very, very bad
[04:16.940 --> 04:18.380]  over the next two years.
[04:18.380 --> 04:21.660]  That it's being concerted and driven by deep state in bed groups.
[04:22.380 --> 04:24.860]  And that they're planning to overthrow the president
[04:24.860 --> 04:26.860]  and planning to kill police in mass.
[04:26.860 --> 04:29.500]  And that's a former CIA officer Kevin ship.
[04:29.500 --> 04:31.660]  There's an expert in counterterrorism.
[04:31.660 --> 04:33.820]  Warren's that leftist violence is about to hit.
[04:34.380 --> 04:36.620]  And of course that is very evident.
[04:36.620 --> 04:40.060]  But we're just here reporting the facts why they want us off air.
[04:40.060 --> 04:43.100]  So they believe they have air superiority in the information war
[04:43.100 --> 04:45.900]  when they launched these attempted coups that have already failed.
[04:45.900 --> 04:48.140]  But when they don't first succeed they try and try again.
[04:48.140 --> 04:48.860]  We're winning.
[04:49.500 --> 04:50.140]  We're winning.
[04:50.140 --> 04:52.540]  But the enemy can still take us out.
[04:52.540 --> 04:56.460]  That's why we've got to intensify efforts against the globalist now.
[04:56.460 --> 05:26.300]  Everyone, full effort now.
[05:26.460 --> 05:28.140]  They don't want us to have that victory.
[05:28.140 --> 05:30.940]  They don't want us to remember what political action did.
[05:32.140 --> 05:36.540]  And that's why the globalist Hillary and others are trying to shut in for us now.
[05:36.540 --> 05:39.580]  This is a fight about taking your speech away.
[05:39.580 --> 05:40.700]  Not just my speech.
[05:40.700 --> 05:43.020]  About taking your very sovereignty away.
[05:43.020 --> 05:44.540]  This country is in a war.
[05:45.340 --> 05:47.580]  So again, I want to thank you for what you've done.
[05:47.580 --> 05:50.380]  But I want to remind you, if you don't spread the articles and videos
[05:50.380 --> 05:53.740]  and if you don't financially get the great products we have and fund us
[05:53.740 --> 05:55.980]  and the 360 win, we're dead in the water.
[05:55.980 --> 05:56.860]  I'm in your hands.
[05:56.860 --> 05:57.900]  You're in my hands.
[05:57.900 --> 05:59.340]  Infowarsstore.com.
[05:59.340 --> 06:26.220]  Thank you.
[06:29.660 --> 06:37.420]  Hi, Larry C. Johnson worked in the CIA for many years in counterterrorism.
[06:38.060 --> 06:40.700]  And he's going to be joining us coming up in the next hour.
[06:40.700 --> 06:41.420]  Hour number two.
[06:41.980 --> 06:45.180]  And he said rightly that we are in the middle of a civil war in this country.
[06:45.180 --> 06:49.180]  And that globalist forces, the chai comms and others are financing the left
[06:49.180 --> 06:53.340]  in an attempt to overthrow an attempt for just the federal government
[06:53.340 --> 06:58.620]  to come back into being and not be a globalist viceroy.
[06:58.620 --> 06:59.900]  Or a globalist governor.
[07:00.620 --> 07:03.660]  Also the exact same things being said, because we're all looking at the same page,
[07:04.300 --> 07:05.980]  the same information, the same truth.
[07:05.980 --> 07:09.340]  Former CIA officer and counterterrorism warrants leftist violence
[07:09.340 --> 07:11.740]  is going to get very, very bad over the next two years.
[07:11.740 --> 07:14.700]  That we're in the middle of a civil war inside the government
[07:14.700 --> 07:17.740]  that leftist forces are trying to create a physical civil war.
[07:17.740 --> 07:21.580]  And that Antifa and others have been lazing police departments.
[07:21.580 --> 07:26.380]  That is preparing, doing dry run attacks to have a massive rollout
[07:26.380 --> 07:31.980]  and mass blood in the streets, decapitating local government ahead of a coup
[07:31.980 --> 07:33.660]  to remove Trump at the federal level.
[07:34.300 --> 07:37.340]  And then they're going to try to activate mainly black communities
[07:37.340 --> 07:40.700]  that the left has been trying to brainwash into burning down cities.
[07:41.340 --> 07:46.300]  And that's actually come out in Alexander Soros documents that we got two years ago.
[07:46.300 --> 07:48.780]  And that ties into another big article here today,
[07:48.780 --> 07:51.820]  admitting that Netflix is trying to create racial division.
[07:51.820 --> 07:54.460]  So is all of the Hollywood Combine.
[07:54.460 --> 07:56.540]  So that is all coming up today.
[07:56.540 --> 08:01.180]  Yes, we've been beating the globalist so far all over the world
[08:01.180 --> 08:03.260]  in nationalism and populism coming back.
[08:03.260 --> 08:07.500]  But that doesn't mean that they don't have a major left hook ready for us
[08:07.500 --> 08:12.860]  and aren't planning all sorts of violence and basically asymmetrical warfare.
[08:12.860 --> 08:17.340]  Now Paul Joseph Watson wrote about this for newswars.com and infowars.com.
[08:17.900 --> 08:23.100]  And also on his site he has now, that is summit.news, very good website.
[08:23.100 --> 08:26.380]  That's former CIA officer warns leftist violence is going to get very, very bad.
[08:26.380 --> 08:31.020]  He'd share this via email, share it via text message, get it past the censors.
[08:31.020 --> 08:32.060]  This is important.
[08:32.060 --> 08:35.820]  Former CIA officer Kevin ship who also worked in the same area counterterrorism
[08:35.820 --> 08:38.940]  warns that this is part of a larger premeditated plan
[08:38.940 --> 08:42.220]  that is going to be intensifying the next 18 months to two years.
[08:42.220 --> 08:44.380]  Let's go ahead and roll a piece of the detailed report.
[08:44.380 --> 08:47.260]  It's an hour long interview at infowars.com.
[08:47.260 --> 08:47.740]  Here it is.
[08:48.380 --> 08:51.500]  But what do you think people should do with what's going on?
[08:51.500 --> 08:55.100]  What's the, what's the danger for we the people in all this?
[08:55.100 --> 08:58.220]  I mean, you say they're going to be a rough and wild summer.
[08:58.220 --> 09:01.500]  You know, you got Donald Trump and making sure all Americans are armed.
[09:02.460 --> 09:04.780]  And what's the danger for we the people?
[09:05.340 --> 09:11.180]  The danger for we the people right now is the dark left and dark left violence.
[09:11.180 --> 09:15.980]  Because as these arrests, these indictments first of all begin to come out.
[09:15.980 --> 09:20.220]  And as the players are called out, the violence on,
[09:20.220 --> 09:25.580]  I call it the dark left is going to increase to the point where it's going to be a very,
[09:25.580 --> 09:26.300]  very bad.
[09:26.300 --> 09:27.340]  There's going to be beatings.
[09:27.340 --> 09:28.620]  There's probably going to be shootings.
[09:28.620 --> 09:30.620]  There's probably going to be shootings at police.
[09:30.620 --> 09:34.940]  And the dark left seeing this, knowing that this didn't work.
[09:34.940 --> 09:38.140]  I think there's going to be a lot of violence if you want to call it left.
[09:38.140 --> 09:42.620]  There's going to be a lot of violence coming from less left in the next year or two Americans.
[09:42.620 --> 09:46.300]  This is one of the reasons that they need to exercise their second amendment right,
[09:46.300 --> 09:53.180]  which I do quite a bit actually, is because of what the left is going to do with these findings
[09:53.180 --> 09:57.980]  and the fact that this could be the death knell for what is now the Democratic Party.
[09:57.980 --> 10:01.820]  And it's certainly the death knell of this coup and the death knell of the dark left's attempt
[10:01.820 --> 10:04.220]  to take over our constitution and culture.
[10:04.220 --> 10:08.620]  They're going to see that and they're going to bring exponentially bring up their violence.
[10:08.620 --> 10:10.300]  And Americans need to arm themselves.
[10:10.300 --> 10:12.060]  They need to protect themselves against that.
[10:12.060 --> 10:15.740]  Speaking of defending yourself against violence,
[10:15.740 --> 10:21.580]  there is a unedited 18 minute video up on info wars.com that we cannot show you here
[10:21.580 --> 10:24.380]  because it would take hours to bleep out all the cuss words.
[10:24.380 --> 10:30.300]  But we do have a short video we're going to play next segment of the young reporter being
[10:30.300 --> 10:35.340]  viciously attacked by Antifa and knocking down six of them before the police come over
[10:35.340 --> 10:43.580]  and arrest Antifa, who literally are a bunch of live action role players out in the real world
[10:43.580 --> 10:47.180]  until they run into patriots and get knocked on their asses.
[10:47.180 --> 10:49.980]  So journalists defend themselves against Antifa mob attack.
[10:50.940 --> 10:54.620]  Believe me, this is a video that you want to watch.
[10:55.420 --> 10:57.420]  If you're a radio listener, it's on info wars.com.
[10:57.420 --> 10:59.980]  We're going to come back and get into that report.
[10:59.980 --> 11:01.020]  But let's pull back here.
[11:01.020 --> 11:04.940]  Yes, they have the methods.
[11:04.940 --> 11:09.420]  Yes, the left has all the entitled professors and all the entitled people that thought they'd
[11:09.420 --> 11:13.020]  be the ruling class that thought that they would rule America that thought that this was
[11:13.020 --> 11:15.820]  their time under Hillary to make their move and take over.
[11:17.020 --> 11:22.460]  But now because it's failed and going down the proverbial historical drainage ditch into the
[11:22.460 --> 11:26.940]  gutter, they are getting even more angry and more pissed.
[11:26.940 --> 11:31.180]  But emblematically, look at Hillary, evil and crone-like.
[11:31.820 --> 11:34.220]  Look at Obama, a Mr. Trendy nobody.
[11:35.100 --> 11:38.780]  Look at Biden, who can hardly talk and slurs his words.
[11:38.780 --> 11:41.340]  He's on so many drugs and so many medications.
[11:42.060 --> 11:44.780]  These are decadent narcissistic drug addicts.
[11:45.340 --> 11:46.460]  They're easy to beat.
[11:46.460 --> 11:48.860]  You just have to call their bluff.
