[00:00.000 --> 00:10.000]  Big Brother, mainstream media, government cover-ups.
[00:10.000 --> 00:11.000]  You want answers?
[00:11.000 --> 00:13.000]  Well, so does he.
[00:13.000 --> 00:17.000]  He's Alex Jones on the GCN Radio Network.
[00:17.000 --> 00:26.000]  And now, live from Austin, Texas, Alex Jones.
[00:26.000 --> 00:31.000]  Well, for the next 20 minutes, Judge Andrew Napolitano joins us.
[00:31.000 --> 00:36.000]  He, of course, from the last week has now moved from the weekends with the number one show in months.
[00:36.000 --> 00:44.000]  A lot of the gates was number one on Fox Business on the weekends to the regular Fox Business weeknights.
[00:44.000 --> 00:47.000]  And it's becoming very, very successful there as well.
[00:47.000 --> 00:51.000]  So from the weekends to weekdays, and hopefully very soon to the main Fox channel,
[00:51.000 --> 00:56.000]  because he's a real libertarian at heart, and we always appreciate having Judge Andrew Napolitano,
[00:56.000 --> 01:01.000]  JudgeNap.com, also bestselling author with us.
[01:01.000 --> 01:06.000]  Judge, this is a short segment, the long segment's coming up, but so much going on in the world today.
[01:06.000 --> 01:08.000]  What's most important on your radar?
[01:08.000 --> 01:11.000]  I think the president wants to subjugate us, Alex.
[01:11.000 --> 01:15.000]  I think the president who falsely claims that he believes in civil liberties,
[01:15.000 --> 01:23.000]  who took an oath to uphold the Constitution, and who could stop all of this with a phone call to cousin Janet,
[01:23.000 --> 01:27.000]  we're not related, but I kiddingly referred to her that way, John Napolitano,
[01:27.000 --> 01:35.000]  has placed armed and unarmed, uniformed agents between private carriers and their customers
[01:35.000 --> 01:41.000]  at the most critical juncture, barking orders, demanding conformity, threatening arrest and fines.
[01:41.000 --> 01:48.000]  I think this is the beginning of an effort of this president to use powers from some source other than the Constitution,
[01:48.000 --> 01:52.000]  an argument his predecessors made to get us to conform to his will.
[01:52.000 --> 01:59.000]  I fear that this TSA stormtrooper behavior is the tip of an iceberg, or an ocean,
[01:59.000 --> 02:06.000]  that this administration, now that it has lost some of its strength in Congress, may want to use to overwhelm us.
[02:06.000 --> 02:13.000]  Well, we know, and you were critical of George Bush and the police state things he carried out,
[02:13.000 --> 02:19.000]  Obama's continued the torture, the wars, in some cases expanded some of the extraordinary rendition,
[02:19.000 --> 02:27.000]  the enhanced interrogations, but because he's got a leftist cover, the left is in a coma dealing with it,
[02:27.000 --> 02:35.000]  but now this TSA hands in pants, and we've got all of this happening.
[02:35.000 --> 02:43.000]  I mean, it really does show their lust to dominate us and to basically break those taboos, and you're right,
[02:43.000 --> 02:48.000]  they've announced they want TSA scanners on the streets, they're already beta testing at train stations,
[02:48.000 --> 02:52.000]  TSA's been searching people's bags without warrants for years in New York, so you're right.
[02:52.000 --> 02:55.000]  I mean, this is something they want to roll out nationwide.
[02:55.000 --> 03:03.000]  You know, the most specific part of the Constitution, the one that provides the most details as to what the government may
[03:03.000 --> 03:09.000]  and may not do is the Fourth Amendment, which establishes the right to privacy, the right to be left alone,
[03:09.000 --> 03:16.000]  and it basically says the right of the people to be secure in their persons houses, papers, and effects,
[03:16.000 --> 03:22.000]  in their persons, meaning their bodies, and the Supreme Court has ruled in some cases with which you and I agree
[03:22.000 --> 03:28.000]  and in some with which you and I disagree, nevertheless, it has uniformly ruled that you own your body
[03:28.000 --> 03:35.000]  and the government cannot touch it or go near it or go inside of it without an order from a judge
[03:35.000 --> 03:40.000]  after the judge has heard arguments from both sides and the government has proved its right to do so,
[03:40.000 --> 03:46.000]  because the Constitution presumes that we are innocent until proven guilty, yet the TSA,
[03:46.000 --> 03:52.000]  not by a law that Congress wrote, but by a regulation written by a couple of faceless bureaucrats,
[03:52.000 --> 03:58.000]  nameless until a few weeks ago, has turned that presumption of innocence upside down and treats everyone
[03:58.000 --> 04:02.000]  as if they were entering a prison rather than getting onto a private airliner.
[04:02.000 --> 04:09.000]  Absolutely, and expanding on that, they are having federally funded checkpoints that violate the Fourth Amendment,
[04:09.000 --> 04:16.000]  federally funded blood draws at DWI checkpoints, no refusal, they're trying to push forced inoculations.
[04:16.000 --> 04:22.000]  This is clearly their attempt to set the precedent to get in our space and put their hands on our body,
[04:22.000 --> 04:26.000]  and Ron Paul told me an hour and a half ago that they've grabbed his genitals.
[04:26.000 --> 04:29.000]  I did not know that Ron was on with me last night.
[04:29.000 --> 04:35.000]  Ron made an argument which was purely Jeffersonian and its brilliance and its simplicity.
[04:35.000 --> 04:39.000]  Well, tell us about that when we come back, Judge, I want to hear that, but I want to go further.
[04:39.000 --> 04:44.000]  I want to ask you as a judge, as a constitutional scholar, not just the Fourth Amendment,
[04:44.000 --> 04:46.000]  am I wrong in saying this violates Ninth and Tenth?
[04:46.000 --> 04:52.000]  We've got a federal power grab that even sworn peace officers of the state can't stick their hands down your pants
[04:52.000 --> 04:54.000]  without an emergency or an warrant.
[04:54.000 --> 04:56.000]  I mean, how are they doing this?
[04:56.000 --> 04:59.000]  We'll be right back with Judge Andrew Napolitano, JudgeNap.com.
[05:01.000 --> 05:03.000]  Hi, this is Alex Jones.
[05:03.000 --> 05:08.000]  You've heard me talk about the delicious, easy to fix and very storable foods from eFoodsDirect.com.
[05:08.000 --> 05:13.000]  I've told you for years that eFoodsDirect has the best storable food on the planet.
[05:13.000 --> 05:17.000]  Now it's that time of year again, and their holiday special is here.
[05:17.000 --> 05:24.000]  They have two holiday-priced packs for you to put into your reserves for a secure future or to share with others.
[05:24.000 --> 05:31.000]  The first is a six-month bulk supply in tin cans, and the second is a five-week supply of quick and easy to fix meals,
[05:31.000 --> 05:35.000]  including delicious bakery items, shipped in heavy tote bags.
[05:35.000 --> 05:40.000]  Now, for a limited time, when you order two or more of these special holiday packs,
[05:40.000 --> 05:46.000]  you'll get free shipping on your entire order, haul now 800-409-5633
[05:46.000 --> 05:50.000]  or visit them at eFoodsDirect.com forward slash Alex.
[05:50.000 --> 05:56.000]  That's 800-409-5633 or eFoodsDirect.com forward slash Alex.
[06:04.000 --> 06:09.000]  Big Brother, mainstream media, government cover-ups.
[06:09.000 --> 06:12.000]  Do you want answers? Well, so does he.
[06:12.000 --> 06:16.000]  He's Alex Jones on the GCN Radio Network.
[06:16.000 --> 06:22.000]  And now, live from Austin, Texas, Alex Jones.
[06:22.000 --> 06:31.000]  Judging from Napolitano, his show's now moved from Fox Business Weekends, number one, to Fox Business Weeknights.
[06:31.000 --> 06:35.000]  You can find out more on his website.
