[00:00:12.511 --> 00:00:14.211]  There is a war.
[00:00:14.211 --> 00:00:16.092]  It's happening now.
[00:00:16.092 --> 00:00:18.453]  It will decide the fate of humanity.
[00:00:18.453 --> 00:00:20.994]  The time to choose sides has come.
[00:00:20.994 --> 00:00:22.934]  We are the resistance.
[00:00:22.934 --> 00:00:24.655]  We are the Infowar.
[00:00:31.184 --> 00:00:32.825]  Alex Jones here, ladies and gentlemen.
[00:00:32.825 --> 00:00:41.688]  We are broadcasting worldwide on this live, Monday, March 7th, 2016, global transmission.
[00:00:41.688 --> 00:00:58.974]  Paul Joseph Watson is coming up at the bottom of the hour to break down the huge geopolitical developments unfolding around our world and what the weaponized, controlled corporate media is doing, not just here in the US or Canada, but in Australia.
[00:00:59.394 --> 00:01:03.217]  Across the European Union and across the United Kingdom as well.
[00:01:03.217 --> 00:01:13.387]  They are engaged in weaponized balkanization, weaponized promotion of open race and religion war.
[00:01:13.387 --> 00:01:15.328]  It is incredible.
[00:01:15.328 --> 00:01:16.670]  You understand, obviously.
[00:01:17.540 --> 00:01:21.661]  But you've got to get the word out to others that don't understand what's happening because it's so tragic.
[00:01:21.661 --> 00:01:30.103]  When Beyonce at the Super Bowl does her anti-white, anti-police event, that is not some black woman pushing racism.
[00:01:30.103 --> 00:01:41.645]  That is the NFL that is paid to do the fake patriotic displays, that is paid, paid to push the anti-gun, quote, brainwashing, as the Attorney General famously said.
[00:01:41.645 --> 00:01:42.905]  That is a mission.
[00:01:42.905 --> 00:01:44.486]  That is a program.
[00:01:44.486 --> 00:01:46.146]  And the same thing is done in Europe.
[00:01:46.946 --> 00:01:50.550]  It's denounced by police groups who are grassroots and aren't controlled.
[00:01:50.550 --> 00:01:54.074]  But from the top, it is Justice Department run.
[00:01:54.074 --> 00:01:57.297]  And Paul Watson's going to be breaking this down big time, coming up.
[00:01:57.297 --> 00:02:04.945]  Bernie Sanders, in the Democrat debate yesterday, came out and said, White people don't know, we're going to play the clip in a moment, don't know what it's like to be poor.
[00:02:06.028 --> 00:02:10.370]  Again, as if whites are this superclass, this royalty around the world.
[00:02:10.370 --> 00:02:19.755]  This is the elite of the globe that have stolen the wealth, setting up tyranny, trying to blame white people if there's any class envy or somebody doesn't have money.
[00:02:19.755 --> 00:02:24.117]  There are twice as many, and we're going to go over the numbers coming up, the feds admit
[00:02:25.566 --> 00:02:25.826]  Why is
[00:02:41.301 --> 00:02:48.425]  I mean, that is just crazy to sit there and just act like, because you're white, you know, you've been given a leprechaun and a whole pot of gold.
[00:02:48.425 --> 00:02:52.046]  Think of the level of weaponized media that that is.
[00:02:52.046 --> 00:02:58.009]  And think how they've opened Europe's borders and our borders and say, we have to pay for everything or we're bad.
