whisper_model_load: loading model from 'whisper.cpp/models/ggml-large.bin'
whisper_model_load: n_vocab       = 51865
whisper_model_load: n_audio_ctx   = 1500
whisper_model_load: n_audio_state = 1280
whisper_model_load: n_audio_head  = 20
whisper_model_load: n_audio_layer = 32
whisper_model_load: n_text_ctx    = 448
whisper_model_load: n_text_state  = 1280
whisper_model_load: n_text_head   = 20
whisper_model_load: n_text_layer  = 32
whisper_model_load: n_mels        = 80
whisper_model_load: f16           = 1
whisper_model_load: type          = 5
whisper_model_load: adding 1608 extra tokens
whisper_model_load: mem_required  = 4712.00 MB
whisper_model_load: ggml ctx size = 2950.97 MB
whisper_model_load: memory size   =  304.38 MB
whisper_model_load: model size    = 2950.66 MB

system_info: n_threads = 6 / 16 | AVX = 1 | AVX2 = 1 | AVX512 = 0 | NEON = 0 | F16C = 1 | FP16_VA = 0 | WASM_SIMD = 0 | BLAS = 0 | 

main: processing './wav/20101224_Fri_Alex.wav' (172819854 samples, 10801.2 sec), 6 threads, 1 processors, lang = en, task = transcribe, timestamps = 1 ...


[00:00:00.000 --> 00:00:05.000]   (Music)
[00:00:05.000 --> 00:00:10.000]   Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:10.000 --> 00:00:13.000]   You want answers? Well, so does he.
[00:00:13.000 --> 00:00:17.000]   He's Alex Jones on the GCN Radio Network.
[00:00:17.000 --> 00:00:22.000]   And now, live from Austin, Texas, Alex Jones.
[00:00:22.000 --> 00:00:27.000]   (Music)
[00:00:27.000 --> 00:00:34.000]   Today is Thursday, the 16th day of December, 2010.
[00:00:34.000 --> 00:00:39.000]   We've got the radio broadcast jam-packed with guests tomorrow.
[00:00:39.000 --> 00:00:43.000]   We're only going to get one guest on towards the end of the broadcast today,
[00:00:43.000 --> 00:00:45.000]   but I'll announce that later.
[00:00:45.000 --> 00:00:50.000]   We're going to have open phones today, and I will take your questions, your comments,
[00:00:50.000 --> 00:00:53.000]   any news items that you want to raise.
[00:00:53.000 --> 00:00:58.000]   We're going to have open phones throughout the full three hours,
[00:00:58.000 --> 00:01:01.000]   interspersed with a lot of really important news.
[00:01:01.000 --> 00:01:07.000]   But any subject you want to raise, any point you want to make, I want to hear from you.
[00:01:07.000 --> 00:01:10.000]   I'm going to attempt to try to move quickly through your calls,
[00:01:10.000 --> 00:01:13.000]   but also I need your calls to be brief and focused.
[00:01:13.000 --> 00:01:17.000]   And I need to be brief and focused as well if we're going to get to a lot of your phone calls.
[00:01:17.000 --> 00:01:22.000]   But I love the different issues and points and angles that listeners bring up.
[00:01:22.000 --> 00:01:33.000]   When we take an open line day of phone calls, the toll-free number to join us is 800-259-9231.
[00:01:33.000 --> 00:01:39.000]   800-259-9231 will get you up and on the air.
[00:01:39.000 --> 00:01:43.000]   Well, I have a lot of interesting news here in front of me.
[00:01:43.000 --> 00:01:49.000]   Remember, I've been predicting false flag staged terror attacks ahead of the election
[00:01:49.000 --> 00:01:52.000]   and then intensifying from there on out.
[00:01:52.000 --> 00:01:58.000]   The government likes to go out and find mindless patsies that they try to provocateur with fake bombs into attacking.
