[00:00.000 --> 00:05.120]  From the front lines of the information war, it's Alex Jones
[00:14.840 --> 00:21.600]  I called CDC not long ago and said how many active cases are being monitored in the United States of Ebola and they said
[00:22.400 --> 00:25.520]  1,400 I said where is that on your website these updates?
[00:25.520 --> 00:30.600]  They said we're not putting it on the web. So I think there is an effort to control the message and to tamp it down
[00:31.040 --> 00:35.760]  This is public information. We have a right to and I think the media should not hype it but cover it
[00:36.600 --> 00:38.680]  Cheryl Atkinson
[00:38.680 --> 00:41.880]  That's a respective reporter investigative journalist at Fox News
[00:43.160 --> 00:48.920]  We had a top Forbes writer that writes their medical news saying they were at the meeting
[00:49.240 --> 00:51.680]  Months ago where they said we're gonna cover up. What's going on with Ebola?
[00:51.680 --> 00:54.800]  I've had a medical doctor on by name
[00:56.720 --> 01:01.640]  Saying that the medical doctors in these hospitals and we named the hospital the Harry Truman Center in Missouri and
[01:03.480 --> 01:08.500]  That they were being told that they were Ebola cases then I talked to a bunch of other doctors off record
[01:10.000 --> 01:12.000]  One doctor I know personally
[01:13.120 --> 01:16.440]  That runs a chain of hospitals in a major Texas City
[01:16.440 --> 01:24.920]  One of the cities that has an NFL team and there's a blue star on their helmets
[01:26.200 --> 01:31.640]  Didn't tell me not to say the city. I've just gone ahead and said it's up at the DFW area and now they're scared
[01:31.640 --> 01:35.160]  We just talked to him again a week ago. He comes down to Austin sometimes
[01:37.200 --> 01:39.480]  We talked on the phone last week he's scared
[01:39.480 --> 01:47.720]  Because it's definitely Ebola and it's being covered up and they think they're liable for taking part in this
[01:51.480 --> 01:54.640]  Now I've got all this important news, but right there
[01:56.640 --> 02:00.480]  Now Fox News investigative journalist is saying they're covering up
[02:02.200 --> 02:04.200]  Headlines from Breitbart
[02:04.200 --> 02:13.400]  Atkinson CDC hiding numbers of possible Ebola cases in US. That's exactly what info wars calm had that headline
[02:14.320 --> 02:16.320]  two months ago
[02:17.040 --> 02:22.920]  Here's one of our headlines we wrote scores of stories on the subject Obama caught ordering press to cover up Ebola
[02:24.400 --> 02:29.840]  Pharmacologist reveals how press has bowed to government demand to keep Americans in the dark
[02:29.840 --> 02:31.840]  Only
[02:33.760 --> 02:43.680]  Drudge report comm linked to our story and then I guess that force yahoo to but no national coverage not Fox not CNN and see as bad as Fox is
[02:44.680 --> 02:48.760]  That's the channel where they'll talk about our government growing opium in Afghanistan
[02:48.760 --> 02:52.120]  And that's the channel where they'll talk about they may be covering up Ebola
[02:53.760 --> 02:56.040]  It's it's just on a scale of things
[02:56.040 --> 03:04.800]  It's it's much better than CNN or MSNBC and remember they let Bill O'Reilly have a show about women being cyber-stocked in sex crimes
[03:04.800 --> 03:11.040]  And then just cut to a clip of me as a non sequitur with no description why screaming
[03:13.360 --> 03:15.200]  So they're bad
[03:15.200 --> 03:20.000]  Some of their people are bad, but they've got good people over there like judge Andrew DePaul autonome
[03:20.000 --> 03:25.000]  And Lou Dobbs and people like that. So that's all I'm saying is at least they're not openly anti-god on fox news
