[00:00.000 --> 00:10.000]  It's Sunday, January 22nd, 2023.
[00:10.000 --> 00:16.000]  This is the live Sunday edition and our shows.
[00:16.000 --> 00:35.000]  Infowars, the most banned network in the world.
[00:35.000 --> 00:42.000]  Ladies and gentlemen, incredible developments have happened since I was last live with you Friday afternoon.
[00:42.000 --> 00:50.000]  Elon Musk has come out with a full article on his tweets that have something like 15 million retweets, hundreds of thousands of responses.
[00:50.000 --> 00:56.000]  It's completely viral. He is now revealed the reason he really woke up with the shots is when he took the second one and almost killed him.
[00:56.000 --> 00:59.000]  He had to take it to go to Germany and look at his Tesla facilities there.
[00:59.000 --> 01:04.000]  Then his cousin, who's very young and a sports guy, almost died and has microcarditis and is destroyed.
[01:04.000 --> 01:09.000]  And then there's just hundreds of thousands of people saying my daughter died, my mother died, my brother died.
[01:09.000 --> 01:13.000]  I've had a heart attack. I'm in a wheelchair posting her medical records.
[01:13.000 --> 01:29.000]  It's over the top, but we've also got the Federal Reserve and the Central Bank here in the United States, the FDIC, preparing to do this.
[01:29.000 --> 01:40.000]  Canadian veteran and political activist Jeremy McKenzie, known as the Raging Dissident, was just notified that he can no longer do banking in Canada.
[01:40.000 --> 01:53.000]  As part of any of the relationships today, you're not to visit any of the Scotiabank branches or bank premises in person with their first getting written consent in advance from the bank for management.
[01:53.000 --> 01:55.000]  I'm banned from the bank.
[01:55.000 --> 02:05.000]  But it doesn't matter if you are a political activist or an obedient sheep, because the banks are planning on taking all of your money to pay off their debts.
[02:05.000 --> 02:14.000]  I mean, it's a little bit conflicted, right? I mean, it's important that people understand they can be bailed in, but you don't want a huge run on the institution.
[02:14.000 --> 02:16.000]  But I mean, they're going to be.
[02:16.000 --> 02:27.000]  The FDIC currently has less than $200 billion in assets to insure over $9 trillion. That's just 1.3%.
[02:27.000 --> 02:33.000]  They know that a system collapse is coming, and they are already planning for bail ins.
[02:33.000 --> 02:41.000]  As trust begins to fail, the people will begin to withdraw their funds, which will only guarantee a banking collapse.
[02:41.000 --> 02:52.000]  This is known as a bank run. In 2012, the International Monetary Fund, known for their reputation of coercion, violence, and extortion,
[02:52.000 --> 03:02.000]  published staff discussion notes entitled From Bail Out to Bail In, Mandatory Debt Restructuring of Systemic Financial Institutions.
[03:02.000 --> 03:14.000]  After the 2008 crisis, the world learned what a bail out is. Trillions of taxpayer dollars printed out of thin air to pay off the bankers' bad habits.
[03:14.000 --> 03:21.000]  It was hugely unpopular, but pales in comparison to a bail in. So what exactly is a bail in?
[03:21.000 --> 03:30.000]  It is officially obfuscated with elaborate equations, but to put it simply, it is when the bank steals your money directly from your account.
[03:30.000 --> 03:45.000]  They called it haircuts when they did it in Cyprus back in 2013, which the courts later ruled was legit, and a recent video on TikTok shows that the new bail ins may have already begun.
[03:45.000 --> 04:00.000]  I'm a bank of America, and everybody's missing money. I'm also missing money over $1,300, and they're telling me to call customer service, and they keep hanging up on people. There's another person here who's also missing money.
[04:00.000 --> 04:04.000]  So we're trying to see what's going on. Money's missing today, and we need our money, and they're telling us to call customer service.
[04:04.000 --> 04:16.000]  And customer service ain't doing nothing about it. So just to head top, is anybody experiencing this? Please let us know, because this is not right. I'm missing $1,400 from my account, and they're telling me that there is no way they can help us.
[04:16.000 --> 04:27.000]  This guy's missing money, too. This other person's missing money, too. You missing money, too? There you go. So this is not something that's just one person. Everybody's happening to them, and this is crazy.
[04:27.000 --> 04:39.000]  This is very crazy. Yes, Bank of America decided to take people's money without their consent, and we're asking what's going on, and they're giving us a run around. Everybody for the same thing now. Same thing.
[04:39.000 --> 04:43.000]  Reporting for InfoWars, this is Greg Rees.
[04:43.000 --> 04:58.000]  All right, tell everybody, you know, tune in now. We always have incredibly important intel, but we've got over-the-top critical information tonight. Share the live feed at infowars.com.
[04:58.000 --> 05:14.000]  Go, go, go!
[05:28.000 --> 05:46.000]  In a four-coin series, the Teddy Roosevelt Man of the Arena coin exclusively at 1776coin.com. And you can get $30 off this historic Pure Silver coin with promo code 1776 at 1776coin.com.
[05:46.000 --> 06:02.000]  No more of these will be made. If you want the coin, it's exclusively available right now for limited time at 1776coin.com. $30 off. Use promo code 1776. Thank you for your support.
[06:16.000 --> 06:25.000]  You want to stop tyranny? Well, so does he. Live from the InfoWars.com studios, it's Alex Jones.
[06:25.000 --> 06:34.000]  It was in late January last year, just about a year ago. You go back and pull up the headlines, as I did to check the date.
[06:34.000 --> 06:53.000]  But I came on air and said the deep state eugenicist, the mad scientist, and their biomedical tyranny takeover has blown up in their face, and they are going to have irrevocable problems that they're not going to be able to get their agenda through.
[06:53.000 --> 07:04.000]  But they would not give up, which would just make the situation that much more volatile and explosive. Thank you for joining us on this live Sunday transmission, reaching millions of people.
[07:04.000 --> 07:11.000]  Please share the local radio stations you're listening to, the TV stations you're watching, the cable stations you're watching, and the feeds you're watching at infowars.com.
[07:11.000 --> 07:33.000]  This is the report's live show in band.video and the new URL that takes you to a video feed that's not being censored, conspiracyfact.info. Well, a year later, let me say that they've gone from their agenda being doomed to their agenda being absolutely dead a year later
[07:33.000 --> 07:47.000]  and exponential anger and awakening to just how murderous and out of control these eugenicists are. Now, I can do the whole two hour show tonight. I'm going to be hosting longer into the third and fourth hour of the special event we're going to be covering.
[07:47.000 --> 07:52.000]  But let me just try to go over some of these headlines first for you.
[07:52.000 --> 08:06.000]  It felt like I was dying. Elon Musk trashed his COVID booster shot. Major side effects almost killed his cousin who's in great shape and younger than him with microcarditis. And then it didn't just get put out tens of millions of times via Twitter.
[08:06.000 --> 08:24.000]  I spent hours yesterday reading the comments. 99% of them anti shot posting their medical records. My son died. My daughter died. My mother died. My cousin died. Doctors saying they've seen it really hurt their patients, people posting medical records.
[08:24.000 --> 08:39.000]  Just this tweet alone could be studied for, again, a four year college education on medical tyranny, medical malpractice by design eugenicists, Dr. Minglob, 1,000.0.
[08:39.000 --> 08:52.000]  And again, I can only read and scan over a few hundred other comments because a lot of it was like Dr. McCullough was at the very top saying, here's an analysis of exactly what's happening, Elon, and why it got worse for you on the second shot and then other top scientists commenting.
[08:52.000 --> 09:04.000]  And you could spend years just trying to read, as of this morning, hundreds of thousands of posts to the tens of millions of retweets. This alone is encyclopedic.
[09:04.000 --> 09:16.000]  The gateway to that world is on infowars.com. If you want to read his tweets and then see the other key tweets that I sent to the writers, the great Jamie White have put together an article.
[09:16.000 --> 09:29.000]  So this right here is incredible. Here's just some of the things posted there. The Pfizer shot killed our beautiful 18 year old daughter. She hashtag died suddenly on November 9th.
[09:29.000 --> 09:39.000]  Elon Musk, please help us make this stop. Justice for Trista. Stop the shots now. Vaccine deaths. And then people just reminding folks what happened.
[09:39.000 --> 09:53.000]  Want to get your life, liberty and human rights back? Do what I tell you. Big highway signs, this on South 202 in the U.S. saying, want to return to normal, get vaccinated.
[09:53.000 --> 10:02.000]  The whole government lying to you and pushing poison on you and on their own employees. And then stuff like this. Scott Adams sees this happen.
[10:02.000 --> 10:09.000]  I like Scott Adams, but he came out, said the shot was safe. Take it when they weren't testing it and he knew it wasn't.
[10:09.000 --> 10:17.000]  And there have been previous studies done on rats with mRNA coronavirus vaccines that weren't vaccines. And the rats lived half as long.
[10:17.000 --> 10:23.000]  The mice lived half as long and a lot of them died very quickly from myocarditis, blood clots and strokes.
[10:23.000 --> 10:34.000]  I mean, that's a University of Texas initiative 2012, 13, 14, 15 by Barack Obama, ended up by Dr. Anthony Fauci. His name's on the initiative.
[10:34.000 --> 10:43.000]  So they tested the specific weapon. I told you that two years ago when our own researcher Rob do discovered it. Smoking gun.
[10:43.000 --> 10:49.000]  So Scott Adams just keeps saying, in his five minute video, we'll play a few minutes over here. Okay, you anti-vaxxers win.
[10:49.000 --> 10:56.000]  You were right. Learned immunities better. Looks like it doesn't work. Okay, you won. We don't want to win.
[10:56.000 --> 11:01.000]  I don't want to be here 28 years ago telling you this was all coming and now we're living it.
[11:01.000 --> 11:08.000]  I don't want to be here in five years from now and you're saying, oh my God, it's true, billions are dead. I want to stop this, okay?
[11:08.000 --> 11:16.000]  Think I like the deep state coming after me. You think I like all the demonization attacks, but I like that a lot more than letting their agenda go all the way through.
[11:16.000 --> 11:24.000]  And we all live in a giant open air death camp. So here's a clip of what Scott Adams had to say, the full video and everybody's doing this.
[11:24.000 --> 11:31.000]  Suddenly BBC News has doctors on every day saying, my dad died, a bunch of my patients are dying, heart attacks.
[11:31.000 --> 11:39.000]  Oh my God, it's terrible. We were lied to somebody's got to be held accountable. I've got so many of these videos.
[11:39.000 --> 11:47.000]  I can't even remember all the ones I watched Friday and Saturday this morning. I can't pull myself away, but here's Scott Adams.
[11:47.000 --> 11:57.000]  The unvaccinated have a current advantage because they feel better. The thing they're not worrying about is what I have to worry about,
[11:57.000 --> 12:08.000]  which is I wonder if that vaccination in five years from now, because really the anti-vaxxers I think were really just distrustful of big companies and big government.
[12:08.000 --> 12:17.000]  That's never wrong. It's never wrong to distrust government. It's never wrong to distrust big companies, right?
[12:17.000 --> 12:25.000]  So if you just took the position, let's just distrust everything the government did, well, you won. You won.
[12:25.000 --> 12:37.000]  You won completely. I did not end up in the right place. Agree? You would all agree with that, right? I did not end up in the right place.
[12:37.000 --> 12:47.000]  The right place would be natural immunity, no vaccination. You should take victory and I should take defeat.
[12:47.000 --> 12:59.000]  We can agree on that, right? That my position is now the weakest and your position has gone from the weakest to the strongest and that we can just say that's true.
[12:59.000 --> 13:08.000]  Just stop there. Okay, and he just goes on and on and says, you win the intellectual argument. Hey, dude, we had an initiative by Fauci and Obama to create this thing.
[13:08.000 --> 13:19.000]  They knew it cut the life expectancy of rodents in half. They said it's about being right. It's about saving lives.
[13:19.000 --> 13:27.000]  And to his credit, he doesn't really say that in the video, but with his tweets he does, how do you interpret this?
[13:27.000 --> 13:38.000]  He starts showing the numbers that the vaccinated are more likely to get sick, more likely to be hospitalized, more likely to die, even in international and national studies.
[13:38.000 --> 13:47.000]  Meanwhile, we have the political fallout. Trudeau just had his little globalist WF twin removed in New Zealand. They just put some money in even worse.
[13:47.000 --> 13:57.000]  But here he is in a video with all the different premiers and their spokesperson in parliament saying we hate you.
[13:57.000 --> 14:04.000]  You put martial law in with the national emergency. You sit with a local emergency from the truckers. You're a dictator and should resign.
[14:04.000 --> 14:12.000]  It's in French, but they're subtitles. They just chew the living hell out of him. Then there's links to the three hour overall deal. No one's supporting him.
[14:12.000 --> 14:22.000]  They're like, how's he still in office? It's a parliament, so he only won by 30% of the vote. We're able to manipulate different parties together to do it, but he's gone to.
[14:22.000 --> 14:27.000]  They can shuffle a new puppet in there, but it won't matter. But that's the power they get out of this.
[14:27.000 --> 14:38.000]  Pfizer's CEO is questioned about the vaccine efficacy. He says it was constantly in our way. People asking if it was safe or not. We didn't know. Incredible video.
[14:38.000 --> 14:47.000]  Then also at Davos, another interview, he lies about the CDC coming out, the FDA saying they were lied to and that they think there's major signal of danger.
[14:47.000 --> 14:54.000]  He says they looked at it and it's totally safe. Another giant whopping lie because he knows he has secret liability agreements with the government.
[14:54.000 --> 15:00.000]  Here's national Australian news, Sky News, rising heart attacks across Australia and death.
[15:00.000 --> 15:10.000]  Overall deaths increased 13% in Australia, but heart attacks have increased 17%, the biggest increase ever recorded.
[15:10.000 --> 15:20.000]  Oh, and it's in the quote, vaccinated. Here's Tony Blair. It's not just about COVID. We're going to have a whole new slew of mRNA injections.
[15:20.000 --> 15:26.000]  We're going to make you take. I've got it all here, ladies and gentlemen. It's incredible.
[15:26.000 --> 15:38.000]  And that's just one stack. Then I've got what else happened to W.E.F., massive pedophile rings getting busted around the country with LGBT groups,
[15:38.000 --> 15:45.000]  grabbing CPS in Christian kids and then putting them in the sex dungeons. We always knew that was the case, that they're getting caught everywhere.
[15:45.000 --> 15:49.000]  And they're just desperate. They're totally desperate that we know who they are and what they're up to.
[15:49.000 --> 15:59.000]  And the other giant, Satanic army of pedophiles were up against. I'm going to show you the evidence coming up.
[15:59.000 --> 16:19.000]  Well, I have fantastic stuff. Diet force is amazing. I'm 45 and I have bits. I go to the gym and I have bits that won't move. And diet force has helped me move those bits. Like, under my pecs, my belly, I'm just taking diet force two tablets a day.
[16:19.000 --> 16:32.000]  Man, if you're struggling to get chip shaped for the ladies, diet force is the go. You have to get the diet force and have it to a day and just keep active.
[16:32.000 --> 16:38.000]  Infowarsstore.com, X7 diet force. Infowarsstore.com, baby.
[16:38.000 --> 16:46.000]  Now on sale. We're cutting that ad. We're cutting that call into an ad. I can guarantee you that. Thank you so much for the call, Grant. God bless Australia.
[16:46.000 --> 16:50.000]  We'll be right back, folks. Don't go anywhere. Infowarsstore.com, diet force. Get it now.
[16:50.000 --> 17:08.000]  I'm taking a lot of supplements over the years since high school and they had great effects. And the science has gotten better and better and better over the years.
[17:08.000 --> 17:19.000]  And now with all the things we're bombarded with and the water and the food and the feminizing factors, it is more important than ever to use the compounds God gave us to boost our natural male potential.
[17:19.000 --> 17:26.000]  These products work great for women as well. Ladies and gentlemen, we have Pain MD. It's the number one natural best seller under another name.
[17:26.000 --> 17:32.000]  We got it discounted for 40% off Infowarsstore.com under the label, Infowars Platinum.
[17:32.000 --> 17:40.000]  We've also got ACH Max Boost. Read all about it. Be very safe with it. I take only a fraction of what they say at first and take it before you go to bed at night.
[17:40.000 --> 17:42.000]  Don't do it during the day.
[17:42.000 --> 17:52.000]  1776 testosterone boost. Totally incredible. Go read about them. Learn more about them at Infowarsstore.com in the Infowars Platinum section.
[17:52.000 --> 18:18.000]  And you get 40% off on these already best selling products under the new name Infowars Platinum.
[18:18.000 --> 18:28.000]  I thank you for your past support and I ask you to count the cost and realize that only your commitment to keep Infowars on the air will ensure our victory against the New World Order.
[18:28.000 --> 18:34.000]  They're coming for you and your family. They're coming for me. They're coming for the children. But to get to the children, they've got to get through us first.
