[00:00.000 --> 00:17.600]  Infowars, tomorrow's news, today.
[00:30.000 --> 00:44.200]  Ladies and gentlemen, we are live broadcasting worldwide on this December 22nd, Wednesday,
[00:44.200 --> 00:45.200]  transmission.
[00:45.200 --> 00:51.760]  And I've absolutely got to cover all the news today.
[00:51.760 --> 00:58.120]  The CIA has come out officially and said we're already in a civil war and that it's going
[00:58.120 --> 01:02.960]  to go hot before the midterms and that they have to have the Pentagon and the military
[01:02.960 --> 01:09.720]  arrest and imprison millions and that they have to have a Stalin or Lenin level purge
[01:09.720 --> 01:13.320]  against 150 million people, you name it.
[01:13.320 --> 01:17.120]  I mean, we're talking hardcore criminal announcements.
[01:17.120 --> 01:21.720]  And then they use a bunch of false flag examples like the Governor Whitmer attempt at kidnapping
[01:21.720 --> 01:25.320]  if the FBI was running, that's come out, that was totally fake.
[01:25.320 --> 01:29.960]  Here's the pretext for this, building towards the midterm in 321 days.
[01:29.960 --> 01:32.920]  They do not plan to let us get there.
[01:32.920 --> 01:39.000]  Now Bill Gates is a master eugenics depopulation general.
[01:39.000 --> 01:43.280]  He's come out with a cryptic announcement to his forces that they're going to win their
[01:43.280 --> 01:49.120]  war against humanity and said record numbers of deaths are imminent from the quote, new
[01:49.120 --> 01:50.120]  mutations.
[01:50.120 --> 01:55.280]  That means they're getting ready to release more deadly bio weapons on us.
[01:55.280 --> 01:57.160]  He says the worst part is yet to come.
[01:57.160 --> 02:03.480]  So does his top lieutenant Anthony the sickle fouching.
[02:03.480 --> 02:06.960]  So we have all of that insane information.
[02:06.960 --> 02:11.320]  I mean, they're making their move.
[02:11.320 --> 02:26.000]  But the good news is that humanity is waking up on so many levels.
[02:26.000 --> 02:30.040]  And there are a lot of people in the power structure that don't want to be part of depopulation
[02:30.040 --> 02:31.040]  and collapse.
[02:31.040 --> 02:37.000]  And I told you a year and a half ago that Joe Rogan was going to go pure hardcore against
[02:37.000 --> 02:39.720]  the New World Order.
[02:39.720 --> 02:40.720]  And he did.
[02:40.720 --> 02:41.720]  He didn't believe me.
[02:41.720 --> 02:43.320]  And you saw him go from being the middle of the road to where he is now.
[02:43.320 --> 02:47.360]  He's chosen to fight the globalist and he realizes it's all real.
[02:47.360 --> 02:50.000]  And I told you a lot of other prominent people are going to go hardcore because I talked to
[02:50.000 --> 02:51.000]  him.
[02:51.000 --> 02:52.000]  And I'll leave it at that.
[02:52.000 --> 02:58.520]  And I told you about six months ago that Elon Musk tested the waters about four years
[02:58.520 --> 03:02.520]  ago coming out against the globalist, but nobody backed him when he did it.
[03:02.520 --> 03:04.040]  But now he's getting ready to do it again.
[03:04.040 --> 03:05.600]  I told you six months ago, get ready.
[03:05.600 --> 03:07.400]  And now he's come out and done that.
[03:07.400 --> 03:11.840]  He basically said, pedophile rings run the government, run CNN.
[03:11.840 --> 03:14.000]  He came out and said, wokeness is a mind virus.
[03:14.000 --> 03:17.520]  They load onto you to destroy you and control you and turn you into a bully.
[03:17.520 --> 03:20.240]  And part of their authoritarian takeover.
[03:20.240 --> 03:24.000]  He came out and said, you should have more children or society will collapse.
[03:24.000 --> 03:25.000]  He came out and said all that.
[03:25.000 --> 03:26.200]  He's also a super libertarian.
[03:26.200 --> 03:27.200]  He said, yeah.
[03:27.200 --> 03:30.520]  And also, if you voluntarily want wires in your head, people are going to start getting
[03:30.520 --> 03:32.280]  them, including himself.
[03:32.280 --> 03:37.400]  So he's all into you controlling your own evolution, which obviously has its major
[03:37.400 --> 03:39.440]  pitfalls and I'm not endorsing it.
[03:39.440 --> 03:42.520]  But I know people that know Musk well.
[03:42.520 --> 03:44.240]  And I'll leave it at that.
[03:44.240 --> 03:51.360]  And when I had Jack Dorsey unofficially reached out to me one time, I just rebuffed it as,
[03:51.360 --> 03:54.560]  oh, he just wants to co-op me, no, that wasn't true.
[03:54.560 --> 03:55.840]  And it's been the same thing.
[03:55.840 --> 03:57.960]  So a lot of stuff I haven't been able to reveal right now.
[03:57.960 --> 04:01.600]  But the reason the left, the media are trying to demonize me everywhere and attack me and
[04:01.600 --> 04:05.360]  desperately doing default judgments and all this is they've got all the phones tapped.
[04:05.360 --> 04:11.360]  I mean, they know and they've got all their jealous, globalist controllers dialed in listening
[04:11.360 --> 04:16.320]  to Joe Rogan and Elon Musk and Tucker Carlson and then listening to our conversations and
[04:16.320 --> 04:17.320]  all the rest of it.
[04:17.320 --> 04:19.680]  And they know what's going on.
[04:19.680 --> 04:24.520]  And they're totally jealous that we're the new Renaissance and they're totally jealous
[04:24.520 --> 04:28.280]  and upset that humanity is breaking with their new world order and that they're not going
[04:28.280 --> 04:30.920]  to be able to destroy all the children the way they want.
[04:30.920 --> 04:36.480]  And so it's, it's on, ladies and gentlemen, it's absolutely going down.
[04:36.480 --> 04:41.000]  And everybody better decide which side of this fight you're going to be on.
[04:41.000 --> 04:46.080]  But we got such a big broadcast, such a huge broadcast lined up for you today.
[04:46.080 --> 04:47.320]  I got to run back in my office.
[04:47.320 --> 04:49.200]  I just forgot a few of the articles I had there.
[04:49.200 --> 05:00.480]  So we'll be back in 60 seconds, stay with us.
[05:00.480 --> 05:05.080]  Not just across the United States, but across the world, you see it on the sides of barns
[05:05.080 --> 05:09.760]  and on bumper stickers, on cars and written on the side of bathroom walls, Alex Jones
[05:09.760 --> 05:10.760]  was right.
[05:10.760 --> 05:15.400]  That's become a maximum of people to communicate to others that they see through the fraud
[05:15.400 --> 05:18.920]  of the new world order, that they're saying no to Klaus Schwab, Bill Gates and the Great
[05:18.920 --> 05:19.920]  Reset.
[05:19.920 --> 05:23.800]  And so now info wars credibility is stronger than it's ever been.
[05:23.800 --> 05:27.600]  And the globalists are now coming to try to shut us down after all their other attacks
[05:27.600 --> 05:29.240]  and we can't let them do that.
[05:29.240 --> 05:31.800]  So you've invested info wars over the years.
[05:31.800 --> 05:36.400]  I'm asking you to redouble those efforts now at this critical juncture or everything you've
[05:36.400 --> 05:39.120]  done in the past is for nothing.
[05:39.120 --> 05:43.000]  You have invested in justice and the truth and hardcore populace.
[05:43.000 --> 05:49.120]  You have done incredible things and I'm telling you now going in 2022 info wars has major
[05:49.120 --> 05:52.760]  underages to run an operation and we need more funds in.
[05:52.760 --> 05:53.760]  So it's a 360 win.
[05:53.760 --> 05:56.880]  Get great products that are great for you and your family, your immune system and so
[05:56.880 --> 05:57.880]  much more.
[05:57.880 --> 05:59.880]  Go to infowars.com.
[05:59.880 --> 06:14.160]  We are on the march, the globalists are on the run, resistance to tyrants, his obedience
[06:14.160 --> 06:20.800]  to God, it's Alex Jones, all the martial law, all the force inoculations, all the fear
[06:20.800 --> 06:25.080]  mongering, all the great reset, build back better garbage is nothing but new world order
[06:25.080 --> 06:29.760]  corporate siege against you and your family.
[06:29.760 --> 06:32.760]  And the moment you wake up to the great reset and the new world order and the build back
[06:32.760 --> 06:38.200]  better agenda and say no to it is the sooner you start coming up for air.
[06:38.200 --> 06:42.120]  You will figure it out at one point or another or you will die.
[06:42.120 --> 06:47.360]  If we can't we put the full show headline up on screen for TV viewers.
[06:47.360 --> 06:51.200]  We have so much good news here, a lot of it from yesterday I didn't get to and a lot of
[06:51.200 --> 06:58.200]  it from today that is just spectacularly good and that we are going to cover at the bottom
[06:58.200 --> 06:59.200]  of the hour.
[06:59.200 --> 07:04.920]  I mean I have been told and I am going to leave it at that that Elon Musk is completely
[07:04.920 --> 07:09.400]  awake and wants to take down the new world order and I was told that watching the next
[07:09.400 --> 07:15.520]  six months you will see it happen now he is doing exactly what he said he would do and
[07:15.520 --> 07:17.640]  I am going to leave it at that.
[07:17.640 --> 07:24.600]  Same thing with Joe Rogan and it is some of my most sincere enjoyment and sense of satisfaction
[07:24.600 --> 07:35.440]  in victory that this broadcast has been the imminent probe firing the truth out that basically
[07:35.440 --> 07:41.000]  helped trigger the red pill awakening and so many of these key people and that is all
[07:41.000 --> 07:45.000]  because of you keeping us on the air and the amazing work you have done as listeners of
[07:45.000 --> 07:53.160]  yours you deserve the credit for staying in the fight and now that they are making their
[07:53.160 --> 07:56.400]  big depopulation move and they are killing people en masse and a lot of folks are dying
[07:56.400 --> 08:00.960]  and they are going to die but at least we have got a real fight and chance and the awakenings
[08:00.960 --> 08:01.960]  here.
[08:01.960 --> 08:06.960]  The great reset is the response to the great awakening.
[08:06.960 --> 08:11.720]  So the good news is at the bottom of the hour Elon Musk comes out against the pedophile
[08:11.720 --> 08:15.320]  rings, the depopulation agenda, everything.
[08:15.320 --> 08:20.160]  You can say well he is not perfect or maybe he is so you know this or that it doesn't
[08:20.160 --> 08:27.400]  matter the fact that he is doing that so maybe he is just an opportunist.
[08:27.400 --> 08:31.200]  He knows which way the wind is blowing he understands the new world order is destined
[08:31.200 --> 08:39.000]  to fail and I can see Musk now looks healthier and better and more radiant than he has ever
[08:39.000 --> 08:43.280]  looked in these interviews because he is feeling good about what he is doing right now.
[08:43.280 --> 08:49.280]  So there is not just evil in the universe folks there is a real desire for freedom and
[08:49.280 --> 08:54.880]  human development and human excellence and Musk wants that doesn't mean he is perfect
[08:54.880 --> 08:59.120]  but the fact that Joe Rogan and Elon Musk and Tucker Carlson all these thought leaders
[08:59.120 --> 09:04.560]  are anti-new world order and coming out against the forced vaccines or taking vaccines period
[09:04.560 --> 09:10.320]  or the new world order or the open borders or the wokeness is incredible.
[09:10.320 --> 09:14.240]  Now I said I said at the bottom of the hour we are going to play the clips all of it.
[09:14.240 --> 09:18.880]  There is the show's headline today Elon Musk positioning himself to stop the great reset
[09:18.880 --> 09:21.560]  and take down the new world order.
[09:21.560 --> 09:26.600]  Make no mistake he is positioning himself for that.
[09:26.600 --> 09:27.920]  He sees where Trump failed.
[09:27.920 --> 09:31.560]  Trump could have done it but Trump failed.
[09:31.560 --> 09:39.040]  And so Musk is beyond Trump 2.0.
[09:39.040 --> 09:41.800]  Now does that mean we are out of the woods and everything is perfect now I will talk
[09:41.800 --> 09:47.360]  about it at the bottom of the hour but Elon Musk says wokeness is one of the greatest threats
[09:47.360 --> 09:52.840]  to civilization.
[09:52.840 --> 09:57.120]  He goes on to say of Pocahontas if you could die of irony she would be dead.
[09:57.120 --> 10:02.680]  Musk slams Liz Warren and woke culture in epic Babylon B interview.
[10:02.680 --> 10:06.560]  The old Babylon B put on an article yesterday saying Alex Joe should be the head of the
[10:06.560 --> 10:07.560]  CDC.
[10:07.560 --> 10:09.520]  He has been more accurate than the CDC.
[10:09.520 --> 10:16.360]  So we are in a fight here but we are winning hearts and minds fast and not just at the
[10:16.360 --> 10:23.640]  grassroots which is key but at the top of the pyramid because I mean we are at the point
[10:23.640 --> 10:27.280]  of killing kids in mass and poisoning people and erasing their immune systems.
[10:27.280 --> 10:29.600]  I mean the genocide is going on.
[10:29.600 --> 10:33.680]  The starvation of the third world is happening now and I am going to tell you are you going
[10:33.680 --> 10:36.320]  to sign on to that?
[10:36.320 --> 10:39.680]  Like the popes done or are you going to be like the big top German cardinal that came
[10:39.680 --> 10:43.920]  out and said this is a satanic new world order depopulation end of humanity plan you must
[10:43.920 --> 10:46.200]  resist them.
[10:46.200 --> 10:48.920]  He is on the Vatican court the head of it.
[10:48.920 --> 10:56.920]  We have got one of the top Italian bishops coming out and saying word for word the same
[10:56.920 --> 10:57.920]  thing.
[10:57.920 --> 11:00.000]  You are going to have to decide which side you are on.
[11:00.000 --> 11:06.360]  It doesn't matter if you are a humanist scientist like Elon Musk or a catholic cardinal or a
[11:06.360 --> 11:08.680]  Jewish doctor like Dr. Zelinko.
[11:08.680 --> 11:13.080]  We are all brothers and sisters under God with God consciousness.
[11:13.080 --> 11:14.080]  We are conscious of God.
[11:14.080 --> 11:15.080]  We are communing with God.
[11:15.080 --> 11:18.880]  We are interfaced with God and that is what reset wars is all about.
[11:18.880 --> 11:24.480]  Notice Musk coming up says they load false viruses on your mind.
[11:24.480 --> 11:27.680]  He didn't just talk about the tweet now and you have got to get those viruses off and
[11:27.680 --> 11:30.160]  wokeness is one of their main viruses.
[11:30.160 --> 11:35.440]  We specifically call wokeness and political correctness one of the main viruses in reset
[11:35.440 --> 11:38.040]  wars.
[11:38.040 --> 11:42.720]  This is the first real attempt folks beyond self-help, beyond a lot of great things that
[11:42.720 --> 11:46.400]  are out there to give you confidence, teach you tricks, teach you systems, teach you habits.
[11:46.400 --> 11:48.120]  Those are all wonderful.
[11:48.120 --> 11:51.600]  This is how the globalists see your brain, how they are programming it and how you can
[11:51.600 --> 11:54.480]  become aware of it and you know some people might watch this and go crazy.
[11:54.480 --> 11:56.760]  I mean I will be honest with you.
[11:56.760 --> 11:58.880]  This is big technology.
[11:58.880 --> 12:00.440]  This is human technology God made.
[12:00.440 --> 12:06.200]  This is how you really work ladies and gentlemen with very simple exercises to become aware
[12:06.200 --> 12:09.240]  of how they program you, how they control you and you are going to get those programs
[12:09.240 --> 12:11.560]  put on and you are going to have to kick them back off all the time.
[12:11.560 --> 12:16.360]  This is a process but this is powerful.
[12:16.360 --> 12:20.040]  Reset wars, reset wars.com and it supports the broadcast.
[12:20.040 --> 12:26.440]  It is 25% off through Christmas and we are building a whole infrastructure from this
[12:26.440 --> 12:31.720]  and intend to again have products that are very, very inexpensive but just like anything
[12:31.720 --> 12:36.480]  getting founded it costs more up front to get the infrastructure in and to build this
[12:36.480 --> 12:39.240]  basically online educational system.
[12:39.240 --> 12:42.960]  So I want to thank all of you that are really becoming founders just like with the founders
[12:42.960 --> 12:46.400]  coin helping keep us on air and helping us build new things and helping us launch new
