[00:00.000 --> 00:12.000]  Big Brother mainstream media government coverups you want answers well so does he
[00:12.000 --> 00:31.000]  he's Alex Jones on the GCN radio network and now live from Austin, Texas Alex Jones
[00:31.000 --> 00:55.000]  bad news the globalist Trans Pacific partnership that transfers pretty much whatever sovereignty was left of this country to private corporate global bodies has been ran through by the Democrats and Republicans Obama's trade bill narrowly clears key Senate hurdle that it had failed to clear last week deals details not released to the public
[00:55.000 --> 01:20.000]  conservatives could push over the finish line Mexico ways US meat products sanctions congressional approval ratings collapse yeah polls are out on this over 85% of Americans in a Gallup poll last week are against the TPP hard to believe there's 15% that
[01:20.000 --> 01:41.000]  want a secret global treaty to be passed that no one's allowed to see and wiki leaks is released only part of it and that's where the internet is turned over to select corporations and there's no free speech you just can't make this stuff up
[01:41.000 --> 01:55.000]  the world is plunging into tyranny and I'll be quite frank with you this is a very stressful job to be aware of all the things that are happening I mean I'm not complaining I'm just saying sometimes I've seen angry or upset
[01:55.000 --> 02:11.000]  on TV or radio it's it's not fake I blew up 10 minutes ago before everyone on air because it just it is overwhelming how over the top all of this is and that's the globalist plan
[02:11.000 --> 02:30.000]  ram the whole stinking thing through throw it in everybody's face be over the top invert reality and then declare those of us that want basic sanity and basic freedom to be tyrants or those of us who aren't racist say that we're the racist
[02:30.000 --> 02:48.000]  dumb the political debate down for the most mindless level ever imaginable last night this morning reading the news and coming in today look at the stacks just all of these stories are totally insane
[02:48.000 --> 03:05.000]  there's one out of Associated Press there's another one out of Reuters police want bikers off streets after deadly Texas shooting and all these days later five six days later
[03:05.000 --> 03:20.000]  they're still saying Harley Davidson is closed across the state and they're asking bikers not to drive down highways because the snipers may come after you because we're expecting retaliation from the bandidos and the bandidos are on TV going
[03:20.000 --> 03:35.000]  to start a war with the police I guess only George Soros does that and gets away with it you know not the collaborator and I'm not defending the bandidos the point is this is a major power grab so Joe Biggs if it quits reigning is going to ride around his Harley today
[03:35.000 --> 03:50.000]  and will ride up the cops and say you know do you think I'm a terrorist because I'm riding around on my motorcycle it's just everything is a power grab nowadays and that's just one of the cuckoo stories I've got there's there's hundreds of them
[03:50.000 --> 04:15.000]  yesterday I ran into the cream of the scum I mean I ran into what this artificial decadence society has produced on every front it was the most bizarre confluence of hypocrisy and bizarre
[04:15.000 --> 04:33.000]  pro-landness the videos up on info wars dot com we're spending a lot of time on this today shock video militant communists attack pro-life protest and they were pulling up in like $80,000 brand new Jaguars I went and looked it up
[04:33.000 --> 04:58.000]  and then then I got in my Dodge Challenger they were screaming one percenter I mean it is just crazy town and the women saying how dare whites try to adopt black babies abort them abort them I killed my babies I kill them I mean just I love Satan hell Satan I mean just and then they're so weak on top of it I mean it is unbelievable
[04:58.000 --> 05:08.000]  The latest example of liberal free speech oppression is brought to you by Kit Daniels in the article campus police intimidate student over her anti-Obama and pro-gun signs
[05:08.000 --> 05:17.000]  a college student is suing her school after three campus cops and an administrator ordered her not to carry an anti-Obama sign and a pro-gun sign on campus without special permission
[05:17.000 --> 05:33.000]  Nicole Sanders a student at blend college in Brenham Texas was recently demonstrating with the signs when she was told she needed special permission for them and had to stay in the colleges free speech zone I needed to fill out a form stating what I'm doing where I'm doing it who's involved and what outcome we're expecting she said
[05:33.000 --> 05:48.000]  She didn't wait until four administrators sign it in response Sanders has filed a lawsuit against blend college stating its policies and their enforcement are unconstitutional this story is eerily similar to an incident at California Polytech earlier this year in which school officials were also requiring
[05:48.000 --> 05:59.000]  students who engage in First Amendment activities on campus to apply for a free speech permit you can find more stories like these at info wars dot com and prison planet dot com Rob do reporting for info wars nightly news
[05:59.000 --> 06:15.000]  all of recorded history civilizations around the world praised the health benefits of silver at info wars life our mission is to bring you the highest quality purest cleanest effective colloidal silver on the market's day for the lowest price available
[06:15.000 --> 06:30.000]  now info wars life dot com has taken colloidal silver to the next level using a cutting edge technique that is free of toxic artificial antigens info wars life dot com developed silver bullet by closely working with one of the top silver manufacturing labs in the United States
[06:30.000 --> 06:49.000]  we set out to bring you the very best at the lowest price find out more about the proprietary development of silver bullet at info wars life dot com in these times it's essential to have high quality colloidal silver on hand no survival chest is complete without silver bullet exclusively available at info wars life dot com
[06:49.000 --> 07:06.000]  secure your silver bullet today at info wars life dot com or by calling toll free 888-253-3139 and it's that type of behavior that spurred me to do the research to develop a true
[07:06.000 --> 07:21.000]  nutraceutical formula that was designed to smooth out and help children focus all of our children are hit with modern mind control television music fast food gmo's sugars you name it young humans have not yet developed their nervous system and are being hammered
[07:21.000 --> 07:35.000]  daily by globalist concoctions it's no wonder they can't focus and calm down and then are put on dangerous psychotropic drugs working with my team we set out to find the best formula with the highest quality ingredients that children would actually like and take
[07:35.000 --> 07:58.000]  we worked with the leading manufacturer in nutritional supplements that are safe for children to bring you the most affordable and powerful calming formula out there introducing child ease with herbs and calming extracts like chamomile and lemon balm and essential nutrients that taste great obtain your child ease today at info wars life dot com that's child ease exclusively at info wars life dot com
[08:05.000 --> 08:23.000]  we now take you live to the central texas command center in the heart of the resistance it's alex jones
[08:23.000 --> 08:39.000]  just to keep it coming
[08:39.000 --> 08:59.000]  gentlemen i salute all of you stand for human liberty and the next great renaissance to the stars all the freedom fighters today in the future and from the past we salute you
[08:59.000 --> 09:12.000]  your host we are going to have in studio today to get their breakdown from every different angle of the war on free speech rob dude
[09:12.000 --> 09:35.000]  jacari jackson we're going to also have paul watson in here coming up at the bottom of the next hour we're going to have in studio with us jacari jackson and anthony uchi already witnesses to just the bizarro land happening yesterday in austin then i'm going to break down in a moment
[09:35.000 --> 09:50.000]  and then we're going to have leon macadoo in along with paul watson via skype and then rob do in the last 20 minutes of the show or so to give his breakdown on the situation
[09:50.000 --> 10:13.000]  i talk about stories that are rosetta stones decoders if you have this decoder if you have this this this this block that has the different alphabet codes spelled out you can then read the tea leaves and there are a lot of these stories every day that connect the dots together basically
[10:13.000 --> 10:26.000]  but i'll be honest with you i did not intend i mean i wanted it to be but i didn't think sending out the reporters to demonstrate and point out that
[10:26.000 --> 10:43.000]  it was founded by margaret sanger and she helped set up the keiser velhom institute that bank rolled hitler and that she was one of his top advisors and hitler wrote that one of her books was his quote bible and i cover all this in the film in game i show her
[10:43.000 --> 10:56.000]  i show it from the university archives i show her book i show hitler transcripts of radio addresses thanking margaret sanger i mean she went to germany and met repeatedly with hitler so did thomas watson the founder of ibm
