[00:00.000 --> 00:25.000]  Yeah! Praise God America is Awakening! Humanity is Awakening! And Jesus Christ is King!
[00:25.000 --> 00:35.000]  Not David Rockefeller, not Bill Gates, not Barack Obama, not Joe Biden, but Jesus Christ is King!
[00:35.000 --> 00:41.000]  And God gave us and rose up Donald Trump to stand against the enemy and draw out the enemy.
[00:41.000 --> 00:52.000]  So as dark as some of these days are, understand this is the beginning of the great revival before the Antichrist comes.
[00:52.000 --> 01:12.000]  World government, implantable microchips, Satanism is out of the open, the Bible is fulfilled, Revelation is fulfilled, Jesus Christ is fulfilled, God Almighty is in charge, and we follow that mighty God!
[01:12.000 --> 01:22.000]  You look at the miserable globalists, you look at people like Bill Gates, and you look at people like Mark Zuckerberg and the rest of them.
[01:22.000 --> 01:34.000]  They are miserable slaves of Satan, and we pray for them in hope that the Holy Spirit can still touch their soul.
[01:34.000 --> 01:46.000]  But more importantly, we pray for President Donald John Trump in this incredibly serious moment.
[01:46.000 --> 01:58.000]  And we pray for all the women in America who the system is trying to lie to to kill their babies, and we say, don't kill your babies!
[01:58.000 --> 02:18.000]  The enemy has been forced out in the open. World government is here, and the system is publicly stealing this election from the biggest landslide and the biggest political realignment since 1776.
[02:18.000 --> 02:34.000]  Our God is the God of the universe, our God is the God of strength and honor and will, and God is in control, and God is on our side!
[02:34.000 --> 02:46.000]  So we praise God, and we thank God, and we know that it's all in God's plan, and the Lord works in mysterious ways.
[02:46.000 --> 02:54.000]  Christ's crucifixion was not our defeat, it was our greatest victory.
[02:54.000 --> 03:02.000]  When he rose again on the third day, he broke the change of hell and death.
[03:02.000 --> 03:15.000]  We have the deed to this planet, we have the deed to eternal life, and we praise Jesus Christ and the Father.
[03:15.000 --> 03:30.000]  The enemy wants to keep the whorehouses open, and the liquor stores open, and the wallmarts open, and the targets, and the Amazons, while they tell you the churches are not essential.
[03:30.000 --> 03:38.000]  Congress shall make no law establishing the establishment of religion or prohibiting the free exercise thereof.
[03:38.000 --> 03:45.000]  Congress shall make no law respecting the establishment of religion or the free exercise thereof.
[03:45.000 --> 03:51.000]  Meaning, our forebears did not have separation of church and state as they spin it.
[03:51.000 --> 03:58.000]  It means the state has no jurisdiction over any of us.
[03:58.000 --> 04:03.000]  Our relationship with God is sacred and is eternal.
[04:03.000 --> 04:14.000]  So no, whatever happens, we will never give up, we will never surrender, we will never back down to the Satanic, pedophile, globalist, new-world order,
[04:14.000 --> 04:21.000]  and their walking dead, reanimated corpse, Joe Biden.
[04:21.000 --> 04:25.000]  And we will never recognize him.
[04:25.000 --> 04:33.000]  President Trump had zero connection to Russians, no proof, four years of investigation.
[04:33.000 --> 04:36.000]  With the Biden's hits open and shut.
[04:36.000 --> 04:41.000]  So I don't know who's going to the White House in 38 days, but I sure know this.
[04:41.000 --> 04:58.000]  Joe Biden is a globalist, and Joe Biden will be removed one way or another.
[05:12.000 --> 05:16.000]  You can't even leave your house for months and months are being announced.
[05:16.000 --> 05:27.000]  And in Germany, the police are using giant armored tanks with water cannons to blast men, women, and children that protest the fact that Merkel, the dictator, has put them under her control.
[05:27.000 --> 05:30.000]  That's right, she's been rigging elections for years and years.
[05:30.000 --> 05:33.000]  And the same thing is coming here to the United States.
[05:33.000 --> 05:34.000]  This is world government.
[05:34.000 --> 05:39.000]  In Philadelphia, they've announced four people or more seen together will be arrested.
[05:39.000 --> 05:41.000]  They're announcing the Christmas is canceled.
[05:41.000 --> 05:51.000]  This is what the Communist takeover looks like to bankrupt you, to take red of all your due process, and absolutely transform the world into a prison planet.
[05:51.000 --> 05:53.000]  How long have we warned you about this?
[05:53.000 --> 05:54.000]  But you can fight back.
[05:54.000 --> 05:56.000]  America is the last bastion.
[05:56.000 --> 06:11.000]  Stop submitting.
[06:27.000 --> 06:31.000]  With the crisis, it's open and shut.
[06:31.000 --> 06:36.000]  So I don't know who's going to the White House in 38 days, but I sure know this.
[06:36.000 --> 06:47.000]  Joe Biden is a globalist and Joe Biden will be removed one way or another.
[06:47.000 --> 06:52.000]  Our great first president, we literally are here on his farm.
[06:52.000 --> 06:53.000]  That's where we're at.
[06:53.000 --> 07:00.000]  George Washington didn't want to be king and had me serve two terms and set that precedent.
[07:00.000 --> 07:01.000]  He left.
[07:01.000 --> 07:02.000]  He was a very quiet man.
[07:02.000 --> 07:05.000]  I didn't talk about his beliefs, but he was a Christian.
